iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.380584,-0.007818,0.284626,0.004042,0.735807,0.051549,-0.052233,0.208447,0.219941,-0.587153,1.224974,4.0,0.0003,0,354,0.2666,0.36384,0.0,nan,0,0.0,0.0,,,-0.01,0.00479,-0.01378,-0.02248,-3e-05,-0.01,0.0
2,2048,nan,nan,0.0,0.0,2.29747,-0.004506,0.097,0.001785,0.761059,0.009068,0.646176,-0.431283,0.998109,-1.126162,2.161482,4.0,0.0002999,0,378,0.23873,0.33119,0.0,nan,0,0.0,0.0,,,-0.01,0.00382,-0.01336,-0.02183,-0.00098,-0.00095,0.0
3,3072,nan,nan,0.0,0.0,2.149275,-0.00534,0.043165,0.004393,0.563157,0.058664,0.848781,-0.951658,2.185074,-1.633222,3.336186,4.0,0.0002998,0,1,0.24004,0.33294,0.0,nan,0,0.0,0.0,,,-0.01,0.00302,-0.01196,-0.02283,-0.00037,-0.00066,0.0
4,4096,-19.78009,450.0,0.0,0.0,2.229586,-0.004689,0.030548,0.003531,0.393713,0.039062,0.9168,-1.668958,3.241369,-2.265634,4.248564,4.0,0.00029969,8,349,0.27972,0.37001,1.0,nan,0,0.0,0.99827,,,-0.01,0.00379,-0.01011,-0.02397,-0.00036,-0.00912,0.0
5,5120,nan,nan,0.0,0.0,2.295525,-0.005576,0.017315,0.005833,0.273019,0.06522,0.940423,-2.428341,4.228274,-3.056028,5.363056,4.0,0.00029959,0,357,0.2899,0.38491,1.0,nan,0,0.0,0.0,,,-0.01,0.00488,-0.00951,-0.0216,0.0,-0.00543,0.0
6,6144,nan,nan,0.0,0.0,2.225538,-0.005813,0.015181,0.004418,0.254644,0.061663,0.964327,-3.049346,5.352757,-3.560044,6.28638,4.0,0.00029949,0,269,0.2997,0.39167,1.0,nan,0,0.0,0.0,,,-0.01,0.00496,-0.00784,-0.01854,-0.0028,-0.00188,0.0
7,7168,-17.73205,379.66667,0.0,0.0,1.746417,-0.003564,0.065552,0.002312,0.235255,0.020508,0.928255,-3.56223,6.343639,-4.011143,6.845065,4.0,0.00029939,3,348,0.31313,0.40743,0.72727,nan,0,1.0,1.0,,,-0.01,0.00502,-0.00623,-0.02413,-0.00891,-0.00507,-0.00765
8,8192,-17.77035,450.0,0.0,0.0,2.100634,-0.006009,0.015652,0.007463,0.297699,0.106968,0.971489,-4.270377,6.394627,-4.666027,7.160968,4.0,0.00029928,5,381,0.31393,0.39711,0.8125,nan,0,0.2,1.0,,,-0.01,0.00608,-0.00487,-0.0182,-0.00559,-0.006,0.0
9,9216,-9.32023,214.75,0.0,0.0,1.222969,-0.003073,0.081452,0.004123,0.279101,0.065674,0.879905,-5.583123,6.939562,-5.761997,6.843951,4.0,0.00029918,4,457,0.34687,0.43845,0.65,nan,0,1.0,1.0,,,-0.01,0.0055,-0.00577,-0.02255,-0.01463,-0.0079,-0.01413
10,10240,-10.76228,338.0,0.0,0.0,1.634847,-0.003536,0.026572,0.003512,0.267029,0.040737,0.956114,-5.626751,6.480778,-5.859554,7.081435,4.0,0.00029908,4,404,0.36534,0.45587,0.625,nan,0,0.75,1.0,,,-0.01,0.00598,-0.00464,-0.02348,-0.00442,-0.00842,-0.0053
11,11264,-12.51942,330.5,0.0,0.0,1.663037,-0.004424,0.028802,0.00336,0.237074,0.044399,0.95915,-5.303161,7.104933,-5.590199,7.58549,4.0,0.00029898,2,295,0.36118,0.44512,0.61538,nan,0,0.5,0.91304,,,-0.01,0.00726,-0.0045,-0.02184,-0.01027,-0.00536,-0.00264
12,12288,-11.71134,298.33333,0.0,0.0,1.149718,-0.002833,0.024178,0.001997,0.267765,0.017264,0.960392,-5.687315,6.865835,-5.699921,7.096126,4.0,0.00029887,3,443,0.33204,0.41718,0.55172,nan,0,1.0,0.95238,,,-0.01,0.00905,-0.00421,-0.02596,-0.00908,-0.00391,-0.01084
13,13312,-11.79913,353.0,0.0,0.0,1.608325,-0.003903,0.027339,0.005336,0.274602,0.080183,0.95729,-5.578069,7.46033,-5.59974,7.90422,4.0,0.00029877,4,403,0.36128,0.43645,0.51515,nan,0,0.75,0.94595,,,-0.01,0.00817,-0.00406,-0.02424,-0.00668,-0.00845,-0.00793
14,14336,-10.10823,321.33333,0.0,0.0,1.31575,-0.004822,0.024707,0.0031,0.233279,0.034145,0.959608,-4.65625,7.266052,-4.72988,7.368758,4.0,0.00029867,3,348,0.34425,0.41928,0.5,nan,0,0.66667,1.0,,,-0.01,0.00746,-0.00358,-0.02061,-0.01317,-0.00215,-0.00637
15,15360,-11.2266,275.75,0.0,0.0,1.359002,-0.002961,0.017359,0.003272,0.306771,0.044503,0.968222,-4.793925,7.028889,-4.666863,7.163185,4.0,0.00029857,4,405,0.3474,0.42615,0.45,nan,0,1.0,1.0,,,-0.01,0.01028,-0.00285,-0.01727,-0.01264,-0.00659,-0.01218
16,16384,-7.24035,230.0,0.0,0.0,1.306799,-0.004057,0.025204,0.004011,0.343427,0.072056,0.947675,-4.680068,7.087056,-4.623727,6.974974,4.0,0.00029846,6,424,0.31977,0.40827,0.41304,nan,0,1.0,1.0,,,-0.01,0.00928,-0.00263,-0.01707,-0.01562,-0.00425,-0.01557
17,17408,-7.35421,186.0,0.0,0.0,1.601522,-0.003056,0.023118,0.002934,0.321798,0.024449,0.956394,-4.50571,7.287931,-4.327304,7.243465,4.0,0.00029836,6,395,0.29647,0.37605,0.36538,nan,0,1.0,1.0,,,-0.01,0.01046,-0.00126,-0.01668,-0.01482,-0.00641,-0.01569
