iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.389679,-0.008109,0.249086,0.0069,0.669212,0.089111,0.035107,0.080978,0.300109,-0.756289,1.363613,4.0,0.0003,0,696,0.28251,0.37821,0.0,nan,0,0.0,0.0,,,-0.01,0.00526,-0.01398,-0.02586,0.0,-0.0128,0.0
2,2048,nan,nan,0.0,0.0,2.343437,-0.005534,0.082219,0.002569,0.70126,0.033203,0.68068,-0.581641,1.186414,-1.287245,2.395078,4.0,0.0002999,0,717,0.23898,0.33524,0.0,nan,0,0.0,0.0,,,-0.01,0.00496,-0.01407,-0.02181,0.0,-0.00086,0.0
3,3072,nan,nan,0.0,0.0,2.289415,-0.004589,0.038934,0.005239,0.417493,0.077009,0.867022,-1.216606,2.357648,-1.785082,3.438365,4.0,0.0002998,0,715,0.23437,0.32709,0.0,nan,0,0.0,0.0,,,-0.01,0.00439,-0.01022,-0.02122,-0.00071,-0.00062,0.0
4,4096,-19.94349,450.0,0.0,0.0,2.256127,-0.004608,0.029236,0.002562,0.304789,0.020508,0.924873,-1.796323,3.367126,-2.330278,4.30441,4.0,0.00029969,8,709,0.23271,0.32714,1.0,nan,0,0.0,0.99649,,,-0.01,0.0055,-0.00951,-0.02284,-0.00071,-0.00811,0.0
5,5120,nan,nan,0.0,0.0,2.267711,-0.006659,0.017488,0.00386,0.283505,0.043562,0.945253,-2.317623,4.374866,-2.90524,5.473966,4.0,0.00029959,0,662,0.24391,0.33108,1.0,nan,0,0.0,0.0,,,-0.01,0.00493,-0.00702,-0.02168,-0.00035,-0.00275,0.0
6,6144,nan,nan,0.0,0.0,1.970473,-0.003956,0.028617,0.002507,0.230165,0.023891,0.959219,-2.735245,5.497064,-3.257818,6.247523,4.0,0.00029949,0,757,0.24077,0.33435,1.0,nan,0,0.0,0.0,,,-0.01,0.00459,-0.005,-0.01873,-0.00702,-0.00106,0.0
7,7168,-16.22229,350.0,0.0,0.0,1.211514,-0.005674,0.030796,0.00436,0.305085,0.075544,0.961739,-3.662328,6.190872,-4.01435,6.707925,4.0,0.00029939,1,884,0.25289,0.35558,0.88889,nan,0,1.0,0.96154,,,-0.01,0.0048,-0.0098,-0.02504,-0.00483,-0.00175,-0.00345
8,8192,-15.17999,450.0,0.0,0.0,2.129924,-0.00446,0.008706,0.00344,0.282514,0.030971,0.975527,-3.629063,6.650141,-4.023453,7.656025,4.0,0.00029928,7,720,0.22548,0.30246,0.9375,nan,0,0.14286,0.98291,,,-0.01,0.00569,-0.00255,-0.02367,-0.00084,-0.0074,0.0
9,9216,nan,nan,0.0,0.0,1.760573,-0.004036,0.0121,0.002809,0.304228,0.024693,0.980798,-3.519413,7.699368,-3.937603,8.504348,4.0,0.00029918,0,774,0.21112,0.30088,0.9375,nan,0,0.0,0.0,,,-0.01,0.00416,-0.0054,-0.02371,-0.00454,-0.0001,0.0
10,10240,-14.79148,450.0,0.0,0.0,1.125764,-0.004328,0.020731,0.002414,0.221838,0.039655,0.975767,-3.766306,8.258467,-4.177367,8.748235,4.0,0.00029908,1,902,0.22197,0.31922,0.94118,nan,0,0.0,0.91304,,,-0.01,0.00386,-0.00617,-0.03033,-0.00661,-0.00232,0.0
11,11264,-13.78934,448.14286,0.0,0.0,1.496053,-0.004211,0.016268,0.002684,0.255944,0.029227,0.977767,-5.016137,8.471959,-5.20447,9.096462,4.0,0.00029898,7,803,0.24723,0.32388,0.91667,nan,0,0.28571,0.93243,,,-0.01,0.00779,-0.00495,-0.02824,-0.00247,-0.01017,-0.00282
12,12288,-8.49888,166.5,0.0,0.0,1.455936,-0.002595,0.07555,0.003597,0.342298,0.047503,0.903913,-5.702677,9.266144,-5.898609,9.135509,4.0,0.00029887,4,802,0.25,0.34805,0.78571,nan,0,1.0,0.96875,,,-0.01,0.00708,-0.00375,-0.02094,-0.01646,-0.00449,-0.01161
13,13312,nan,nan,0.0,0.0,1.278837,-0.00634,0.018556,0.003933,0.271919,0.047433,0.973507,-5.139118,8.881686,-5.45739,9.513515,4.0,0.00029877,0,739,0.24059,0.32392,0.78571,nan,0,0.0,0.0,,,-0.01,0.00528,-0.00369,-0.03281,-0.00381,-0.00067,0.0
14,14336,-12.58224,357.5,0.0,0.0,1.050388,-0.004594,0.01616,0.00241,0.217845,0.020054,0.976434,-5.070373,8.88791,-5.335292,9.252796,4.0,0.00029867,2,906,0.27324,0.35599,0.76667,nan,0,0.5,0.86364,,,-0.01,0.00503,-0.0079,-0.03652,-0.00692,-0.00126,-0.00376
15,15360,-14.89693,450.0,0.0,0.0,1.45634,-0.004886,0.028213,0.00275,0.221243,0.026786,0.962373,-5.538636,9.073556,-5.916683,9.41139,4.0,0.00029857,3,823,0.23965,0.31886,0.78788,nan,0,0.33333,1.0,,,-0.01,0.00751,-0.00277,-0.02618,-0.00444,-0.00329,0.0
16,16384,-11.78105,450.0,0.0,0.0,1.595159,-0.005341,0.006271,0.004057,0.242154,0.041469,0.986578,-6.546986,9.052837,-6.839359,9.774424,4.0,0.00029846,3,798,0.24713,0.31669,0.80556,nan,0,0.66667,0.97436,,,-0.01,0.00537,-0.00267,-0.02739,-0.00033,-0.00653,0.0
17,17408,nan,nan,0.0,0.0,1.462434,-0.004373,0.008354,0.004592,0.242148,0.055001,0.984784,-6.586383,9.479043,-6.902009,10.195998,4.0,0.00029836,0,848,0.26295,0.33745,0.80556,nan,0,0.0,0.0,,,-0.01,0.00408,-0.00283,-0.02624,-0.00133,-0.00341,0.0
18,18432,-12.84746,450.0,0.0,0.0,1.730567,-0.006051,0.005906,0.003822,0.286684,0.05671,0.988287,-6.871809,10.506505,-7.104649,11.316306,4.0,0.00029826,5,778,0.28898,0.36556,0.82927,nan,0,0.6,0.91489,,,-0.01,0.00505,-0.00238,-0.02469,-0.00092,-0.01101,0.0
19,19456,-17.57393,450.0,0.0,0.0,1.938133,-0.006199,0.004821,0.00456,0.293991,0.055036,0.9914,-6.430413,12.156857,-6.766265,12.998701,4.0,0.00029816,3,755,0.25341,0.30979,0.84091,nan,0,0.0,0.90909,,,-0.01,0.00438,-0.00175,-0.02605,0.00041,-0.00986,0.0
20,20480,nan,nan,0.0,0.0,1.85264,-0.00574,0.004454,0.004026,0.299453,0.03683,0.991775,-6.002635,13.265544,-6.449168,14.227838,4.0,0.00029805,0,779,0.27622,0.34444,0.84091,nan,0,0.0,0.0,,,-0.01,0.00281,-0.00173,-0.02484,-0.00011,-0.00794,0.0
