iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.99698,-0.01537,0.143631,0.007578,1445,-0.01,0.00288,-0.03307,0.00766,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.999102,-0.006161,0.090258,0.001269,1558,-0.01,0.00386,-0.02294,0.00788,-0.00361,0.0
3,3072,-25.97966,347.0,0.0,0.0,1.974777,-0.002114,8.519409,0.001908,1788,-0.01,0.00381,-0.02223,0.00603,-0.1041,-0.00123
4,4096,-16.73591,443.4,0.0,0.0,1.955082,-0.001322,3.684395,0.000803,1659,-0.01,0.00586,-0.0162,0.00644,-0.03959,-0.00068
5,5120,-19.99819,187.83333,0.0,0.0,1.972895,-0.00051,14.123959,0.000545,1756,-0.01,0.00637,-0.01313,0.00615,-0.16145,-0.00215
6,6144,-20.67926,241.66667,0.0,0.0,1.973405,-0.052693,8.617289,0.00093,2060,-0.01,0.00579,-0.01014,0.0058,-0.12821,-0.0013
7,7168,-17.16157,232.5,0.0,0.0,1.970539,-0.002098,2.032875,0.000661,1859,-0.01,0.00611,-0.01393,0.00673,-0.03042,-0.00229
8,8192,-16.47485,177.8,0.0,0.0,1.969084,-0.001769,7.743819,0.001173,1778,-0.01,0.00558,-0.01128,0.00538,-0.11238,-0.00183
9,9216,-11.94401,198.2,0.0,0.0,1.954906,-0.003319,5.926848,0.002097,1905,-0.01,0.00685,-0.01326,0.00562,-0.07759,-0.002
10,10240,-15.71068,172.28571,0.0,0.0,1.930995,-0.000943,11.780201,0.002295,1671,-0.01,0.00573,-0.01471,0.00679,-0.14805,-0.00237
11,11264,-18.94107,148.0,0.0,0.0,1.91721,-0.054836,5.276716,0.001773,1899,-0.01,0.00716,-0.01318,0.00483,-0.07409,-0.0012
12,12288,-16.87254,169.8,0.0,0.0,1.878797,-0.003801,8.915827,0.002542,2247,-0.01,0.00713,-0.01451,0.00512,-0.12082,-0.00253
13,13312,-13.91538,223.8,0.0,0.0,1.879994,0.096853,5.960984,0.001199,1775,-0.01,0.0073,-0.01259,0.00592,-0.07393,-0.00187
14,14336,-13.4525,201.85714,0.0,0.0,1.90728,-0.001953,4.381215,0.001543,1671,-0.01,0.00737,-0.01142,0.00546,-0.07698,-0.00234
15,15360,-10.61993,173.875,0.0,0.0,1.896915,-0.084945,5.38375,0.00252,1492,-0.01,0.0072,-0.01059,0.00566,-0.10084,-0.00315
16,16384,-13.99468,160.5,0.0,0.0,1.914234,-0.0015,6.30172,0.000845,1734,-0.01,0.00616,-0.00985,0.00543,-0.08241,-0.00155
17,17408,-14.13242,205.5,0.0,0.0,1.890651,-0.002062,5.079541,0.001396,1871,-0.01,0.00742,-0.01023,0.00512,-0.08443,-0.00246
18,18432,-14.95576,135.2,0.0,0.0,1.936282,-0.062919,5.880339,0.000913,1701,-0.01,0.00841,-0.00629,0.00573,-0.10915,-0.00188
19,19456,-18.28239,242.33333,0.0,0.0,1.900068,0.118894,18.474726,0.001937,1865,-0.01,0.00524,-0.0112,0.00475,-0.18077,-0.00262
20,20480,-18.52143,191.5,0.0,0.0,1.927149,-0.166758,5.894735,0.002015,2033,-0.01,0.00672,-0.01135,0.00495,-0.06633,-0.0018
21,21504,-29.71272,169.0,0.0,0.0,1.82881,-0.001682,6.768929,0.000998,2044,-0.01,0.00443,-0.01484,0.00574,-0.08031,-0.00047
22,22528,-11.36023,294.5,0.0,0.0,1.837835,-0.001194,5.048296,0.001091,2237,-0.01,0.00692,-0.01485,0.00481,-0.07018,-0.00192
23,23552,-10.62543,365.75,0.0,0.0,1.819931,-0.052466,4.490212,0.00163,2203,-0.01,0.00651,-0.00981,0.00483,-0.07292,-0.00101
24,24576,-12.9082,252.4,0.0,0.0,1.796062,-0.001205,5.048096,0.000661,1966,-0.01,0.0057,-0.00929,0.00491,-0.08062,-0.00164
25,25600,-11.23345,203.2,0.0,0.0,1.772342,-0.001811,3.055334,0.001138,2196,-0.01,0.00603,-0.00961,0.00475,-0.05609,-0.00289
26,26624,-12.63676,248.0,0.0,0.0,1.813572,-0.084315,4.823984,0.00322,2104,-0.01,0.00548,-0.00729,0.00429,-0.07967,-0.00186
27,27648,-10.90043,159.0,0.0,0.0,1.712725,-0.00168,4.130509,0.001003,1951,-0.01,0.00676,-0.00571,0.00473,-0.08563,-0.0025
28,28672,-10.48136,137.0,0.0,0.0,1.690446,-0.001469,8.297413,0.000708,2495,-0.01,0.00722,-0.00742,0.00304,-0.13519,-0.00231
29,29696,-11.17288,175.25,0.0,0.0,1.701288,-0.005041,2.671264,0.001283,2632,-0.01,0.00716,-0.00597,0.00456,-0.0528,-0.00265
30,30720,-8.24235,288.66667,0.0,0.0,1.704843,-0.060593,1.742822,0.001274,1935,-0.01,0.00983,-0.0032,0.00552,-0.04214,-0.00243
31,31744,-8.53895,142.25,0.0,0.0,1.697069,-0.030378,6.720471,0.001852,1816,-0.01,0.00917,-0.00396,0.00483,-0.14816,-0.00352
32,32768,-10.50035,117.16667,0.0,0.0,1.733598,0.025291,6.627357,0.000745,2019,-0.01,0.00833,-0.00394,0.00495,-0.12355,-0.0029
33,33792,-13.02252,198.71429,0.0,0.0,1.717961,0.03899,5.504218,0.000739,2046,-0.01,0.00706,-0.00545,0.00529,-0.11279,-0.00284
34,34816,-10.14824,156.66667,0.0,0.0,1.739687,0.000147,9.343742,0.000502,1981,-0.01,0.00782,-0.00287,0.00479,-0.15704,-0.00291
35,35840,-14.40864,128.57143,0.0,0.0,1.752225,-0.001451,5.767428,0.000951,1952,-0.01,0.00879,-0.00664,0.00472,-0.10641,-0.00309
36,36864,-10.7511,167.22222,0.0,0.0,1.765036,0.029728,6.696193,0.003586,1906,-0.01,0.00874,-0.00329,0.00554,-0.13934,-0.00345
37,37888,-9.97263,110.11111,0.0,0.0,1.829098,-0.018362,4.034079,0.000615,1744,-0.01,0.00887,-0.00381,0.0057,-0.09195,-0.00341
38,38912,-12.48432,110.5,0.0,0.0,1.755436,-0.001366,6.296578,0.000295,1912,-0.01,0.00798,-0.00463,0.00549,-0.12817,-0.0029
39,39936,-8.63921,152.5,0.0,0.0,1.727802,0.011963,3.669238,0.000962,1763,-0.01,0.00951,-0.00475,0.00582,-0.07562,-0.00304
40,40960,-9.37447,119.6,0.0,0.0,1.702142,0.058895,9.917145,0.002072,1887,-0.01,0.00995,-0.00313,0.00498,-0.16192,-0.00434
41,41984,-9.82593,98.66667,0.0,0.0,1.644203,-0.001668,4.664693,0.000878,1776,-0.01,0.00971,-0.00371,0.00549,-0.11532,-0.00373
42,43008,-12.81859,100.2,0.0,0.0,1.480073,0.072163,8.020326,0.001434,2084,-0.01,0.00709,-0.00535,0.00557,-0.11741,-0.00247
43,44032,-9.23672,238.0,0.0,0.0,1.500435,-0.000382,4.269992,0.000395,2251,-0.01,0.00744,-0.0072,0.00511,-0.0768,-0.00213
44,45056,-14.76927,153.25,0.0,0.0,1.50295,0.015488,4.523316,0.000533,2364,-0.01,0.00727,-0.00731,0.00407,-0.0907,-0.00234
45,46080,-9.84072,188.7,0.0,0.0,1.598571,-0.103239,6.032096,0.000561,1809,-0.01,0.00843,-0.00183,0.00575,-0.13045,-0.00319
46,47104,-9.86019,110.77778,0.0,0.0,1.593144,-0.049543,4.750658,0.000819,2010,-0.01,0.00876,-0.00045,0.00469,-0.12552,-0.00434
47,48128,-6.91348,123.55556,0.0,0.0,1.586998,-0.002509,6.289988,0.001919,1982,-0.01,0.00962,0.00031,0.00522,-0.13221,-0.00401
48,49152,-12.4456,105.91667,0.0,0.0,1.598819,0.026721,7.506322,0.003571,1737,-0.01,0.00987,-0.00125,0.00647,-0.17252,-0.00518
49,50176,-8.11842,84.8,0.0,0.0,1.605518,-0.001215,5.796913,0.000675,1864,-0.01,0.00942,0.00015,0.00578,-0.10148,-0.00204
50,51200,-9.10612,143.66667,0.0,0.0,1.613363,0.005671,2.539263,0.000724,2221,-0.01,0.00871,-0.00235,0.00464,-0.10127,-0.00314
51,52224,-6.31715,112.0,0.0,0.0,1.586795,-0.024807,4.647552,0.001703,1872,-0.01,0.00961,-0.00242,0.00505,-0.13173,-0.00429
52,53248,-7.46952,160.33333,0.11111,0.01,1.651789,0.047669,8.881437,0.00065,1923,-0.01,0.00923,-0.0026,0.00549,-0.05094,0.02172
53,54272,-6.16108,103.16667,0.0,0.01,1.623998,-0.00919,2.867575,0.000643,2222,-0.01,0.00918,-0.00256,0.00475,-0.09534,-0.00316
54,55296,-7.56543,111.42857,0.0,0.01,1.607168,-0.003719,3.006423,0.001236,2134,-0.01,0.00895,-0.00309,0.00581,-0.08172,-0.0035
55,56320,-6.16128,166.33333,0.0,0.01,1.583106,-0.001906,2.039424,0.002784,2341,-0.01,0.00812,-0.00373,0.00494,-0.08932,-0.00325
56,57344,-7.11867,221.75,0.0,0.01,1.571085,-0.002658,1.168754,0.001127,2905,-0.01,0.0081,-0.00328,0.00471,-0.05333,-0.00243
57,58368,-5.73793,180.25,0.0,0.01,1.617027,-0.001534,1.367022,0.002191,2787,-0.01,0.0079,-0.00111,0.00451,-0.06926,-0.00362
58,59392,-7.28912,334.66667,0.0,0.01,1.638155,0.024247,0.626596,0.001981,3087,-0.01,0.00609,-0.00506,0.00403,-0.04088,-0.00183
59,60416,-5.07399,300.0,0.0,0.01,1.637586,-0.001872,1.306402,0.000895,2856,-0.01,0.00698,-0.00282,0.00461,-0.0521,-0.0024
60,61440,-3.99894,403.5,0.0,0.01,1.658399,0.001153,0.603802,0.00279,3478,-0.01,0.00501,-0.00453,0.0041,-0.02537,-0.00099
61,62464,-4.21264,331.0,0.0,0.01,1.63038,0.007279,0.728311,0.004465,3628,-0.01,0.00211,-0.0075,0.00392,-0.02109,-0.00116
62,63488,-2.45278,450.0,0.0,0.01,1.64918,-0.096602,0.310396,0.004636,2799,-0.01,0.00435,-0.0063,0.00452,-0.01344,0.0
63,64512,-3.12975,450.0,0.0,0.01,1.671509,-0.005035,0.258992,0.006441,3164,-0.01,0.00584,-0.00383,0.00332,-0.01556,0.0
64,65536,-2.7777,450.0,0.0,0.01,1.687108,-0.001329,0.155977,0.004673,4239,-0.01,0.00305,-0.00534,0.00178,-0.0075,0.0
65,66560,-2.74049,450.0,0.0,0.01,1.659361,0.02537,0.126199,0.008403,2957,-0.01,0.00405,-0.00426,0.00398,-0.00494,0.0
66,67584,-2.52654,450.0,0.0,0.01,1.625018,-0.003934,0.124318,0.004687,2793,-0.01,0.00483,-0.00256,0.00514,-0.01778,0.0
67,68608,-1.94351,450.0,0.0,0.01,1.58112,-0.04505,0.083154,0.00364,3669,-0.01,0.00183,-0.00648,0.00276,-0.01489,0.0
68,69632,-2.73508,450.0,0.0,0.01,1.597711,-0.101493,0.049833,0.005813,3965,-0.01,0.00381,-0.00563,0.00238,-0.00633,0.0
69,70656,-2.67793,450.0,0.0,0.01,1.648273,-0.006062,0.098576,0.005592,2874,-0.01,0.00509,-0.0021,0.00366,-0.01027,0.0
70,71680,-2.39304,450.0,0.0,0.01,1.644499,-0.013662,0.097503,0.006244,2856,-0.01,0.00549,-0.00104,0.00384,-0.01473,0.0
71,72704,-2.52318,450.0,0.0,0.01,1.524497,-0.08074,0.042289,0.004077,3231,-0.01,0.00187,-0.00291,0.00182,-0.00541,0.0
72,73728,-2.12653,450.0,0.0,0.01,1.547185,0.007246,0.042468,0.003032,2836,-0.01,0.00469,-0.00202,0.0027,-0.00545,0.0
73,74752,-2.08398,450.0,0.0,0.01,1.622023,-0.004987,0.05488,0.005722,2553,-0.01,0.00566,0.00081,0.00393,-0.00792,0.0
74,75776,15.04297,297.5,0.5,0.02,1.582557,0.040756,20.665983,0.004221,3463,-0.01,0.00476,-0.00128,0.00288,-0.00669,0.10469
75,76800,-1.74856,450.0,0.0,0.02,1.586657,-0.005608,0.289707,0.001987,3579,-0.01,0.00355,-0.00122,0.00269,-0.01116,0.0
76,77824,-1.64112,450.0,0.0,0.02,1.628128,0.094376,0.128092,0.009774,2891,-0.01,0.00468,-0.00062,0.00481,-0.00261,0.0
77,78848,32.23436,226.33333,0.66667,0.04,1.605943,0.001733,48.480591,0.003226,2694,-0.01,0.00485,-0.00071,0.00422,-0.00343,0.20375
78,79872,15.08358,290.75,0.5,0.06,1.587008,0.033322,20.7963,0.001902,2267,-0.01,0.00579,-0.00126,0.00476,0.00021,0.11909
79,80896,9.78268,324.6,0.2,0.07,1.613636,-0.110992,32.465859,0.001188,2167,-0.01,0.00658,2e-05,0.00561,-0.01687,0.10074
80,81920,1.49276,273.66667,0.33333,0.08,1.66547,-0.006775,8.381016,0.001972,2804,-0.01,0.00573,-0.00123,0.00343,-0.02609,0.03685
81,82944,13.76029,160.5,0.5,0.09,1.692775,-0.000143,19.088239,0.001015,2958,-0.01,0.0053,-0.00216,0.00401,-0.0142,0.0825
82,83968,3.03545,390.0,0.2,0.09,1.709834,-0.000395,11.096318,0.000875,2850,-0.01,0.00644,-0.00154,0.00493,-0.00529,0.05525
83,84992,18.56455,254.33333,0.66667,0.11,1.716958,0.048953,17.371871,0.002733,2455,-0.01,0.00647,-0.00181,0.00494,-0.00395,0.10801
84,86016,-1.75597,450.0,0.0,0.11,1.728946,0.018192,1.035532,0.002793,2687,-0.01,0.00397,-0.00236,0.00447,-0.0042,0.0
85,87040,19.20383,307.5,0.5,0.12,1.727592,-0.00139,13.215533,0.002131,2504,-0.01,0.00275,-0.00138,0.00531,-0.00241,0.08336
86,88064,-1.18318,450.0,0.0,0.12,1.696177,-0.001828,0.996913,0.001415,2476,-0.01,0.00422,-0.00423,0.00552,-0.0024,0.0
87,89088,-2.71927,450.0,0.0,0.12,1.705456,-0.017338,0.678855,0.00171,2062,-0.01,0.00355,-0.00439,0.00542,-0.00423,0.0
88,90112,-2.11908,450.0,0.0,0.12,1.767731,0.106124,0.641441,0.003719,2455,-0.01,0.00415,-0.00203,0.00481,-0.00599,0.0
89,91136,-1.5239,450.0,0.0,0.12,1.673895,-0.019002,0.413588,0.005894,2656,-0.01,0.0042,-0.00097,0.00436,-0.00433,0.0
90,92160,-1.8904,450.0,0.0,0.12,1.77862,-0.013048,0.147983,0.00473,2318,-0.01,0.00485,-0.0014,0.00592,-0.00233,0.0
91,93184,-1.02482,450.0,0.0,0.12,1.754177,-0.002452,0.207681,0.005013,2392,-0.01,0.00401,-0.00114,0.00478,-0.00433,0.0
92,94208,-2.96647,430.0,0.0,0.12,1.770747,-0.001875,0.83929,0.002624,2272,-0.01,0.00576,-0.00205,0.00477,-0.00785,-0.00049
93,95232,-0.88057,450.0,0.0,0.12,1.794745,-0.001433,2.742051,0.003029,2336,-0.01,0.00408,-0.00256,0.00685,-0.026,0.0
94,96256,-5.89174,450.0,0.0,0.12,1.803642,-0.007349,0.084224,0.005767,2198,-0.01,0.00287,-0.00331,0.00681,-0.00055,0.0
95,97280,-1.23989,450.0,0.0,0.12,1.813142,-0.004608,0.081346,0.00756,1823,-0.01,0.00463,-0.00199,0.00637,-0.00088,0.0
