iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,59.06891,104.0,1.0,1.0,1.702966,-0.003143,14.904376,0.002974,1866,0.1365,-0.01,0.00839,0.00156,0.0066,-0.03355,0.06078
2,2048,29.56867,175.16667,1.0,1.0,1.709514,-0.001457,11.983655,0.002113,2259,0.15512,-0.01,0.00663,-0.00152,0.0049,-0.00296,0.26805
3,3072,30.48316,156.85714,1.0,1.0,1.679357,-0.000687,14.640921,0.001183,2094,0.1468,-0.01,0.00827,-0.00017,0.00527,0.00113,0.28172
4,4096,39.91088,122.16667,1.0,1.0,1.692772,0.053335,18.473105,0.001554,2283,0.15216,-0.01,0.00759,-0.00276,0.00498,-0.02891,0.3304
5,5120,28.82659,213.83333,1.0,1.0,1.7144,-5.9e-05,12.583938,0.000975,2265,0.1561,-0.01,0.00682,-0.00137,0.00544,0.00123,0.2684
6,6144,30.9834,182.83333,0.83333,0.96875,1.59988,0.17618,20.244236,0.000614,2202,0.15402,-0.01,0.00701,-0.0004,0.00589,0.00235,0.2439
7,7168,35.69292,133.0,0.85714,0.94872,1.69503,-0.000515,15.687432,0.001416,1947,0.14441,-0.01,0.00765,0.00055,0.00508,-0.00259,0.2834
8,8192,32.93819,193.0,0.85714,0.93478,1.707905,-0.000316,17.654961,0.000626,1988,0.14377,-0.01,0.00712,-0.00177,0.00587,0.00228,0.27094
9,9216,39.29417,150.66667,1.0,0.94231,1.684943,-0.000321,17.801,0.00087,1911,0.14417,-0.01,0.00691,0.001,0.0056,-0.02756,0.28667
10,10240,25.03635,143.5,1.0,0.94643,1.660024,0.000305,15.242816,0.000831,2242,0.15145,-0.01,0.00679,0.00044,0.00557,-0.05646,0.15862
11,11264,24.69677,207.66667,1.0,0.95161,1.692898,-0.001053,18.612728,0.000368,2021,0.14224,-0.01,0.00733,0.00018,0.00519,-0.02209,0.20367
12,12288,34.32554,157.71429,1.0,0.95652,1.703243,-0.008286,15.277812,0.000899,2188,0.13852,-0.01,0.0065,0.00149,0.00526,-0.04659,0.32483
13,13312,51.40802,140.33333,1.0,0.95833,1.713854,-0.017615,11.056214,0.001958,2560,0.16542,-0.01,0.00632,-0.00758,0.00461,0.00382,0.24019
14,14336,23.64041,251.6,0.8,0.94805,1.717232,-0.002288,13.724749,0.000978,2699,0.16049,-0.01,0.00613,-0.00178,0.00527,-0.02987,0.22895
15,15360,-0.46103,271.4,0.2,0.90244,1.698541,-0.032074,28.011855,0.001442,2502,0.15351,-0.01,0.00672,-0.00327,0.00519,-0.02922,0.07161
16,16384,43.51565,167.8,1.0,0.90805,1.695383,-0.000929,12.164378,0.000731,2159,0.14052,-0.01,0.00565,0.00069,0.00619,0.00454,0.2662
17,17408,25.9127,260.33333,0.66667,0.9,1.698544,-0.000445,10.423144,0.001344,2372,0.15446,-0.01,0.00551,-5e-05,0.0053,0.00273,0.13137
18,18432,34.49383,228.0,1.0,0.90426,1.679411,-0.000886,21.012682,0.0008,2275,0.15217,-0.01,0.00559,-0.00254,0.00554,-0.05727,0.18102
19,19456,16.56278,262.5,0.66667,0.89,1.631158,-0.010139,8.367108,0.001933,2140,0.1397,-0.01,0.00597,0.00144,0.00542,0.00259,0.18063
20,20480,33.01305,194.33333,1.0,0.89,1.702058,-0.000202,17.996828,0.002063,2182,0.14114,-0.01,0.00648,0.00024,0.00555,-0.03202,0.25613
21,21504,42.79483,181.0,1.0,0.89,1.725028,-0.002141,15.98933,0.000876,2367,0.14362,-0.01,0.00508,0.0018,0.0065,0.00368,0.22912
22,22528,22.8725,242.5,1.0,0.89,1.728605,-0.001672,9.306854,0.001343,2247,0.14482,-0.01,0.00595,0.00037,0.00624,-5e-05,0.15469
23,23552,22.95654,218.0,1.0,0.89,1.73216,-0.03028,17.616654,0.001878,2574,0.1638,-0.01,0.00495,-0.00359,0.00556,-0.0178,0.10772
24,24576,22.15176,312.2,0.8,0.88,1.701823,-0.000881,8.7997,0.001284,2260,0.14716,-0.01,0.00548,-4e-05,0.0053,0.00426,0.14685
25,25600,30.93727,214.5,1.0,0.88,1.666834,-0.000328,8.109238,0.00054,2203,0.14028,-0.01,0.00568,0.00043,0.00634,-5e-05,0.16673
26,26624,23.98963,240.0,1.0,0.89,1.666066,-0.061357,12.697723,0.002351,2369,0.1535,-0.01,0.00492,0.00025,0.00426,1e-05,0.17254
27,27648,15.91346,223.0,0.75,0.89,1.725043,0.004131,8.29076,0.00202,2101,0.13761,-0.01,0.00502,0.00153,0.00515,-0.02319,0.1009
28,28672,21.57748,228.4,0.6,0.87,1.698863,-0.001601,9.665221,0.002079,2213,0.142,-0.01,0.00559,0.00124,0.00561,-0.01019,0.14875
29,29696,41.43649,227.25,1.0,0.88,1.787958,0.04672,13.907359,0.002074,2185,0.14533,-0.01,0.00603,0.00303,0.00649,-0.0132,0.20901
30,30720,28.707,204.0,0.75,0.87,1.733055,0.038317,13.060162,0.001426,2240,0.14176,-0.01,0.0058,0.0009,0.00578,-0.06027,0.16
31,31744,33.42856,217.71429,1.0,0.87,1.715002,0.034958,25.685982,0.001815,2202,0.14652,-0.01,0.00654,0.00076,0.00517,0.00215,0.34469
32,32768,-22.62444,316.0,0.0,0.86,1.686806,-9.4e-05,21.590029,0.000168,2477,0.16642,-0.01,0.00701,-0.00011,0.0046,-0.10161,-0.00043
33,33792,25.56381,200.8,1.0,0.86,1.696922,-0.012536,16.613425,0.001223,2494,0.15592,-0.01,0.00616,0.0,0.00521,-0.07867,0.23288
34,34816,11.332,241.14286,0.71429,0.84,1.713991,0.000621,22.917084,0.00188,2613,0.16182,-0.01,0.00631,-0.00031,0.00585,-0.02903,0.28527
35,35840,15.31153,278.0,0.66667,0.83,1.719259,-0.046538,11.503654,0.001147,2244,0.16023,-0.01,0.00638,0.00065,0.00542,-0.01537,0.08288
36,36864,36.29127,186.2,1.0,0.84,1.737305,0.094902,9.462565,0.003983,2350,0.14986,-0.01,0.00582,0.00028,0.00512,0.00391,0.25436
37,37888,24.78822,181.8,0.8,0.86,1.744127,-0.012354,11.686083,0.001499,2214,0.15155,-0.01,0.00668,0.00056,0.0066,-0.01386,0.17168
38,38912,33.78076,230.0,0.75,0.86,1.72051,-0.001306,14.710311,0.001339,2244,0.15091,-0.01,0.00574,-0.00076,0.00477,-0.01092,0.19511
39,39936,30.88372,247.66667,0.83333,0.86,1.723426,-0.000532,11.909564,0.000554,2309,0.15236,-0.01,0.00593,0.00017,0.00514,0.0017,0.26238
40,40960,41.07365,149.5,1.0,0.86,1.623743,0.033599,15.176947,0.000582,2370,0.15016,-0.01,0.00577,-0.00066,0.00497,-0.03496,0.11493
41,41984,6.40877,326.6,0.6,0.85,1.64104,-0.001892,7.761487,0.001219,2216,0.15043,-0.01,0.00665,7e-05,0.00507,0.00068,0.09128
42,43008,27.63378,177.5,0.75,0.85,1.624482,-0.002362,12.133413,0.002153,2018,0.14707,-0.01,0.00554,0.00219,0.00507,-0.0112,0.14274
43,44032,31.5496,245.71429,0.85714,0.84,1.68925,-0.06579,23.96713,0.001833,2095,0.14683,-0.01,0.0079,0.00063,0.00448,0.00407,0.28249
44,45056,35.71572,188.0,1.0,0.84,1.77794,-0.000961,20.668833,0.000892,2235,0.15831,-0.01,0.00467,-0.00082,0.00498,0.00244,0.09338
