iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,59.06891,104.0,1.0,1.0,1.713779,-0.001811,15.082489,0.000972,1759,0.1365,-0.01,0.00839,0.00156,0.0066,-0.03355,0.06078
2,2048,31.29668,159.57143,1.0,1.0,1.71261,-0.001076,12.856989,0.000437,1963,0.14628,-0.01,0.00732,7e-05,0.0058,-0.00442,0.30036
3,3072,18.8569,145.16667,0.66667,0.85714,1.660771,-0.001323,24.556498,0.000556,2301,0.1568,-0.01,0.00809,-0.0018,0.00484,-0.0378,0.18856
4,4096,17.23088,191.0,0.71429,0.80952,1.651683,-0.149298,22.376344,0.000694,1912,0.13757,-0.01,0.0081,0.00062,0.00549,-0.03018,0.20241
5,5120,40.14909,127.5,1.0,0.85185,1.621395,0.094132,17.427573,0.000256,2039,0.14583,-0.01,0.00788,0.00272,0.00532,-0.01009,0.29509
6,6144,19.77732,136.42857,0.71429,0.82353,1.656709,-0.040427,19.008579,0.000221,2179,0.14164,-0.01,0.00787,-0.00064,0.00557,-0.03611,0.22081
7,7168,16.87648,203.42857,1.0,0.85366,1.626247,-0.024164,23.24362,0.002422,2211,0.14327,-0.01,0.00976,-0.00073,0.00564,-0.06328,0.23457
8,8192,29.08793,147.83333,0.83333,0.85106,1.641271,-0.0485,21.958351,0.000235,2133,0.14548,-0.01,0.0097,-0.00189,0.00523,-0.06916,0.24571
9,9216,30.70237,129.33333,1.0,0.86792,1.62405,-0.086437,16.354882,0.000726,2098,0.14164,-0.01,0.00826,-0.00093,0.00503,-0.0129,0.2973
10,10240,29.71315,178.42857,0.85714,0.86667,1.676981,-0.011977,15.499715,0.000506,1924,0.1312,-0.01,0.00775,0.00098,0.00536,-0.04347,0.26588
11,11264,37.88703,136.8,1.0,0.87692,1.641651,-0.000931,25.202862,0.00019,2268,0.14851,-0.01,0.00814,-0.00054,0.00507,-0.01981,0.29447
12,12288,28.43206,187.33333,0.83333,0.87324,1.683797,-0.000143,15.701447,0.000321,2262,0.14316,-0.01,0.00789,-0.00223,0.00517,-0.0129,0.28409
13,13312,36.87706,160.28571,0.85714,0.87179,1.711915,-0.000133,20.257515,0.00052,2021,0.14015,-0.01,0.00789,0.00141,0.00521,-0.03097,0.31925
14,14336,19.78039,187.85714,0.85714,0.87059,1.635531,-0.044754,26.554376,0.000307,2017,0.14446,-0.01,0.00858,-0.00092,0.0054,-0.08399,0.24658
