iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.094077,-0.008202,0.456093,0.007729,1646,0.13839,0.0,0.0,-0.01,0.00393,-0.02415,-0.01854,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.08902,-0.001212,0.342672,0.000563,1746,0.13849,0.0,0.0,-0.01,0.00494,-0.02022,-0.01628,-0.00307,0.0
3,3072,-23.39381,289.0,0.0,0.0,2.008843,-0.011686,2.101424,0.003999,2059,0.1651,1.0,0.97403,-0.01,0.00409,-0.01993,-0.01755,-0.03353,-0.00038
4,4096,-22.94565,441.71429,0.0,0.0,2.061443,0.059228,4.688667,0.002398,2003,0.14928,0.42857,0.99504,-0.01,0.00641,-0.01736,-0.0187,-0.03578,-0.00037
5,5120,-28.68627,233.0,0.0,0.0,2.042463,0.038296,16.133622,0.005739,2056,0.1526,1.0,0.96947,-0.01,0.00602,-0.01166,-0.01217,-0.16192,-0.00111
6,6144,-26.09266,261.66667,0.0,0.0,2.023679,-0.001153,9.753517,0.000718,2259,0.15031,1.0,1.0,-0.01,0.00551,-0.01508,-0.0134,-0.11038,-0.00127
7,7168,-24.33936,158.5,0.0,0.0,1.951433,-0.001905,12.902975,0.001631,3266,0.16944,1.0,0.98148,-0.01,0.00528,-0.01848,-0.0154,-0.14811,-0.00128
8,8192,-13.40159,428.66667,0.0,0.0,1.952517,-0.004958,4.947307,0.004092,3137,0.15024,0.66667,0.9779,-0.01,0.00774,-0.01655,-0.01521,-0.05855,-0.0006
9,9216,-28.10139,357.0,0.0,0.0,1.889591,-0.088849,4.559019,0.004863,2872,0.15295,1.0,1.0,-0.01,0.00604,-0.01183,-0.01326,-0.06901,-0.00055
10,10240,-25.83206,450.0,0.0,0.0,1.86483,-0.003547,1.932996,0.001692,2618,0.14951,1.0,0.9854,-0.01,0.00447,-0.01078,-0.01693,-0.02805,0.0
11,11264,-30.35658,450.0,0.0,0.0,1.824091,-0.004351,0.486391,0.002566,2366,0.15544,1.0,0.97561,-0.01,0.00524,-0.00711,-0.02437,-0.00282,0.0
12,12288,-16.86268,450.0,0.0,0.0,1.815656,-0.003105,0.215788,0.002301,2182,0.15457,0.33333,0.95763,-0.01,0.00602,-0.00635,-0.02677,-0.00021,0.0
13,13312,-13.38908,450.0,0.0,0.0,1.785084,-0.049444,0.456455,0.005356,1947,0.14015,0.0,0.97561,-0.01,0.00633,-0.0042,-0.02288,-0.00042,0.0
14,14336,-13.1543,405.75,0.0,0.0,1.792826,-0.003465,0.99796,0.004132,2103,0.13737,0.25,0.92126,-0.01,0.00649,-0.00294,-0.01989,-0.01586,-0.00037
