iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.418207,-0.009683,0.45254,0.004691,1020,0.13937,0.0,0.0,-0.01,0.00721,-0.01837,-0.02284,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.387109,-0.004229,0.41412,0.001598,1007,0.13965,0.0,0.0,-0.01,0.00762,-0.01431,-0.02055,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.423684,0.005596,1.985305,0.002037,1072,0.14232,0.0,0.0,-0.01,0.00657,-0.01267,-0.0203,-0.02097,0.0
4,4096,-19.48007,450.0,0.0,0.0,2.310012,-0.125422,0.262932,0.003083,1112,0.14477,0.125,0.99861,-0.01,0.0072,-0.01018,-0.02253,-0.00119,0.0
5,5120,nan,nan,0.0,0.0,2.394646,0.077136,0.331662,0.003479,1054,0.13989,0.0,0.0,-0.01,0.00758,-0.00744,-0.02186,-0.00035,0.0
6,6144,nan,nan,0.0,0.0,2.297515,-0.046991,0.222152,0.003202,1096,0.14731,0.0,0.0,-0.01,0.00692,-0.00631,-0.02208,-0.00171,0.0
7,7168,nan,nan,0.0,0.0,2.258285,0.002171,0.234169,0.002728,1311,0.17358,0.0,0.0,-0.01,0.00731,-0.00327,-0.02381,-0.00646,0.0
8,8192,-13.81611,450.0,0.0,0.0,2.317661,-0.005179,0.186739,0.003108,1035,0.14041,0.0,0.98993,-0.01,0.00986,-0.00284,-0.02466,1e-05,0.0
9,9216,nan,nan,0.0,0.0,2.277165,-0.004311,0.138399,0.003587,1100,0.14348,0.0,0.0,-0.01,0.00876,-0.00097,-0.02287,-0.00138,0.0
10,10240,nan,nan,0.0,0.0,2.100031,0.031617,0.160254,0.005904,1376,0.163,0.0,0.0,-0.01,0.00577,-0.00183,-0.02279,-0.00496,0.0
11,11264,-11.50057,450.0,0.0,0.0,2.180648,-0.005834,0.187658,0.003899,1315,0.15172,0.0,0.96429,-0.01,0.01026,-0.00144,-0.02743,-0.0045,0.0
12,12288,nan,nan,0.0,0.0,2.202538,-0.013229,0.100581,0.005541,1097,0.14428,0.0,0.0,-0.01,0.00885,-0.00033,-0.02033,-0.0028,0.0
13,13312,-9.70715,263.0,0.0,0.0,2.087256,-0.004536,0.296386,0.003667,1458,0.16242,1.0,1.0,-0.01,0.00877,-0.00119,-0.02851,-0.01091,-0.00042
14,14336,nan,nan,0.0,0.0,1.952975,-0.036628,2.482662,0.003404,1830,0.17616,0.0,0.0,-0.01,0.00869,-0.00153,-0.03217,-0.02742,0.0
15,15360,-11.46062,450.0,0.0,0.0,2.205173,-0.002778,1.34207,0.002466,1113,0.13577,0.14286,1.0,-0.01,0.013,-0.00012,-0.02154,-0.01255,0.0
16,16384,-17.58977,403.0,0.0,0.0,2.124174,-0.005169,0.237874,0.004248,1229,0.14328,1.0,1.0,-0.01,0.00982,-1e-05,-0.01941,-0.00187,-0.00033
17,17408,nan,nan,0.0,0.0,1.982011,-0.049468,12.341484,0.005169,1318,0.1462,0.0,0.0,-0.01,0.00971,0.00024,-0.02468,-0.15369,0.0
18,18432,-25.98301,450.0,0.0,0.0,2.065014,0.132914,3.75149,0.002481,1251,0.14379,0.85714,0.90909,-0.01,0.01201,0.00033,-0.02482,-0.01783,0.0
19,19456,nan,nan,0.0,0.0,2.07188,-0.053618,7.188917,0.00324,1210,0.14721,0.0,0.0,-0.01,0.0118,0.00041,-0.01947,-0.0868,0.0
20,20480,-17.65959,450.0,0.0,0.0,2.045613,0.025027,2.715309,0.002713,1315,0.1615,1.0,1.0,-0.01,0.01082,-0.00034,-0.02593,-0.02833,0.0
21,21504,nan,nan,0.0,0.0,2.045488,-0.000678,4.830947,0.00116,1388,0.17091,0.0,0.0,-0.01,0.00971,-0.00024,-0.02957,-0.0467,0.0
22,22528,-26.20085,450.0,0.0,0.0,2.10373,-0.027977,2.6268,0.001873,1060,0.13631,0.85714,1.0,-0.01,0.0122,0.00034,-0.02013,-0.02768,0.0
23,23552,-33.68045,450.0,0.0,0.0,2.049552,0.029043,14.980906,0.003642,1237,0.15436,1.0,1.0,-0.01,0.01064,-0.0,-0.02283,-0.1254,0.0
