iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.758991,-0.008065,0.413707,0.006736,0.760374,0.077532,-0.105592,-0.204404,0.196495,-0.703392,0.693928,4.0,0.0003,0,722,0.11816,0.16392,0.0,nan,0,0.0,0.0,,,-0.01,0.002,-0.00272,-0.02103,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.538069,-0.002828,0.295237,0.002052,0.896748,0.004918,0.40777,-0.551617,0.365326,-0.837221,0.748952,4.0,0.0002999,0,778,0.03189,0.04494,0.0,nan,0,0.0,0.0,,,-0.01,0.00274,-0.00042,-0.00976,-0.00221,0.0
3,3072,-14.34035,342.0,0.0,0.0,1.127713,-0.004019,0.247407,0.005132,0.906066,0.061035,0.432131,-0.776366,0.468727,-1.032172,0.696989,4.0,0.0002998,1,823,0.02993,0.04969,0.0,nan,0,1.0,1.0,,,-0.01,0.00413,-0.00073,-0.00513,-0.01232,-0.00279
4,4096,-10.24407,428.57143,0.0,0.0,1.266402,-0.002504,0.264389,0.002317,0.942125,0.013881,0.514884,-1.109691,0.497987,-1.610577,0.930242,4.0,0.00029969,7,770,0.07517,0.11404,0.125,nan,0,1.0,1.0,,,-0.01,0.00635,-0.00151,-0.01978,-0.01238,-0.01548
5,5120,-7.33002,170.0,0.0,0.0,1.190581,-0.003075,0.165406,0.00264,0.427861,0.027972,0.645993,-1.65911,0.678934,-2.057882,0.989702,4.0,0.00029959,5,797,0.07762,0.11884,0.07692,nan,0,1.0,1.0,,,-0.01,0.00744,-0.00109,-0.01547,-0.01779,-0.01348
6,6144,-7.20209,171.28571,0.0,0.0,1.171875,-0.004433,0.15455,0.004108,0.35342,0.03833,0.704554,-2.051268,0.862391,-2.395592,1.208984,4.0,0.00029949,7,791,0.06937,0.10912,0.05,nan,0,1.0,1.0,,,-0.01,0.0087,-0.00122,-0.01715,-0.01505,-0.0191
7,7168,4.52257,169.57143,0.14286,0.03704,1.29786,-0.000248,2.81655,0.002599,2.607773,0.030378,0.057346,-2.369277,1.018126,-1.299892,7.198454,4.0,0.00029939,7,777,0.09436,0.14836,0.03704,0.0,1,1.0,1.0,,,-0.01,0.0111,-0.0015,-0.01477,-0.01475,0.07284
8,8192,-6.46088,161.33333,0.0,0.03333,1.257733,-0.005352,0.064611,0.004462,0.425972,0.066302,0.809981,-2.049461,2.496232,-2.043286,2.40158,4.0,0.00029928,3,728,0.09178,0.14104,0.03333,0.0,1,1.0,1.0,,,-0.01,0.00891,-0.00131,-0.01021,-0.01224,-0.00787
9,9216,3.64885,202.14286,0.14286,0.05405,1.187795,-0.000321,1.415275,0.000411,1.1251,0.0,0.229601,-1.804201,2.395825,-0.778332,7.237451,4.0,0.00029918,7,786,0.07688,0.12517,0.02703,0.0,2,1.0,1.0,,,-0.01,0.00931,-0.00104,-0.01722,-0.01404,0.07387
10,10240,-5.67918,156.8,0.0,0.04762,1.154941,-0.003683,0.089678,0.004558,0.349251,0.069685,0.790138,-0.11841,3.704066,-0.169187,3.511087,4.0,0.00029908,5,793,0.06291,0.09985,0.02381,0.0,2,1.0,1.0,,,-0.01,0.0094,-0.00093,-0.01561,-0.01757,-0.01347
11,11264,4.2911,180.0,0.14286,0.06122,1.094544,-0.000276,1.053963,0.001991,0.436219,0.013846,0.346329,0.062293,3.582452,0.985485,7.956787,4.0,0.00029898,7,804,0.08631,0.1334,0.02041,0.0,3,1.0,1.0,,,-0.01,0.0086,-0.00153,-0.01759,-0.01335,0.08259
12,12288,-5.85322,138.8,0.0,0.05556,1.078928,-0.002557,0.112616,0.00286,0.386844,0.022356,0.710672,1.361855,4.475127,1.283767,4.009129,4.0,0.00029887,5,812,0.07748,0.11858,0.01852,0.0,3,1.0,1.0,,,-0.01,0.00875,-0.00102,-0.01206,-0.00935,-0.01439
13,13312,-4.32649,288.0,0.0,0.05357,0.911004,-0.002729,0.042533,0.000906,0.282661,0.009347,0.806381,2.772612,3.190263,2.808117,3.171934,4.0,0.00029877,2,886,0.08701,0.13333,0.03571,0.0,3,1.0,1.0,,,-0.01,0.00649,-0.00121,-0.01867,-0.01357,-0.00343
14,14336,-4.90641,203.16667,0.0,0.04839,1.068995,-0.003578,0.069072,0.003109,0.432373,0.029262,0.758075,2.2543,3.527606,1.901762,3.40706,4.0,0.00029867,6,827,0.12957,0.18804,0.04839,0.0,3,1.0,1.0,,,-0.01,0.00833,-0.00221,-0.02119,-0.00854,-0.01522
15,15360,-7.7145,267.42857,0.0,0.04348,1.214912,-0.002855,0.047857,0.003558,0.386909,0.020508,0.745769,1.417111,2.867962,1.08745,2.803986,4.0,0.00029857,7,792,0.11581,0.1673,0.08696,0.0,3,0.85714,0.88235,,,-0.01,0.01004,-0.00078,-0.02025,-0.01236,-0.01072
16,16384,-5.768,144.0,0.0,0.04054,1.119193,-0.003391,0.045801,0.003824,0.313234,0.039237,0.54914,0.471921,1.801357,0.218607,1.934826,4.0,0.00029846,5,724,0.06536,0.09579,0.08108,0.0,3,1.0,1.0,,,-0.01,0.01106,-0.00012,-0.01689,-0.01091,-0.01315
17,17408,36.28634,157.28571,0.57143,0.08642,1.008868,-0.000861,2.791012,0.001563,2.026594,0.011509,0.06709,0.660967,1.780419,5.110915,13.050318,4.0,0.00029836,7,773,0.06301,0.09782,0.07407,0.0,7,0.71429,1.0,,,-0.01,0.01114,-0.00062,-0.0164,-0.00844,0.39519
18,18432,19.1851,192.33333,0.33333,0.09524,0.889369,-0.002288,0.616461,0.003859,0.467215,0.059222,0.215997,4.864451,3.794921,6.116524,7.250941,4.0,0.00029826,3,839,0.04043,0.07058,0.07143,0.0,8,0.66667,1.0,,,-0.01,0.00586,-0.00025,-0.01114,-0.01333,0.10988
19,19456,-4.51429,136.0,0.0,0.09195,0.79409,-0.001435,0.063232,0.001863,0.418979,0.015765,0.723105,7.415966,4.021713,7.193688,3.875961,4.0,0.00029816,3,903,0.04429,0.06907,0.06897,0.0,8,1.0,0.0,,,-0.01,0.00537,-0.00028,-0.01605,-0.00729,-0.01107
20,20480,10.96951,259.25,0.25,0.0989,0.745936,-0.00185,0.377262,0.000602,0.275193,0.002476,0.301445,8.043872,3.326218,8.609862,6.367643,4.0,0.00029805,4,926,0.05733,0.08471,0.07692,0.0,9,0.75,1.0,,,-0.01,0.00765,-0.00084,-0.01014,-0.00472,0.11906
21,21504,22.96417,304.4,0.4,0.11458,0.856233,-0.001337,0.693267,0.002932,0.691439,0.035296,0.296561,7.615479,4.14738,9.775903,9.223512,4.0,0.00029795,5,873,0.04926,0.075,0.09375,0.0,11,1.0,1.0,,,-0.01,0.00741,-0.00038,-0.01326,-0.0068,0.22653
22,22528,7.07019,264.16667,0.16667,0.12,0.990812,-0.001254,0.396485,0.001579,0.259086,0.011998,0.365807,8.075083,4.617726,8.840023,7.770349,4.0,0.00029785,6,827,0.05129,0.09504,0.11,0.0,12,1.0,1.0,,,-0.01,0.00962,-0.00018,-0.01272,-0.0121,0.0956
23,23552,30.85257,184.5,0.5,0.14,1.008993,-0.001435,0.581638,0.002333,0.481723,0.018171,0.310521,7.930669,4.690493,9.938823,9.322874,4.0,0.00029775,4,783,0.05717,0.09163,0.11,0.0,14,1.0,1.0,,,-0.01,0.00961,-0.00058,-0.01362,-0.00856,0.19053
24,24576,16.03882,138.42857,0.28571,0.16,0.708183,-0.002159,0.489193,0.002821,0.312928,0.016846,0.466625,11.737115,7.179647,12.541662,10.342408,4.0,0.00029764,7,712,0.05029,0.08002,0.1,0.0,16,0.85714,1.0,,,-0.01,0.01204,-4e-05,-0.01566,-0.01079,0.25168
25,25600,44.27253,152.0,0.66667,0.18,0.799202,-0.001113,0.305511,0.001323,0.345236,0.007045,0.498833,14.604989,7.778681,16.218321,9.208459,4.0,0.00029754,3,830,0.07563,0.10228,0.1,0.0,18,1.0,1.0,,,-0.01,0.00751,-0.0003,-0.01237,-0.00443,0.23244
26,26624,14.22448,295.0,0.25,0.19,0.849763,-0.001509,0.204935,0.002596,0.340802,0.0354,0.458478,18.12743,6.345568,19.383291,7.630466,4.0,0.00029744,4,809,0.07694,0.11328,0.12,0.0,19,1.0,1.0,,,-0.01,0.00902,-0.00028,-0.01456,0.00067,0.1063
27,27648,54.42543,179.6,0.8,0.22,0.865117,-0.001888,0.410563,0.001705,0.404884,0.011684,0.241779,20.536577,5.475989,23.303341,10.216412,4.0,0.00029734,5,825,0.10755,0.14508,0.13,0.0,23,0.2,1.0,,,-0.01,0.00691,-0.00081,-0.02107,-0.00232,0.45919
28,28672,9.47201,243.4,0.2,0.23,0.830708,-0.002516,0.18901,0.003171,0.570627,0.039307,0.393509,21.74057,5.524099,21.722673,7.939298,4.0,0.00029724,5,811,0.08621,0.1225,0.15,0.0,24,0.8,0.8,,,-0.01,0.00905,-0.00044,-0.01648,-0.00691,0.10846
29,29696,-4.63107,265.0,0.0,0.23,0.686832,-0.001726,0.071464,0.002365,0.616268,0.019252,0.586814,23.94573,5.329251,23.573971,5.99021,4.0,0.00029713,4,869,0.06599,0.0958,0.17,0.0,24,1.0,1.0,,,-0.01,0.00837,-7e-05,-0.0143,-0.00323,-0.00745
30,30720,20.86355,279.33333,0.33333,0.23,0.803554,-0.002943,0.119349,0.004731,0.476349,0.063756,0.400202,25.888773,4.857596,26.067989,6.915933,4.0,0.00029703,3,862,0.05594,0.07128,0.18,0.0,25,0.66667,0.0,,,-0.01,0.00495,-7e-05,-0.01423,0.00229,0.114
31,31744,26.50787,239.2,0.4,0.25,0.895393,-0.002019,0.148593,0.003743,0.421087,0.034738,0.482249,26.064714,5.29718,26.305676,8.863581,4.0,0.00029693,5,821,0.06891,0.09517,0.2,0.0,27,0.2,1.0,,,-0.01,0.00542,-0.00035,-0.01688,-0.00105,0.20936
32,32768,-6.31769,378.75,0.0,0.25,0.917983,-0.002378,0.044487,0.00258,0.464514,0.038749,0.697572,27.196978,5.848001,26.537558,6.270508,4.0,0.00029683,4,827,0.07047,0.07746,0.23,0.0,27,1.0,0.83333,,,-0.01,0.005,-0.00046,-0.01338,0.001,-0.00279
33,33792,34.01345,80.0,0.5,0.26,0.898708,-0.003204,0.103159,0.003442,0.426072,0.045166,0.565756,28.425341,6.574639,28.224854,8.421659,4.0,0.00029672,2,787,0.06876,0.08544,0.23,0.0,28,0.5,0.0,,,-0.01,0.00218,-0.00039,-0.01658,-0.00102,0.09875
34,34816,-2.62776,450.0,0.0,0.25,0.917689,-0.005007,0.011082,0.003491,0.467339,0.050432,0.928858,29.363781,6.521511,28.796265,6.3912,4.0,0.00029662,1,893,0.04779,0.05735,0.24,0.0,28,1.0,1.0,,,-0.01,0.00072,-0.00079,-0.01585,0.00261,0.0
35,35840,-10.06139,450.0,0.0,0.25,0.964059,-0.002443,0.02097,0.003539,0.509565,0.041295,0.839489,30.762125,6.298007,29.907501,6.26136,4.0,0.00029652,3,839,0.06204,0.08071,0.27,0.0,28,0.66667,1.0,,,-0.01,0.00317,-0.00039,-0.01201,-6e-05,0.0
36,36864,-2.63697,450.0,0.0,0.25,0.99562,-0.004634,0.011743,0.003478,0.474195,0.053816,0.898304,29.96958,5.971808,29.247288,5.838978,4.0,0.00029642,3,852,0.07417,0.09934,0.3,0.0,28,1.0,0.0,,,-0.01,0.00392,-2e-05,-0.0169,0.00145,0.0
37,37888,-12.54821,450.0,0.0,0.25,0.844978,-0.00356,0.013589,0.003695,0.394062,0.049316,0.844303,27.915873,5.822359,26.957172,5.392066,4.0,0.00029631,1,922,0.04824,0.06203,0.3,0.0,28,0.0,0.75,,,-0.01,0.0031,-0.00071,-0.01077,-0.00366,0.0
