iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,60.22542,85.66667,1.0,1.0,0.578424,-0.018382,22.874334,0.001445,2279,0.11931,-0.01,0.03695,0.00026,-0.00152,-0.00726,0.32618
2,2048,52.74536,85.11111,1.0,1.0,0.628955,-0.000866,37.195831,0.000598,2512,0.14185,-0.01,0.02676,9e-05,-0.00242,-0.00455,0.47713
3,3072,40.99646,157.625,0.75,0.91304,0.674024,0.000389,28.603215,0.000593,2539,0.15654,-0.01,0.01769,-0.00042,-0.00215,-0.01178,0.36343
4,4096,52.44383,81.14286,1.0,0.93333,0.610488,0.000944,31.021452,0.000709,2583,0.13227,-0.01,0.02757,-0.0001,-0.00145,-0.01119,0.39454
5,5120,39.99313,142.77778,0.77778,0.89744,0.58722,-0.000775,25.435288,0.000651,2532,0.13636,-0.01,0.03409,-0.0,-0.00148,-0.01144,0.40368
6,6144,53.13532,105.90909,0.90909,0.9,0.544655,0.000966,28.233729,0.002882,2422,0.13551,-0.01,0.04504,-6e-05,-0.00169,0.02219,0.56049
7,7168,49.63741,101.27273,0.90909,0.90164,0.532022,-0.000355,25.164957,0.00029,2398,0.12786,-0.01,0.04979,0.0,-0.00219,0.00187,0.51983
8,8192,62.51102,78.0,1.0,0.91549,0.56816,0.000969,22.832351,0.001325,2418,0.13441,-0.01,0.04669,-0.00042,-0.00208,0.0196,0.57004
9,9216,54.68064,130.16667,0.83333,0.90909,0.563634,-0.00025,15.211475,0.00072,2615,0.13447,-0.01,0.04741,-0.0004,-0.00143,0.01622,0.3054
10,10240,56.8803,116.75,0.875,0.90588,0.653988,0.001078,28.492328,0.002233,2539,0.15157,-0.01,0.03939,-0.00053,-0.00211,-0.01258,0.44855
11,11264,51.22376,170.33333,0.83333,0.9011,0.619903,0.014978,18.061496,0.000565,2563,0.15129,-0.01,0.03496,-0.00099,-0.00194,-0.01068,0.30357
12,12288,32.37494,173.33333,0.66667,0.8866,0.630022,0.049142,20.527251,0.000862,2611,0.16799,-0.01,0.03541,-0.00132,-0.00265,-0.00952,0.22926
13,13312,41.38835,141.8,0.8,0.87,0.793653,-0.042467,39.857117,0.001672,2507,0.15429,-0.01,0.04089,-0.00059,-0.00184,-0.04188,0.4433
14,14336,50.34181,118.625,0.875,0.86,0.770886,-0.001101,24.238904,0.0011,2520,0.17239,-0.01,0.02806,-0.00152,-0.00218,-0.01117,0.42065
15,15360,55.70059,83.16667,1.0,0.86,0.703441,-0.000111,14.388797,0.000759,2612,0.16201,-0.01,0.02906,-0.00122,-0.00161,0.01932,0.3567
16,16384,27.66244,181.11111,0.66667,0.85,0.672874,0.042066,24.098518,0.000452,2418,0.17031,-0.01,0.03391,-0.00096,-0.00218,-0.01201,0.29742
17,17408,55.4183,80.76923,1.0,0.87,0.672694,-0.001682,36.425839,0.001453,2297,0.1513,-0.01,0.04193,-0.00079,-0.00109,-0.00033,0.70591
18,18432,53.83285,105.58333,0.91667,0.88,0.552602,0.098426,25.420954,0.00742,2327,0.13917,-0.01,0.04923,-0.00061,-0.00139,0.0216,0.58725
19,19456,57.65583,81.0,1.0,0.88,0.604174,0.080958,21.926927,0.00759,2541,0.14215,-0.01,0.04649,-0.00045,-0.00247,-0.03083,0.49263
20,20480,46.39226,109.63636,0.90909,0.87,0.576824,-0.018496,20.134454,0.001132,2493,0.1429,-0.01,0.04574,-0.00063,-0.00189,0.00592,0.52561
21,21504,43.46311,96.42857,0.92857,0.89,0.597929,-0.012308,26.553723,0.004212,2385,0.13626,-0.01,0.04615,-0.00065,-0.00082,-0.02058,0.6837
22,22528,60.13037,73.08333,1.0,0.91,0.60946,0.058141,21.275203,0.003654,2318,0.13791,-0.01,0.05115,-0.0005,-0.001,0.02847,0.65506
23,23552,58.57705,72.36364,1.0,0.94,0.602719,0.001376,18.25302,0.002552,2305,0.14092,-0.01,0.05189,-0.00048,-0.00152,0.0003,0.59336
