iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-5.83788,81.85714,0.0,0.0,2.001844,-0.009577,0.292905,0.007277,0.779962,0.08667,0.086032,-0.028094,0.215348,-0.996007,1.133635,4.0,0.0003,7,1356,0.33405,0.42811,0.0,nan,0,1.0,1.0,0.27823,4.06257,-0.01,0.02023,-0.00861,-0.03469,-0.01384,-0.01505
2,2048,-6.52152,118.8,0.0,0.0,1.495188,-0.00571,0.20261,0.002201,0.69589,0.01532,0.513932,-1.30487,0.840704,-1.942293,1.384612,4.0,0.0002999,5,1458,0.33405,0.42862,0.0,nan,0,1.0,1.0,0.19184,5.35347,-0.01,0.00964,-0.00679,-0.02729,-0.01608,-0.01428
3,3072,-5.84126,87.0,0.0,0.0,0.993163,-0.003242,0.08633,0.000861,0.473317,0.007202,0.704746,-1.772882,0.85459,-2.106347,1.206631,4.0,0.0002998,1,1623,0.29688,0.35258,0.0,nan,0,1.0,0.66667,0.214,5.13079,-0.01,-0.01402,-0.0068,-0.01474,-0.00539,-0.00409
4,4096,-8.93917,310.0,0.0,0.0,0.894313,-0.004675,0.078953,0.002251,0.438095,0.025269,0.797953,-2.196741,1.101357,-2.597305,1.594364,4.0,0.00029969,4,1677,0.24441,0.29925,0.11765,nan,0,1.0,0.92,0.16505,6.09567,-0.01,-0.01636,-0.00724,-0.02104,-0.0065,-0.00852
5,5120,-9.40334,316.66667,0.0,0.0,1.173653,-0.005707,0.086038,0.003163,0.463951,0.045166,0.858095,-2.820911,1.709703,-3.165512,2.203006,4.0,0.00029959,6,1580,0.25662,0.32109,0.26087,nan,0,1.0,1.0,0.12821,9.05094,-0.01,-0.00221,-0.00501,-0.02644,-0.00602,-0.00683
6,6144,-7.70628,172.4,0.0,0.0,1.363877,-0.006006,0.115065,0.004138,0.574113,0.05365,0.845532,-3.342048,2.182202,-3.553835,2.55824,4.0,0.00029949,5,1476,0.2791,0.35,0.25,nan,0,1.0,0.875,0.30244,6.37841,-0.01,0.00642,-0.00363,-0.02776,-0.01127,-0.01194
7,7168,-6.63012,168.4,0.0,0.0,1.04892,-0.004293,0.080905,0.002443,0.31772,0.03833,0.864421,-3.135879,2.126683,-3.359008,2.422726,4.0,0.00029939,5,1624,0.2575,0.32318,0.21212,nan,0,1.0,1.0,0.30239,7.12407,-0.01,0.00011,-0.00097,-0.02461,-0.01504,-0.01904
8,8192,-6.44064,185.0,0.0,0.0,1.436362,-0.007155,0.088332,0.004535,0.377849,0.07196,0.875384,-4.000022,2.584438,-4.26447,3.104766,4.0,0.00029928,8,1501,0.29168,0.36434,0.21951,nan,0,1.0,0.92308,0.26571,4.31683,-0.01,0.00555,-0.00312,-0.03138,-0.01114,-0.01685
9,9216,-5.99723,119.2,0.0,0.0,1.558064,-0.005655,0.089565,0.003593,0.399386,0.053528,0.862181,-4.003233,2.720591,-4.067937,2.893714,4.0,0.00029918,5,1467,0.29402,0.36949,0.19565,nan,0,1.0,1.0,0.29515,4.49955,-0.01,0.01146,-0.00303,-0.02788,-0.01063,-0.01307
10,10240,-10.87325,234.66667,0.0,0.0,1.014903,-0.006116,0.032949,0.003878,0.336204,0.047913,0.933313,-3.269661,2.37314,-3.368076,2.592328,4.0,0.00029908,3,1676,0.24857,0.2981,0.20408,nan,0,1.0,1.0,0.20084,4.48629,-0.01,0.00082,-0.00432,-0.02211,-0.0004,-0.00762
11,11264,-6.61568,250.0,0.0,0.0,1.066168,-0.005691,0.063159,0.002791,0.335832,0.033386,0.875587,-3.236121,2.360909,-3.408777,2.761706,4.0,0.00029898,2,1685,0.27931,0.33615,0.21569,nan,0,1.0,1.0,0.12111,5.32316,-0.01,0.0035,-0.00396,-0.02634,-0.00253,-0.00355
12,12288,-5.80683,300.4,0.0,0.0,1.434086,-0.006234,0.07946,0.003694,0.476419,0.049194,0.896118,-3.644616,2.963009,-4.048217,3.50091,4.0,0.00029887,5,1559,0.30451,0.36637,0.25,nan,0,1.0,0.85714,0.24262,6.57144,-0.01,0.00468,-0.00351,-0.03415,-0.00414,-0.00547
13,13312,13.73776,312.66667,0.33333,0.01695,1.262335,-0.004849,2.238358,0.003264,1.472262,0.03479,0.185037,-3.947117,3.122886,-2.958865,8.364273,4.0,0.00029877,3,1624,0.27989,0.34006,0.27119,1.0,1,0.0,1.0,0.28125,5.01128,-0.01,-0.01144,-0.0032,-0.031,0.00228,0.1094
14,14336,-17.49115,420.0,0.0,0.01667,1.075106,-0.005306,0.085455,0.00292,0.713441,0.03894,0.923242,-3.069417,4.282723,-3.547423,4.713956,4.0,0.00029867,1,1717,0.26679,0.31155,0.28333,1.0,1,1.0,1.0,0.11475,5.85598,-0.01,-0.02319,-0.0025,-0.02561,0.00264,0.0
15,15360,-14.05616,420.0,0.0,0.01538,1.250242,-0.0077,0.063131,0.004728,0.610213,0.078369,0.932456,-3.618162,5.179553,-4.275822,5.7857,4.0,0.00029857,5,1624,0.29387,0.34754,0.33846,1.0,1,0.8,1.0,0.28313,4.46357,-0.01,-0.01576,-0.00315,-0.03331,-0.00053,0.0
16,16384,-5.68828,118.33333,0.0,0.01471,1.278699,-0.005396,0.08605,0.001778,0.413563,0.016785,0.914746,-3.324356,5.430908,-3.800188,5.827406,4.0,0.00029846,3,1611,0.25557,0.32095,0.32353,1.0,1,1.0,0.66667,0.26667,4.86554,-0.01,-0.0049,-0.00192,-0.03635,-0.00533,-0.00892
17,17408,-8.69734,189.1,0.0,0.01282,1.486718,-0.005497,0.098336,0.003684,0.383852,0.03894,0.884862,-3.041981,5.658547,-3.334879,5.70781,4.0,0.00029836,10,1504,0.28785,0.36106,0.32051,1.0,1,0.8,0.84615,0.24368,4.32756,-0.01,0.01252,-0.00017,-0.03322,-0.01348,-0.01864
18,18432,-8.01048,148.4,0.0,0.01205,1.514778,-0.008955,0.077488,0.005377,0.412486,0.074585,0.891556,-3.505975,5.073028,-3.918679,5.186506,4.0,0.00029826,5,1500,0.30732,0.37851,0.31325,1.0,1,0.8,1.0,0.3361,5.79408,-0.01,0.00653,-0.00143,-0.03393,-0.01125,-0.01045
19,19456,-6.31248,182.42857,0.0,0.01111,1.307339,-0.006928,0.081687,0.003152,0.410457,0.045898,0.854463,-3.667481,4.688662,-3.969876,4.736465,4.0,0.00029816,7,1534,0.28207,0.34526,0.3,1.0,1,1.0,1.0,0.17965,5.64921,-0.01,0.00028,-0.00045,-0.02749,-0.01368,-0.01827
20,20480,-5.06318,87.0,0.0,0.01075,1.192424,-0.006313,0.037358,0.001914,0.314044,0.022949,0.929303,-3.762168,4.474587,-3.943993,4.690323,4.0,0.00029805,3,1597,0.30788,0.36897,0.29032,1.0,1,1.0,1.0,0.30791,3.68378,-0.01,0.00426,-0.00258,-0.0301,-0.00607,-0.00965
21,21504,-2.39083,236.66667,0.11111,0.02,1.448507,-0.004188,0.862676,0.006558,0.909552,0.103394,0.253541,-3.502285,3.92968,-2.555857,6.863204,4.0,0.00029795,9,1501,0.32148,0.3933,0.3,1.0,2,1.0,1.0,0.42077,3.25877,-0.01,0.01785,-0.00145,-0.03287,-0.00777,0.06249
22,22528,-4.2169,100.5,0.0,0.02,1.370832,-0.005597,0.039795,0.002976,0.330728,0.031921,0.740302,-2.300231,2.686303,-2.331495,2.433164,4.0,0.00029785,6,1484,0.33497,0.41285,0.3,1.0,2,1.0,1.0,0.45893,2.93076,-0.01,0.01642,-0.00278,-0.02362,-0.012,-0.01815
23,23552,-4.59642,94.5,0.0,0.02,0.986155,-0.006131,0.020325,0.002276,0.295355,0.035156,0.893792,-2.258082,2.667252,-2.411334,2.802988,4.0,0.00029775,4,1673,0.32028,0.37824,0.3,1.0,2,1.0,1.0,0.29211,4.49412,-0.01,0.00884,-0.00469,-0.01854,-0.01042,-0.01627
24,24576,-4.97459,306.4,0.0,0.02,0.941439,-0.009231,0.020665,0.004254,0.311976,0.065857,0.930291,-2.718954,3.265896,-2.866081,3.389369,4.0,0.00029764,5,1670,0.32672,0.3715,0.31,1.0,2,1.0,1.0,0.34978,4.64154,-0.01,0.00607,-0.00502,-0.0192,-0.00499,-0.00814
25,25600,-5.38303,184.85714,0.0,0.02,1.438835,-0.008198,0.02459,0.004654,0.332856,0.072083,0.88402,-3.040532,2.609368,-3.229272,2.84548,4.0,0.00029754,7,1489,0.40365,0.47522,0.29,1.0,2,1.0,1.0,0.32678,3.73855,-0.01,0.01983,-0.00297,-0.03333,-0.01118,-0.01376
26,26624,-5.32215,134.28571,0.0,0.02,1.328568,-0.005984,0.029966,0.002615,0.328447,0.02478,0.875746,-3.085462,2.807222,-3.327856,3.071363,4.0,0.00029744,7,1494,0.37294,0.44004,0.29,1.0,2,1.0,1.0,0.41205,3.67797,-0.01,0.00354,-0.00118,-0.02719,-0.01564,-0.0176
27,27648,7.1584,100.6,0.2,0.03,1.445385,-0.001575,0.850815,0.00432,0.986645,0.035889,0.240381,-3.134307,2.708565,-2.091873,6.676034,4.0,0.00029734,5,1504,0.34628,0.40489,0.29,1.0,3,1.0,1.0,0.28704,2.91373,-0.01,0.01703,-0.001,-0.03111,-0.00372,0.06547
