iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-6.44913,107.75,0.0,0.0,1.648813,-0.008116,0.377208,0.005589,1.237173,0.06842,0.098147,0.633691,0.238647,-0.22962,1.093533,4.0,0.0003,4,1433,0.33562,0.43085,0.0,nan,0,1.0,0.94737,0.23917,6.01803,-0.01,0.01534,-0.00837,-0.03043,-0.01476,-0.01044
2,2048,-5.69405,101.2,0.0,0.0,1.359272,-0.00534,0.19954,0.001293,0.912325,0.004761,0.546019,-0.064953,0.636457,-0.731907,1.383942,4.0,0.0002999,5,1551,0.31852,0.39467,0.0,nan,0,1.0,1.0,0.14545,5.76938,-0.01,0.00671,-0.00368,-0.02951,-0.01218,-0.01546
3,3072,-7.41879,193.25,0.0,0.0,0.969034,-0.004048,0.115942,0.001257,0.455111,0.016235,0.74018,-0.789257,1.0423,-1.259614,1.523219,4.0,0.0002998,4,1642,0.3482,0.4103,0.0,nan,0,1.0,0.88235,0.27789,5.23528,-0.01,-0.00971,-0.00945,-0.01528,-0.01351,-0.01699
4,4096,-7.7046,202.11111,0.0,0.0,1.677431,-0.005893,0.122752,0.003338,0.424246,0.041687,0.793544,-1.688716,1.709538,-2.227697,2.251116,4.0,0.00029969,9,1437,0.34911,0.43121,0.09091,nan,0,1.0,0.97436,0.3047,4.90594,-0.01,0.01669,-0.00493,-0.03155,-0.01084,-0.01755
5,5120,-5.54333,119.0,0.0,0.0,1.232041,-0.006778,0.081303,0.003644,0.32566,0.055176,0.829749,-2.034964,1.644833,-2.30228,2.002698,4.0,0.00029959,3,1566,0.37676,0.45477,0.08,nan,0,1.0,1.0,0.19824,5.25493,-0.01,0.00624,-0.00571,-0.02447,-0.01141,-0.00996
6,6144,5.12475,229.8,0.2,0.03333,1.010063,-0.002241,1.939212,0.001818,0.972259,0.023987,0.061384,-1.964669,1.914393,-1.194991,6.296158,4.0,0.00029949,5,1609,0.31229,0.37012,0.06667,0.0,1,1.0,0.94118,0.05275,5.89214,-0.01,0.00063,-0.0025,-0.02515,-0.00342,0.09777
7,7168,-7.16114,177.0,0.0,0.02941,1.087461,-0.00424,0.060773,0.002245,0.489323,0.028259,0.817202,-1.391742,2.023485,-1.752596,2.357118,4.0,0.00029939,4,1611,0.2933,0.35491,0.05882,0.0,1,1.0,0.91667,0.25788,4.81544,-0.01,0.00294,-0.00343,-0.02842,-0.00272,-0.01429
8,8192,-6.54931,311.5,0.0,0.02778,1.005892,-0.004747,0.04563,0.002693,0.406857,0.031738,0.846122,-1.831795,2.055483,-2.104883,2.509246,4.0,0.00029928,2,1692,0.2546,0.30457,0.08333,0.0,1,0.5,1.0,0.27778,6.39877,-0.01,0.0033,-0.00392,-0.03008,0.00335,-0.00377
9,9216,-5.63451,242.25,0.0,0.025,1.302458,-0.005564,0.065077,0.003317,0.345307,0.044006,0.873027,-2.641068,2.879668,-2.993081,3.39556,4.0,0.00029918,4,1589,0.30466,0.36536,0.1,0.0,1,1.0,0.5,0.36093,5.70608,-0.01,0.00679,-0.00388,-0.03309,-0.00011,-0.00894
10,10240,-9.45254,343.25,0.0,0.02273,1.565853,-0.005998,0.063524,0.005234,0.384949,0.086975,0.89977,-3.34746,3.569458,-3.860848,4.327337,4.0,0.00029908,4,1512,0.33136,0.39489,0.15909,0.0,1,1.0,0.95,0.23413,6.94507,-0.01,0.00387,-0.00467,-0.03826,0.00025,-0.00249
11,11264,-12.11477,314.66667,0.0,0.02128,1.522884,-0.00874,0.065474,0.007603,0.468689,0.134888,0.918358,-3.740916,4.464304,-4.434137,5.232085,4.0,0.00029898,3,1541,0.341,0.40837,0.19149,0.0,1,0.66667,0.90909,0.21875,6.93747,-0.01,-0.0112,-0.00383,-0.0394,0.00067,-0.00255
12,12288,-17.29116,420.0,0.0,0.02041,1.238894,-0.007804,0.042634,0.004237,0.407029,0.072876,0.935515,-3.957016,4.576587,-4.562232,5.421484,4.0,0.00029887,2,1646,0.32296,0.37481,0.22449,0.0,1,0.5,1.0,0.2551,5.65671,-0.01,-0.02199,-0.00359,-0.03827,0.00236,0.0
13,13312,-24.03193,420.0,0.0,0.01923,1.12443,-0.007477,0.058856,0.003594,0.35222,0.054565,0.919575,-3.780757,4.855767,-3.964778,5.196205,4.0,0.00029877,3,1631,0.32648,0.37726,0.26923,0.0,1,0.33333,1.0,0.25514,5.06391,-0.01,-0.0098,-0.00145,-0.02829,0.00357,0.0
14,14336,20.59023,286.6,0.4,0.05263,1.17968,-0.00306,1.665766,0.001582,1.054817,0.010132,0.225316,-3.868344,4.670085,-2.178305,9.942752,4.0,0.00029867,5,1614,0.35871,0.41052,0.29825,0.33333,3,1.0,0.6,0.30663,4.25268,-0.01,0.00853,-0.00399,-0.03118,0.00682,0.20675
15,15360,-9.28653,420.0,0.0,0.05085,1.239171,-0.005706,0.09505,0.003671,0.505543,0.05542,0.877178,-0.887365,5.532406,-1.295509,5.923792,4.0,0.00029857,2,1619,0.3457,0.39228,0.32203,0.33333,3,0.5,1.0,0.21106,5.44614,-0.01,0.00231,-0.00462,-0.03346,0.00682,0.0
16,16384,15.98883,217.33333,0.33333,0.06452,1.317991,-0.00467,0.781129,0.00276,0.494278,0.036194,0.477742,-1.57683,5.811465,-0.863134,9.48724,4.0,0.00029846,3,1568,0.32871,0.38131,0.32258,0.5,4,0.66667,1.0,0.32335,3.84439,-0.01,0.00358,-0.00409,-0.03937,0.00252,0.09129
17,17408,-12.77169,420.0,0.0,0.06061,1.250902,-0.005125,0.097378,0.003394,0.561072,0.029419,0.857083,-1.306584,5.915602,-2.058845,6.265506,4.0,0.00029836,4,1632,0.32521,0.37776,0.36364,0.5,4,0.25,1.0,0.11111,4.89133,-0.01,-0.00259,-0.00326,-0.03545,0.00114,0.0
18,18432,25.48354,249.0,0.5,0.07353,1.262727,-0.002783,0.620393,0.00108,0.66468,0.00592,0.583529,-0.870871,7.216123,0.06236,10.194048,4.0,0.00029826,2,1599,0.36027,0.41479,0.36765,0.6,5,0.5,1.0,0.40138,4.69272,-0.01,-0.00408,-0.00411,-0.02929,0.00095,0.10144
19,19456,-10.17955,320.75,0.0,0.06944,0.820637,-0.006054,0.047868,0.003564,0.513759,0.061218,0.940078,0.789417,7.34058,0.401163,7.371284,4.0,0.00029816,4,1727,0.33673,0.37075,0.375,0.6,5,1.0,1.0,0.1811,6.72491,-0.01,-0.00341,-0.0034,-0.02331,-0.00108,-0.00907
20,20480,6.2228,246.16667,0.16667,0.07692,1.195073,-0.005093,0.62518,0.002356,0.611409,0.019897,0.423267,3.273937,6.706393,4.024739,9.583589,4.0,0.00029805,6,1557,0.35185,0.4214,0.37179,0.66667,6,0.66667,1.0,0.45721,4.17554,-0.01,0.01618,-0.00619,-0.02827,0.00043,0.10976
21,21504,16.41518,172.0,0.33333,0.09524,1.302325,-0.00321,0.767581,0.002584,0.490504,0.032532,0.288446,3.883195,6.294348,5.175024,10.038374,4.0,0.00029795,6,1527,0.37747,0.44834,0.35714,0.75,8,0.83333,1.0,0.39168,4.86322,-0.01,0.01418,-0.00508,-0.03116,0.0064,0.17525
22,22528,41.76546,89.66667,0.66667,0.11494,1.199818,-0.004706,0.681557,0.003248,0.584243,0.036926,0.403787,3.516439,6.436277,4.593354,10.879767,4.0,0.00029785,3,1623,0.35804,0.41601,0.34483,0.7,10,0.66667,1.0,0.36105,4.17407,-0.01,0.00836,-0.00208,-0.02803,0.00806,0.203
23,23552,-5.64683,420.0,0.0,0.11364,0.977204,-0.005943,0.046703,0.003227,0.570344,0.042236,0.898465,2.104808,6.939042,1.304327,6.664921,4.0,0.00029775,1,1736,0.33602,0.38111,0.35227,0.7,10,1.0,1.0,0.15726,4.85978,-0.01,-0.00031,-0.00646,-0.02436,-9e-05,0.0
24,24576,-6.92174,312.16667,0.0,0.10638,1.401276,-0.004358,0.062124,0.002407,0.48794,0.021545,0.863007,3.082112,7.111277,2.407968,7.476367,4.0,0.00029764,6,1562,0.35702,0.4104,0.37234,0.7,10,0.83333,1.0,0.30651,3.74914,-0.01,0.01086,-0.00498,-0.0327,0.00338,-0.00544
25,25600,13.72941,233.85714,0.28571,0.12,1.711238,-0.004726,0.379288,0.003665,0.385149,0.034485,0.583921,5.040584,7.423162,5.297235,10.19585,4.0,0.00029754,7,1449,0.40362,0.4707,0.38,0.75,12,0.85714,1.0,0.5068,4.09192,-0.01,0.01643,-0.00436,-0.04031,0.00586,0.15001
26,26624,65.84119,123.0,1.0,0.16,1.937893,-0.005455,1.0401,0.00492,0.933859,0.043701,0.304563,7.050232,6.82164,10.54707,14.031083,4.0,0.00029744,4,1387,0.39415,0.45136,0.38,0.8125,16,0.0,1.0,0.47087,4.37491,-0.01,0.01327,-0.00444,-0.03781,0.0125,0.27425
27,27648,22.23217,263.5,0.5,0.17,1.767957,-0.005347,0.261021,0.007064,0.474345,0.109619,0.638463,8.386509,8.090098,7.983909,10.24342,4.0,0.00029734,2,1464,0.39722,0.4561,0.39,0.82353,17,0.5,1.0,0.38235,3.4154,-0.01,0.01191,-0.00319,-0.0452,0.00347,0.06901
28,28672,22.47154,238.83333,0.5,0.2,1.691025,-0.003426,0.45527,0.003955,0.493077,0.023926,0.519256,7.022201,9.136103,8.091342,12.064586,4.0,0.00029724,6,1459,0.43466,0.49401,0.41,0.85,20,0.66667,1.0,0.45503,3.917,-0.01,0.01472,-0.005,-0.04082,0.00405,0.20686
29,29696,24.16545,255.5,0.5,0.22,1.671034,-0.004872,0.260909,0.002252,0.400234,0.020203,0.619656,10.857422,7.98631,11.232819,10.688324,4.0,0.00029713,4,1464,0.42736,0.48001,0.41,0.81818,22,0.25,1.0,0.21132,4.3947,-0.01,0.01669,-0.00375,-0.03669,0.01151,0.14739
30,30720,39.34792,280.66667,0.66667,0.24,1.674874,-0.004633,0.386257,0.00339,0.523727,0.026001,0.544776,8.526416,9.246901,9.920269,12.674161,4.0,0.00029703,3,1507,0.41933,0.47031,0.42,0.83333,24,0.33333,1.0,0.44118,3.45211,-0.01,0.01413,-0.00506,-0.04188,0.00146,0.15182
31,31744,35.85653,221.8,0.6,0.27,1.713642,-0.006313,0.309342,0.00535,0.468897,0.073059,0.686306,10.958703,10.286297,12.722274,14.981412,4.0,0.00029693,5,1451,0.45996,0.51894,0.44,0.85185,27,0.4,1.0,0.41667,3.03585,-0.01,0.01656,-0.00358,-0.03955,0.01073,0.22017
32,32768,36.51414,211.75,0.625,0.31,1.869751,-0.004946,0.338116,0.00458,0.620992,0.041138,0.732307,16.125921,13.201585,20.083111,18.443827,4.0,0.00029683,8,1376,0.48264,0.54634,0.47,0.875,32,0.375,0.92308,0.34004,3.27754,-0.01,0.02397,-0.00438,-0.03968,0.01214,0.34052
33,33792,70.86828,89.0,1.0,0.34,1.812914,-0.005057,0.354528,0.003552,0.910131,0.034912,0.742569,20.415253,16.99856,21.354927,19.272823,4.0,0.00029672,3,1396,0.46799,0.52573,0.46,0.88571,35,0.0,1.0,0.6157,2.85695,-0.01,0.01777,-0.00501,-0.03973,0.01312,0.2115
34,34816,26.67382,286.5,0.5,0.36,1.670912,-0.005199,0.211825,0.003515,0.575179,0.043823,0.79948,16.155813,17.369579,16.321854,19.229836,4.0,0.00029662,4,1446,0.48101,0.53485,0.47,0.89189,37,0.0,1.0,0.54762,2.41653,-0.01,0.01832,-0.00663,-0.04034,0.00445,0.1527
35,35840,34.64568,221.0,0.6,0.39,1.482625,-0.005944,0.147527,0.004996,0.662044,0.070129,0.886041,13.438121,18.701473,14.878984,22.493855,4.0,0.00029652,5,1491,0.46165,0.51872,0.45,0.9,40,0.2,1.0,0.40594,2.24314,-0.01,0.01725,-0.0054,-0.03786,0.0119,0.25259
36,36864,47.70184,167.25,0.75,0.44,1.534706,-0.005357,0.169095,0.00404,0.413561,0.060364,0.884197,21.159334,21.777155,23.875935,24.505796,4.0,0.00029642,8,1450,0.46946,0.52472,0.41,0.91304,46,0.5,1.0,0.42391,2.89396,-0.01,0.0256,-0.00447,-0.03403,0.01185,0.46536
37,37888,52.20875,162.3,0.8,0.5,1.728132,-0.004417,0.14139,0.004999,0.49486,0.055237,0.83836,33.888191,18.498852,37.706642,20.427927,4.0,0.00029631,10,1383,0.48912,0.54459,0.36,0.92593,54,0.4,1.0,0.45941,2.70789,-0.01,0.02429,-0.00451,-0.03313,0.01665,0.56921
38,38912,68.86832,101.75,1.0,0.57,1.791789,-0.005713,0.101362,0.004774,0.503189,0.048279,0.683933,43.39867,12.928851,46.975479,13.718989,4.0,0.00029621,8,1370,0.50448,0.55647,0.3,0.93548,62,0.25,1.0,0.43982,2.26353,-0.01,0.02522,-0.0039,-0.03283,0.01936,0.56711
39,39936,68.189,94.25,1.0,0.64,1.748977,-0.005093,0.08086,0.00438,0.504493,0.038879,0.781678,43.285713,13.808628,44.86845,15.26646,4.0,0.00029611,8,1399,0.49126,0.55008,0.28,0.92857,70,0.25,1.0,0.38263,2.72215,-0.01,0.0244,-0.00394,-0.03646,0.01789,0.57579
40,40960,55.87086,143.25,0.875,0.67,1.43993,-0.004553,0.041813,0.00327,0.560664,0.038635,0.896906,45.554298,15.825588,46.242012,17.07865,4.0,0.00029601,8,1468,0.48203,0.53892,0.28,0.93506,77,0.375,1.0,0.36703,3.26069,-0.01,0.0245,-0.00389,-0.02901,0.01402,0.57695
41,41984,61.08932,84.28571,0.85714,0.73,1.256812,-0.005019,0.052179,0.003726,0.468113,0.043579,0.913762,38.980644,20.617573,38.834633,22.827578,4.0,0.0002959,7,1563,0.49799,0.55162,0.23,0.93976,83,0.28571,0.0,0.30612,2.64273,-0.01,0.02477,-0.00547,-0.02261,0.01602,0.61895
42,43008,57.69005,148.6,0.8,0.76,1.311823,-0.008647,0.02695,0.006497,0.31275,0.082031,0.965489,37.633095,25.539402,38.78339,27.991497,4.0,0.0002958,10,1503,0.4856,0.53148,0.22,0.94505,91,0.3,1.0,0.36317,3.02814,-0.01,0.02413,-0.0031,-0.02172,0.02438,0.75909
43,44032,50.73827,167.375,0.75,0.77,1.470363,-0.006369,0.037917,0.004618,0.576983,0.073792,0.943828,46.285126,23.526552,46.326084,24.160841,4.0,0.0002957,8,1443,0.52246,0.571,0.22,0.93814,97,0.5,1.0,0.34524,2.71115,-0.01,0.02678,-0.0036,-0.02635,0.01747,0.49151
44,45056,51.69321,88.44444,0.77778,0.79,1.47522,-0.003674,0.102005,0.00233,0.815542,0.022095,0.727512,49.370514,17.262615,47.022957,19.057646,4.0,0.0002956,9,1445,0.5083,0.56716,0.18,0.94,100,0.55556,1.0,0.5213,2.7049,-0.01,0.02267,-0.00356,-0.02564,0.01544,0.55787
45,46080,52.40565,78.75,0.75,0.8,1.467121,-0.004841,0.061101,0.004127,0.754021,0.067444,0.883672,42.618343,21.077358,39.863174,21.768871,4.0,0.00029549,4,1501,0.47619,0.52663,0.16,0.94,100,0.5,1.0,0.41279,3.15641,-0.01,0.01938,-0.0039,-0.0288,0.01325,0.26122
46,47104,29.12043,284.75,0.5,0.8,1.434395,-0.005278,0.025136,0.002686,0.516927,0.027954,0.947014,36.120296,20.685015,34.675255,21.166534,4.0,0.00029539,4,1539,0.48184,0.53243,0.16,0.94,100,0.75,0.0,0.46809,3.70884,-0.01,0.01829,-0.00549,-0.03493,0.00431,0.17197
