iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,24.11947,83.66667,0.83333,0.83333,1.30155,-0.068534,59.59361,0.003458,1872,0.17026,0.83333,1.0,-0.01,0.01304,0.00016,-0.02065,-0.22128,0.31466
2,2048,2.97554,86.42857,0.57143,0.69231,1.41051,0.000698,43.951873,0.006775,2267,0.18567,1.0,1.0,-0.01,0.0131,-0.00076,-0.01747,-0.18609,0.21883
3,3072,23.44746,157.42857,0.85714,0.75,1.441178,-0.061615,51.07992,0.003623,2162,0.19818,0.57143,1.0,-0.01,0.01164,-0.00274,-0.01867,-0.07786,0.31107
4,4096,41.04383,184.0,0.8,0.76,1.411511,-0.051845,48.601627,0.001545,2115,0.19342,0.2,1.0,-0.01,0.01146,-0.00076,-0.02309,-0.19444,0.29785
5,5120,1.04644,151.4,0.4,0.7,1.33627,0.013535,39.405186,0.002133,2483,0.21874,0.8,1.0,-0.01,0.01384,-0.00063,-0.02256,-0.07422,0.1653
6,6144,7.13435,174.7,0.8,0.725,1.372908,0.001448,53.519253,0.00461,2337,0.16735,0.9,1.0,-0.01,0.01565,0.00187,-0.01864,-0.15038,0.41485
7,7168,35.21551,77.71429,1.0,0.76596,1.465903,-0.001455,53.568714,0.00131,2125,0.15439,0.71429,1.0,-0.01,0.00891,-0.00093,-0.01403,-0.10776,0.42693
8,8192,39.51907,139.0,0.8,0.76923,1.438042,-0.001262,62.592016,0.000995,2263,0.16435,0.4,1.0,-0.01,0.00882,-0.00134,-0.01415,-0.05115,0.30539
9,9216,16.56622,168.36364,0.72727,0.7619,1.406241,-0.001558,50.135761,0.001145,2165,0.14472,0.63636,1.0,-0.01,0.00861,0.00064,-0.01741,-0.16993,0.44728
10,10240,14.56302,143.4,0.6,0.75,1.461589,0.074374,31.390921,0.006388,2298,0.16953,0.6,1.0,-0.01,0.01036,-0.00044,-0.01899,-0.16415,0.18263
11,11264,43.16545,103.28571,0.85714,0.76,1.416731,-0.039735,54.55934,0.004806,2178,0.15922,0.28571,1.0,-0.01,0.0103,-0.00119,-0.01756,-0.04727,0.42713
12,12288,9.1204,181.66667,0.66667,0.75309,1.372376,-0.001232,36.093421,0.002792,2271,0.16603,0.66667,1.0,-0.01,0.01462,-0.0012,-0.01743,-0.12975,0.2239
13,13312,17.62969,158.88889,0.77778,0.75556,1.336431,0.001515,54.17365,0.003644,2311,0.16317,0.66667,1.0,-0.01,0.01092,0.00047,-0.01654,-0.15768,0.43444
14,14336,31.64082,118.18182,0.90909,0.77,1.391375,-0.050726,78.478232,0.002269,2139,0.139,0.54545,1.0,-0.01,0.00911,0.00114,-0.01958,-0.13809,0.61571
15,15360,40.34555,83.0,0.85714,0.78,1.396339,-0.00202,66.571684,0.00093,2265,0.16872,0.42857,1.0,-0.01,0.0106,0.0005,-0.0173,-0.12283,0.44346
16,16384,22.69241,91.28571,0.85714,0.8,1.391251,-0.003363,43.855416,0.001714,2307,0.15774,0.85714,1.0,-0.01,0.00361,0.00027,-0.01493,-0.09919,0.44041
17,17408,36.18351,145.66667,0.77778,0.79,1.347059,0.069323,56.131137,0.001712,2279,0.16364,0.22222,1.0,-0.01,0.01119,-0.0016,-0.01447,-0.11862,0.51123
18,18432,19.88808,185.42857,0.71429,0.8,1.348458,-0.000535,40.076523,0.003842,2519,0.18131,0.57143,1.0,-0.01,0.01452,-0.0005,-0.01983,-0.15443,0.34533
19,19456,21.00703,136.8,1.0,0.81,1.431378,-0.000452,35.132268,0.002786,2391,0.19559,0.6,1.0,-0.01,0.01057,-0.0023,-0.01555,-0.09442,0.24113
