iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,-6.12459,103.0,0.0,0.0,1.695639,-0.007751,0.346952,0.004194,1.009424,0.040466,0.040141,-0.122213,0.238246,-0.888936,0.992981,4.0,0.0003,4,1122,0.33365,0.42439,0.0,nan,0,1.0,0.93333,0.16337,5.40446,-0.01,0.01532,-0.00825,-0.02982,-0.01463,-0.00344,-0.01019
2,2048,-6.8756,120.2,0.0,0.0,1.387605,-0.005293,0.19265,0.001499,1.027605,0.007324,0.593905,-0.794039,0.666151,-1.368642,1.28895,4.0,0.0002999,5,1268,0.2989,0.37798,0.0,nan,0,1.0,1.0,0.27866,5.82907,-0.01,0.00629,-0.00619,-0.02816,-0.01109,-0.00189,-0.01513
3,3072,-7.276,136.0,0.0,0.0,1.278567,-0.00637,0.114037,0.004699,0.55475,0.06366,0.742086,-1.504477,1.017942,-2.022527,1.610537,4.0,0.0002998,6,1325,0.27004,0.34663,0.0,nan,0,1.0,0.9375,0.22547,5.59397,-0.01,0.00234,-0.00567,-0.02883,-0.01081,-0.00231,-0.01915
4,4096,-7.12378,218.4,0.0,0.0,1.367176,-0.005173,0.075864,0.002823,0.393103,0.03772,0.865282,-2.142393,1.664354,-2.557703,2.153985,4.0,0.00029969,5,1266,0.25176,0.32766,0.1,nan,0,1.0,1.0,0.17213,5.13613,-0.01,0.00445,-0.00482,-0.02856,-0.01046,-0.00233,-0.00889
5,5120,-7.03695,138.4,0.0,0.0,1.208954,-0.005059,0.064975,0.003156,0.374573,0.058655,0.887632,-2.377153,1.995128,-2.780066,2.449986,4.0,0.00029959,5,1246,0.25366,0.31667,0.08,nan,0,1.0,1.0,0.18454,5.24898,-0.01,-2e-05,-0.00241,-0.02927,-0.01116,-0.00333,-0.01626
6,6144,-9.85717,243.66667,0.0,0.0,1.267814,-0.005248,0.066721,0.003081,0.350119,0.053589,0.896956,-2.953953,2.319018,-3.251706,2.761397,4.0,0.00029949,6,1301,0.25135,0.32537,0.12903,nan,0,0.66667,1.0,0.14462,4.8663,-0.01,0.0026,-0.00234,-0.03048,-0.00952,-0.00362,-0.01234
7,7168,-9.44896,246.5,0.0,0.0,1.123542,-0.005566,0.070439,0.003917,0.466469,0.060913,0.883205,-3.069384,2.419903,-3.505596,3.018485,4.0,0.00029939,2,1391,0.24915,0.31048,0.15152,nan,0,1.0,1.0,0.07372,5.89347,-0.01,-0.01106,-0.0041,-0.03117,-2e-05,-0.00162,-0.00341
8,8192,-6.44073,250.0,0.0,0.0,1.031169,-0.003182,0.057402,0.000801,0.431062,0.002625,0.905226,-3.341872,2.809362,-3.839882,3.447222,4.0,0.00029928,2,1419,0.25598,0.31874,0.17143,nan,0,1.0,1.0,0.18405,4.72543,-0.01,-0.02039,-0.00629,-0.02786,-0.00517,-0.00138,-0.00361
9,9216,-12.52942,343.0,0.0,0.0,1.161738,-0.004388,0.07732,0.002663,0.306648,0.03302,0.904509,-3.805136,3.366825,-4.066633,3.741652,4.0,0.00029918,4,1332,0.24865,0.31216,0.23077,nan,0,0.75,1.0,0.10165,7.14434,-0.01,-0.00755,-0.00113,-0.02641,-0.00643,-0.00347,-0.00332
10,10240,-12.9829,340.6,0.0,0.0,1.051007,-0.005429,0.053092,0.003527,0.333705,0.053467,0.920218,-3.627929,3.358012,-3.831554,3.653697,4.0,0.00029908,5,1369,0.24576,0.29574,0.25,nan,0,0.8,0.94444,0.24893,7.26467,-0.01,-0.00464,-0.00166,-0.02741,-0.00486,-0.00312,-0.011
11,11264,-5.69359,90.0,0.0,0.0,0.819663,-0.003513,0.045781,0.001725,0.4136,0.018494,0.90656,-3.179557,2.973376,-3.397421,3.225498,4.0,0.00029898,1,1479,0.25014,0.29752,0.24444,nan,0,1.0,0.0,0.3119,4.62803,-0.01,-0.01859,-0.00493,-0.01529,-0.00728,-0.00012,-0.00462
12,12288,-9.45459,290.8,0.0,0.0,0.943187,-0.006362,0.031143,0.00381,0.39316,0.063721,0.948377,-3.522515,3.272392,-3.709795,3.644011,4.0,0.00029887,5,1173,0.2237,0.27407,0.28,nan,0,1.0,1.0,0.29817,7.10267,-0.01,0.00215,-0.0016,-0.02639,-0.0043,-0.0042,-0.0079
13,13312,-6.87698,230.57143,0.0,0.0,1.252198,-0.006075,0.056269,0.003454,0.403753,0.061829,0.902948,-4.202122,3.389272,-4.170747,3.45257,4.0,0.00029877,7,1295,0.21623,0.28161,0.29825,nan,0,1.0,0.83333,0.22167,5.61984,-0.01,0.01033,-0.00183,-0.02869,-0.00993,-0.0054,-0.0126
14,14336,-5.21458,245.33333,0.0,0.0,1.21521,-0.005981,0.06322,0.00336,0.365491,0.043213,0.874225,-3.729586,3.026747,-3.859174,3.252311,4.0,0.00029867,3,1302,0.22923,0.28663,0.3,nan,0,1.0,1.0,0.15545,6.8513,-0.01,0.0012,-0.00158,-0.02704,-0.0098,-0.00052,-0.00642
15,15360,-7.13927,247.5,0.0,0.0,0.845176,-0.006827,0.023068,0.002481,0.343982,0.040283,0.95637,-3.084078,3.207772,-3.157599,3.368458,4.0,0.00029857,2,1441,0.19692,0.23432,0.30645,nan,0,1.0,0.0,0.09028,7.94985,-0.01,-0.00552,-0.00121,-0.01997,-0.00525,-0.00088,-0.0044
16,16384,-9.2405,315.5,0.0,0.0,1.164798,-0.005439,0.03991,0.002203,0.317296,0.023499,0.922293,-3.281262,3.210413,-3.356829,3.311746,4.0,0.00029846,6,1294,0.23051,0.29077,0.30882,nan,0,0.66667,1.0,0.31828,6.82344,-0.01,0.00971,-0.0028,-0.02441,-0.00634,-0.00464,-0.01349
17,17408,-5.75649,142.33333,0.0,0.0,1.541206,-0.005584,0.086997,0.004093,0.684345,0.057983,0.834953,-4.337404,2.990122,-4.750507,3.468085,4.0,0.00029836,6,1239,0.2464,0.31016,0.2973,nan,0,1.0,1.0,0.29075,5.99782,-0.01,-0.00451,-0.0012,-0.03122,-0.01139,-0.00215,-0.01282
18,18432,-5.17433,158.2,0.0,0.0,1.232866,-0.003748,0.04898,0.002346,0.335923,0.014771,0.887051,-4.71433,3.044047,-4.968468,3.495005,4.0,0.00029826,5,1292,0.20905,0.27081,0.29114,nan,0,1.0,1.0,0.26301,4.56271,-0.01,-0.00942,-0.00064,-0.02803,-0.00817,-0.00199,-0.01227
19,19456,-14.67219,284.4,0.0,0.0,1.222351,-0.00661,0.036098,0.004326,0.365002,0.056091,0.933055,-4.563199,3.413341,-4.799738,3.874799,4.0,0.00029816,5,1314,0.20186,0.25738,0.30952,nan,0,0.8,1.0,0.23569,5.67542,-0.01,-0.00303,-0.00132,-0.02704,-0.00227,-0.00557,-0.00621
20,20480,-8.39563,179.25,0.0,0.0,1.283248,-0.010627,0.056062,0.006527,0.53494,0.121277,0.904212,-4.366508,3.369533,-4.601243,3.72316,4.0,0.00029805,4,1315,0.20507,0.2613,0.30682,nan,0,1.0,1.0,0.2907,6.11964,-0.01,0.00045,-0.00136,-0.02612,-0.00158,-0.00145,-0.00882
21,21504,-5.29934,191.66667,0.0,0.0,1.330739,-0.009082,0.060563,0.005823,0.516282,0.100708,0.897818,-4.542987,3.428685,-4.899457,3.951876,4.0,0.00029795,3,1301,0.19993,0.25417,0.30769,nan,0,1.0,0.0,0.25751,5.00223,-0.01,-0.00605,-0.00068,-0.03134,-0.00533,-0.00128,-0.00567
