iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-2.73612,77.25,0.0,0.0,2.283204,-0.062167,0.358787,0.001083,1422,0.2122,1.0,1.0,0.32318,3.65118,-0.01,0.02603,-0.012,-0.01382,-0.01831,-0.00463
2,2048,-2.71887,76.5,0.0,0.0,2.189785,-0.049926,0.402058,0.00024,1729,0.21742,1.0,1.0,0.375,4.55063,-0.01,0.01132,-0.0167,-0.01485,-0.02092,-0.00557
3,3072,-5.73958,175.0,0.0,0.0,2.150152,-0.002101,0.50821,0.000272,2056,0.20253,1.0,0.95946,0.2693,4.57478,-0.01,0.00533,-0.01877,-0.01746,-0.01137,-0.00408
4,4096,-6.10418,167.57143,0.0,0.0,2.199634,-0.002094,0.291272,0.000446,1979,0.2179,1.0,0.98851,0.39688,3.64802,-0.01,0.01005,-0.01326,-0.01736,-0.01545,-0.00405
5,5120,-4.07631,135.90909,0.0,0.0,2.217691,-0.021942,0.234069,0.001279,1844,0.21085,1.0,1.0,0.232,4.27833,-0.01,0.01598,-0.01141,-0.01193,-0.02487,-0.00693
6,6144,-2.52664,86.0,0.0,0.0,2.30422,-0.004507,0.221695,0.001146,1601,0.21735,1.0,1.0,0.3133,3.61549,-0.01,0.02196,-0.01167,-0.01093,-0.02004,-0.00726
7,7168,-3.27412,109.75,0.0,0.0,2.180694,-0.070686,0.256535,0.001855,2265,0.22055,1.0,1.0,0.31812,4.05189,-0.01,0.01526,-0.00955,-0.01077,-0.0114,-0.00377
8,8192,-1.91105,105.5,0.0,0.0,2.117724,-0.002677,0.197286,0.000925,2340,0.22051,1.0,1.0,0.29799,5.3849,-0.01,0.00603,-0.00935,-0.01324,-0.00855,-0.00385
9,9216,1.66579,225.71429,0.14286,0.01538,2.141714,-0.00015,20.639881,0.000156,2150,0.19344,1.0,0.95,0.31095,4.39551,-0.01,0.01073,-0.00745,-0.01417,-0.00743,0.05945
10,10240,-3.00025,172.5,0.0,0.01333,2.154655,-0.027574,0.234803,0.000531,2184,0.19615,1.0,1.0,0.31107,3.61042,-0.01,0.01325,-0.00684,-0.00668,-0.01546,-0.00657
