iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-6.5452,88.0,0.0,0.0,1.871337,-0.010259,0.322319,0.006886,0.761857,0.102478,0.071814,-0.023336,0.217836,-0.962897,1.183094,4.0,0.0003,6,754,0.34336,0.45357,0.0,1.0,1.0,0.31648,4.421,-0.01,0.02011,-0.01553,-0.03224,-0.01468,-0.01388
2,2048,-6.4405,109.0,0.0,0.0,1.361327,-0.005368,0.194611,0.002431,0.594292,0.009644,0.494964,-1.155987,0.741616,-1.879295,1.455372,4.0,0.0002999,5,812,0.33294,0.44158,0.0,1.0,0.97917,0.28253,4.8709,-0.01,0.00745,-0.01535,-0.02754,-0.01733,-0.01563
3,3072,-7.16481,135.75,0.0,0.0,1.101152,-0.006035,0.09611,0.00365,0.406974,0.060608,0.726179,-1.986768,1.082291,-2.479458,1.600054,4.0,0.0002998,4,849,0.31162,0.40066,0.0,1.0,1.0,0.1954,5.79068,-0.01,-0.00844,-0.01453,-0.02057,-0.01277,-0.015
4,4096,-9.76042,230.0,0.0,0.0,1.356399,-0.003673,0.093462,0.001475,0.404428,0.009399,0.799422,-2.730872,1.638677,-3.274625,2.386574,4.0,0.00029969,5,736,0.26838,0.35337,0.1,1.0,0.98795,0.12536,5.36306,-0.01,-0.00109,-0.01287,-0.03072,-0.00783,-0.00919
5,5120,-10.56284,244.57143,0.0,0.0,1.423092,-0.005146,0.093892,0.00237,0.374399,0.039307,0.846561,-3.46196,2.279946,-3.850308,2.792433,4.0,0.00029959,7,810,0.25484,0.33894,0.18519,0.85714,0.98113,0.14806,6.01339,-0.01,0.00103,-0.0121,-0.0258,-0.00797,-0.0117
6,6144,9.8854,114.75,0.25,0.03226,1.340553,-0.003479,1.55345,0.002304,1.468251,0.02771,0.118041,-3.652772,2.279763,-2.864729,6.702686,4.0,0.00029949,4,799,0.27372,0.35381,0.16129,1.0,0.9,0.24194,5.88384,-0.01,-0.00335,-0.01497,-0.02068,-0.00412,0.08179
7,7168,19.40426,277.5,0.5,0.06061,1.134333,-0.002667,0.810645,0.002549,0.613176,0.027466,0.323798,-2.809748,2.90917,-2.359789,6.632686,4.0,0.00029939,2,828,0.25077,0.31972,0.18182,1.0,0.93103,0.30523,5.52136,-0.01,-0.02477,-0.0091,-0.02059,-0.00182,0.0917
8,8192,-11.31047,306.66667,0.0,0.05556,1.247727,-0.010365,0.090112,0.00566,0.67912,0.112244,0.866259,-3.126992,4.62266,-3.769796,5.103505,4.0,0.00029928,3,745,0.26794,0.34091,0.22222,1.0,1.0,0.25943,8.33446,-0.01,-0.01804,-0.01331,-0.02615,-0.00092,-0.00319
9,9216,6.36932,322.33333,0.33333,0.09524,1.229774,-0.002435,1.333356,0.001948,1.146898,0.020691,0.228706,-2.655688,4.940636,-0.795199,9.782011,4.0,0.00029918,6,780,0.27941,0.34436,0.28571,0.66667,0.95745,0.15915,6.57529,-0.01,-0.00363,-0.00641,-0.02385,-0.00051,0.19254
10,10240,18.9922,181.0,0.33333,0.125,1.366671,-0.006015,1.134986,0.00703,0.67434,0.096497,0.170017,1.654615,5.443143,3.684043,10.837409,4.0,0.00029908,6,828,0.29357,0.36649,0.27083,0.5,0.97436,0.29932,4.67222,-0.01,0.00598,-0.0097,-0.02127,0.00432,0.20515
11,11264,-7.47549,251.0,0.0,0.12,1.082841,-0.008327,0.082668,0.00525,0.747512,0.081421,0.788232,3.882675,5.60236,3.297664,5.20892,4.0,0.00029898,2,786,0.25831,0.31941,0.28,1.0,1.0,0.27679,6.0163,-0.01,-0.00377,-0.00776,-0.01893,-0.00238,-0.00359
12,12288,-6.49941,192.0,0.0,0.11321,1.09071,-0.004951,0.076371,0.003109,0.541824,0.049744,0.6931,3.325088,4.766824,2.517331,4.681082,4.0,0.00029887,3,691,0.2541,0.3122,0.26415,1.0,1.0,0.27239,8.43095,-0.01,-0.0027,-0.00872,-0.02441,-4e-05,-0.01064
13,13312,-7.92679,420.0,0.0,0.10714,1.230905,-0.00531,0.036086,0.003498,0.52124,0.052185,0.809634,2.45098,3.970419,1.901596,4.117964,4.0,0.00029877,3,861,0.33703,0.39478,0.30357,1.0,1.0,0.16387,6.16759,-0.01,-0.01049,-0.00927,-0.02519,0.00127,0.0
14,14336,8.0078,337.0,0.33333,0.11864,1.260679,-0.005108,0.375049,0.004754,0.461111,0.090454,0.295653,2.472491,3.844558,2.752545,6.811577,4.0,0.00029867,3,829,0.36917,0.42609,0.32203,1.0,0.91667,0.31111,5.10901,-0.01,-0.01103,-0.00755,-0.02506,-0.00215,0.09025
15,15360,-17.35408,420.0,0.0,0.1129,1.148202,-0.007621,0.036316,0.002994,0.620007,0.048767,0.853408,1.739294,4.063153,1.019348,4.491385,4.0,0.00029857,3,732,0.3292,0.37666,0.35484,1.0,1.0,0.32824,11.69139,-0.01,-0.02292,-0.00885,-0.02741,-0.00075,0.0
16,16384,36.98101,216.33333,0.66667,0.13846,1.402734,-0.001696,0.679765,0.001588,0.745782,0.010132,0.284449,2.537267,4.056018,4.284289,9.525054,4.0,0.00029846,3,830,0.35569,0.40885,0.35385,0.66667,0.94118,0.1632,5.60868,-0.01,-0.00382,-0.00616,-0.02884,0.00737,0.17636
17,17408,25.27497,268.22222,0.55556,0.18919,1.557438,-0.00379,0.982935,0.00325,1.494827,0.057678,0.314472,4.683059,5.601755,9.285027,13.19074,4.0,0.00029836,9,809,0.34286,0.38929,0.36486,0.66667,1.0,0.30402,3.89273,-0.01,0.00793,-0.00381,-0.024,0.00351,0.39744
18,18432,47.66788,114.0,0.75,0.21795,1.471422,-0.005021,0.554083,0.005634,0.687744,0.106018,0.260227,12.753502,6.747383,15.370134,10.742969,4.0,0.00029826,4,828,0.38084,0.43094,0.34615,0.5,0.81818,0.32649,4.22606,-0.01,0.01474,-0.00507,-0.02833,0.00867,0.26338
19,19456,50.56614,138.66667,0.83333,0.2619,1.610064,-0.003839,0.477196,0.00384,0.927833,0.041016,0.386525,14.508913,6.381532,18.758324,12.381337,4.0,0.00029816,6,642,0.31327,0.35988,0.32143,0.66667,0.88889,0.29851,3.18191,-0.01,0.01532,-0.0016,-0.0305,0.01181,0.38145
20,20480,41.28729,165.33333,0.66667,0.30108,1.564631,-0.003692,0.439616,0.003041,0.671837,0.033264,0.450451,16.424879,8.472745,20.443836,14.290956,4.0,0.00029805,9,792,0.3417,0.39684,0.31183,0.44444,0.95238,0.36082,3.21318,-0.01,0.01694,-0.00283,-0.03054,0.0108,0.49385
21,21504,68.54628,101.83333,1.0,0.34343,1.598005,-0.004681,0.256145,0.003681,0.647232,0.032776,0.603485,22.59429,9.886767,27.239866,14.46193,4.0,0.00029795,6,811,0.35119,0.40353,0.29293,0.33333,0.83333,0.31921,4.50262,-0.01,0.01705,-0.0049,-0.03318,0.01376,0.49999
22,22528,50.18468,181.75,0.75,0.37,1.600686,-0.004154,0.184509,0.005236,0.52101,0.054199,0.626483,26.503183,11.269945,27.764622,13.573,4.0,0.00029785,4,778,0.33175,0.38088,0.3,0.5,0.9375,0.388,4.44629,-0.01,0.01162,-0.00425,-0.03682,0.00923,0.24832
23,23552,46.54464,192.71429,0.71429,0.42,1.781958,-0.005223,0.139725,0.005114,0.392981,0.076172,0.781285,27.536144,13.841087,31.089718,17.716587,4.0,0.00029775,7,666,0.30436,0.34902,0.32,0.14286,0.95455,0.29367,4.00382,-0.01,0.01424,-0.00078,-0.03296,0.01557,0.37648
24,24576,44.99134,186.71429,0.71429,0.47,1.925131,-0.007876,0.100139,0.007436,0.529651,0.107361,0.809098,35.890827,15.197203,38.48407,16.683882,4.0,0.00029764,7,788,0.31645,0.36531,0.33,0.28571,0.96429,0.23404,5.17286,-0.01,0.01276,-0.00174,-0.0296,0.01422,0.35573
25,25600,69.36753,129.71429,1.0,0.54,1.609075,-0.007185,0.100738,0.006744,0.574444,0.117737,0.481893,41.002407,8.963847,43.022518,11.098056,4.0,0.00029754,7,818,0.31579,0.36812,0.3,0.14286,0.90909,0.25,4.48518,-0.01,0.0133,-0.00539,-0.03062,0.01686,0.58065
26,26624,53.32904,144.625,0.875,0.6,1.502204,-0.00304,0.075161,0.002197,0.469323,0.020203,0.680891,41.804966,10.503024,42.476036,12.585786,4.0,0.00029744,8,711,0.30654,0.35308,0.28,0.75,1.0,0.28367,4.22991,-0.01,0.01934,-0.00296,-0.02472,0.00923,0.57509
27,27648,58.29917,165.0,1.0,0.63,1.388999,-0.004006,0.034168,0.003429,0.441503,0.0448,0.838373,40.100857,11.994397,40.58165,12.372474,4.0,0.00029734,4,738,0.31054,0.35311,0.26,0.5,0.92857,0.28689,3.76233,-0.01,0.01362,-0.00373,-0.02948,0.01082,0.33076
28,28672,64.9687,114.5,1.0,0.64,1.33809,-0.003045,0.028467,0.002913,0.490611,0.026001,0.900802,36.903446,13.768901,35.929752,14.868566,4.0,0.00029724,2,834,0.31412,0.35843,0.25,0.5,1.0,0.31754,4.85734,-0.01,0.00605,-0.00635,-0.02859,0.0047,0.1867
29,29696,8.34241,343.0,0.25,0.64,1.412455,-0.006968,0.027101,0.00482,0.54921,0.069519,0.891192,34.733658,13.887375,34.076195,13.933376,4.0,0.00029713,4,840,0.30694,0.34044,0.25,1.0,0.96774,0.46818,7.39345,-0.01,0.01122,-0.00393,-0.02837,0.00354,0.07877
