iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.271946,-0.0089,0.217562,0.004211,1.861206,0.056213,0.308067,1.121666,0.389222,-0.086299,1.788704,4.0,0.0003,0,595,0.34046,0.48489,0.0,nan,0,0.0,0.0,,,-0.01,0.00613,-0.01583,-0.0459,-0.00042,-0.00334,0.0
2,2048,nan,nan,0.0,0.0,2.169874,-0.005099,0.03535,0.002794,0.366761,0.017334,0.786578,-0.441783,1.825724,-1.540413,3.158604,4.0,0.00029991,0,646,0.30771,0.46119,0.0,nan,0,0.0,0.0,,,-0.01,0.00512,-0.01446,-0.04936,-8e-05,-0.00038,0.0
3,3072,-19.87992,300.0,0.0,0.0,2.164533,-0.006655,0.024226,0.004888,0.34777,0.055542,0.901584,-1.721896,3.011226,-2.585227,4.1042,4.0,0.00029982,8,584,0.32513,0.47614,1.0,nan,0,0.0,1.0,,,-0.01,0.0053,-0.01271,-0.04474,-0.00091,-0.00331,0.0
4,4096,-14.51456,195.0,0.0,0.0,1.95619,-0.003798,0.037704,0.002145,0.376852,0.017639,0.929134,-2.128376,4.025581,-2.919754,4.860669,4.0,0.00029974,1,597,0.33352,0.48313,0.88889,nan,0,1.0,1.0,,,-0.01,0.00491,-0.00947,-0.04208,-0.00745,-0.00033,-0.00221
5,5120,-15.45848,278.28571,0.0,0.0,1.661238,-0.00682,0.023191,0.003146,0.294207,0.047058,0.949728,-2.849789,4.4649,-3.415243,5.16142,4.0,0.00029965,7,675,0.30698,0.45773,0.75,nan,0,0.57143,1.0,,,-0.01,0.00488,-0.00725,-0.03758,-0.00619,-0.00313,-0.00771
6,6144,-8.63861,126.0,0.0,0.0,1.744149,-0.004564,0.027887,0.002255,0.293105,0.014893,0.950849,-3.689937,5.19024,-4.236822,5.903904,4.0,0.00029956,2,685,0.31334,0.46787,0.66667,nan,0,1.0,1.0,,,-0.01,0.00513,-0.0067,-0.03904,-0.00799,-0.0022,-0.0049
7,7168,-13.11713,258.0,0.0,0.0,1.828343,-0.007358,0.014171,0.005214,0.378776,0.083008,0.969217,-4.146912,6.06215,-4.718186,6.932517,4.0,0.00029947,3,636,0.31019,0.466,0.61905,nan,0,1.0,1.0,,,-0.01,0.00608,-0.00627,-0.04168,-0.00293,-0.00089,-0.00459
8,8192,-14.95149,300.0,0.0,0.0,2.002991,-0.004366,0.012336,0.004539,0.364333,0.053589,0.972206,-4.875669,7.273621,-5.423616,8.337634,4.0,0.00029939,5,640,0.32078,0.46519,0.69231,nan,0,0.0,1.0,,,-0.01,0.00681,-0.00472,-0.04639,-0.00143,-0.00247,0.0
9,9216,-13.77879,253.5,0.0,0.0,1.600407,-0.004898,0.025795,0.003101,0.344568,0.024292,0.961103,-4.502768,7.256793,-4.655393,7.485404,4.0,0.0002993,6,630,0.30807,0.45276,0.65625,nan,0,0.66667,1.0,,,-0.01,0.00603,-0.0038,-0.03588,-0.01194,-0.00292,-0.00787
10,10240,-10.54616,179.66667,0.0,0.0,1.87609,-0.006706,0.029511,0.004363,0.393582,0.068481,0.964446,-5.622133,8.43508,-5.857689,9.011312,4.0,0.00029921,3,626,0.33976,0.48809,0.6,nan,0,1.0,1.0,,,-0.01,0.00727,-0.00472,-0.04279,-0.00668,-0.00267,-0.00681
11,11264,-12.83344,261.75,0.0,0.0,1.678445,-0.005945,0.023317,0.003546,0.34198,0.037598,0.96717,-4.319774,8.115117,-4.515417,8.547336,4.0,0.00029912,4,602,0.33602,0.4783,0.58974,nan,0,0.5,1.0,,,-0.01,0.00747,-0.00554,-0.03835,-0.00561,-0.00183,-0.00496
12,12288,-14.20987,300.0,0.0,0.0,1.823325,-0.005143,0.021346,0.003654,0.313826,0.051758,0.96859,-5.000441,8.599917,-5.195938,9.173017,4.0,0.00029903,3,662,0.31567,0.4447,0.61905,nan,0,0.0,0.96875,,,-0.01,0.00772,-0.005,-0.04255,-0.0053,-0.00288,0.0
