iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,13.90012,19.59184,0.59184,0.59184,0.637598,-0.002812,78.848706,0.002592,2721,-0.01,0.02014,0.0252,-0.00367,0.03094,0.78282
2,2048,12.98856,20.85417,0.5625,0.57732,0.617937,0.001239,68.043793,0.00276,2888,-0.01,0.01848,0.02168,-0.00356,0.02974,0.73641
3,3072,7.52188,23.37778,0.37778,0.48,0.579255,0.015378,50.613579,0.00297,3126,-0.01,0.01658,0.02037,-0.00393,0.00674,0.44285
4,4096,13.845,20.05556,0.63889,0.5,0.88494,-0.007475,49.818268,0.001322,3089,-0.01,0.01405,0.01771,-0.0044,0.02966,0.58734
5,5120,10.41583,30.32,0.48,0.5,1.097822,-0.059077,33.697245,0.006935,3495,-0.01,0.00857,0.01156,-0.00477,0.00653,0.33066
6,6144,9.38808,37.53659,0.46341,0.53,0.884644,-0.161863,57.73883,0.001483,3174,-0.01,0.01484,0.02095,-0.00333,0.00526,0.50213
7,7168,11.963,23.72093,0.55814,0.5,0.630073,-2.6e-05,57.054699,0.001565,3135,-0.01,0.01859,0.02125,-0.00366,0.02509,0.64671
8,8192,10.78855,22.23077,0.51282,0.52,0.843331,8.4e-05,44.83971,0.003478,3225,-0.01,0.01539,0.01921,-0.00431,0.01526,0.53542
9,9216,5.51515,28.82051,0.41026,0.47,0.850281,-0.024123,34.573191,0.002594,3325,-0.01,0.01903,0.02144,-0.00313,-0.00559,0.30195
10,10240,10.37211,27.23684,0.55263,0.51,0.694797,0.00056,50.520482,0.001536,3344,-0.01,0.01704,0.01916,-0.00317,0.01579,0.53752
11,11264,12.89646,22.15909,0.56818,0.49,0.739544,0.000585,60.314379,0.001504,2975,-0.01,0.01872,0.02017,-0.00292,0.0279,0.69085
12,12288,9.62374,26.31707,0.5122,0.53,0.790189,0.097201,58.749072,0.002727,3359,-0.01,0.0198,0.02273,-0.00345,0.0146,0.55022
13,13312,12.84973,21.0,0.60526,0.58,0.665598,0.000735,56.074681,0.003056,3329,-0.01,0.01652,0.01943,-0.00347,0.02901,0.65024
14,14336,11.83361,30.11538,0.53846,0.56,1.039089,0.019312,33.452878,0.004075,3634,-0.01,0.01326,0.01307,-0.00499,0.01953,0.41995
15,15360,6.11275,60.84,0.48,0.55,1.064887,-0.000941,26.545033,0.00366,4034,-0.01,0.01232,0.01164,-0.00347,0.00364,0.23525
16,16384,7.94,22.76316,0.47368,0.48,0.862182,0.10869,39.191461,0.000699,3164,-0.01,0.01774,0.01928,-0.00283,0.00612,0.39007
17,17408,12.62071,27.375,0.55,0.49,0.805937,0.091039,56.205917,0.001646,2995,-0.01,0.01555,0.01696,-0.0039,0.0269,0.60205
18,18432,9.00835,22.71429,0.42857,0.52,0.893988,-0.001313,41.379919,0.001533,3484,-0.01,0.01401,0.01805,-0.00409,0.00524,0.4331
19,19456,13.69076,31.20455,0.61364,0.55,0.772956,0.002082,53.846516,0.002429,3136,-0.01,0.01746,0.01766,-0.00257,0.03051,0.75459
20,20480,12.90135,24.97297,0.62162,0.57,0.759791,-0.000251,57.892526,0.001679,3435,-0.01,0.01389,0.01913,-0.00249,0.02794,0.65407
21,21504,9.11765,26.20588,0.5,0.58,0.899359,-0.139908,43.88462,0.002231,3597,-0.01,0.01297,0.01582,-0.00422,0.01207,0.41892
22,22528,10.6183,34.88462,0.53846,0.55,1.059775,0.000787,36.911083,0.002969,3930,-0.01,0.01199,0.01099,-0.00459,0.01655,0.37457
23,23552,11.19483,35.68571,0.54286,0.53,0.954275,-0.034654,37.372556,0.005003,3445,-0.01,0.0136,0.01586,-0.00373,0.02335,0.48711
24,24576,14.28262,30.84848,0.57576,0.55,1.003608,-0.000673,41.796623,0.001039,3466,-0.01,0.0138,0.01374,-0.00416,0.02707,0.56579
25,25600,12.60947,25.4,0.62857,0.59,0.993966,-0.001482,46.790838,0.001569,3308,-0.01,0.01578,0.01445,-0.00426,0.02176,0.53236
26,26624,13.19403,33.85714,0.60714,0.61,1.008737,0.014708,45.529163,0.001055,3615,-0.01,0.01462,0.01243,-0.00434,0.02792,0.50917
27,27648,9.68218,32.24324,0.43243,0.55,1.02765,0.001114,42.033242,0.003937,3193,-0.01,0.01722,0.01473,-0.00427,0.01247,0.43082
28,28672,8.76539,33.29032,0.3871,0.48,0.85369,-0.053182,48.386418,0.002177,3633,-0.01,0.01439,0.01589,-0.00304,0.0134,0.38779
29,29696,13.44134,32.1,0.53333,0.46,0.990915,0.102892,40.489653,0.001486,3592,-0.01,0.01682,0.01291,-0.00309,0.0192,0.55935
