iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-6.40166,95.75,0.0,0.0,2.038167,-0.00834,0.242111,0.004992,0.823933,0.055603,0.082703,-0.02481,0.215825,-1.006527,1.334276,4.0,0.0003,8,1435,0.34507,0.45729,0.0,1.0,0.97753,0.28349,5.07214,-0.01,0.0236,-0.00361,-0.03885,-0.01338,-0.01682
2,2048,-5.95343,99.28571,0.0,0.0,1.967527,-0.004957,0.150259,0.002711,0.8117,0.030884,0.676497,-1.104172,1.212924,-1.93013,2.04136,4.0,0.00029991,7,1308,0.32834,0.42772,0.0,1.0,0.95238,0.37956,4.36455,-0.01,0.02163,-0.00298,-0.03947,-0.01431,-0.01525
3,3072,-6.23395,97.14286,0.0,0.0,1.670439,-0.004129,0.094538,0.001347,0.340361,0.005554,0.789283,-2.06079,1.779939,-2.687683,2.313097,4.0,0.00029982,7,1393,0.32853,0.42981,0.0,1.0,1.0,0.28066,5.37258,-0.01,0.01639,-0.00301,-0.03276,-0.01954,-0.01795
4,4096,-6.0213,103.44444,0.0,0.0,1.318719,-0.005076,0.077353,0.00261,0.320201,0.025513,0.83071,-2.822056,1.986063,-3.204967,2.448605,4.0,0.00029974,9,1605,0.33706,0.43678,0.0,1.0,0.9726,0.11934,5.88524,-0.01,0.01229,-0.00594,-0.02857,-0.02343,-0.02872
5,5120,-7.17058,162.25,0.0,0.0,1.747668,-0.006587,0.074814,0.004603,0.31862,0.064819,0.882997,-3.228316,2.761155,-3.667571,3.381407,4.0,0.00029965,8,1525,0.34456,0.43706,0.02564,1.0,0.95,0.24895,5.71643,-0.01,0.02029,-0.00369,-0.03658,-0.01395,-0.01699
6,6144,-6.48716,134.1,0.0,0.0,2.041774,-0.007729,0.079654,0.005001,0.398407,0.06073,0.896192,-3.755633,3.486699,-4.108769,3.94663,4.0,0.00029956,10,1450,0.36729,0.45899,0.04082,1.0,1.0,0.38095,4.44701,-0.01,0.02678,-0.00395,-0.03911,-0.01566,-0.01881
7,7168,-6.04434,97.8,0.0,0.0,1.992972,-0.005576,0.071612,0.002814,0.381149,0.026184,0.899445,-4.036559,3.642443,-4.226898,3.984713,4.0,0.00029947,10,1452,0.33775,0.43429,0.0339,1.0,0.96667,0.28108,4.6075,-0.01,0.02329,-0.00182,-0.03696,-0.02134,-0.02163
8,8192,-6.59351,103.88889,0.0,0.0,1.90039,-0.005922,0.060321,0.004092,0.360517,0.048523,0.905148,-4.238234,3.652777,-4.460518,3.980526,4.0,0.00029939,9,1464,0.33138,0.42239,0.02941,1.0,0.98551,0.26623,5.05916,-0.01,0.02089,-0.00442,-0.03547,-0.01826,-0.0201
9,9216,-6.22673,108.11111,0.0,0.0,1.690642,-0.006556,0.043735,0.003909,0.348699,0.06189,0.922118,-4.040519,3.63318,-4.220586,3.847512,4.0,0.0002993,9,1442,0.3075,0.40031,0.02597,1.0,1.0,0.26444,5.22039,-0.01,0.01881,-0.00627,-0.03395,-0.01727,-0.0225
10,10240,-6.0002,98.44444,0.0,0.0,1.719714,-0.006599,0.050571,0.004986,0.317855,0.030884,0.910468,-4.27111,3.773554,-4.332069,3.925664,4.0,0.00029921,9,1328,0.29517,0.39028,0.02326,1.0,1.0,0.25368,5.07517,-0.01,0.02013,-0.00383,-0.03421,-0.02059,-0.02147
11,11264,-6.96438,143.5,0.0,0.0,1.764171,-0.005325,0.035715,0.004534,0.31838,0.072937,0.940244,-4.240416,3.861176,-4.343158,4.082776,4.0,0.00029912,8,1477,0.28131,0.36897,0.03191,1.0,0.96875,0.17368,5.11331,-0.01,0.0231,-0.00405,-0.03717,-0.01463,-0.01658
12,12288,-5.95734,103.14286,0.0,0.0,1.560493,-0.004235,0.039108,0.001854,0.28933,0.01355,0.919132,-4.107482,3.640631,-4.232509,3.764704,4.0,0.00029903,7,1541,0.30744,0.40249,0.03,1.0,0.95349,0.26144,4.90122,-0.01,0.01478,-0.00324,-0.03401,-0.0184,-0.01835
13,13312,-6.70401,148.85714,0.0,0.0,1.443669,-0.004882,0.026795,0.003151,0.288029,0.043396,0.94518,-4.216767,3.651479,-4.247608,3.858038,4.0,0.00029895,7,1553,0.30071,0.39293,0.04,1.0,0.95522,0.23392,5.81804,-0.01,0.01577,-0.00401,-0.03322,-0.01668,-0.01696
14,14336,-6.71916,149.75,0.0,0.0,1.592292,-0.006378,0.030094,0.003104,0.287231,0.026611,0.946428,-4.295798,4.025696,-4.306654,4.12683,4.0,0.00029886,8,1514,0.30702,0.39696,0.05,1.0,0.97297,0.44867,5.84364,-0.01,0.01983,-0.00401,-0.03503,-0.01375,-0.01812
15,15360,-6.28112,139.88889,0.0,0.0,1.77502,-0.00459,0.036796,0.003746,0.3189,0.025696,0.927858,-4.443023,3.988144,-4.327091,3.962652,4.0,0.00029877,9,1479,0.31439,0.4021,0.06,1.0,0.975,0.26959,5.7279,-0.01,0.02481,-0.00156,-0.03455,-0.01769,-0.01865
16,16384,-5.54801,98.0,0.0,0.0,1.932882,-0.009557,0.03012,0.007711,0.377998,0.133301,0.939377,-4.449197,4.036418,-4.408202,3.963118,4.0,0.00029868,13,1390,0.32751,0.41703,0.05,1.0,1.0,0.31783,4.79269,-0.01,0.02856,-0.00411,-0.03283,-0.02218,-0.02838
17,17408,-5.71166,100.44444,0.0,0.0,1.942028,-0.00765,0.029793,0.00475,0.32987,0.046875,0.939357,-4.458657,3.767496,-4.473203,3.846388,4.0,0.0002986,9,1297,0.35916,0.44622,0.04,1.0,1.0,0.15472,5.79809,-0.01,0.02563,-0.00409,-0.03779,-0.01601,-0.01917
18,18432,-6.04362,100.72727,0.0,0.0,1.910185,-0.004853,0.025653,0.002609,0.300193,0.019836,0.943791,-4.437083,3.690815,-4.454422,3.680458,4.0,0.00029851,11,1410,0.3037,0.38853,0.04,1.0,1.0,0.199,6.16961,-0.01,0.02202,-0.00231,-0.03391,-0.02023,-0.02393
19,19456,-6.02165,102.11111,0.0,0.0,1.888046,-0.007118,0.021506,0.005692,0.404768,0.0755,0.948782,-4.337073,3.465075,-4.399087,3.527485,4.0,0.00029842,9,1442,0.32705,0.40569,0.04,1.0,1.0,0.33968,5.77989,-0.01,0.02592,-0.00498,-0.03632,-0.0172,-0.01913
20,20480,-5.90921,100.1,0.0,0.0,1.90576,-0.005785,0.018429,0.003488,0.315435,0.044128,0.951882,-4.434011,3.331666,-4.403353,3.409938,4.0,0.00029833,10,1425,0.31918,0.3948,0.04,1.0,1.0,0.17465,6.31714,-0.01,0.02733,-0.0039,-0.03278,-0.01784,-0.02123
21,21504,-5.09484,95.36364,0.0,0.0,1.890319,-0.008165,0.018293,0.005388,0.394906,0.054077,0.955775,-4.447103,3.492044,-4.425776,3.528529,4.0,0.00029824,11,1433,0.32751,0.40623,0.03,1.0,0.97297,0.34656,5.17198,-0.01,0.02538,-0.00244,-0.03338,-0.02024,-0.02364
22,22528,-5.52092,106.33333,0.0,0.0,1.721066,-0.006509,0.019128,0.004684,0.35187,0.055603,0.950387,-4.249072,3.36089,-4.164296,3.390452,4.0,0.00029816,9,1482,0.32296,0.40093,0.03,1.0,1.0,0.37072,4.88502,-0.01,0.02709,-0.00295,-0.03183,-0.01785,-0.02095
23,23552,-4.95325,99.77778,0.0,0.0,1.715464,-0.006736,0.017409,0.005058,0.34094,0.050171,0.952727,-4.106979,3.402839,-4.03414,3.374134,4.0,0.00029807,9,1404,0.33492,0.40667,0.03,1.0,1.0,0.40264,3.84767,-0.01,0.02659,-0.00307,-0.02779,-0.01762,-0.02143
24,24576,-4.02713,105.0,0.0,0.0,1.528839,-0.005434,0.016257,0.003527,0.387065,0.036377,0.946658,-3.594676,3.136508,-3.47871,3.126761,4.0,0.00029798,5,1363,0.33255,0.38943,0.02,1.0,0.92857,0.268,4.86133,-0.01,0.02562,-0.00245,-0.02554,-0.01367,-0.01338
25,25600,-5.17961,156.28571,0.0,0.0,1.475993,-0.006498,0.017399,0.004162,0.391744,0.047241,0.950993,-3.465794,3.054883,-3.539664,3.188407,4.0,0.00029789,7,1515,0.38853,0.44862,0.02,1.0,1.0,0.37104,5.00317,-0.01,0.01987,-0.00473,-0.02594,-0.01559,-0.01639
26,26624,-4.71676,101.88889,0.0,0.0,1.512903,-0.006152,0.016005,0.003595,0.309764,0.041687,0.955703,-3.737591,3.243715,-3.764182,3.343292,4.0,0.00029781,9,1500,0.38164,0.44385,0.01,1.0,1.0,0.42088,5.3288,-0.01,0.02356,-0.00549,-0.02123,-0.01935,-0.02421
27,27648,-5.51141,180.33333,0.0,0.0,1.804401,-0.006874,0.020186,0.003524,0.334918,0.045654,0.931392,-3.973551,2.776587,-3.911027,2.846398,4.0,0.00029772,9,1430,0.34971,0.41678,0.03,0.77778,1.0,0.53908,5.03641,-0.01,0.02964,-0.00278,-0.02504,-0.01734,-0.01572
28,28672,-4.03141,97.71429,0.0,0.0,1.488774,-0.005346,0.019661,0.00337,0.328102,0.047974,0.946459,-3.392126,3.165395,-3.457616,3.395586,4.0,0.00029763,7,1522,0.35997,0.41348,0.03,1.0,1.0,0.57959,4.67849,-0.01,0.01916,-0.00429,-0.02002,-0.01559,-0.01896
29,29696,-4.9723,106.0,0.0,0.0,1.259723,-0.006228,0.020055,0.003341,0.327859,0.039734,0.955519,-3.315088,3.539168,-3.394569,3.843081,4.0,0.00029754,4,1603,0.32772,0.3798,0.03,1.0,1.0,0.36626,5.61922,-0.01,0.01673,-0.00496,-0.01819,-0.013,-0.01253
30,30720,-6.24973,235.85714,0.0,0.0,1.298736,-0.007601,0.025047,0.004485,0.380531,0.064209,0.946205,-3.340755,3.602207,-3.42673,3.711567,4.0,0.00029745,7,1543,0.32619,0.37634,0.04,0.85714,1.0,0.46309,4.1809,-0.01,0.01895,-0.00525,-0.0201,-0.01304,-0.01838
31,31744,-4.21849,116.0,0.0,0.0,1.426514,-0.006927,0.023304,0.00246,0.31882,0.029785,0.933243,-3.351768,3.291279,-3.328345,3.24738,4.0,0.00029737,6,1428,0.29606,0.33995,0.04,1.0,1.0,0.68212,4.79514,-0.01,0.02234,-0.00291,-0.01726,-0.01397,-0.01672
32,32768,-3.87883,146.16667,0.0,0.0,1.809509,-0.006956,0.018567,0.004116,0.390613,0.048035,0.928454,-3.551274,3.036432,-3.407641,2.835044,4.0,0.00029728,12,1370,0.33324,0.38218,0.05,0.91667,1.0,0.6267,2.97227,-0.01,0.03393,-0.0034,-0.01841,-0.01428,-0.0242
33,33792,3.06971,106.22222,0.11111,0.01,1.804855,-0.001601,0.922551,0.002028,1.036091,0.011841,0.166236,-3.395058,2.457389,-2.253468,5.937986,4.0,0.00029719,9,1434,0.32271,0.3652,0.05,1.0,1.0,0.74515,3.14667,-0.01,0.03448,-0.00256,-0.01984,-0.01215,0.0394
