iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-6.71778,100.42857,0.0,0.0,1.991101,-0.009519,0.287887,0.006403,1.156042,0.077942,0.126455,0.629896,0.235735,-0.446086,1.334099,4.0,0.0003,7,1402,0.3279,0.42377,0.0,nan,0,1.0,0.97368,0.31095,5.53007,-0.01,0.02408,-0.00707,-0.03853,-0.01402,-0.01495
2,2048,-6.92353,104.5,0.0,0.0,1.977774,-0.007093,0.138717,0.003218,0.987009,0.044006,0.68609,-0.326981,1.175518,-1.367128,2.099261,4.0,0.00029991,8,1444,0.35764,0.44418,0.0,nan,0,1.0,0.94872,0.23247,4.90283,-0.01,0.02082,-0.00565,-0.04331,-0.0142,-0.01709
3,3072,-7.0728,111.375,0.0,0.0,1.811049,-0.004254,0.104726,0.001659,0.312548,0.004272,0.779557,-1.740682,1.901963,-2.597669,2.61244,4.0,0.00029982,8,1459,0.32792,0.41294,0.0,nan,0,1.0,0.92,0.29508,5.01466,-0.01,0.01486,-0.0032,-0.03948,-0.01661,-0.01857
4,4096,-7.07241,101.2,0.0,0.0,1.832972,-0.003594,0.085033,0.001199,0.290385,0.003296,0.827573,-2.599198,2.382583,-3.3197,3.012194,4.0,0.00029974,10,1456,0.31157,0.40219,0.0,nan,0,1.0,0.97297,0.17333,6.4975,-0.01,0.01371,-0.00524,-0.03756,-0.01971,-0.02301
5,5120,-6.53697,99.0,0.0,0.0,1.862503,-0.005312,0.075307,0.002952,0.311294,0.029297,0.865679,-3.204649,2.852803,-3.756891,3.377635,4.0,0.00029965,9,1462,0.31122,0.39265,0.0,nan,0,1.0,0.95652,0.2454,5.94648,-0.01,0.0177,-0.00413,-0.03774,-0.01782,-0.0205
6,6144,-7.78917,136.6,0.0,0.0,1.978003,-0.004823,0.068208,0.002158,0.328202,0.012451,0.887791,-3.795789,3.281652,-4.084712,3.751467,4.0,0.00029956,10,1410,0.31464,0.39316,0.01923,nan,0,1.0,0.95652,0.22314,5.20268,-0.01,0.02368,-0.00328,-0.04065,-0.01554,-0.01923
7,7168,-6.81269,109.14286,0.0,0.0,1.802561,-0.006528,0.050031,0.004212,0.370362,0.065125,0.907517,-4.208469,3.307816,-4.396738,3.703586,4.0,0.00029947,7,1459,0.30398,0.38337,0.01695,nan,0,1.0,1.0,0.34916,4.56815,-0.01,0.0215,-0.00288,-0.03898,-0.01377,-0.01617
8,8192,-6.20451,115.125,0.0,0.0,1.540929,-0.004508,0.038735,0.003832,0.331227,0.0354,0.919707,-4.090062,3.295622,-4.171097,3.465924,4.0,0.00029939,8,1536,0.27746,0.35247,0.01493,nan,0,1.0,1.0,0.24123,5.20252,-0.01,0.02138,-0.00255,-0.03805,-0.01757,-0.02124
9,9216,-6.17669,99.75,0.0,0.0,1.599993,-0.005158,0.03766,0.005254,0.371178,0.0495,0.929931,-4.30824,3.53468,-4.437691,3.786556,4.0,0.0002993,8,1516,0.29871,0.37291,0.01333,nan,0,1.0,1.0,0.3,5.75756,-0.01,0.02233,-0.00213,-0.0385,-0.01561,-0.02021
10,10240,-6.71572,190.625,0.0,0.0,1.751489,-0.00461,0.04006,0.002535,0.376096,0.016846,0.936115,-4.534203,3.884204,-4.502582,4.094604,4.0,0.00029921,8,1460,0.27791,0.34694,0.03614,nan,0,1.0,1.0,0.28,4.99628,-0.01,0.02609,-0.00073,-0.03877,-0.01406,-0.0141
