iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,-7.55282,94.875,0.0,0.0,2.174277,-0.008428,0.321185,0.004102,1.407389,0.040161,0.076192,0.908772,0.20517,-0.367829,1.369378,4.0,0.0003,8,1077,0.37263,0.53942,0.0,nan,0,1.0,0.97778,0.32727,3.97453,-0.01,0.02384,-0.0081,-0.03954,-0.01419,-0.00911,-0.01665
2,2048,-7.38961,102.375,0.0,0.0,2.149092,-0.006343,0.128551,0.002385,0.85049,0.017944,0.71063,-0.316244,1.263383,-1.380449,2.14644,4.0,0.00029991,8,1114,0.33874,0.50654,0.0,nan,0,1.0,1.0,0.28458,5.0017,-0.01,0.02121,-0.00792,-0.04159,-0.01347,-0.00283,-0.01675
3,3072,-6.92726,96.88889,0.0,0.0,1.979295,-0.004972,0.134996,0.00346,0.706477,0.032227,0.751296,-1.38707,2.064935,-2.430502,2.516499,4.0,0.00029982,9,1134,0.34295,0.53576,0.0,nan,0,1.0,0.975,0.34862,5.50756,-0.01,0.01791,-0.00556,-0.03535,-0.02238,-0.00225,-0.02036
4,4096,-6.65138,101.63636,0.0,0.0,1.803749,-0.006994,0.074436,0.003341,0.417094,0.035156,0.830658,-2.330344,2.134261,-2.916669,2.575648,4.0,0.00029974,11,1163,0.31667,0.50216,0.0,nan,0,1.0,0.95122,0.13218,6.93778,-0.01,0.01963,-0.00358,-0.03308,-0.02065,-0.00284,-0.02716
5,5120,-7.49182,149.875,0.0,0.0,1.8113,-0.005401,0.064126,0.00247,0.354896,0.022949,0.875598,-2.891104,2.489575,-3.374903,3.008256,4.0,0.00029965,8,1169,0.32567,0.50121,0.0,nan,0,1.0,0.95833,0.33935,5.32471,-0.01,0.02176,-0.00414,-0.03787,-0.01489,-0.00469,-0.01937
6,6144,-6.69679,101.55556,0.0,0.0,2.078649,-0.004049,0.058895,0.003008,0.365322,0.041016,0.905945,-3.511558,3.086868,-3.940701,3.580681,4.0,0.00029956,9,1106,0.31132,0.48475,0.0,nan,0,1.0,1.0,0.35088,5.617,-0.01,0.02448,-0.00292,-0.03952,-0.01639,-0.00366,-0.01909
7,7168,-6.36459,100.33333,0.0,0.0,1.918709,-0.00499,0.061741,0.002972,0.371958,0.025208,0.895072,-3.790203,3.210639,-4.003877,3.515806,4.0,0.00029947,9,1138,0.3113,0.48635,0.0,nan,0,1.0,1.0,0.23256,6.22871,-0.01,0.02132,-0.002,-0.03445,-0.01864,-0.00318,-0.0207
8,8192,-5.8718,97.9,0.0,0.0,1.867883,-0.006158,0.056692,0.003271,0.304814,0.023682,0.906523,-3.782888,3.369765,-4.040655,3.746795,4.0,0.00029939,10,1139,0.32697,0.50999,0.0,nan,0,1.0,1.0,0.17857,4.96569,-0.01,0.02211,-0.00264,-0.03542,-0.01666,-0.0036,-0.0235
9,9216,-6.39954,111.33333,0.0,0.0,1.65669,-0.00618,0.041493,0.002853,0.333196,0.039368,0.919094,-3.998918,3.315588,-4.090177,3.475593,4.0,0.0002993,6,1204,0.34963,0.53493,0.0,nan,0,1.0,1.0,0.47426,4.73433,-0.01,0.01976,-0.00372,-0.0308,-0.01592,-0.00338,-0.01597
10,10240,-6.52439,166.16667,0.0,0.0,1.585545,-0.005654,0.040101,0.003706,0.36946,0.045227,0.916143,-3.99264,3.126837,-4.132806,3.338402,4.0,0.00029921,6,1225,0.35195,0.5401,0.0119,nan,0,1.0,1.0,0.46154,5.33588,-0.01,0.01843,-0.00408,-0.03413,-0.00915,-0.00276,-0.01371
11,11264,-7.0822,144.66667,0.0,0.0,1.743247,-0.006021,0.039814,0.003773,0.359195,0.048279,0.919178,-4.179442,3.205459,-4.260051,3.511628,4.0,0.00029912,6,1196,0.34291,0.52061,0.01111,nan,0,1.0,1.0,0.25207,5.09634,-0.01,0.02021,-0.00206,-0.03609,-0.01029,-0.00306,-0.01499
12,12288,-6.34423,151.0,0.0,0.0,1.873139,-0.006849,0.054523,0.00474,0.347379,0.070496,0.902883,-4.270203,3.501325,-4.427462,3.799056,4.0,0.00029903,8,1148,0.35291,0.53341,0.02041,nan,0,1.0,1.0,0.30086,6.80197,-0.01,0.01589,-0.0027,-0.03423,-0.01659,-0.00346,-0.0162
13,13312,-7.43686,136.8,0.0,0.0,2.005468,-0.006582,0.054052,0.006579,0.462886,0.102661,0.912069,-4.405891,3.728982,-4.500768,4.00122,4.0,0.00029895,10,1104,0.32697,0.49877,0.03,nan,0,1.0,1.0,0.27027,6.00546,-0.01,0.02012,-0.00111,-0.03456,-0.01454,-0.00462,-0.01963
14,14336,-6.34527,105.16667,0.0,0.0,1.751008,-0.004249,0.046997,0.004169,0.452947,0.051453,0.90174,-4.261668,3.343098,-4.588748,3.785487,4.0,0.00029886,6,1204,0.33559,0.48801,0.03,nan,0,1.0,1.0,0.27811,6.53151,-0.01,0.0072,-0.00285,-0.03502,-0.00908,-0.0031,-0.01475
15,15360,-4.75754,108.0,0.0,0.0,1.516632,-0.005964,0.043009,0.002841,0.393594,0.039307,0.910201,-4.279777,3.631483,-4.558838,4.127681,4.0,0.00029877,3,1276,0.33054,0.48291,0.03,nan,0,1.0,0.0,0.29878,6.11388,-0.01,0.00496,-0.00266,-0.03205,-0.00384,-0.0018,-0.00837
16,16384,-14.06619,306.8,0.0,0.0,1.458263,-0.005904,0.04024,0.002706,0.325255,0.028625,0.924168,-4.231736,3.755725,-4.240612,3.974531,4.0,0.00029868,5,1286,0.33333,0.50436,0.06,nan,0,0.6,1.0,0.17051,5.71994,-0.01,0.0131,-0.00247,-0.03099,-0.00517,-0.00205,-0.00581
17,17408,-5.4223,144.11111,0.0,0.0,1.467495,-0.006674,0.031889,0.003453,0.34487,0.050598,0.924181,-3.854811,3.465736,-3.803846,3.454017,4.0,0.0002986,9,1270,0.33237,0.49186,0.07,nan,0,0.88889,1.0,0.39405,5.65249,-0.01,0.02096,-0.00166,-0.02863,-0.00971,-0.00365,-0.02315
18,18432,-4.33748,188.5,0.0,0.0,1.468335,-0.005628,0.027737,0.002604,0.308937,0.029053,0.919634,-3.843729,3.049552,-3.961111,3.205525,4.0,0.00029851,4,1288,0.32589,0.49841,0.08,nan,0,1.0,1.0,0.39759,4.95585,-0.01,0.01832,-0.00163,-0.02939,-0.00546,-0.00298,-0.0085
19,19456,-4.48448,218.66667,0.0,0.0,1.187028,-0.005511,0.02672,0.002836,0.366051,0.032776,0.926791,-3.75301,2.965791,-3.925307,3.306682,4.0,0.00029842,3,1380,0.32239,0.50021,0.09,nan,0,1.0,1.0,0.44848,4.81948,-0.01,0.00661,-0.00284,-0.02723,-0.0074,-0.00154,-0.00682
20,20480,-6.66588,273.5,0.0,0.0,0.983813,-0.005991,0.020192,0.00255,0.346413,0.029297,0.945524,-3.631892,3.055227,-3.844322,3.356893,4.0,0.00029833,4,1441,0.34093,0.49949,0.11,nan,0,1.0,1.0,0.31959,6.79097,-0.01,-0.00102,-0.00429,-0.02326,-0.00461,-0.00124,-0.00811
21,21504,-8.23574,324.25,0.0,0.0,1.127742,-0.005697,0.029794,0.004294,0.437632,0.060425,0.923669,-3.859912,3.152287,-4.097737,3.359486,4.0,0.00029824,4,1380,0.3125,0.47429,0.13,nan,0,1.0,1.0,0.22642,10.42774,-0.01,-0.00333,-0.00301,-0.02803,-0.00459,-0.00217,-0.00709
22,22528,-7.04538,214.0,0.0,0.0,1.269269,-0.007095,0.047211,0.004064,0.435329,0.050903,0.851722,-4.162925,3.185564,-4.347464,3.279191,4.0,0.00029816,3,1338,0.3292,0.50539,0.14,nan,0,1.0,0.0,0.30488,7.76311,-0.01,-0.00654,-0.0027,-0.02611,-0.00797,-0.00124,-0.00639
