iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,4.61692,44.72727,0.63636,0.63636,1.423602,-0.043311,111.303251,0.004485,2835,0.14517,0.72727,0.0,-0.01,0.00521,0.00121,-0.01554,-0.32346,0.33751
2,2048,2.56538,39.63636,0.45455,0.54545,1.461882,0.070125,110.249416,0.002569,3141,0.14161,0.72727,0.0,-0.01,0.00823,4e-05,-0.01344,-0.27635,0.33002
3,3072,-6.09596,375.0,0.0,0.52174,1.727017,-0.003414,6.203973,0.008396,5005,0.16813,0.0,0.0,-0.01,0.00353,-0.00399,-0.00611,-0.00071,0.0
4,4096,14.77876,242.2,0.4,0.5,1.565138,-0.002541,51.011006,0.002343,4263,0.12144,0.4,0.0,-0.01,-0.00475,0.00016,-0.00838,-0.08349,0.24493
5,5120,18.84779,266.16667,0.33333,0.47059,1.609946,-0.025483,54.96021,0.003704,3990,0.14155,0.16667,0.0,-0.01,-0.00507,-0.00191,-0.01355,-0.0453,0.26864
6,6144,8.28772,112.6,0.4,0.46154,1.581677,-0.003633,46.541947,0.001587,3964,0.13632,0.6,0.0,-0.01,-0.00524,-0.00026,-0.01172,-0.06585,0.19453
7,7168,-6.25037,211.66667,0.33333,0.44444,1.530664,0.134999,37.963992,0.00226,4732,0.11361,0.5,0.0,-0.01,-0.01501,0.00079,-0.01019,-0.17896,0.12949
8,8192,-1.23389,157.85714,0.42857,0.44231,1.489269,0.027454,58.792945,0.002596,4036,0.11935,0.57143,1.0,-0.01,-0.00654,0.0008,-0.01015,-0.23457,0.2051
9,9216,-1.72761,159.0,0.28571,0.42373,1.435126,-0.00044,41.424999,0.002342,4188,0.122,0.57143,0.0,-0.01,-0.00843,0.00032,-0.01246,-0.1543,0.21726
10,10240,0.75468,156.16667,0.33333,0.41538,1.561452,-0.191543,61.306405,0.001667,4295,0.12741,0.5,0.0,-0.01,-0.00796,-0.0003,-0.01208,-0.2015,0.18404
11,11264,3.98528,192.66667,0.66667,0.42647,1.54325,-0.001402,31.575192,0.003772,5004,0.1498,0.66667,0.0,-0.01,-0.01349,-0.0014,-0.00852,-0.08444,0.16508
12,12288,-0.21982,155.55556,0.55556,0.44156,1.395506,0.013088,63.893433,0.002061,4002,0.14868,0.66667,0.0,-0.01,-0.00621,-0.00018,-0.00962,-0.24281,0.32404
13,13312,-1.6093,155.33333,0.33333,0.43373,1.439828,-0.163485,40.102447,0.001192,4085,0.16635,0.66667,1.0,-0.01,-0.00792,-0.0013,-0.01251,-0.10698,0.13765
14,14336,-11.29307,138.0,0.28571,0.42222,1.505337,0.008961,32.855219,0.002666,4342,0.14762,0.71429,0.0,-0.01,-0.01288,-0.00124,-0.00828,-0.29601,0.10817
15,15360,2.19238,154.66667,0.55556,0.43434,1.429102,-0.007881,42.766613,0.00065,3843,0.13312,0.55556,0.0,-0.01,-0.00923,0.00011,-0.00833,-0.17315,0.29605
16,16384,3.0292,157.0,0.5,0.45,1.581447,0.110577,38.564455,0.003339,3562,0.14286,0.5,1.0,-0.01,-0.01074,-0.00154,-0.00407,-0.15629,0.17291
