iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-5.63799,92.625,0.0,0.0,2.1814,-0.011523,0.515376,0.006558,1485,0.18289,1.0,1.0,0.32692,3.87113,-0.01,0.041,-0.02757,-0.04074,-0.01388,-0.00461
2,2048,-5.65563,94.0,0.0,0.0,2.132485,-0.03342,0.413387,0.002722,1577,0.18114,1.0,1.0,0.26383,5.49736,-0.01,0.03105,-0.02512,-0.03969,-0.01558,-0.00346
3,3072,-5.3128,116.08333,0.0,0.0,2.156896,-0.006483,0.485447,0.002914,1599,0.18771,1.0,0.93182,0.09756,5.90556,-0.01,0.02931,-0.00794,-0.03704,-0.02075,-0.00667
4,4096,-4.496,104.27273,0.0,0.0,2.180142,-0.007219,0.445002,0.004751,1517,0.1837,1.0,0.91667,0.21447,5.45134,-0.01,0.03426,-0.00594,-0.03584,-0.01947,-0.00707
5,5120,-4.22513,100.88889,0.0,0.0,2.092765,-0.05414,0.379931,0.003526,1532,0.19565,1.0,0.92857,0.14783,7.13141,-0.01,0.03263,-0.00741,-0.04109,-0.01574,-0.00478
6,6144,-4.2867,97.83333,0.0,0.0,2.084142,0.000737,0.379937,0.003592,1901,0.19891,1.0,1.0,0.4078,6.59645,-0.01,0.02222,-0.00416,-0.03298,-0.02133,-0.00407
7,7168,-4.40938,99.42857,0.0,0.0,2.085013,-0.007115,0.431328,0.003375,2029,0.20102,1.0,1.0,0.13656,7.86078,-0.01,0.01696,-0.00442,-0.02901,-0.01595,-0.00512
8,8192,-4.37781,152.71429,0.0,0.0,2.06619,-0.029839,0.316197,0.005046,2060,0.20602,1.0,1.0,0.26106,5.65579,-0.01,0.02555,-0.00053,-0.03158,-0.01508,-0.0043
9,9216,-3.45053,160.27273,0.0,0.0,2.093317,-0.004858,0.380332,0.00231,1514,0.21529,1.0,1.0,0.29592,4.12883,-0.01,0.04714,-0.00111,-0.03691,-0.01593,-0.00476
10,10240,-2.46332,101.7,0.0,0.0,2.120142,-0.006467,0.37811,0.006164,1521,0.22309,1.0,1.0,0.2707,5.28057,-0.01,0.04225,-0.00188,-0.03652,-0.01863,-0.00536
11,11264,-2.88962,95.0,0.0,0.0,2.080204,-0.004777,0.291952,0.002413,1511,0.21205,1.0,1.0,0.17201,5.71197,-0.01,0.03836,0.00129,-0.03498,-0.0173,-0.00421
12,12288,-2.68378,103.66667,0.0,0.0,2.075388,-0.006227,0.326535,0.002413,1531,0.21299,1.0,0.0,0.34524,4.42366,-0.01,0.04169,0.00088,-0.0339,-0.02118,-0.00652
13,13312,-1.89801,103.1,0.0,0.0,2.089687,-0.003432,0.339689,0.001497,1512,0.21563,1.0,1.0,0.42857,3.7627,-0.01,0.04525,0.00125,-0.03124,-0.01904,-0.00537
14,14336,-2.17086,96.8,0.0,0.0,2.067227,-0.03364,0.292078,0.004619,1562,0.21194,1.0,1.0,0.28621,5.10814,-0.01,0.03818,-0.00182,-0.03298,-0.01902,-0.00553
15,15360,-2.28451,114.55556,0.0,0.0,2.007811,-0.051815,0.260368,0.006655,1545,0.20875,1.0,1.0,0.31476,4.55224,-0.01,0.04364,0.00118,-0.0299,-0.01784,-0.00489
16,16384,-1.93765,99.18182,0.0,0.0,1.996942,-0.060715,0.288328,0.003956,1465,0.19958,1.0,1.0,0.40634,4.5301,-0.01,0.0418,0.002,-0.02899,-0.01772,-0.00576
17,17408,-1.27256,98.77778,0.0,0.0,1.923437,-0.002339,0.303376,0.001286,1458,0.19268,1.0,0.0,0.47215,4.65221,-0.01,0.04952,0.0013,-0.02758,-0.01761,-0.00523
18,18432,-0.9215,103.45455,0.0,0.0,1.862081,-0.039356,0.216106,0.004186,1503,0.20005,1.0,0.0,0.48421,3.81507,-0.01,0.04977,0.00171,-0.02636,-0.01943,-0.00585
19,19456,-0.47371,98.90909,0.0,0.0,1.832654,-0.003542,0.232066,0.006005,1488,0.19294,1.0,0.0,0.6342,3.30263,-0.01,0.05411,0.00121,-0.02599,-0.0209,-0.00584
20,20480,-0.46017,104.11111,0.0,0.0,1.843353,-0.006865,0.213892,0.005455,1544,0.19017,1.0,0.0,0.65608,3.28652,-0.01,0.05329,0.00065,-0.02321,-0.01526,-0.00588
21,21504,-0.43978,101.27273,0.0,0.0,1.796335,-0.005182,0.207567,0.00737,1511,0.19615,1.0,1.0,0.62955,2.85035,-0.01,0.05058,0.00028,-0.02074,-0.02004,-0.00685
