iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.16249,-0.009786,0.211035,0.004692,0.9181,0.061646,-0.018105,-0.386512,0.160897,-1.638675,1.623441,4.0,0.0003,0,1179,0.33008,0.43799,0.0,nan,0,0.0,0.0,,,-0.01,0.00597,-0.02102,-0.04766,0.0,-0.00172,0.0
2,2048,nan,nan,0.0,0.0,2.081789,-0.005502,0.053143,0.00372,0.811098,0.046692,0.750143,-1.491919,1.753373,-2.783298,3.29742,4.0,0.00029991,0,1161,0.28149,0.38818,0.0,nan,0,0.0,0.0,,,-0.01,0.00418,-0.02086,-0.0518,0.0,-4e-05,0.0
3,3072,-22.63857,300.0,0.0,0.0,2.082799,-0.006159,0.025205,0.005101,0.429904,0.054138,0.901041,-2.807701,3.297045,-3.715588,4.545489,4.0,0.00029982,8,1161,0.2874,0.38181,1.0,nan,0,0.0,0.99133,,,-0.01,0.00636,-0.01383,-0.04709,-0.00089,-0.00324,0.0
4,4096,-13.78623,177.0,0.0,0.0,1.831379,-0.004652,0.039621,0.003771,0.345424,0.044434,0.914305,-3.853764,4.219708,-4.686842,5.274632,4.0,0.00029974,1,1265,0.26455,0.35693,0.88889,nan,0,1.0,1.0,,,-0.01,0.00468,-0.01502,-0.04424,-0.00376,-0.00019,-0.00219
5,5120,-17.23113,293.28571,0.0,0.0,1.631735,-0.005236,0.022729,0.004462,0.364196,0.051819,0.960993,-3.971292,5.264131,-4.477517,5.875679,4.0,0.00029965,7,1313,0.2642,0.34568,0.8125,nan,0,0.42857,0.97126,,,-0.01,0.00655,-0.01164,-0.03635,-0.00596,-0.00324,-0.00494
6,6144,-10.74013,142.33333,0.0,0.0,1.617603,-0.007844,0.037742,0.004044,0.392811,0.072998,0.94697,-4.32312,5.800367,-4.565613,6.082647,4.0,0.00029956,3,1304,0.27924,0.35929,0.68421,nan,0,1.0,1.0,,,-0.01,0.00844,-0.00987,-0.03528,-0.00903,-0.00088,-0.00745
7,7168,-10.29168,200.0,0.0,0.0,1.614549,-0.006494,0.027599,0.004142,0.378354,0.051697,0.954013,-4.546378,5.885979,-4.894932,6.656276,4.0,0.00029947,4,1226,0.25754,0.34329,0.6087,nan,0,0.75,1.0,,,-0.01,0.0081,-0.00556,-0.03854,-0.0029,-0.00187,-0.00717
8,8192,-10.36012,224.8,0.0,0.0,1.783503,-0.00737,0.023168,0.005849,0.365346,0.091248,0.965389,-4.68398,6.949626,-5.175303,7.735694,4.0,0.00029939,5,1249,0.27285,0.35603,0.60714,nan,0,0.6,0.84483,,,-0.01,0.00783,-0.00843,-0.04153,-0.00306,-0.00296,-0.00439
9,9216,-12.47626,256.4,0.0,0.0,1.535352,-0.004402,0.021987,0.004055,0.352114,0.039551,0.967134,-4.453248,6.837921,-4.777651,7.26611,4.0,0.0002993,5,1369,0.26303,0.33853,0.63636,nan,0,0.2,0.90141,,,-0.01,0.00812,-0.00784,-0.03554,-0.0041,-0.0052,-0.0025
10,10240,-10.47182,202.2,0.0,0.0,1.563267,-0.005426,0.030389,0.005134,0.351528,0.067139,0.955893,-4.820557,7.207629,-4.984112,7.431904,4.0,0.00029921,5,1320,0.22716,0.30085,0.60526,nan,0,0.6,0.93103,,,-0.01,0.00689,-0.00604,-0.03543,-0.00588,-0.00225,-0.00731
