iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-5.40059,82.125,0.0,0.0,2.194533,0.199942,0.327392,0.005155,3359,-0.01,0.00046,-0.03224,-0.01177,-0.01453,-0.00457
2,2048,-6.21815,103.2,0.0,0.0,2.204499,-0.007093,0.155763,0.002124,4062,-0.01,0.00135,-0.02413,-0.01357,-0.01308,-0.00291
3,3072,-6.94187,128.63636,0.0,0.0,2.168145,-0.014711,0.167517,0.007253,4050,-0.01,0.00171,-0.0202,-0.01173,-0.0176,-0.00524
4,4096,-4.26662,99.27273,0.0,0.0,2.083778,-0.063306,0.108326,0.010679,4171,-0.01,0.00403,-0.00872,-0.01025,-0.02065,-0.00691
5,5120,-3.20079,71.70588,0.0,0.0,2.067168,-0.034114,0.11728,0.009652,4227,-0.01,0.0055,-0.00289,-0.00778,-0.03488,-0.01186
6,6144,-2.32432,50.71429,0.0,0.0,1.989297,0.092693,0.1467,0.00388,3974,-0.01,0.00788,0.00135,-0.00794,-0.0367,-0.01488
7,7168,-2.12326,52.5,0.0,0.0,1.890435,-0.112549,0.142491,0.010404,3878,-0.01,0.00828,0.00303,-0.00532,-0.03493,-0.01365
8,8192,-1.8673,45.45,0.0,0.0,1.95479,-0.053732,0.135739,0.005783,4025,-0.01,0.00929,0.00373,-0.00434,-0.03126,-0.01282
9,9216,-1.60094,48.21053,0.0,0.0,1.754455,-0.005997,0.137586,0.003875,4332,-0.01,0.01024,0.00645,-0.00477,-0.0331,-0.01305
10,10240,-1.36157,54.65,0.0,0.0,1.670814,-0.007859,0.185693,0.005407,4348,-0.01,0.01019,0.00472,-0.00223,-0.02082,-0.01334
11,11264,-1.29841,51.42857,0.0,0.0,1.575484,0.046633,0.131465,0.007987,4787,-0.01,0.00925,0.00533,-0.00148,-0.02294,-0.01059
12,12288,3.99726,84.92857,0.14286,0.02,1.596302,0.020537,12.308536,0.007834,5018,-0.01,0.00833,0.00409,-0.00164,-0.00622,0.09566
13,13312,3.52235,83.5,0.16667,0.04,1.756772,-0.00083,8.417603,0.002276,4376,-0.01,0.00902,0.0031,-0.00582,-0.00315,0.05748
14,14336,0.24995,75.125,0.125,0.06,1.744607,-0.001708,5.531311,0.00113,4801,-0.01,0.0082,0.00013,-0.00473,-0.01718,0.02709
15,15360,5.55455,58.3125,0.3125,0.11,1.765483,-0.194573,26.152233,0.004114,4224,-0.01,0.01024,0.00536,-0.00232,-0.00775,0.11924
