iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.298173,-0.010235,0.16146,0.005833,0.746583,0.054565,0.134664,-0.301886,0.190715,-1.524437,1.666028,4.0,0.0003,0,562,0.33057,0.4978,0.0,nan,0,0.0,0.0,,,-0.01,0.005,-0.02019,-0.0452,0.0,-0.00282,0.0
2,2048,nan,nan,0.0,0.0,2.204849,-0.003564,0.043838,0.00228,0.615938,0.010925,0.786112,-1.484362,1.839078,-2.595193,3.209342,4.0,0.00029991,0,604,0.33342,0.51227,0.0,nan,0,0.0,0.0,,,-0.01,0.00412,-0.01625,-0.04737,-0.0009,-6e-05,0.0
3,3072,-20.75074,300.0,0.0,0.0,2.196527,-0.008161,0.026949,0.005638,0.473179,0.087402,0.898416,-2.509094,3.164942,-3.451114,4.384161,4.0,0.00029982,8,594,0.33819,0.51357,1.0,nan,0,0.0,0.99013,,,-0.01,0.00638,-0.01583,-0.04492,-0.00048,-0.00377,0.0
4,4096,-13.34087,169.5,0.0,0.0,2.098141,-0.007074,0.036987,0.004482,0.390381,0.068909,0.921807,-3.452041,4.276444,-4.304506,5.33482,4.0,0.00029974,2,584,0.30553,0.47233,0.8,nan,0,1.0,1.0,,,-0.01,0.00585,-0.01324,-0.04623,-0.00578,-0.00086,-0.00416
5,5120,-16.98304,275.28571,0.0,0.0,1.661294,-0.005679,0.039349,0.004211,0.329898,0.070312,0.932054,-4.053013,4.695261,-4.555081,5.092336,4.0,0.00029965,7,646,0.29889,0.47621,0.76471,nan,0,0.57143,1.0,,,-0.01,0.00638,-0.00986,-0.0357,-0.01196,-0.00243,-0.00522
6,6144,-11.51145,169.0,0.0,0.0,1.97883,-0.004133,0.024786,0.004139,0.355538,0.025391,0.952596,-5.063035,5.336288,-5.526505,6.169105,4.0,0.00029956,2,601,0.2917,0.46259,0.68421,nan,0,1.0,1.0,,,-0.01,0.0087,-0.00901,-0.0418,-0.00601,-0.00087,-0.00435
7,7168,-12.90047,225.28571,0.0,0.0,1.609587,-0.006332,0.029286,0.005055,0.364984,0.080261,0.944168,-5.035382,5.405339,-5.283482,5.780035,4.0,0.00029947,7,644,0.29053,0.46217,0.5,nan,0,1.0,1.0,,,-0.01,0.00862,-0.00798,-0.03551,-0.01194,-0.00254,-0.01834
8,8192,-8.42416,135.66667,0.0,0.0,1.587753,-0.006303,0.03234,0.004132,0.36542,0.062561,0.939811,-5.018202,5.731682,-4.928599,5.833116,4.0,0.00029939,6,630,0.28247,0.45254,0.40625,nan,0,1.0,1.0,,,-0.01,0.01121,-0.00458,-0.03383,-0.01434,-0.00242,-0.01582
9,9216,-7.7124,149.44444,0.0,0.0,1.559967,-0.006631,0.037082,0.004514,0.449262,0.057861,0.933172,-5.132071,6.051929,-4.967109,5.968374,4.0,0.0002993,9,620,0.25639,0.42305,0.31707,nan,0,1.0,0.96875,,,-0.01,0.01282,-0.00404,-0.03367,-0.01537,-0.00308,-0.02358
10,10240,-6.23454,90.07692,0.0,0.0,1.558966,-0.007931,0.045601,0.007302,0.611792,0.123657,0.879455,-4.670507,5.82712,-4.313891,5.198667,4.0,0.00029921,13,624,0.25064,0.42577,0.24074,nan,0,1.0,1.0,,,-0.01,0.01347,-0.00282,-0.02957,-0.02571,-0.0039,-0.03342
11,11264,-6.63797,110.875,0.0,0.0,1.465604,-0.006277,0.029561,0.006076,0.44869,0.103394,0.901587,-4.303807,5.075588,-3.991393,4.544949,4.0,0.00029912,8,636,0.25514,0.42969,0.20968,nan,0,1.0,1.0,,,-0.01,0.01215,-0.0018,-0.03425,-0.01561,-0.00214,-0.02088
12,12288,-5.68464,100.0,0.0,0.0,1.376631,-0.006597,0.032521,0.003714,0.377123,0.0625,0.873047,-3.436503,3.677586,-3.495965,3.901369,4.0,0.00029903,3,664,0.28405,0.46998,0.2,nan,0,1.0,1.0,,,-0.01,0.00873,-0.00426,-0.0336,-0.00573,-0.00324,-0.00823
13,13312,-8.01333,207.625,0.0,0.0,1.201335,-0.005251,0.015848,0.003057,0.32998,0.042236,0.903506,-2.896433,3.534173,-2.878353,3.21586,4.0,0.00029895,8,683,0.29467,0.48942,0.21918,nan,0,0.625,0.92593,,,-0.01,0.00978,-0.0034,-0.02681,-0.01393,-0.00223,-0.01567
14,14336,-5.65471,156.5,0.0,0.0,1.231589,-0.004435,0.018808,0.003009,0.369891,0.03717,0.887025,-3.094061,2.805188,-3.250249,3.006713,4.0,0.00029886,4,704,0.31768,0.51382,0.20779,nan,0,1.0,1.0,,,-0.01,0.00962,-0.00337,-0.03344,-0.00504,-0.00218,-0.01212
15,15360,-9.04173,268.33333,0.0,0.0,1.005259,-0.004281,0.009238,0.001783,0.30793,0.018921,0.933863,-2.500971,2.485119,-2.638931,2.675858,4.0,0.00029877,3,762,0.35016,0.55571,0.225,nan,0,0.66667,1.0,,,-0.01,0.00686,-0.00618,-0.02641,-0.0063,-0.0007,-0.00364
16,16384,-5.53397,300.0,0.0,0.0,1.133542,-0.003784,0.014158,0.00287,0.396569,0.031738,0.932416,-2.772851,3.050988,-3.019558,3.593935,4.0,0.00029868,3,721,0.30076,0.47257,0.25301,nan,0,0.0,1.0,,,-0.01,0.00837,-0.00447,-0.0329,0.00092,-0.00138,0.0
17,17408,-5.16969,274.0,0.0,0.0,1.342453,-0.007176,0.017036,0.006291,0.432156,0.104614,0.950119,-3.496369,3.938862,-3.845642,4.714249,4.0,0.0002986,3,697,0.28701,0.47163,0.26744,nan,0,0.33333,1.0,,,-0.01,0.00782,-0.00247,-0.03673,-0.00062,-0.00111,-0.00269
18,18432,-10.80149,290.4,0.0,0.0,1.523255,-0.005249,0.021088,0.004732,0.403519,0.061218,0.962789,-3.952637,5.182318,-4.189964,5.731299,4.0,0.00029851,5,649,0.26957,0.44938,0.2967,nan,0,0.2,1.0,,,-0.01,0.00892,-0.00156,-0.03523,-0.00162,-0.00295,-0.00242
19,19456,-8.24399,234.75,0.0,0.0,1.190265,-0.005028,0.02309,0.00407,0.346888,0.049622,0.959829,-3.496162,5.021504,-3.692168,5.457553,4.0,0.00029842,4,699,0.29056,0.47612,0.29474,nan,0,0.75,1.0,,,-0.01,0.00961,-0.0016,-0.03424,-0.00363,-0.00427,-0.00875
20,20480,-8.94381,268.2,0.0,0.0,1.294908,-0.004463,0.024799,0.00255,0.349575,0.030762,0.961352,-4.260408,5.609113,-4.378961,5.851982,4.0,0.00029833,5,655,0.27478,0.47638,0.32,nan,0,0.2,0.8,,,-0.01,0.00969,-0.00132,-0.03449,-0.0013,-0.00168,-0.00266
21,21504,-7.36633,200.5,0.0,0.0,1.164884,-0.005369,0.027464,0.003349,0.367921,0.036804,0.953082,-3.901803,5.31449,-3.94694,5.386675,4.0,0.00029824,4,696,0.26532,0.46899,0.29,nan,0,1.0,1.0,,,-0.01,0.0093,-0.00069,-0.03247,-0.00215,-0.00317,-0.00881
22,22528,-7.84251,283.75,0.0,0.0,1.147734,-0.007647,0.014996,0.00566,0.442573,0.091064,0.971431,-3.886247,5.260335,-4.141945,5.777151,4.0,0.00029816,4,717,0.30087,0.50853,0.28,nan,0,0.25,1.0,,,-0.01,0.00707,-0.00175,-0.03126,0.00138,-0.00279,-0.00303
23,23552,-6.08411,275.0,0.0,0.0,1.221881,-0.006525,0.026987,0.003216,0.445771,0.045471,0.96275,-4.594152,6.076238,-4.928812,6.687901,4.0,0.00029807,3,687,0.311,0.51774,0.3,nan,0,0.33333,1.0,,,-0.01,0.00571,-0.00183,-0.03553,-0.00251,-0.00305,-0.00287
24,24576,-12.54649,300.0,0.0,0.0,1.334064,-0.005563,0.022665,0.003559,0.389189,0.056335,0.967595,-5.010046,6.130566,-5.16806,6.391429,4.0,0.00029798,3,677,0.28543,0.46182,0.3,nan,0,0.33333,0.5,,,-0.01,0.0063,-0.00194,-0.03381,-0.00113,-0.0017,0.0
25,25600,-8.20116,300.0,0.0,0.0,1.448496,-0.005974,0.013929,0.005352,0.438588,0.075195,0.979689,-5.126252,6.377025,-5.545751,6.901827,4.0,0.00029789,4,653,0.25935,0.43183,0.32,nan,0,0.25,0.66667,,,-0.01,0.00413,-0.00159,-0.03311,0.00136,-0.00287,0.0
26,26624,-9.94892,300.0,0.0,0.0,1.491151,-0.004262,0.018557,0.001925,0.3906,0.013794,0.974576,-5.2948,6.665629,-5.619455,7.136564,4.0,0.00029781,2,654,0.26861,0.43089,0.34,nan,0,0.0,1.0,,,-0.01,0.00551,-0.00206,-0.03459,-0.0005,-0.00321,0.0
27,27648,-10.63458,300.0,0.0,0.0,1.474748,-0.003716,0.015657,0.004062,0.378747,0.04126,0.980002,-5.018752,6.884546,-5.384552,7.44572,4.0,0.00029772,5,661,0.24346,0.39402,0.39,nan,0,0.0,1.0,,,-0.01,0.00588,-0.00168,-0.03091,0.00091,-0.00285,0.0
