iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,39.66528,107.16667,1.0,1.0,1.164489,-0.006377,13.334937,0.001951,3146,0.14757,-0.01,0.01096,-0.0016,-0.00172,0.00223,0.25999
2,2048,35.88754,127.625,1.0,1.0,1.231166,-0.000846,13.692,0.000687,3219,0.14095,-0.01,0.0094,-0.00204,-0.00155,0.00317,0.32111
3,3072,45.69077,105.125,1.0,1.0,1.224437,-0.001754,16.099417,0.001366,3245,0.16034,-0.01,0.01154,-0.00336,-0.00126,0.00393,0.39616
4,4096,22.47783,115.0,0.72727,0.90909,1.154649,-0.05983,26.292526,0.002195,3236,0.15872,-0.01,0.00937,-0.00401,-0.00072,-0.02473,0.31743
5,5120,24.18228,117.25,0.75,0.87805,1.208514,-0.061175,27.445054,0.002637,3264,0.14548,-0.01,0.00825,-0.00105,-0.00118,-0.03047,0.26299
6,6144,32.14025,112.83333,0.83333,0.87234,1.318975,-0.016354,19.630522,0.001263,3263,0.14242,-0.01,0.00919,-0.00435,-0.00207,-0.01078,0.23295
7,7168,43.8607,127.11111,1.0,0.89286,1.266696,0.001748,18.444378,0.002238,3209,0.16362,-0.01,0.00902,-0.00592,-0.00157,0.00392,0.45333
8,8192,24.98279,172.85714,0.85714,0.88889,1.265396,-0.001157,19.249388,0.000441,3413,0.15101,-0.01,0.00859,-0.00894,-0.00124,-0.02304,0.24569
9,9216,15.30405,105.77778,0.55556,0.84722,1.164642,-0.076654,23.940228,0.00086,3122,0.14519,-0.01,0.0085,-0.00163,-0.00094,-0.03672,0.1944
10,10240,43.21666,110.2,1.0,0.86585,1.214835,-0.000466,16.560721,0.001204,3234,0.15636,-0.01,0.00956,-0.002,-0.00157,0.00322,0.47354
11,11264,42.95032,126.375,1.0,0.87778,1.223105,0.048031,14.665948,0.001274,3142,0.16314,-0.01,0.00767,-0.00355,-0.0014,0.00509,0.37209
12,12288,25.56583,124.125,0.875,0.87755,1.16938,-0.001114,14.460947,0.000716,3564,0.15701,-0.01,0.00751,-0.00322,-0.00158,-0.00894,0.26728
13,13312,36.36602,148.42857,0.85714,0.87,1.269976,0.007274,17.314535,0.004729,3232,0.15682,-0.01,0.0078,-0.00428,-0.00142,0.00424,0.29397
14,14336,35.66606,125.375,1.0,0.87,1.153712,-0.05847,16.556774,0.001721,3287,0.1479,-0.01,0.00975,-0.00334,-0.00118,0.00512,0.33266
15,15360,42.99237,96.4,0.9,0.86,1.1836,-0.002038,28.463609,0.001484,3288,0.15349,-0.01,0.0103,-0.00149,-0.00127,-0.00596,0.49815
16,16384,33.09587,124.77778,1.0,0.88,1.214751,-0.030323,16.321168,0.001366,3348,0.14525,-0.01,0.00916,-0.00301,-0.0008,0.00192,0.36178
17,17408,33.49975,108.0,1.0,0.91,1.131727,-0.042358,17.378685,0.001506,3325,0.15238,-0.01,0.00874,-0.00203,-0.0011,-0.0186,0.38252
18,18432,36.99635,119.125,0.875,0.91,1.165312,-0.001748,16.378296,0.001102,3243,0.16826,-0.01,0.00802,-0.00154,-0.00253,0.00427,0.33319
19,19456,38.65483,106.88889,1.0,0.91,1.176967,-0.000657,20.77864,0.000928,3264,0.1764,-0.01,0.00913,-0.00221,-0.00142,-0.01996,0.40588
20,20480,24.9277,150.55556,0.77778,0.92,1.070849,0.077034,13.982731,0.001019,3250,0.15674,-0.01,0.00792,-0.00104,-0.00141,0.00018,0.29368
21,21504,19.02765,104.625,0.625,0.91,1.169838,-0.000136,31.490919,0.002039,3304,0.13978,-0.01,0.0098,0.00195,-0.00223,-0.0332,0.21078
22,22528,23.75228,103.1,0.8,0.89,1.159537,-0.000904,26.711461,0.000484,3285,0.15041,-0.01,0.01091,-0.00018,-0.00131,-0.01569,0.29802
23,23552,19.5953,97.22222,0.55556,0.86,1.17909,-0.023753,29.091898,0.001154,3167,0.14553,-0.01,0.00779,-0.00285,-0.00227,-0.02983,0.23055
24,24576,41.45866,114.0,1.0,0.86,1.17062,-3e-06,17.32854,0.000964,3217,0.1553,-0.01,0.00729,-0.00155,-0.00126,0.00379,0.4156
25,25600,29.40958,138.25,0.75,0.85,1.171731,0.103823,27.210034,0.000394,3306,0.16198,-0.01,0.00839,-0.00346,-0.00214,-0.00703,0.28828
26,26624,32.75953,124.0,0.875,0.84,1.158857,0.001168,21.403088,0.00064,3067,0.15143,-0.01,0.00781,-0.00292,-0.00202,-0.0037,0.2949
27,27648,35.23435,128.66667,0.88889,0.84,1.149309,-0.004582,12.863942,0.000861,3163,0.14882,-0.01,0.00776,-0.00056,-0.00155,0.00225,0.35663
28,28672,27.75475,103.27273,0.81818,0.82,1.139048,-0.042085,21.62878,0.000653,3123,0.12879,-0.01,0.00885,-0.00088,-0.0012,-0.01315,0.354
29,29696,43.73421,101.0,1.0,0.83,1.245446,0.084964,19.863936,0.001254,3211,0.14136,-0.01,0.00776,-0.00177,-0.00126,0.00082,0.39534
30,30720,22.46042,108.28571,0.71429,0.81,1.215103,-0.000798,20.677079,0.002412,3534,0.15096,-0.01,0.00786,-0.00409,-0.00208,-0.02363,0.22901
31,31744,33.04547,138.9,1.0,0.83,1.193198,-0.000984,14.585066,0.000297,3330,0.13278,-0.01,0.00828,-0.0019,-0.00186,0.00088,0.39862
32,32768,30.46723,123.33333,0.88889,0.84,1.154742,-0.116809,18.097587,0.001691,3277,0.13989,-0.01,0.00955,-0.003,-0.00097,-0.00698,0.33973
