iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.017437,-0.007488,0.599744,0.003945,3057,0.20044,0.0,0.0,-0.01,0.00471,-0.03568,-0.04023,-0.00047,0.0
2,2048,nan,nan,0.0,0.0,1.982335,-0.004111,0.458562,0.001806,3268,0.20897,0.0,0.0,-0.01,0.00528,-0.03103,-0.04398,-0.00049,0.0
3,3072,-23.55902,300.0,0.0,0.0,1.967342,-0.004164,0.408458,0.002441,2982,0.20409,0.0,0.9966,-0.01,0.00375,-0.02906,-0.04075,0.0,0.0
4,4096,nan,nan,0.0,0.0,1.925298,-0.005073,0.321477,0.002562,3153,0.19629,0.0,0.0,-0.01,0.00389,-0.01975,-0.04446,0.0,0.0
5,5120,-21.12496,300.0,0.0,0.0,1.896959,-0.006826,0.251913,0.004171,3074,0.20068,0.0,1.0,-0.01,0.00519,-0.0167,-0.04135,0.0,0.0
6,6144,nan,nan,0.0,0.0,1.889975,-0.006272,0.172534,0.003398,2968,0.19702,0.0,0.0,-0.01,0.00693,-0.01312,-0.04588,0.0,0.0
7,7168,nan,nan,0.0,0.0,1.851435,-0.009667,0.138088,0.006583,3192,0.19751,0.0,0.0,-0.01,0.00529,-0.01355,-0.04216,0.0,0.0
8,8192,-17.81415,300.0,0.0,0.0,1.82249,-0.008101,0.084826,0.005345,3086,0.18677,0.0,1.0,-0.01,0.0046,-0.00823,-0.03669,0.0,0.0
9,9216,nan,nan,0.0,0.0,1.734879,-0.01008,0.071856,0.006003,3160,0.19824,0.0,0.0,-0.01,0.00461,-0.00823,-0.03797,0.0,0.0
10,10240,-14.98342,300.0,0.0,0.0,1.756003,-0.014422,0.063053,0.008077,3116,0.19263,0.0,1.0,-0.01,0.00732,-0.00472,-0.0308,0.0,0.0
11,11264,-14.22627,195.0,0.0,0.0,1.738387,-0.008151,0.756836,0.003361,3573,0.17112,1.0,1.0,-0.01,0.00793,-0.00399,-0.02142,-0.02359,-0.00114
12,12288,-8.79262,262.85714,0.0,0.0,1.720678,0.01671,0.788436,0.00231,3841,0.18311,0.28571,1.0,-0.01,0.00782,-0.00329,-0.01382,-0.02353,-0.00142
