iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.017394,-0.007537,0.602114,0.003983,2863,0.20044,0.0,0.0,-0.01,0.00471,-0.03568,-0.0409,-0.00047,0.0
2,2048,nan,nan,0.0,0.0,1.981705,-0.003895,0.453764,0.001749,2982,0.20948,0.0,0.0,-0.01,0.0053,-0.0314,-0.04392,-0.00049,0.0
3,3072,-23.70027,300.0,0.0,0.0,1.968325,-0.004207,0.41208,0.00238,2887,0.20384,0.0,0.99663,-0.01,0.00357,-0.02919,-0.04103,0.0,0.0
4,4096,nan,nan,0.0,0.0,1.927282,-0.006496,0.35931,0.002524,2925,0.19971,0.0,0.0,-0.01,0.00381,-0.02087,-0.04522,0.0,0.0
5,5120,-21.45547,300.0,0.0,0.0,1.899401,-0.009193,0.238306,0.004421,2785,0.2019,0.0,1.0,-0.01,0.0041,-0.01644,-0.04089,0.0,0.0
6,6144,nan,nan,0.0,0.0,1.893757,-0.004833,0.166237,0.003934,2949,0.19287,0.0,0.0,-0.01,0.00618,-0.01221,-0.04463,0.0,0.0
7,7168,nan,nan,0.0,0.0,1.85331,-0.060555,0.127698,0.0064,2949,0.19544,0.0,0.0,-0.01,0.00546,-0.01322,-0.04157,-0.00044,0.0
8,8192,-17.51325,300.0,0.0,0.0,1.856922,-0.005611,0.101102,0.004554,2699,0.18109,0.0,1.0,-0.01,0.00609,-0.00829,-0.03844,-0.00039,0.0
9,9216,nan,nan,0.0,0.0,1.771541,-0.010195,0.133292,0.007151,2991,0.19745,0.0,0.0,-0.01,0.00626,-0.00899,-0.03786,-0.00234,0.0
10,10240,-15.27822,294.125,0.0,0.0,1.767301,-0.028304,0.110903,0.004838,2938,0.16679,0.125,1.0,-0.01,0.00535,-0.0043,-0.02908,-0.00762,-0.00051
11,11264,-14.02812,198.0,0.0,0.0,1.725203,0.19318,1.741656,0.003129,3311,0.18027,1.0,1.0,-0.01,0.00466,-0.00437,-0.02676,-0.01416,-0.00056
