iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.158531,-0.010705,1.525188,0.006175,1587,0.18726,0.0,0.0,,,-0.01,0.00943,-0.08213,-0.04727,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.170215,0.055978,1.508815,0.00283,1635,0.17789,0.0,0.0,,,-0.01,0.00751,-0.0667,-0.04822,-0.00047,0.0
3,3072,-36.05064,300.0,0.0,0.0,2.11231,0.042255,1.016377,0.006778,1599,0.17432,0.0,1.0,,,-0.01,0.00863,-0.05562,-0.04757,-0.00128,0.0
4,4096,-13.18575,197.0,0.0,0.0,2.098533,-0.042031,0.871386,0.004411,1711,0.16903,1.0,1.0,,,-0.01,0.00809,-0.04186,-0.04376,-0.00583,-0.00053
5,5120,-24.71035,288.71429,0.0,0.0,2.042959,-0.044913,0.666408,0.00586,1892,0.16348,0.57143,0.99415,,,-0.01,0.0088,-0.03327,-0.03952,-0.0075,-0.00062
6,6144,-9.8992,141.5,0.0,0.0,1.991578,-0.0014,0.940575,0.006027,1922,0.16847,1.0,1.0,,,-0.01,0.0104,-0.02062,-0.0376,-0.01357,-0.00371
7,7168,-9.05607,140.28571,0.0,0.0,2.030754,-0.018931,0.96585,0.003257,1863,0.17508,0.85714,1.0,,,-0.01,0.01155,-0.01871,-0.03608,-0.01658,-0.0036
8,8192,-6.26342,93.83333,0.0,0.0,1.859346,-0.046872,0.504306,0.006913,2502,0.19123,1.0,1.0,,,-0.01,0.0087,-0.01424,-0.03129,-0.01582,-0.00501
9,9216,-6.13464,169.63636,0.0,0.0,1.933745,0.038617,0.596595,0.003241,2177,0.1831,0.90909,1.0,,,-0.01,0.01303,-0.00862,-0.02746,-0.02034,-0.00521
10,10240,-4.25297,81.0,0.0,0.0,1.803533,-0.005955,0.537882,0.005869,1953,0.16819,1.0,1.0,,,-0.01,0.01118,-0.0051,-0.03191,-0.02277,-0.00589
11,11264,-3.81013,80.41667,0.0,0.0,1.760772,-0.004121,0.391251,0.002497,2043,0.17221,1.0,1.0,,,-0.01,0.01297,-0.00569,-0.02602,-0.0304,-0.0084
12,12288,-3.5336,73.57143,0.0,0.0,1.662536,-0.00694,0.261527,0.007567,1790,0.17108,1.0,1.0,,,-0.01,0.01345,0.00059,-0.02358,-0.03665,-0.01246
13,13312,-3.2072,60.8,0.0,0.0,1.622677,-0.004969,0.300368,0.00424,1921,0.16444,1.0,1.0,,,-0.01,0.01242,0.00129,-0.0241,-0.03682,-0.00979
14,14336,-2.99681,57.42857,0.0,0.0,1.600067,-0.015248,0.182245,0.00539,2140,0.16909,1.0,1.0,,,-0.01,0.00986,-0.00042,-0.02036,-0.03464,-0.01045
15,15360,-3.0981,90.0,0.0,0.0,1.540876,0.069702,0.221989,0.007024,2080,0.16596,1.0,1.0,,,-0.01,0.01016,0.0014,-0.02038,-0.02957,-0.00782
16,16384,-3.38364,72.35714,0.0,0.0,1.556003,0.105089,0.203024,0.008853,1946,0.17539,1.0,1.0,,,-0.01,0.01005,-0.00044,-0.02172,-0.03129,-0.00921
17,17408,-3.1129,67.4375,0.0,0.0,1.44979,-0.007074,0.196099,0.007473,2029,0.1552,1.0,0.0,,,-0.01,0.01392,0.00134,-0.01915,-0.03773,-0.01124
18,18432,-2.72566,79.75,0.0,0.0,1.407596,-0.006835,0.202392,0.004531,2365,0.14054,0.91667,1.0,,,-0.01,0.01325,0.00066,-0.0168,-0.0295,-0.00915
19,19456,-2.96535,75.28571,0.0,0.0,1.426116,0.045376,0.206506,0.005408,1997,0.13293,1.0,1.0,,,-0.01,0.01098,0.0023,-0.02439,-0.0286,-0.0094
20,20480,-2.89515,66.0,0.0,0.0,1.555972,-0.00456,0.29438,0.004799,1858,0.14556,1.0,0.0,,,-0.01,0.0114,0.0019,-0.0206,-0.02147,-0.0078
21,21504,-3.19239,95.2,0.0,0.0,1.489049,-0.006474,0.27879,0.004575,2261,0.14958,1.0,0.0,,,-0.01,0.01139,0.00144,-0.02002,-0.02124,-0.00735
22,22528,-2.68491,141.75,0.0,0.0,1.594525,-0.127729,0.185589,0.004624,2331,0.1471,0.875,1.0,,,-0.01,0.01402,0.0027,-0.01671,-0.0124,-0.00527
23,23552,-2.54548,101.4,0.0,0.0,1.442749,0.017199,0.211351,0.004433,2296,0.15154,1.0,0.0,,,-0.01,0.01118,0.00195,-0.01843,-0.01893,-0.00779
24,24576,-2.64547,173.8,0.0,0.0,1.499305,-0.01546,0.196246,0.004882,2369,0.12568,1.0,0.0,,,-0.01,0.01202,0.00154,-0.02148,-0.00806,-0.00312
25,25600,-3.13354,124.77778,0.0,0.0,1.493371,-0.058216,0.203388,0.004325,2239,0.1298,1.0,0.0,,,-0.01,0.01231,0.00149,-0.01946,-0.01179,-0.00585
26,26624,-2.6019,125.375,0.0,0.0,1.474231,-0.038749,0.187336,0.002497,2014,0.14091,1.0,1.0,,,-0.01,0.01228,0.00124,-0.01888,-0.01161,-0.00454
27,27648,-4.12396,172.2,0.0,0.0,1.310534,0.04782,0.159106,0.003147,2387,0.12818,1.0,1.0,,,-0.01,0.01008,0.00259,-0.01856,-0.00789,-0.00231
28,28672,-2.13804,131.42857,0.0,0.0,1.388238,-0.00489,0.155922,0.00525,2403,0.11368,1.0,0.0,,,-0.01,0.01043,0.00191,-0.0168,-0.0059,-0.00462
29,29696,-2.88938,143.57143,0.0,0.0,1.314681,-0.036919,0.208119,0.003058,2155,0.11293,0.71429,0.0,,,-0.01,0.01001,0.00257,-0.02182,-0.00606,-0.00341
30,30720,-3.17881,175.75,0.0,0.0,1.408599,0.013574,0.216189,0.005541,2451,0.12617,0.75,0.0,,,-0.01,0.00906,0.00074,-0.02678,-0.00083,-0.00216
31,31744,-5.8238,300.0,0.0,0.0,1.304157,-0.072114,0.20547,0.005453,2557,0.12428,0.0,0.0,,,-0.01,0.00775,0.00036,-0.02368,-0.00142,0.0
32,32768,-2.80117,169.4,0.0,0.0,1.376502,-0.003254,0.171853,0.002472,2382,0.10622,0.8,0.0,,,-0.01,0.00917,0.00117,-0.0225,-0.00264,-0.00218
33,33792,-2.66521,188.33333,0.0,0.0,1.43747,-0.034669,0.429422,0.006147,2262,0.11915,0.66667,0.0,,,-0.01,0.00924,0.00128,-0.0245,-0.00091,-0.00202
34,34816,-5.46189,254.6,0.0,0.0,1.430537,-0.062401,0.221835,0.002964,2215,0.1135,0.2,0.5,,,-0.01,0.01043,-0.00139,-0.02681,-0.0,-0.00066
