iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.310198,-0.008787,0.276026,0.005459,1.520766,0.051147,0.021448,0.972823,0.167808,-0.32306,1.678831,4.0,0.0003,0,571,0.36523,0.53467,0.0,nan,0,0.0,0.0,,,-0.01,0.00642,-0.02029,-0.04774,0.0,-0.00483,0.0
2,2048,nan,nan,0.0,0.0,2.289903,-0.005486,0.055825,0.002112,0.806336,0.005188,0.753369,-0.193975,1.763601,-1.441283,3.260518,4.0,0.00029898,0,584,0.35076,0.51783,0.0,nan,0,0.0,0.0,,,-0.01,0.00633,-0.02036,-0.04923,-0.00046,-4e-05,0.0
3,3072,-22.23622,300.0,0.0,0.0,2.231326,-0.006025,0.0311,0.003613,0.476001,0.024902,0.899597,-1.296833,3.185194,-2.257906,4.364069,4.0,0.00029795,8,584,0.33391,0.50978,1.0,nan,0,0.0,0.99413,,,-0.01,0.00609,-0.01575,-0.04484,-0.00089,-0.00256,0.0
4,4096,-12.61209,178.0,0.0,0.0,1.94007,-0.004062,0.037794,0.002041,0.370246,0.010925,0.922753,-1.95377,4.037585,-2.755123,4.880781,4.0,0.00029693,2,643,0.32272,0.49426,0.8,nan,0,1.0,0.96296,,,-0.01,0.00566,-0.01437,-0.03985,-0.00703,-0.00053,-0.00459
5,5120,-16.6506,289.66667,0.0,0.0,1.882525,-0.006112,0.022236,0.002744,0.370517,0.028809,0.948527,-2.73825,4.820785,-3.577222,5.81338,4.0,0.0002959,6,601,0.35074,0.51649,0.8125,nan,0,0.33333,0.99359,,,-0.01,0.00653,-0.01496,-0.04336,-0.00258,-0.00239,-0.00233
6,6144,-12.86208,168.66667,0.0,0.0,1.98614,-0.004071,0.046485,0.002689,0.323504,0.013977,0.934995,-4.067318,5.802736,-4.769005,6.47404,4.0,0.00029488,3,609,0.34724,0.52403,0.68421,nan,0,1.0,1.0,,,-0.01,0.00776,-0.01162,-0.04114,-0.00874,-0.00286,-0.00663
7,7168,-12.62437,188.55556,0.0,0.0,1.908997,-0.006426,0.040119,0.00489,0.371749,0.079102,0.946535,-4.382706,6.476641,-4.713949,6.796821,4.0,0.00029386,9,586,0.35645,0.53212,0.53571,nan,0,0.88889,0.98925,,,-0.01,0.00857,-0.00851,-0.03847,-0.01229,-0.00364,-0.01592
8,8192,-9.07331,133.2,0.0,0.0,1.686818,-0.005703,0.035723,0.003624,0.31676,0.031311,0.940918,-4.340573,6.139994,-4.609155,6.437194,4.0,0.00029283,5,624,0.36862,0.54789,0.45455,nan,0,1.0,1.0,,,-0.01,0.00876,-0.00838,-0.03776,-0.01323,-0.00551,-0.0126
9,9216,-8.15272,140.88889,0.0,0.0,1.585871,-0.005498,0.037701,0.00385,0.299588,0.036194,0.925773,-4.077745,6.043615,-4.208601,5.987075,4.0,0.00029181,9,658,0.33144,0.51389,0.38095,nan,0,0.88889,1.0,,,-0.01,0.00895,-0.00631,-0.03546,-0.01637,-0.00398,-0.02143
10,10240,-10.0706,173.66667,0.0,0.0,1.489027,-0.004363,0.030528,0.00294,0.350312,0.032593,0.928283,-3.979267,5.499957,-4.044799,5.414211,4.0,0.00029078,3,657,0.33567,0.51803,0.37778,nan,0,0.66667,1.0,,,-0.01,0.0103,-0.0058,-0.03408,-0.01209,-0.00123,-0.0056
11,11264,-8.05884,149.42857,0.0,0.0,1.36873,-0.003806,0.025279,0.002553,0.289509,0.030273,0.925283,-4.042261,5.071933,-4.039396,4.90558,4.0,0.00028976,7,701,0.32055,0.49829,0.34615,nan,0,1.0,0.87097,,,-0.01,0.00898,-0.00618,-0.02965,-0.01274,-0.0048,-0.01823
12,12288,-7.93065,232.8,0.0,0.0,1.493821,-0.005778,0.024684,0.003271,0.346557,0.061218,0.932852,-4.401469,4.62901,-4.627973,4.995678,4.0,0.00028874,5,661,0.31465,0.47372,0.36842,nan,0,0.4,1.0,,,-0.01,0.01044,-0.00646,-0.03579,-0.00357,-0.00439,-0.00557
13,13312,-7.54854,253.0,0.0,0.0,1.447073,-0.006046,0.017811,0.004446,0.380734,0.066772,0.942623,-4.583342,4.321237,-4.895625,4.925909,4.0,0.00028771,2,680,0.30035,0.46667,0.35593,nan,0,1.0,1.0,,,-0.01,0.00838,-0.00423,-0.03816,-0.00454,-0.00179,-0.00567
14,14336,-10.2737,277.66667,0.0,0.0,1.493397,-0.005611,0.019162,0.003494,0.358874,0.046692,0.960878,-5.002557,5.349137,-5.090608,5.817662,4.0,0.00028669,6,672,0.30537,0.45977,0.38462,nan,0,0.33333,0.95833,,,-0.01,0.00825,-0.00436,-0.03617,-0.00248,-0.00305,-0.00548
15,15360,-9.08649,300.0,0.0,0.0,1.591947,-0.007469,0.020623,0.003423,0.3084,0.043518,0.954381,-5.170665,5.288764,-5.44341,5.828962,4.0,0.00028566,2,663,0.27186,0.43663,0.40299,nan,0,0.0,1.0,,,-0.01,0.00642,-0.00525,-0.03701,-0.00209,-0.00176,0.0
16,16384,-12.21373,300.0,0.0,0.0,1.454194,-0.006395,0.016316,0.003453,0.29084,0.045898,0.962874,-4.998664,5.339903,-5.046279,5.632694,4.0,0.00028464,5,680,0.29067,0.4486,0.44444,nan,0,0.0,1.0,,,-0.01,0.00844,-0.00522,-0.0334,-0.00272,-0.00107,0.0
