iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.470366,-0.008136,0.270144,0.006637,0.770322,0.078927,0.043318,-0.172857,0.183564,-0.765235,1.270089,4.0,0.0003,0,374,0.27023,0.37305,0.0,nan,0,0.0,0.0,,,-0.01,0.00465,-0.00116,-0.02389,0.0,-0.00942,0.0
2,2048,nan,nan,0.0,0.0,2.437469,-0.003766,0.098305,0.00172,0.689484,0.010951,0.671782,-0.602824,1.0004,-1.054541,2.034585,4.0,0.0002999,0,343,0.24252,0.33801,0.0,nan,0,0.0,0.0,,,-0.01,0.00544,0.0005,-0.02152,-0.00043,-0.00081,0.0
3,3072,nan,nan,0.0,0.0,2.325013,-0.003226,0.047191,0.001732,0.481255,0.006906,0.870725,-0.97703,2.080899,-1.448745,2.981859,4.0,0.0002998,0,384,0.23626,0.33495,0.0,nan,0,0.0,0.0,,,-0.01,0.00388,-0.00161,-0.01986,-0.00151,-0.00127,0.0
4,4096,-14.12389,450.0,0.0,0.0,2.251542,-0.003424,0.047888,0.001962,0.20284,0.009312,0.907372,-1.740662,2.952694,-2.22546,3.79409,4.0,0.00029969,8,376,0.24917,0.35357,1.0,nan,0,0.125,0.73333,,,-0.01,0.00486,-0.00187,-0.02368,-0.00308,-0.0082,0.0
5,5120,nan,nan,0.0,0.0,2.144648,-0.003782,0.030796,0.003215,0.28039,0.033168,0.941799,-2.404615,3.851731,-2.750514,4.643888,4.0,0.00029959,0,375,0.24847,0.35109,1.0,nan,0,0.0,0.0,,,-0.01,0.00562,0.00051,-0.023,-0.00247,-0.0004,0.0
6,6144,nan,nan,0.0,0.0,1.667745,-0.003951,0.046813,0.002595,0.232862,0.021136,0.935575,-2.994667,4.463504,-3.447032,4.987069,4.0,0.00029949,0,411,0.24897,0.36067,1.0,nan,0,0.0,0.0,,,-0.01,0.00484,0.0004,-0.02453,-0.00481,-0.00121,0.0
7,7168,nan,nan,0.0,0.0,1.175941,-0.004007,0.053584,0.002449,0.271353,0.037493,0.905036,-4.010788,4.308078,-4.435214,4.455628,4.0,0.00029939,0,432,0.29393,0.44412,1.0,nan,0,0.0,0.0,,,-0.01,0.00564,-0.00343,-0.02522,-0.00858,-0.00146,0.0
8,8192,-12.55106,450.0,0.0,0.0,2.253542,-0.005428,0.033939,0.003761,0.285709,0.045445,0.950312,-4.54292,5.097457,-4.980228,5.70132,4.0,0.00029928,8,393,0.24106,0.34096,1.0,nan,0,1.0,0.73318,,,-0.01,0.00746,-0.00506,-0.0206,-0.00472,-0.00877,0.0
9,9216,-7.75555,184.0,0.0,0.0,1.557574,-0.002531,0.042793,0.001054,0.232294,0.002546,0.934766,-4.146855,5.248831,-4.300142,5.412713,4.0,0.00029918,3,390,0.24387,0.36518,0.84211,nan,0,1.0,0.88235,,,-0.01,0.0065,-0.00031,-0.01854,-0.01524,-0.00707,-0.0088
10,10240,-10.18318,310.66667,0.0,0.0,1.27823,-0.005406,0.035132,0.00393,0.292238,0.068673,0.937906,-4.386777,4.993913,-4.557316,5.102553,4.0,0.00029908,3,432,0.25568,0.38253,0.72727,nan,0,1.0,0.87912,,,-0.01,0.0065,-0.00341,-0.01984,-0.00864,-0.01043,-0.01037
