iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,1.71574,119.0,0.5,0.5,1.556699,-0.039114,15.3497,0.002096,1719,0.14206,-0.01,0.00859,0.0015,0.00449,-0.07328,0.03994
2,2048,29.2634,181.2,1.0,0.85714,1.569089,0.092698,26.042527,0.000879,2127,0.16157,-0.01,0.00947,-0.0,0.00457,-0.07501,0.27167
3,3072,16.8024,170.4,1.0,0.91667,1.596437,-0.000188,15.555148,0.000569,2250,0.16569,-0.01,0.00568,-0.00057,0.00423,0.0044,0.20686
4,4096,27.10868,235.2,0.8,0.88235,1.549709,-0.000466,12.251998,0.000903,1843,0.15408,-0.01,0.00668,0.0001,0.00375,-0.02617,0.17913
5,5120,21.48299,244.75,0.75,0.85714,1.467946,-0.06354,9.505106,0.001304,2281,0.17535,-0.01,0.00604,0.00059,0.00386,-0.01056,0.16235
6,6144,12.20474,185.16667,0.66667,0.81481,1.605557,-0.001469,10.552406,0.002595,2248,0.16719,-0.01,0.00765,2e-05,0.00372,-0.00415,0.16999
7,7168,30.81609,259.0,0.66667,0.8,1.675932,-0.001087,8.971297,0.002379,2110,0.17072,-0.01,0.00654,0.00468,0.00409,0.00118,0.13528
8,8192,26.01154,185.33333,0.66667,0.78788,1.667109,0.117445,22.809165,0.001502,2332,0.1649,-0.01,0.00542,0.00059,0.00286,-0.04445,0.13081
9,9216,16.56179,445.5,0.5,0.77143,1.662037,-0.001257,5.32966,0.001345,2288,0.16872,-0.01,0.00438,0.0013,0.00342,0.00712,0.05217
10,10240,10.99853,374.0,0.66667,0.76316,1.720747,-0.001244,13.138389,0.000515,1970,0.15435,-0.01,0.00472,0.00302,0.00469,-0.03072,0.07635
11,11264,26.38064,362.5,0.5,0.75,1.792462,-0.000488,8.32382,0.00106,2090,0.17287,-0.01,0.00393,0.00593,0.00407,0.0003,0.07217
12,12288,14.30699,386.0,0.33333,0.72093,1.796239,-0.001232,6.758066,0.00123,2082,0.16861,-0.01,0.00528,0.00556,0.0038,0.00291,0.05306
13,13312,-7.21339,450.0,0.0,0.67391,1.786025,0.051802,3.676318,0.003244,1919,0.16514,-0.01,0.00409,0.00315,0.00448,0.00259,0.0
14,14336,2.85406,450.0,0.0,0.65957,1.781074,-0.00234,2.740821,0.002975,2002,0.16604,-0.01,0.00277,0.00477,0.00461,0.00038,0.0
15,15360,0.79954,450.0,0.0,0.62,1.804642,-0.000693,1.841331,0.000486,2097,0.1699,-0.01,0.0026,0.00554,0.00395,0.00106,0.0
16,16384,0.85794,450.0,0.0,0.59615,1.780904,0.016161,12.745462,0.003057,1895,0.1643,-0.01,0.0051,0.00424,0.00414,-0.09173,0.0
17,17408,2.31826,450.0,0.0,0.57407,1.775506,-0.004059,0.718001,0.001875,1957,0.14336,-0.01,0.00326,0.00105,0.00478,0.0,0.0
18,18432,-9.38707,450.0,0.0,0.55357,1.771752,-0.003754,0.848776,0.003771,1772,0.13758,-0.01,0.00312,0.00396,0.00565,0.0,0.0
19,19456,-16.04282,450.0,0.0,0.52542,1.654165,-0.035313,0.562048,0.00887,1661,0.13047,-0.01,0.00224,0.0036,0.00516,-0.001,0.0
20,20480,0.7075,450.0,0.0,0.5,1.640879,-0.0134,1.671681,0.003231,1668,0.13245,-0.01,0.00287,0.00216,0.00523,-0.02394,0.0
21,21504,-1.62824,450.0,0.0,0.49206,1.719595,-0.00271,0.312763,0.003046,1607,0.13404,-0.01,0.00391,0.00284,0.00614,0.0,0.0
22,22528,1.62369,450.0,0.0,0.4697,1.703939,-0.002939,0.216188,0.005972,1524,0.12963,-0.01,0.00398,0.00187,0.00666,0.0,0.0
23,23552,-9.90525,450.0,0.0,0.45588,1.629409,-0.034636,0.162752,0.002406,1531,0.12917,-0.01,0.00324,0.00364,0.00673,0.0,0.0
24,24576,1.64679,450.0,0.0,0.44286,1.637795,-0.002649,0.166364,0.003308,1551,0.13272,-0.01,0.00296,0.00364,0.00575,-1e-05,0.0
25,25600,2.18369,450.0,0.0,0.43056,1.646487,-0.003755,0.104442,0.002289,1585,0.13125,-0.01,0.00255,0.00587,0.0067,0.0,0.0
26,26624,1.2867,450.0,0.0,0.41333,1.672614,-0.001726,0.121742,0.001216,1567,0.12869,-0.01,0.00215,0.00617,0.00654,0.0,0.0
27,27648,1.60901,450.0,0.0,0.39744,1.698746,0.009422,0.13486,0.004425,1551,0.13239,-0.01,0.00182,0.00735,0.0057,0.0,0.0
28,28672,2.67802,450.0,0.0,0.39241,1.755206,-0.002276,0.140017,0.003738,1543,0.13309,-0.01,0.00145,0.00755,0.00586,0.00078,0.0
29,29696,2.46722,450.0,0.0,0.37805,1.763893,-0.002784,0.12655,0.002786,1553,0.13518,-0.01,0.00128,0.01026,0.00596,0.0,0.0
30,30720,2.30094,450.0,0.0,0.36905,1.807843,-0.004102,0.131574,0.004596,1533,0.13756,-0.01,0.00099,0.01078,0.00472,0.0,0.0
31,31744,4.06453,450.0,0.0,0.36047,1.830103,-0.001677,0.189802,0.002685,1594,0.14345,-0.01,0.00152,0.00794,0.00501,-0.00085,0.0
32,32768,2.15535,450.0,0.0,0.35227,1.822392,-0.002603,0.123809,0.003411,1623,0.14408,-0.01,0.00177,0.00704,0.00538,0.0,0.0
33,33792,3.04071,450.0,0.0,0.34066,1.78229,-0.00246,0.157787,0.002618,1627,0.14363,-0.01,0.00241,0.01058,0.00574,0.0,0.0
34,34816,1.32956,450.0,0.0,0.32979,1.868314,-0.019844,0.150678,0.00474,1531,0.14177,-0.01,0.0028,0.01283,0.00545,0.0,0.0
35,35840,5.16061,450.0,0.0,0.32632,1.84624,-0.001934,0.15814,0.003105,1531,0.13895,-0.01,0.00401,0.01285,0.00547,0.0,0.0
36,36864,4.35834,450.0,0.0,0.31633,1.88145,-0.00144,1.943368,0.001192,1509,0.14253,-0.01,0.00263,0.01079,0.004,-0.01851,0.0
37,37888,5.1592,450.0,0.0,0.31,1.872915,-0.002417,0.206987,0.002191,1590,0.14357,-0.01,0.00411,0.01134,0.0049,0.00053,0.0
38,38912,3.60655,450.0,0.0,0.3,1.861739,-0.003155,0.210379,0.003301,1576,0.14475,-0.01,0.00273,0.00761,0.005,0.0,0.0
39,39936,-7.28671,450.0,0.0,0.28,1.838538,0.086849,0.217115,0.003518,1562,0.13822,-0.01,0.0021,0.01136,0.00491,0.0,0.0
40,40960,3.44926,450.0,0.0,0.25,1.855709,-0.001484,0.189837,0.002269,1506,0.13714,-0.01,0.00222,0.00926,0.00402,0.0,0.0
41,41984,3.37192,450.0,0.0,0.22,1.790196,0.047961,0.184617,0.002414,1507,0.13283,-0.01,0.00229,0.01053,0.0052,-0.00037,0.0
42,43008,3.57997,450.0,0.0,0.21,1.816642,0.000345,0.178907,0.004069,1569,0.1352,-0.01,0.00142,0.01055,0.0045,0.00023,0.0
43,44032,3.43806,450.0,0.0,0.18,1.782269,-0.002551,0.162287,0.002435,1585,0.13137,-0.01,0.00245,0.00937,0.00473,0.0,0.0
44,45056,4.95771,450.0,0.0,0.17,1.740614,-0.072961,0.149428,0.005482,1601,0.134,-0.01,0.0016,0.00441,0.00499,0.00037,0.0
45,46080,-1.82341,450.0,0.0,0.15,1.771739,-0.002781,0.147632,0.002078,1569,0.13495,-0.01,0.00272,0.00252,0.0053,9e-05,0.0
46,47104,1.8173,450.0,0.0,0.14,1.799307,-0.00447,0.133708,0.004898,1573,0.13715,-0.01,0.00263,0.00597,0.00648,0.0,0.0
47,48128,2.25236,450.0,0.0,0.11,1.834604,-0.001636,0.120783,0.00159,1523,0.13647,-0.01,0.00342,0.00698,0.0064,0.00016,0.0
48,49152,1.94051,450.0,0.0,0.1,1.865389,-0.068583,0.163877,0.006937,1521,0.13545,-0.01,0.00332,0.00725,0.00622,0.0,0.0
49,50176,2.92559,450.0,0.0,0.09,1.845099,0.042443,0.141483,0.001077,1515,0.13652,-0.01,0.003,0.00143,0.00593,-0.00035,0.0
50,51200,1.31459,450.0,0.0,0.08,1.850854,-0.00109,0.165914,0.001345,1555,0.13922,-0.01,0.00382,0.00759,0.00564,4e-05,0.0
51,52224,1.44356,450.0,0.0,0.06,1.853815,0.018148,0.174217,0.002655,1615,0.14303,-0.01,0.0026,0.0101,0.00566,-0.00028,0.0
