iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.382564,-0.00197,0.813966,0.001418,2017,0.04562,0.0,0.0,-0.01,0.00919,0.00033,-0.01502,0.0,0.0
2,2048,66.99485,186.75,1.0,1.0,1.415384,0.000787,21.089004,0.003103,1956,0.06627,0.0,0.38571,-0.01,0.0107,0.00399,-0.01535,0.0,0.54141
3,3072,69.58939,164.6,1.0,1.0,1.415098,-0.00308,30.55772,0.006161,1956,0.06908,0.0,0.06667,-0.01,0.01335,0.0063,-0.01006,-0.0239,0.34435
4,4096,60.57067,167.2,1.0,1.0,1.384585,0.001606,18.326599,0.003186,2016,0.07139,0.2,0.44776,-0.01,0.01149,-0.00122,-0.01517,0.00031,0.32533
5,5120,64.26902,189.57143,1.0,1.0,1.371985,0.000151,17.721547,0.003934,1983,0.07589,0.0,0.73988,-0.01,0.01064,0.00071,-0.01618,-0.00041,0.46338
6,6144,67.36245,143.85714,1.0,1.0,1.336145,-0.000314,12.242608,0.003561,1923,0.07225,0.0,0.45455,-0.01,0.01064,0.00313,-0.01833,-0.00034,0.47453
7,7168,56.59396,123.88889,1.0,1.0,1.291572,0.035361,31.896907,0.002375,1942,0.06406,0.22222,0.31343,-0.01,0.01292,0.00552,-0.01783,-0.05096,0.57449
8,8192,43.86331,111.125,1.0,1.0,1.267222,-0.040566,51.35674,0.003844,2025,0.06165,0.5,0.26667,-0.01,0.01036,0.00369,-0.01938,-0.17114,0.47701
9,9216,30.05579,125.1,1.0,1.0,1.214959,0.000902,61.164593,0.001941,2205,0.06494,0.6,0.72794,-0.01,0.01068,-0.00117,-0.01813,-0.11233,0.54505
10,10240,48.21611,119.875,1.0,1.0,1.242382,0.039231,60.010469,0.002439,2121,0.05656,0.375,0.18519,-0.01,0.01163,0.00283,-0.01753,-0.09471,0.50892
11,11264,44.76158,111.33333,1.0,1.0,1.245313,-0.023958,38.463327,0.001463,2206,0.05594,0.33333,0.625,-0.01,0.01002,0.00096,-0.02085,-0.07846,0.54894
12,12288,52.24123,110.33333,1.0,1.0,1.220249,0.002387,31.377013,0.002561,2202,0.0776,0.22222,0.425,-0.01,0.00903,-0.00576,-0.021,-0.02571,0.60099
13,13312,57.11355,133.88889,1.0,1.0,1.201984,0.042915,34.223404,0.002465,2113,0.07141,0.22222,0.83,-0.01,0.00866,-0.00337,-0.0187,-0.03729,0.62733
14,14336,44.44402,140.875,0.875,0.99,1.216201,-0.000865,36.300392,0.001624,2050,0.07204,0.375,0.80952,-0.01,0.00778,-0.00144,-0.02043,-0.05274,0.46606
15,15360,71.09798,92.2,1.0,0.99,1.213263,9e-05,28.740247,0.00209,2031,0.06588,0.0,0.09091,-0.01,0.00917,0.00466,-0.01684,-0.04732,0.36535
16,16384,53.48738,143.11111,1.0,0.99,1.241747,0.000246,19.376478,0.001903,2080,0.07108,0.22222,0.36842,-0.01,0.00863,0.00388,-0.01595,-0.00066,0.58611
17,17408,58.17924,135.66667,1.0,0.99,1.247284,-0.146308,40.722114,0.000742,2054,0.06657,0.11111,0.45333,-0.01,0.00822,0.00292,-0.0198,-0.0561,0.60191
18,18432,42.10535,138.14286,1.0,0.99,1.205486,0.001126,36.214928,0.001732,2167,0.07424,0.42857,0.4359,-0.01,0.00653,-0.00094,-0.01816,-0.04815,0.4178
19,19456,59.6055,119.14286,1.0,0.99,1.203948,-0.000628,38.523108,0.001026,2075,0.0703,0.14286,0.57377,-0.01,0.00821,-0.00642,-0.02024,-0.05489,0.49343
20,20480,53.37524,108.57143,1.0,0.99,1.184638,0.002199,35.320703,0.001764,2131,0.07458,0.28571,0.46341,-0.01,0.00836,-0.00565,-0.01606,-0.03934,0.47181
21,21504,57.53757,137.11111,0.88889,0.98,1.231262,-0.035757,10.277108,0.002386,1985,0.06373,0.11111,0.87688,-0.01,0.00948,0.00203,-0.017,-0.00035,0.57189
22,22528,70.10129,103.0,1.0,0.98,1.227119,-0.085368,20.984916,0.001564,1977,0.0667,0.0,0.43396,-0.01,0.00823,0.00227,-0.01842,-0.02193,0.57825
23,23552,52.10245,145.09091,0.90909,0.97,1.128101,0.023951,23.462708,0.000827,1976,0.06453,0.18182,0.5814,-0.01,0.00787,0.00262,-0.01908,-0.02458,0.65359
24,24576,66.59723,92.6,1.0,0.97,1.128607,0.044504,7.506627,0.002212,1961,0.04477,0.1,0.29412,-0.01,0.0082,0.00374,-0.02066,-0.02144,0.69114
25,25600,69.89927,106.625,1.0,0.97,1.227016,-0.000532,24.843059,0.000772,2068,0.05942,0.0,0.48276,-0.01,0.00779,0.00307,-0.0207,-0.02744,0.58938
26,26624,52.74721,107.4,0.9,0.97,1.171595,-0.000427,31.564992,0.003937,2088,0.05636,0.2,0.59184,-0.01,0.00705,0.0008,-0.01858,-0.02682,0.62371
27,27648,63.51733,112.2,1.0,0.97,1.163366,-0.000915,27.654031,0.001943,2008,0.05877,0.1,0.78804,-0.01,0.00733,-0.00376,-0.01999,-0.02251,0.69083
28,28672,61.52979,100.9,1.0,0.97,1.134718,-0.001207,45.610394,0.002073,2094,0.05298,0.1,0.63218,-0.01,0.00668,-0.00043,-0.02071,-0.08144,0.7117
29,29696,61.04692,109.22222,1.0,0.97,1.103114,-0.005698,16.195952,0.000534,2193,0.05294,0.11111,0.78125,-0.01,0.00495,-0.00311,-0.0172,-0.00123,0.65318
