iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.469277,-0.001505,6.072219,0.002693,982,0.13254,0.0,0.0,-0.01,0.00773,-0.00047,-0.01407,-0.03952,0.0
2,2048,34.70994,188.0,1.0,1.0,1.354702,-0.000487,17.025158,0.001351,1238,0.14975,1.0,0.0,-0.01,0.01046,-0.00209,-0.00403,-0.06235,0.0764
3,3072,26.93025,299.0,1.0,1.0,1.75149,0.038367,7.010771,0.001575,1142,0.14425,0.5,0.0,-0.01,0.0108,-0.00111,-0.00816,-0.02869,0.28059
4,4096,28.18984,243.0,0.75,0.90909,1.489998,0.008811,14.006257,0.001055,1185,0.13616,0.5,0.0,-0.01,0.00941,-0.00044,-0.00492,-0.0609,0.17954
5,5120,17.0892,284.66667,1.0,0.92857,1.523727,-0.065306,14.242168,0.001542,1232,0.14702,0.66667,0.0,-0.01,0.01176,-0.00088,-0.00667,-0.02821,0.13119
6,6144,25.81292,240.33333,0.83333,0.9,1.563319,-7.2e-05,15.452604,0.000787,1159,0.14195,0.33333,0.0,-0.01,0.00963,-3e-05,-0.00733,-0.0344,0.22814
7,7168,33.23735,220.33333,1.0,0.91304,1.540391,0.00177,13.846115,0.000789,1126,0.14491,0.66667,0.0,-0.01,0.00971,-0.00123,-0.00574,-0.04956,0.17295
8,8192,38.00443,275.33333,1.0,0.92308,1.347607,0.000117,15.116651,0.000386,1158,0.16208,0.33333,0.0,-0.01,0.00865,-0.00201,-0.00599,-0.05102,0.17091
9,9216,28.56682,301.83333,1.0,0.9375,1.623486,0.0004,14.345394,0.000776,1302,0.15043,0.5,0.0,-0.01,0.00889,-0.00058,-0.01168,-0.02319,0.31552
10,10240,5.32987,205.0,0.66667,0.91429,1.57712,-0.000591,17.011785,0.001042,1155,0.14115,0.66667,0.0,-0.01,0.01017,-0.0001,-0.00849,-0.07077,0.04631
11,11264,24.4525,229.0,1.0,0.92308,1.575342,0.005053,16.83206,0.000978,1216,0.14829,0.5,0.0,-0.01,0.00739,-0.00075,-0.00893,-0.06169,0.20487
12,12288,7.70736,263.0,0.8,0.90909,1.665474,0.01077,11.695003,0.002158,1269,0.16121,0.6,0.0,-0.01,0.01229,-0.00166,-0.00494,-0.03623,0.16156
13,13312,13.0444,244.33333,0.66667,0.89362,1.677542,-0.001317,7.696599,0.00074,1193,0.14795,0.66667,0.0,-0.01,0.01107,-0.00066,-0.00328,-0.04995,0.08368
14,14336,12.15562,312.0,0.66667,0.88,1.524061,0.027128,22.602842,0.002514,1167,0.14452,0.66667,0.0,-0.01,0.01075,-0.00076,-0.00393,-0.09641,0.0995
15,15360,18.6441,282.0,1.0,0.89091,1.639145,-0.001801,8.741594,0.001237,1209,0.14225,0.6,0.0,-0.01,0.00894,-0.00092,-0.00431,-0.04155,0.19329
16,16384,-1.08374,220.66667,0.66667,0.87931,1.327134,-0.000634,12.803479,0.000625,1091,0.14553,1.0,0.0,-0.01,0.01042,-0.00026,-0.0034,-0.07976,0.06835
17,17408,38.10968,254.25,1.0,0.8871,1.60393,-0.000751,15.22406,0.001654,1203,0.14926,0.25,0.0,-0.01,0.0105,-0.00093,-0.00451,-0.03996,0.22119
18,18432,9.32803,259.0,0.66667,0.87692,1.606413,-6.9e-05,10.89853,0.001175,1110,0.13537,0.66667,0.0,-0.01,0.00943,-0.00049,-0.00664,-0.0166,0.07599
19,19456,37.49758,262.125,0.875,0.87671,1.763736,-0.001,10.292849,0.001132,1120,0.12686,0.375,0.0,-0.01,0.01164,0.00027,-0.00893,-0.00968,0.4226
20,20480,30.81695,175.0,0.66667,0.86842,1.44608,-0.000578,13.903492,0.000688,1143,0.13871,0.33333,0.0,-0.01,0.01013,-7e-05,-0.00974,-0.02992,0.1199
21,21504,25.33494,209.4,1.0,0.87654,1.556782,0.000191,12.013524,0.000855,1036,0.13289,0.6,0.0,-0.01,0.00892,-0.00054,-0.01036,-0.06404,0.19866
22,22528,41.91352,227.8,1.0,0.88372,1.71589,0.046471,12.131914,0.001774,1133,0.13483,0.4,0.0,-0.01,0.01192,-0.0003,-0.01343,0.00792,0.29263
23,23552,25.4062,185.0,0.66667,0.86957,1.69432,0.108261,35.710625,0.004013,1204,0.1381,0.33333,0.0,-0.01,0.01121,0.00128,-0.01179,-0.11501,0.25686
24,24576,13.85899,193.0,1.0,0.87368,1.523048,-0.000234,19.458153,0.000492,1433,0.15042,0.66667,0.0,-0.01,0.0118,-0.00072,-0.01229,-0.07635,0.12694
25,25600,-2.01203,230.8,0.8,0.87,1.553215,-0.002123,9.529989,0.001434,1347,0.14822,0.8,0.0,-0.01,0.01121,0.00025,-0.01578,-0.01893,0.08552
26,26624,32.38359,181.75,1.0,0.87,1.645611,-0.001016,19.68741,0.001112,1163,0.12606,0.25,0.0,-0.01,0.01255,0.00012,-0.00476,-0.0588,0.18444
27,27648,16.7385,247.5,0.83333,0.87,1.61456,-0.04215,16.655626,0.002245,1323,0.13276,0.66667,0.0,-0.01,0.0123,0.00085,-0.01136,-0.09357,0.27862
