iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.362724,-0.079072,0.944064,0.000682,881,0.13996,0.0,0.0,,,-0.01,0.00735,-0.02731,-0.02612,-0.00104,0.0
2,2048,nan,nan,0.0,0.0,2.334793,-0.033519,0.747463,0.000291,954,0.15051,0.0,0.0,,,-0.01,0.00663,-0.02565,-0.02076,-0.00236,0.0
3,3072,nan,nan,0.0,0.0,2.290361,-0.001133,0.872046,0.000152,1041,0.16194,0.0,0.0,,,-0.01,0.0045,-0.02628,-0.02377,-0.00042,0.0
4,4096,-22.48171,450.0,0.0,0.0,2.327562,0.025586,0.812108,0.000501,933,0.1522,0.0,0.73705,,,-0.01,0.00812,-0.02243,-0.02638,-0.00069,0.0
5,5120,nan,nan,0.0,0.0,2.38102,-0.09187,0.551886,0.000373,894,0.14393,0.0,0.0,,,-0.01,0.0072,-0.01847,-0.02048,-0.00248,0.0
6,6144,nan,nan,0.0,0.0,2.297372,-0.002193,0.59746,0.000299,1038,0.15923,0.0,0.0,,,-0.01,0.00631,-0.0209,-0.02121,-0.00173,0.0
7,7168,nan,nan,0.0,0.0,2.237734,-0.029082,0.609339,0.000402,1110,0.16958,0.0,0.0,,,-0.01,0.00545,-0.01451,-0.02517,-0.00265,0.0
8,8192,-17.89524,450.0,0.0,0.0,2.375506,-0.00309,0.454312,0.000699,864,0.14502,0.0,0.64833,,,-0.01,0.00821,-0.01082,-0.0206,-0.00304,0.0
9,9216,-7.76204,205.0,0.0,0.0,2.299606,-0.005337,0.59069,0.001428,1116,0.16968,1.0,0.70588,,,-0.01,0.00812,-0.01896,-0.01548,-0.01088,-0.00039
10,10240,-9.32659,278.5,0.0,0.0,2.190786,-0.027458,0.694946,0.003107,1467,0.16502,1.0,0.66667,,,-0.01,0.00949,-0.01423,-0.01366,-0.01513,-0.00107
11,11264,-10.23364,377.57143,0.0,0.0,2.202773,-0.17517,0.599559,0.001117,1346,0.14967,1.0,0.71875,,,-0.01,0.01384,-0.00892,-0.01754,-0.01195,-0.001
12,12288,-3.86241,181.33333,0.0,0.0,2.19638,-0.004557,0.565912,0.001614,1518,0.15797,1.0,0.5,,,-0.01,0.01321,-0.00642,-0.01123,-0.02283,-0.00173
13,13312,-0.9768,165.75,0.25,0.0303,2.099889,-0.182246,26.161918,0.00192,1755,0.14879,1.0,0.75,,,-0.01,0.01291,-0.01031,-0.00831,-0.02066,0.02052
14,14336,-4.44707,237.66667,0.0,0.02778,1.945895,-0.006372,0.343886,0.001193,2335,0.17798,1.0,0.80952,,,-0.01,0.01016,-0.01619,-0.01154,-0.0105,-0.00178
15,15360,-4.71577,286.25,0.0,0.025,1.989693,-0.048124,0.470182,0.001732,1583,0.15817,0.75,0.88,,,-0.01,0.01009,-0.01061,-0.01583,-0.01405,-0.00118
16,16384,-4.69475,369.0,0.0,0.02273,1.993513,0.067244,0.386566,0.002262,1602,0.17226,1.0,0.76,,,-0.01,0.0109,-0.00847,-0.01793,-0.01204,-0.0006
17,17408,-5.16436,226.66667,0.33333,0.04255,1.895534,-0.06104,0.378362,0.003538,1948,0.16455,1.0,0.77273,,,-0.01,0.01317,-0.01019,-0.0206,-0.01464,-0.00072
18,18432,-4.77079,208.83333,0.0,0.03774,1.89401,-0.004301,0.313188,0.001017,1603,0.14701,1.0,0.78571,,,-0.01,0.01171,-0.00412,-0.01882,-0.02252,-0.0024
19,19456,-4.22599,236.4,0.0,0.03448,1.830366,-0.032585,0.351909,0.001787,1685,0.14055,1.0,0.71429,,,-0.01,0.01307,-0.00141,-0.01537,-0.01813,-0.00183
20,20480,-3.1308,250.0,0.0,0.03279,1.813804,-0.005128,0.243514,0.00323,1860,0.14334,1.0,0.71429,,,-0.01,0.01102,-0.0049,-0.01621,-0.01541,-0.00135
21,21504,-2.97344,129.33333,0.0,0.03125,1.756896,0.024352,0.224614,0.001982,2365,0.14659,1.0,0.0,,,-0.01,0.00727,-0.0081,-0.01714,-0.01262,-0.00266
22,22528,-3.91,263.375,0.0,0.02778,1.895351,-0.004662,0.20468,0.002461,1669,0.11858,0.875,0.73333,,,-0.01,0.01342,-0.00452,-0.01178,-0.01982,-0.00243
23,23552,-3.48183,262.25,0.0,0.02632,1.918147,-0.002879,0.244698,0.001399,1465,0.12971,0.5,1.0,,,-0.01,0.01212,-0.00149,-0.00898,-0.01813,-0.00105
24,24576,-2.15043,164.0,0.0,0.02597,1.529771,-0.003006,0.100965,0.000829,2931,0.08329,1.0,0.0,,,-0.01,0.01342,-0.00113,-0.00791,-0.00633,-0.00105
25,25600,-2.19511,450.0,0.0,0.02532,1.689172,-0.004069,0.103889,0.00232,2633,0.10852,0.5,1.0,,,-0.01,0.01023,-0.00514,-0.00563,-0.00057,0.0
26,26624,-2.57765,450.0,0.0,0.0241,1.865738,-0.002984,0.120179,0.00217,1639,0.11071,1.0,0.8,,,-0.01,0.01215,0.00044,-0.00884,-0.00481,0.0
27,27648,-2.16486,282.5,0.0,0.02353,1.886536,-0.037241,0.235159,0.002397,1602,0.12258,1.0,1.0,,,-0.01,0.00899,0.0011,-0.0124,-0.00803,-0.00055
28,28672,-2.41951,263.33333,0.0,0.02273,1.856064,-0.002362,0.256896,0.000867,1720,0.12771,0.66667,1.0,,,-0.01,0.00937,-0.00087,-0.02147,-0.00569,-0.00114
29,29696,-5.02889,364.75,0.0,0.02174,1.915671,0.014848,0.253179,0.001138,1489,0.1435,0.75,0.75,,,-0.01,0.01014,-0.00109,-0.01926,-0.00471,-0.0005
30,30720,4.29407,248.33333,0.16667,0.03061,1.910766,-0.081475,28.58149,0.001007,1483,0.13731,0.83333,0.5,,,-0.01,0.01065,0.00077,-0.01978,-0.00707,0.08672
31,31744,17.09507,316.5,0.5,0.04,2.015424,0.022313,20.354392,0.000969,1782,0.15965,0.5,0.0,,,-0.01,0.0096,-0.00091,-0.01886,-0.00288,0.08712
32,32768,-2.75581,292.0,0.0,0.04,1.947614,0.091419,0.532887,0.000719,2047,0.15645,0.5,1.0,,,-0.01,0.008,-0.00444,-0.01863,-0.00552,-0.00071
33,33792,-3.54291,355.33333,0.0,0.04,1.988089,0.063756,0.370314,0.000594,1579,0.15336,0.33333,0.83333,,,-0.01,0.01074,-0.00403,-0.01957,-0.00312,-0.00054
