iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.382482,-0.007961,0.293024,0.005443,0.723128,0.058977,-0.072453,0.214051,0.213535,-0.35016,1.204477,4.0,0.0003,0,637,0.26897,0.36747,0.0,nan,0,0.0,0.0,,,-0.01,0.00427,-0.00401,-0.02448,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.353173,-0.003701,0.087534,0.001175,0.513182,0.004813,0.642623,-0.285228,1.019636,-0.853958,2.256195,4.0,0.0002999,0,679,0.25307,0.34807,0.0,nan,0,0.0,0.0,,,-0.01,0.004,-0.00459,-0.02375,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.317468,-0.004255,0.039288,0.002,0.373567,0.008719,0.858037,-0.872734,2.291631,-1.395927,3.4427,4.0,0.0002998,0,681,0.22879,0.31655,0.0,nan,0,0.0,0.0,,,-0.01,0.00322,-0.00192,-0.02481,0.0,0.0
4,4096,-15.38273,450.0,0.0,0.0,2.339459,-0.004975,0.029785,0.00489,0.317087,0.049491,0.922857,-1.45119,3.370055,-1.940564,4.348126,4.0,0.00029969,8,647,0.26644,0.35973,1.0,nan,0,0.0,0.73846,,,-0.01,0.00433,-0.00488,-0.02514,-0.00032,0.0
5,5120,nan,nan,0.0,0.0,2.319851,-0.004655,0.019557,0.002544,0.252355,0.02853,0.9453,-1.981626,4.242076,-2.453957,5.258093,4.0,0.00029959,0,682,0.26809,0.35816,1.0,nan,0,0.0,0.0,,,-0.01,0.00517,-0.00268,-0.02252,-0.00101,0.0
6,6144,nan,nan,0.0,0.0,2.03641,-0.006814,0.024408,0.00425,0.244878,0.043527,0.957302,-2.397199,5.264329,-2.867328,6.112655,4.0,0.00029949,0,669,0.23802,0.3388,1.0,nan,0,0.0,0.0,,,-0.01,0.00374,-0.00247,-0.02229,-0.00395,0.0
7,7168,nan,nan,0.0,0.0,1.598773,-0.003431,0.013727,0.002219,0.224192,0.038156,0.971577,-2.954508,6.164829,-3.310905,7.006008,4.0,0.00029939,0,733,0.24913,0.34746,1.0,nan,0,0.0,0.0,,,-0.01,0.00358,-0.00306,-0.02688,-0.00135,0.0
8,8192,-13.65597,450.0,0.0,0.0,2.214325,-0.005705,0.012259,0.004326,0.283716,0.052979,0.977544,-3.30846,6.802561,-3.669727,7.609826,4.0,0.00029928,8,671,0.26931,0.35778,1.0,nan,0,0.125,0.73793,,,-0.01,0.00503,-0.00464,-0.02056,-0.00186,0.0
9,9216,nan,nan,0.0,0.0,1.848621,-0.004788,0.032224,0.004526,0.217931,0.059501,0.963167,-3.560114,7.839446,-4.107203,8.644404,4.0,0.00029918,0,718,0.2929,0.38045,1.0,nan,0,0.0,0.0,,,-0.01,0.00392,-0.00316,-0.02453,-0.00327,0.0
10,10240,nan,nan,0.0,0.0,1.647872,-0.004108,0.015682,0.002947,0.22695,0.033587,0.977952,-4.280421,8.463113,-4.696967,9.117926,4.0,0.00029908,0,766,0.32536,0.41597,1.0,nan,0,0.0,0.0,,,-0.01,0.00452,-0.00427,-0.03098,-0.0004,0.0
