iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.382788,-0.007807,0.299339,0.005108,0.718643,0.049177,-0.066667,0.214051,0.213535,-0.456927,1.239746,4.0,0.0003,0,631,0.26897,0.36747,0.0,nan,0,0.0,0.0,,,-0.01,0.00427,-0.00401,-0.02448,0.0,-0.01021,0.0
2,2048,nan,nan,0.0,0.0,2.358627,-0.003003,0.091801,0.000908,0.585774,0.00422,0.650123,-0.332612,1.036469,-0.938926,2.240457,4.0,0.0002999,0,720,0.25391,0.34849,0.0,nan,0,0.0,0.0,,,-0.01,0.00405,-0.00397,-0.02444,0.0,-0.0023,0.0
3,3072,nan,nan,0.0,0.0,2.325077,-0.003603,0.038892,0.002057,0.432456,0.011265,0.859052,-0.858813,2.274515,-1.439641,3.424115,4.0,0.0002998,0,726,0.25209,0.34249,0.0,nan,0,0.0,0.0,,,-0.01,0.00379,-0.00514,-0.02407,0.0,-0.0017,0.0
4,4096,-17.53715,450.0,0.0,0.0,2.317678,-0.005113,0.032733,0.004432,0.33479,0.047782,0.920028,-1.62955,3.356428,-2.205026,4.338966,4.0,0.00029969,8,694,0.27609,0.36537,1.0,nan,0,0.0,0.74871,,,-0.01,0.00346,-0.0028,-0.02593,0.0,-0.01175,0.0
5,5120,nan,nan,0.0,0.0,2.31897,-0.003672,0.021917,0.002489,0.242311,0.016427,0.934631,-2.168303,4.179139,-2.762428,5.326029,4.0,0.00029959,0,712,0.26074,0.35226,1.0,nan,0,0.0,0.0,,,-0.01,0.00536,-0.00179,-0.02464,0.0,-0.0079,0.0
6,6144,nan,nan,0.0,0.0,2.322841,-0.00337,0.014752,0.003156,0.223712,0.032959,0.957701,-2.658043,5.417579,-3.184307,6.553182,4.0,0.00029949,0,708,0.22957,0.31619,1.0,nan,0,0.0,0.0,,,-0.01,0.0051,-0.00333,-0.02525,-0.00035,-0.00177,0.0
7,7168,nan,nan,0.0,0.0,2.197494,-0.004843,0.012861,0.003542,0.214843,0.032471,0.972689,-3.069194,6.615092,-3.493955,7.579445,4.0,0.00029939,0,715,0.24178,0.33134,1.0,nan,0,0.0,0.0,,,-0.01,0.00473,0.00075,-0.02453,-0.00059,-0.00089,0.0
8,8192,-16.93737,450.0,0.0,0.0,2.30628,-0.004955,0.011225,0.004081,0.20987,0.035679,0.974975,-3.995916,7.509992,-4.512362,8.58631,4.0,0.00029928,8,640,0.26356,0.34489,1.0,nan,0,0.0,0.6875,,,-0.01,0.00433,-0.00114,-0.02403,0.0,-0.0138,0.0
9,9216,nan,nan,0.0,0.0,2.300452,-0.005093,0.007421,0.00317,0.201919,0.031285,0.983223,-4.073184,8.670096,-4.555184,9.653927,4.0,0.00029918,0,721,0.29018,0.37723,1.0,nan,0,0.0,0.0,,,-0.01,0.0054,-8e-05,-0.02354,-1e-05,-0.00775,0.0
10,10240,nan,nan,0.0,0.0,2.271931,-0.00423,0.00607,0.003497,0.234904,0.027134,0.986325,-3.795288,9.585222,-4.232444,10.579098,4.0,0.00029908,0,728,0.26158,0.35449,1.0,nan,0,0.0,0.0,,,-0.01,0.00449,-0.0022,-0.0247,0.0,-0.00421,0.0
11,11264,-17.79992,450.0,0.0,0.0,2.238621,-0.005315,0.006283,0.004802,0.237568,0.044643,0.988442,-4.436458,10.421245,-4.855966,11.287213,4.0,0.00029898,8,711,0.27065,0.36272,1.0,nan,0,0.0,0.67059,,,-0.01,0.00399,-0.00176,-0.02607,0.0,-0.01143,0.0
