iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.371523,-0.009247,0.300281,0.00651,0.859659,0.070033,-0.010922,-0.406997,0.185748,-0.999365,1.390148,4.0,0.0003,0,514,0.26855,0.3644,0.0,0.0,0.0,,,-0.01,0.00503,-0.00199,-0.02816,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.354751,-0.006165,0.105765,0.003111,0.683386,0.035749,0.679887,-0.891829,1.104376,-1.412388,2.126733,4.0,0.0002999,0,522,0.24437,0.33357,0.0,0.0,0.0,,,-0.01,0.00496,-0.00426,-0.02199,-0.00114,0.0
3,3072,nan,nan,0.0,0.0,1.828117,-0.004545,0.061486,0.002734,0.656916,0.028704,0.896982,-1.162842,2.101353,-1.524375,2.590528,4.0,0.0002998,0,579,0.22595,0.32621,0.0,0.0,0.0,,,-0.01,0.00507,-0.00575,-0.01197,-0.00631,0.0
4,4096,-12.87195,450.0,0.0,0.0,1.734334,-0.003573,0.060049,0.002135,0.519127,0.010219,0.908045,-1.662592,2.481569,-2.041658,2.891995,4.0,0.00029969,8,479,0.25083,0.34939,1.0,0.375,0.73597,,,-0.01,0.00729,-0.00306,-0.01654,-0.00949,0.0
5,5120,-4.54344,131.5,0.0,0.0,1.484519,-0.004363,0.063455,0.00329,0.32174,0.038156,0.903111,-2.065819,2.738203,-2.420082,3.146585,4.0,0.00029959,2,541,0.24829,0.35324,0.8,1.0,0.64706,,,-0.01,0.00903,-0.00242,-0.01757,-0.01284,-0.00597
6,6144,-7.00278,208.25,0.0,0.0,1.181697,-0.004211,0.058205,0.001912,0.258528,0.0241,0.891758,-2.687037,2.75753,-2.988364,2.950379,4.0,0.00029949,4,546,0.25597,0.35248,0.57143,1.0,0.79121,,,-0.01,0.0083,-0.00492,-0.01383,-0.01619,-0.01469
7,7168,-6.3106,152.5,0.0,0.0,0.798341,-0.002122,0.030504,0.001098,0.196931,0.0113,0.924385,-3.130292,2.484244,-3.312534,2.642436,4.0,0.00029939,2,604,0.26613,0.35827,0.5,1.0,0.77778,,,-0.01,0.00838,-0.01411,-0.01285,-0.01417,-0.01032
8,8192,-7.11573,368.0,0.0,0.0,1.499797,-0.00583,0.041756,0.002549,0.260071,0.029088,0.922491,-3.450762,2.894416,-3.710342,3.404365,4.0,0.00029928,5,599,0.23844,0.32727,0.52381,0.8,0.84416,,,-0.01,0.00675,-0.00672,-0.0185,-0.00514,-0.00599
9,9216,-6.4501,300.25,0.0,0.0,1.176984,-0.003478,0.049524,0.003145,0.294923,0.032994,0.915808,-3.505514,3.139662,-3.695644,3.334651,4.0,0.00029918,4,545,0.23477,0.33308,0.48,0.75,0.80723,,,-0.01,0.00709,-0.00403,-0.019,-0.0158,-0.01075
10,10240,-8.10208,244.0,0.0,0.0,1.282924,-0.004391,0.033458,0.003347,0.330117,0.048654,0.946268,-3.796638,3.400634,-3.928806,3.680614,4.0,0.00029908,2,590,0.25572,0.34221,0.44444,1.0,0.9,,,-0.01,0.00921,-0.00359,-0.0201,-0.01191,-0.0066
11,11264,-7.81697,250.14286,0.0,0.0,1.124759,-0.003555,0.040002,0.001288,0.269629,0.009347,0.924215,-3.963855,3.250867,-3.979371,3.404435,4.0,0.00029898,7,599,0.23518,0.33253,0.41176,0.85714,0.82014,,,-0.01,0.00947,-0.00316,-0.01955,-0.01486,-0.01877
12,12288,-5.25212,214.0,0.0,0.0,1.040358,-0.003114,0.031213,0.002597,0.301418,0.02138,0.936582,-3.77307,3.186612,-3.769958,3.246609,4.0,0.00029887,5,562,0.22828,0.3275,0.38462,1.0,0.78846,,,-0.01,0.00848,-0.00146,-0.01251,-0.01549,-0.01606
13,13312,-5.00459,225.5,0.0,0.0,1.261105,-0.005485,0.045339,0.002653,0.311818,0.029855,0.91523,-3.948235,3.324787,-4.036557,3.44592,4.0,0.00029877,4,585,0.21811,0.30963,0.37209,1.0,0.73333,,,-0.01,0.00781,-0.0009,-0.01553,-0.01709,-0.00996
14,14336,-5.11434,153.0,0.0,0.0,1.104914,-0.00462,0.033523,0.002292,0.286391,0.026681,0.926304,-3.876775,3.027939,-3.886538,3.232371,4.0,0.00029867,3,591,0.22646,0.31128,0.34783,1.0,0.63158,,,-0.01,0.00938,-0.00273,-0.0135,-0.01338,-0.0112
15,15360,-5.86247,238.33333,0.0,0.0,0.752748,-0.003588,0.025788,0.001979,0.272856,0.020403,0.931955,-3.552717,2.884495,-3.517649,2.918131,4.0,0.00029857,3,562,0.22376,0.31147,0.34694,1.0,0.77419,,,-0.01,0.01041,-0.00615,-0.01086,-0.01823,-0.01049
16,16384,-5.30678,250.2,0.0,0.0,1.001182,-0.00451,0.023429,0.002175,0.269328,0.024449,0.940997,-3.581275,3.017035,-3.523432,2.973586,4.0,0.00029846,5,610,0.22642,0.31379,0.35185,1.0,0.8913,,,-0.01,0.01135,-0.00195,-0.01113,-0.01239,-0.01219
17,17408,7.73575,309.0,0.16667,0.01667,1.026415,-0.00187,1.909239,0.002409,1.481773,0.01845,0.13554,-3.591275,2.844231,-2.129291,7.676092,4.0,0.00029836,6,597,0.21968,0.31007,0.36667,1.0,0.9,,,-0.01,0.01026,-0.0016,-0.01151,-0.01136,0.13142
