iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.453873,-0.005356,0.316602,0.005029,0.680593,0.037415,0.041153,-0.348128,0.204111,-1.616578,2.072819,4.0,0.0003,0,176,0.19666,0.24554,0.0,nan,0,0.0,0.0,,,-0.01,0.00354,-0.00623,-0.03811,0.0,-0.03492,0.0
2,2048,nan,nan,0.0,0.0,2.49295,-0.003586,0.121581,0.002156,0.674021,0.007507,0.611934,-1.455089,1.381999,-2.288065,3.09316,4.0,0.0002999,0,184,0.17511,0.22021,0.0,nan,0,0.0,0.0,,,-0.01,0.0035,-0.00534,-0.03696,0.0,-0.0046,0.0
3,3072,nan,nan,0.0,0.0,2.476789,-0.003186,0.062526,0.002165,0.63581,0.004776,0.823836,-2.014234,2.866528,-2.858677,4.429621,4.0,0.0002998,0,184,0.17067,0.21498,0.0,nan,0,0.0,0.0,,,-0.01,0.00366,-0.00492,-0.03421,-0.00103,-0.00888,0.0
4,4096,nan,nan,0.0,0.0,2.25818,-0.0033,0.041374,0.002184,0.510901,0.016785,0.919903,-2.563517,4.27388,-3.295374,5.399089,4.0,0.00029969,0,195,0.17276,0.22198,0.0,nan,0,0.0,0.0,,,-0.01,0.00423,-0.00498,-0.02921,-0.00597,-0.0086,0.0
5,5120,-34.72645,600.0,0.0,0.0,2.069267,-0.003903,0.028945,0.002712,0.196924,0.024582,0.940082,-3.641467,5.430482,-4.336037,6.65506,4.0,0.00029959,8,186,0.18239,0.23551,1.0,nan,0,0.0,0.9875,,,-0.01,0.00346,-0.00446,-0.03438,-0.00107,-0.02781,0.0
6,6144,nan,nan,0.0,0.0,2.382553,-0.004545,0.020262,0.005202,0.175992,0.054703,0.952145,-4.787707,6.689286,-5.663111,8.098413,4.0,0.00029949,0,177,0.1698,0.21385,1.0,nan,0,0.0,0.0,,,-0.01,0.00292,-0.0042,-0.0389,-0.00103,-0.01608,0.0
7,7168,nan,nan,0.0,0.0,2.142702,-0.004115,0.020539,0.003871,0.26071,0.038849,0.963493,-4.657748,7.51256,-5.480021,8.619991,4.0,0.00029939,0,191,0.16289,0.21275,1.0,nan,0,0.0,0.0,,,-0.01,0.00328,-0.00252,-0.03455,-0.00543,-0.01695,0.0
8,8192,nan,nan,0.0,0.0,1.87348,-0.004967,0.019862,0.002795,0.404448,0.043686,0.959795,-4.986322,8.305631,-6.081461,9.708342,4.0,0.00029928,0,196,0.18945,0.24683,1.0,nan,0,0.0,0.0,,,-0.01,0.00415,-0.00393,-0.03665,-0.0002,-0.04827,0.0
9,9216,nan,nan,0.0,0.0,1.901385,-0.006936,0.012683,0.004552,0.265862,0.078964,0.974259,-5.584013,9.817493,-6.359607,11.2103,4.0,0.00029918,0,197,0.19444,0.24562,1.0,nan,0,0.0,0.0,,,-0.01,0.00468,-0.00276,-0.03526,0.0,-0.02925,0.0
10,10240,-38.82143,600.0,0.0,0.0,2.213551,-0.003261,0.011247,0.002834,0.170944,0.014252,0.981409,-7.988593,11.957455,-8.740969,13.275992,4.0,0.00029908,8,173,0.19633,0.24003,1.0,nan,0,0.0,0.96429,,,-0.01,0.0045,-0.003,-0.0369,0.0,-0.02976,0.0
11,11264,nan,nan,0.0,0.0,2.427077,-0.005703,0.009556,0.005613,0.254934,0.084106,0.984829,-9.361673,13.520779,-9.901889,14.849173,4.0,0.00029898,0,172,0.15675,0.19297,1.0,nan,0,0.0,0.0,,,-0.01,0.00338,-0.00226,-0.03543,-0.0018,-0.0051,0.0
12,12288,nan,nan,0.0,0.0,2.25785,-0.003969,0.007453,0.003368,0.224472,0.029602,0.986881,-8.868829,14.464319,-9.408848,15.819381,4.0,0.00029887,0,155,0.13718,0.18167,1.0,nan,0,0.0,0.0,,,-0.01,0.00244,-0.00229,-0.03529,-0.00097,-0.00443,0.0
13,13312,nan,nan,0.0,0.0,2.284365,-0.00329,0.005192,0.00357,0.169174,0.024857,0.988552,-8.975407,15.674119,-9.632709,17.130848,4.0,0.00029877,0,155,0.1301,0.16828,1.0,nan,0,0.0,0.0,,,-0.01,0.0029,-0.00214,-0.03713,-0.00027,-0.00843,0.0
14,14336,nan,nan,0.0,0.0,2.251753,-0.004742,0.004483,0.004572,0.168584,0.062607,0.990587,-8.80887,17.208031,-9.412016,18.632668,4.0,0.00029867,0,181,0.13519,0.17983,1.0,nan,0,0.0,0.0,,,-0.01,0.00448,-0.00244,-0.03695,-0.00027,-0.00854,0.0
15,15360,-32.33931,600.0,0.0,0.0,2.330706,-0.003261,0.007584,0.00464,0.192265,0.027847,0.990257,-11.540281,18.860264,-12.22154,20.106052,4.0,0.00029857,8,181,0.15594,0.19942,1.0,nan,0,0.0,0.98828,,,-0.01,0.00426,-0.00186,-0.03827,-0.00178,-0.03032,0.0
16,16384,nan,nan,0.0,0.0,1.927492,-0.002851,0.023965,0.002591,0.180013,0.026123,0.9761,-9.635773,18.465841,-9.939241,18.892374,4.0,0.00029846,0,211,0.13439,0.19157,1.0,nan,0,0.0,0.0,,,-0.01,0.00421,-0.00176,-0.03189,-0.00948,-0.0038,0.0
17,17408,nan,nan,0.0,0.0,1.569196,-0.003009,0.005857,0.001972,0.169955,0.01712,0.991596,-8.719642,17.227465,-8.863291,17.967838,4.0,0.00029836,0,231,0.14193,0.20222,1.0,nan,0,0.0,0.0,,,-0.01,0.00365,-0.00124,-0.03255,-0.00402,-0.00177,0.0
18,18432,nan,nan,0.0,0.0,1.340672,-0.001976,0.006999,0.001312,0.120237,0.008469,0.990315,-7.290812,17.335489,-7.348273,17.865589,4.0,0.00029826,0,216,0.14159,0.21271,1.0,nan,0,0.0,0.0,,,-0.01,0.00472,-0.00162,-0.03027,-0.00626,0.0,0.0
19,19456,-23.67704,600.0,0.0,0.0,1.285619,-0.002958,0.02103,0.00255,0.212855,0.034027,0.975627,-8.974171,18.58806,-9.454674,19.063107,4.0,0.00029816,8,229,0.16814,0.2409,1.0,nan,0,0.5,0.91748,,,-0.01,0.00373,-0.00123,-0.03492,-0.00722,-0.03266,0.0
20,20480,nan,nan,0.0,0.0,2.392102,-0.004628,0.00394,0.006432,0.263967,0.098175,0.993704,-13.241017,22.208235,-13.63848,23.553139,4.0,0.00029805,0,184,0.13645,0.17674,1.0,nan,0,0.0,0.0,,,-0.01,0.00416,-0.00149,-0.03837,-0.00026,-0.00899,0.0
21,21504,nan,nan,0.0,0.0,2.245197,-0.004415,0.007187,0.004626,0.205541,0.073044,0.99221,-10.754545,23.545105,-10.774619,24.555265,4.0,0.00029795,0,175,0.12507,0.17072,1.0,nan,0,0.0,0.0,,,-0.01,0.0032,-0.00133,-0.03066,-0.00687,-0.00502,0.0
22,22528,-22.30846,398.0,0.0,0.0,1.564377,-0.002141,0.033323,0.002882,0.152981,0.030411,0.965748,-8.813239,23.261841,-8.989969,23.276501,4.0,0.00029785,2,205,0.16725,0.22625,0.94118,nan,0,1.0,0.89655,,,-0.01,0.00289,-0.00307,-0.03152,-0.0097,-0.01821,-0.00593
23,23552,nan,nan,0.0,0.0,1.741678,-0.004754,0.004437,0.004618,0.22867,0.059891,0.993826,-8.637428,24.095339,-9.410128,25.068233,4.0,0.00029775,0,213,0.16849,0.2177,0.94118,nan,0,0.0,0.0,,,-0.01,0.00348,-0.00275,-0.03922,-0.00078,-0.04041,0.0
24,24576,-35.19658,600.0,0.0,0.0,1.805417,-0.005059,0.005612,0.004644,0.24302,0.075348,0.993394,-10.641059,24.475576,-11.223296,25.350908,4.0,0.00029764,6,195,0.1456,0.19515,0.95,nan,0,0.16667,0.94495,,,-0.01,0.00328,-0.00203,-0.03568,-0.00287,-0.04155,0.0
25,25600,nan,nan,0.0,0.0,1.762667,-0.002713,0.00838,0.002568,0.173453,0.01799,0.99129,-10.269368,24.625107,-10.030065,24.766121,4.0,0.00029754,0,179,0.13111,0.18401,0.95,nan,0,0.0,0.0,,,-0.01,0.00251,-0.0009,-0.02914,-0.01013,-0.00368,0.0
26,26624,nan,nan,0.0,0.0,1.376585,-0.004857,0.002608,0.003338,0.187284,0.039658,0.995652,-7.199838,22.844055,-7.516161,23.778545,4.0,0.00029744,0,200,0.15578,0.21537,0.95,nan,0,0.0,0.0,,,-0.01,0.00337,-0.00148,-0.03594,-0.00033,-0.00511,0.0
27,27648,-27.11537,600.0,0.0,0.0,1.481432,-0.00361,0.002076,0.001847,0.19443,0.014267,0.996472,-8.109515,23.759947,-8.399248,24.729004,4.0,0.00029734,2,221,0.15309,0.2087,0.95238,nan,0,0.0,0.83607,,,-0.01,0.00441,-0.00207,-0.03478,0.0,-0.01449,0.0
28,28672,nan,nan,0.0,0.0,1.453068,-0.002668,0.0115,0.001251,0.142717,0.009827,0.984936,-7.679662,22.764927,-7.891875,22.820997,4.0,0.00029724,0,211,0.14973,0.20909,0.95238,nan,0,0.0,0.0,,,-0.01,0.00422,-0.0016,-0.02798,-0.00787,-0.00464,0.0
29,29696,-23.15006,600.0,0.0,0.0,1.982344,-0.003492,0.013233,0.00451,0.171318,0.0466,0.986315,-12.971386,25.964882,-13.221839,26.229866,4.0,0.00029713,6,212,0.13237,0.18147,0.95833,nan,0,0.16667,0.95152,,,-0.01,0.00371,-0.00083,-0.03021,-0.00761,-0.02007,0.0
30,30720,nan,nan,0.0,0.0,1.286758,-0.002615,0.014078,0.001814,0.174498,0.018311,0.980706,-10.56408,22.792696,-10.696821,22.809071,4.0,0.00029703,0,227,0.15577,0.23069,0.95833,nan,0,0.0,0.0,,,-0.01,0.00367,-0.00034,-0.02265,-0.01593,-0.00147,0.0
31,31744,nan,nan,0.0,0.0,0.790392,-0.002184,0.008856,0.001029,0.217225,0.014694,0.986043,-11.228988,21.254839,-11.449593,21.646282,4.0,0.00029693,0,217,0.18265,0.25105,0.95833,nan,0,0.0,0.0,,,-0.01,0.00325,-0.0013,-0.03969,-0.00591,-0.00201,0.0
32,32768,-18.02199,600.0,0.0,0.0,1.115243,-0.004266,0.002952,0.002638,0.158609,0.032425,0.995533,-11.397961,22.972759,-11.492982,23.404268,4.0,0.00029683,2,238,0.17737,0.23725,0.96,nan,0,1.0,0.8125,,,-0.01,0.00483,-0.00205,-0.03851,-0.00217,-0.01444,0.0
33,33792,-19.09245,594.83333,0.0,0.0,1.385414,-0.002542,0.006956,0.003649,0.126516,0.035019,0.990739,-11.183808,25.313345,-11.175058,25.890846,4.0,0.00029672,6,207,0.16505,0.22337,0.94643,nan,0,0.5,0.91579,,,-0.01,0.00419,-0.00175,-0.03611,-0.00229,-0.02464,-0.00323
34,34816,nan,nan,0.0,0.0,2.07473,-0.004078,0.010009,0.003839,0.225124,0.044815,0.991077,-13.649363,29.558876,-13.639067,30.077274,4.0,0.00029662,0,188,0.14211,0.18209,0.94643,nan,0,0.0,0.0,,,-0.01,0.00419,-0.00095,-0.03411,-0.00452,-0.01068,0.0
35,35840,-11.82793,186.0,0.0,0.0,1.624384,-0.002829,0.01322,0.003134,0.146612,0.029144,0.985476,-10.214614,27.602848,-10.205749,27.510084,4.0,0.00029652,1,193,0.12945,0.1784,0.92982,nan,0,1.0,0.6,,,-0.01,0.00323,-0.00083,-0.03146,-0.00978,-0.00468,-0.00282
36,36864,-25.28558,600.0,0.0,0.0,1.437476,-0.004521,0.003557,0.002747,0.166565,0.028946,0.995476,-8.695396,26.624598,-8.826065,27.227884,4.0,0.00029642,2,200,0.13169,0.19172,0.9322,nan,0,0.5,0.95,,,-0.01,0.00248,-0.00148,-0.03753,-0.00363,-0.00399,0.0
37,37888,-16.8548,334.0,0.0,0.0,1.556827,-0.001811,0.007918,0.001956,0.140892,0.013168,0.990318,-8.873158,27.136089,-9.012993,27.819168,4.0,0.00029631,1,204,0.13948,0.19227,0.91667,nan,0,1.0,1.0,,,-0.01,0.00414,-0.00136,-0.0347,-0.00339,-0.00708,-0.00298
38,38912,-24.12033,600.0,0.0,0.0,2.053281,-0.005292,0.001795,0.004087,0.194737,0.043549,0.99744,-12.325212,31.205597,-12.75712,32.290688,4.0,0.00029621,5,202,0.14089,0.18174,0.92308,nan,0,0.0,0.85612,,,-0.01,0.00347,-0.00205,-0.03906,-0.00026,-0.01591,0.0
39,39936,nan,nan,0.0,0.0,2.29564,-0.004864,0.004991,0.004989,0.144404,0.057434,0.995575,-13.505192,33.12656,-13.656723,33.738525,4.0,0.00029611,0,206,0.12941,0.16151,0.92308,nan,0,0.0,0.0,,,-0.01,0.00348,-0.00127,-0.03424,-0.00437,-0.0038,0.0
40,40960,-25.01934,479.0,0.0,0.0,1.791891,-0.003168,0.015546,0.002121,0.132551,0.018616,0.982896,-11.460161,30.132774,-11.798524,30.545832,4.0,0.00029601,1,229,0.13478,0.18146,0.90909,nan,0,1.0,0.88889,,,-0.01,0.00379,-0.00199,-0.03199,-0.00812,-0.0137,-0.00259
41,41984,-23.71879,600.0,0.0,0.0,1.82617,-0.003166,0.011328,0.002722,0.16724,0.024094,0.988579,-10.915907,31.597353,-11.170659,31.756435,4.0,0.0002959,1,222,0.11956,0.16437,0.91045,nan,0,1.0,0.96296,,,-0.01,0.0047,-0.00167,-0.03845,-0.00456,-0.01733,0.0
42,43008,-32.64987,600.0,0.0,0.0,1.639817,-0.003399,0.0087,0.001649,0.152935,0.015488,0.990753,-9.858127,30.796141,-10.104167,31.311573,4.0,0.0002958,2,220,0.13154,0.18125,0.91304,nan,0,0.5,0.94737,,,-0.01,0.00433,-0.0013,-0.03355,-0.00625,-0.01005,0.0
43,44032,-29.5648,600.0,0.0,0.0,1.861363,-0.004411,0.00391,0.003848,0.18311,0.034424,0.995785,-13.96716,32.047249,-14.11647,32.676765,4.0,0.0002957,4,217,0.13973,0.17945,0.91781,nan,0,0.25,0.97619,,,-0.01,0.00302,-0.00168,-0.03662,-0.00311,-0.01632,0.0
44,45056,nan,nan,0.0,0.0,1.688972,-0.003422,0.012189,0.001871,0.160834,0.019516,0.985636,-12.013365,31.046936,-11.965705,30.632513,4.0,0.0002956,0,205,0.13283,0.17781,0.91781,nan,0,0.0,0.0,,,-0.01,0.00425,-0.00163,-0.03373,-0.00873,-0.00492,0.0
