iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.060788,-0.018661,0.500332,0.006934,1.076344,0.110142,-0.097299,-0.501129,0.169709,-0.983104,0.326944,2.0,0.0003,0,415,0.22723,0.27258,0.0,nan,0,0.0,0.0,,,-0.01,0.00594,-0.02454,0.0,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.846806,-0.010353,0.514452,0.008621,1.918545,0.16059,0.021473,-0.929868,0.079258,-1.358632,0.39196,3.0,0.0002999,0,408,0.18205,0.22474,0.0,nan,0,0.0,0.0,,,-0.01,0.0117,-0.02241,0.0,-0.00726,0.0
3,3072,nan,nan,0.0,0.0,1.234791,-0.006608,0.401781,0.00674,1.303534,0.114182,0.078737,-1.257805,0.089523,-1.50158,0.414366,4.0,0.0002998,0,429,0.16195,0.20044,0.0,nan,0,0.0,0.0,,,-0.01,0.01662,-0.01849,0.0,-0.01191,0.0
4,4096,-12.34143,461.66667,0.0,0.0,0.934856,-0.001906,0.401048,0.001725,0.876413,0.017273,0.185325,-1.49451,0.15299,-1.715277,0.519237,4.0,0.00029969,6,436,0.19025,0.23025,0.0,nan,0,1.0,1.0,,,-0.01,0.02094,-0.01549,0.0,-0.02245,-0.0237
5,5120,-9.45824,467.33333,0.0,0.0,1.305694,-0.006458,0.264022,0.008187,0.876174,0.130157,0.410261,-1.773484,0.255901,-1.876569,0.555033,4.0,0.00029959,3,398,0.16896,0.19593,0.22222,nan,0,0.66667,1.0,,,-0.01,0.02668,-0.01094,0.0,-0.0131,-0.00266
6,6144,13.98568,206.5,0.25,0.07692,1.180142,-0.000249,3.09581,0.001381,2.980258,6.1e-05,0.008378,-1.990081,0.411082,-0.925472,7.007002,4.0,0.00029949,4,410,0.15995,0.1876,0.15385,0.0,1,1.0,1.0,,,-0.01,0.02639,-0.0086,0.0,-0.02115,0.09178
7,7168,-3.52539,180.5,0.0,0.06667,1.050996,-0.001878,0.040033,0.001857,0.254541,0.021561,0.867303,-1.624649,1.956765,-1.742399,2.049201,4.0,0.00029939,2,433,0.16517,0.18524,0.13333,0.0,1,1.0,1.0,,,-0.01,0.02445,-0.00754,0.0,-0.01054,-0.00639
8,8192,70.4584,210.5,1.0,0.17647,0.625487,-0.000207,2.412339,0.000509,1.450998,0.000443,0.057638,-1.73011,2.695163,0.910613,10.055943,4.0,0.00029928,2,488,0.23167,0.2594,0.11765,0.0,3,0.5,1.0,,,-0.01,0.01175,-0.01318,0.0,-0.00784,0.37434
9,9216,-4.29316,464.66667,0.0,0.15,0.801255,-0.002737,0.022626,0.002919,0.556636,0.05249,0.896249,1.119002,2.330959,0.912373,2.399293,4.0,0.00029918,3,458,0.21969,0.2389,0.2,0.0,3,1.0,1.0,,,-0.01,0.01982,-0.00931,0.0,-0.00872,-0.00427
10,10240,-2.76673,600.0,0.0,0.14286,0.995261,-0.00301,0.012488,0.002696,0.329892,0.039886,0.881946,1.290218,2.060259,1.193305,2.053694,4.0,0.00029908,1,456,0.21834,0.23256,0.2381,0.0,3,1.0,1.0,,,-0.01,0.0158,-0.00742,0.0,-0.00556,0.0
11,11264,-2.73958,600.0,0.0,0.125,1.089092,-0.00221,0.011838,0.003824,0.29584,0.042999,0.817685,1.633986,1.55357,1.586776,1.597578,4.0,0.00029898,3,442,0.19991,0.21134,0.33333,0.0,3,1.0,1.0,,,-0.01,0.01559,-0.00557,0.0,-0.00671,0.0
12,12288,nan,nan,0.0,0.125,1.027505,-0.002958,0.004235,0.003754,0.301902,0.031387,0.957307,1.719409,1.676957,1.575144,1.702668,4.0,0.00029887,0,471,0.1948,0.2034,0.33333,0.0,3,0.0,0.0,,,-0.01,0.00806,-0.00564,0.0,-0.0007,0.0
13,13312,-1.77641,600.0,0.0,0.12,1.00485,-0.003261,0.006478,0.003571,0.341146,0.050705,0.930097,1.28402,1.700752,1.183433,1.722901,4.0,0.00029877,1,477,0.17829,0.18658,0.36,0.0,3,1.0,1.0,,,-0.01,0.01091,-0.00375,0.0,-0.00706,0.0
14,14336,-2.30023,600.0,0.0,0.10714,0.99905,-0.004042,0.009151,0.004346,0.399637,0.068863,0.893538,1.364277,1.613692,1.340083,1.627172,4.0,0.00029867,3,456,0.15082,0.15952,0.42857,0.0,3,0.66667,1.0,,,-0.01,0.01782,-0.00254,0.0,-0.00687,0.0
15,15360,-3.29234,575.0,0.0,0.09375,0.99118,-0.002966,0.014668,0.003518,0.345329,0.041534,0.801189,1.329742,1.502126,1.230445,1.503021,4.0,0.00029857,4,451,0.11561,0.123,0.46875,0.0,3,0.75,1.0,,,-0.01,0.02052,-0.00186,0.0,-0.00837,-0.0032
16,16384,nan,nan,0.0,0.09375,1.019575,-0.003529,0.009658,0.003524,0.32978,0.046219,0.887953,0.928295,1.5181,0.919636,1.565007,4.0,0.00029846,0,461,0.11751,0.12347,0.46875,0.0,3,0.0,0.0,,,-0.01,0.02027,-0.00169,0.0,-0.00105,0.0
17,17408,nan,nan,0.0,0.09375,0.824703,-0.007656,0.006218,0.005757,0.366684,0.080383,0.964307,0.261692,2.199905,0.061838,2.277089,4.0,0.00029836,0,529,0.17819,0.18596,0.46875,0.0,3,0.0,0.0,,,-0.01,0.00662,-0.00545,0.0,-0.00089,0.0
18,18432,-0.68497,600.0,0.0,0.08824,0.965755,-0.009119,0.003633,0.006798,0.461654,0.107941,0.980084,-0.368537,2.247391,-0.420439,2.260559,4.0,0.00029826,2,499,0.15063,0.15355,0.5,0.0,3,1.0,1.0,,,-0.01,0.00934,-0.00288,0.0,0.00098,0.0
19,19456,-0.31158,600.0,0.0,0.08333,1.236336,-0.005697,0.004756,0.00528,0.378172,0.079208,0.967481,-0.06043,1.959151,-0.097247,1.963927,4.0,0.00029816,2,452,0.09083,0.09248,0.52778,0.0,3,0.5,1.0,,,-0.01,0.01417,-0.00086,0.0,0.00046,0.0
20,20480,0.5346,600.0,0.0,0.075,1.180941,-0.004407,0.007134,0.004043,0.384137,0.066757,0.931677,0.4391,1.611728,0.41241,1.587705,4.0,0.00029805,4,433,0.07055,0.07535,0.575,0.0,3,0.75,1.0,,,-0.01,0.01856,-0.00053,0.0,-0.00613,0.0
