iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.400645,-0.005936,0.338059,0.005653,0.710882,0.04747,-0.035449,-0.408617,0.161699,-1.895754,1.973794,4.0,0.0003,0,281,0.20111,0.24872,0.0,nan,0,0.0,0.0,,,-0.03,0.00289,-0.00146,-0.03776,0.0,-0.03115,0.0
2,2048,nan,nan,0.0,0.0,2.391641,-0.004103,0.102775,0.001973,0.743636,0.016251,0.634563,-1.779231,1.407993,-2.882308,3.121953,4.0,0.0002999,0,283,0.15171,0.19951,0.0,nan,0,0.0,0.0,,,-0.03,0.00364,-0.00097,-0.03563,-0.00026,-0.00563,0.0
3,3072,nan,nan,0.0,0.0,2.284862,-0.004408,0.056907,0.0033,0.503075,0.032593,0.861479,-2.605037,3.055909,-3.563484,4.291035,4.0,0.0002998,0,284,0.13956,0.19055,0.0,nan,0,0.0,0.0,,,-0.03,0.0031,-0.00052,-0.03122,-0.00332,-0.00391,0.0
4,4096,nan,nan,0.0,0.0,2.05862,-0.004293,0.037919,0.002378,0.323693,0.022919,0.904219,-3.394389,4.097429,-4.259763,5.42855,4.0,0.00029969,0,301,0.12756,0.18391,0.0,nan,0,0.0,0.0,,,-0.03,0.00252,-0.00012,-0.03506,-0.00304,-0.00287,0.0
5,5120,-41.39594,600.0,0.0,0.0,2.069902,-0.003576,0.029138,0.003055,0.231507,0.018356,0.936708,-4.299681,5.449282,-5.170268,6.752043,4.0,0.00029959,8,256,0.15146,0.20751,1.0,nan,0,0.0,0.97832,,,-0.03,0.00253,-0.00053,-0.03822,0.00013,-0.02231,0.0
6,6144,nan,nan,0.0,0.0,2.350485,-0.004828,0.02206,0.003939,0.242096,0.038071,0.951263,-5.584805,6.816379,-6.61404,8.228415,4.0,0.00029949,0,241,0.17439,0.22275,1.0,nan,0,0.0,0.0,,,-0.03,0.00314,-0.0012,-0.0383,-0.00197,-0.00984,0.0
7,7168,-22.96086,274.66667,0.0,0.0,1.758219,-0.003443,0.04931,0.003706,0.274267,0.04335,0.934235,-4.848579,7.415109,-5.30724,7.564818,4.0,0.00029939,3,264,0.15264,0.21669,0.72727,nan,0,1.0,0.96791,,,-0.03,0.00402,-0.00119,-0.02501,-0.0188,-0.01028,-0.00795
8,8192,nan,nan,0.0,0.0,1.751255,-0.004843,0.018998,0.003405,0.341257,0.039948,0.961077,-5.149148,7.449605,-5.845305,8.746514,4.0,0.00029928,0,319,0.15691,0.2165,0.72727,nan,0,0.0,0.0,,,-0.03,0.00292,-0.00054,-0.03715,-0.00053,-0.01363,0.0
9,9216,nan,nan,0.0,0.0,1.604276,-0.003817,0.020349,0.001765,0.456057,0.01683,0.964659,-4.501131,8.634349,-5.560409,9.762031,4.0,0.00029918,0,351,0.1554,0.21857,0.72727,nan,0,0.0,0.0,,,-0.03,0.00499,-0.00043,-0.03485,-0.00114,-0.04416,0.0
10,10240,-40.2957,600.0,0.0,0.0,1.857693,-0.002834,0.022051,0.002298,0.307149,0.015503,0.96791,-6.90957,10.611835,-8.1533,11.7995,4.0,0.00029908,5,319,0.14757,0.2012,0.8125,nan,0,0.0,0.96623,,,-0.03,0.00338,-1e-05,-0.03876,-0.00034,-0.06173,0.0
11,11264,nan,nan,0.0,0.0,1.781766,-0.003926,0.028266,0.002899,0.32062,0.035339,0.966815,-6.682381,11.141429,-7.77494,11.851727,4.0,0.00029898,0,334,0.13876,0.19499,0.8125,nan,0,0.0,0.0,,,-0.03,0.00327,-0.00069,-0.03246,-0.00795,-0.04851,0.0
12,12288,-66.29452,600.0,0.0,0.0,1.618993,-0.005869,0.021135,0.004287,0.302962,0.067612,0.971739,-7.723155,11.449956,-8.670682,12.628881,4.0,0.00029887,3,347,0.13724,0.19705,0.84211,nan,0,0.0,0.94866,,,-0.03,0.00435,0.00011,-0.04067,-0.00087,-0.04323,0.0
13,13312,nan,nan,0.0,0.0,1.501947,-0.004205,0.017475,0.002613,0.190777,0.022186,0.979027,-7.909206,11.919637,-8.276343,12.510438,4.0,0.00029877,0,359,0.12661,0.19234,0.84211,nan,0,0.0,0.0,,,-0.03,0.0043,0.00091,-0.03396,-0.00515,-0.00778,0.0
14,14336,-34.50158,569.0,0.0,0.0,1.366244,-0.004156,0.015209,0.003298,0.147409,0.044632,0.977863,-7.401928,12.109138,-7.741558,13.075995,4.0,0.00029867,1,371,0.12288,0.19789,0.8,nan,0,1.0,1.0,,,-0.03,0.0032,0.00084,-0.03837,-0.00109,-0.00534,-0.00332
15,15360,-33.4783,600.0,0.0,0.0,1.760406,-0.004606,0.016,0.003907,0.199423,0.030899,0.984316,-9.622531,14.781347,-9.809504,15.581472,4.0,0.00029857,4,327,0.09942,0.16424,0.83333,nan,0,0.0,0.93504,,,-0.03,0.00292,0.00015,-0.0331,-0.00923,-0.01183,0.0
16,16384,-14.32679,184.0,0.0,0.0,1.327246,-0.003414,0.035679,0.003406,0.164062,0.039337,0.958657,-7.459909,14.061166,-7.716859,14.254473,4.0,0.00029846,3,361,0.12132,0.20023,0.74074,nan,0,1.0,0.9931,,,-0.03,0.00335,0.00028,-0.02855,-0.01353,-0.01026,-0.00993
17,17408,-29.03811,600.0,0.0,0.0,1.585243,-0.004314,0.027332,0.002453,0.174148,0.021973,0.971025,-10.116971,14.717562,-10.542799,15.060216,4.0,0.00029836,3,337,0.10929,0.17022,0.76667,nan,0,0.0,0.94589,,,-0.03,0.00251,3e-05,-0.03288,-0.00822,-0.01811,0.0
18,18432,-18.16979,335.5,0.0,0.0,0.874427,-0.002507,0.028174,0.001304,0.160966,0.009323,0.944416,-8.001188,12.126548,-8.087156,11.664658,4.0,0.00029826,2,416,0.13839,0.22449,0.71875,nan,0,1.0,0.96324,,,-0.03,0.003,0.00031,-0.02043,-0.0324,-0.02888,-0.00953
19,19456,-19.97363,364.0,0.0,0.0,1.357361,-0.003931,0.029232,0.003452,0.267496,0.032959,0.962519,-10.171712,14.240605,-9.892308,14.326785,4.0,0.00029816,5,283,0.10036,0.16539,0.62162,nan,0,1.0,0.98118,,,-0.03,0.00302,0.0002,-0.02795,-0.01868,-0.022,-0.01457
20,20480,-12.66184,153.0,0.0,0.0,0.679228,-0.003718,0.026297,0.001324,0.190259,0.015457,0.932071,-6.364041,10.9059,-6.280472,10.333593,4.0,0.00029805,2,406,0.15705,0.26222,0.58974,nan,0,1.0,0.92208,,,-0.03,0.00394,0.00037,-0.03112,-0.03426,-0.01082,-0.01129
21,21504,-15.71043,292.71429,0.0,0.0,1.04386,-0.002258,0.020998,0.001597,0.160479,0.011948,0.956921,-8.210682,11.661251,-7.866162,11.427889,4.0,0.00029795,7,374,0.10545,0.1712,0.52174,nan,0,1.0,0.98148,,,-0.03,0.00281,-9e-05,-0.03259,-0.0197,-0.02553,-0.02147
