iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.049164,-0.015581,0.543947,0.006785,2.448657,0.095424,-0.030598,0.674122,0.273405,-0.196445,0.401696,2.0,0.0003,0,21,0.2254,0.27216,0.0,nan,0,0.0,0.0,,,-0.03,0.00559,-0.02529,0.0,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.857421,-0.010656,0.656543,0.007296,4.630644,0.137787,0.081797,-0.076877,0.111305,-0.827869,0.443829,2.0,0.0002999,0,15,0.17662,0.21915,0.0,nan,0,0.0,0.0,,,-0.03,0.01223,-0.02167,0.0,-0.00806,0.0
3,3072,-18.38692,351.0,0.0,0.0,1.157175,-0.006416,0.338756,0.007682,1.708757,0.150604,0.150987,-0.83677,0.145018,-1.35433,0.60375,4.0,0.0002998,1,13,0.15873,0.20256,0.0,nan,0,1.0,1.0,,,-0.03,0.01767,-0.01899,0.0,-0.0202,-0.00317
4,4096,-19.22146,446.16667,0.0,0.0,1.08005,-0.005392,0.163251,0.005236,0.58547,0.094116,0.317394,-1.430224,0.300015,-1.75164,0.572344,4.0,0.00029969,6,16,0.17079,0.20686,0.0,nan,0,1.0,1.0,,,-0.03,0.02506,-0.01533,0.0,-0.01372,-0.02002
5,5120,-9.33623,248.16667,0.0,0.0,1.114544,-0.002175,0.165451,0.003273,0.404886,0.03096,0.455879,-1.849968,0.373723,-2.311533,0.853821,4.0,0.00029959,6,23,0.14722,0.18706,0.07692,nan,0,1.0,1.0,,,-0.03,0.02833,-0.01312,0.0,-0.03317,-0.01566
6,6144,-6.98743,191.0,0.0,0.0,1.117393,-0.004795,0.114153,0.005557,0.464623,0.087616,0.641154,-2.345643,0.625513,-2.711435,0.981131,4.0,0.00029949,6,129,0.1388,0.17041,0.05263,nan,0,1.0,1.0,,,-0.03,0.03203,-0.00899,0.0,-0.02833,-0.01719
7,7168,-5.9349,156.66667,0.0,0.0,1.113448,-0.00307,0.085715,0.003349,0.313391,0.037811,0.751956,-2.80695,0.845745,-3.140557,1.124261,4.0,0.00029939,6,158,0.12106,0.15006,0.04,nan,0,1.0,1.0,,,-0.03,0.03303,-0.00758,0.0,-0.02997,-0.01677
8,8192,-5.31013,147.2,0.0,0.0,0.957522,-0.003635,0.066765,0.004147,0.413658,0.071472,0.81864,-3.186175,1.006789,-3.413853,1.270476,4.0,0.00029928,5,129,0.13268,0.15842,0.03333,nan,0,1.0,1.0,,,-0.03,0.03483,-0.00559,0.0,-0.03091,-0.01514
9,9216,-5.69414,195.66667,0.0,0.0,0.680906,-0.002709,0.056948,0.004193,0.344027,0.062027,0.875943,-2.982103,1.242379,-3.123838,1.486048,4.0,0.00029918,3,177,0.15062,0.17644,0.0303,nan,0,1.0,1.0,,,-0.03,0.03211,-0.00607,0.0,-0.03047,-0.01245
10,10240,-5.26715,204.75,0.0,0.0,0.49144,-0.002315,0.032567,0.002372,0.260068,0.026703,0.92888,-2.833237,1.346907,-2.899766,1.495062,4.0,0.00029908,4,210,0.14307,0.16215,0.02703,nan,0,1.0,1.0,,,-0.03,0.03089,-0.00571,0.0,-0.01959,-0.02142
11,11264,-4.70407,126.66667,0.0,0.0,0.495137,-0.001858,0.036558,0.00132,0.231474,0.017792,0.93769,-2.971611,1.564902,-3.041839,1.746493,4.0,0.00029898,3,113,0.12757,0.15229,0.025,nan,0,1.0,1.0,,,-0.03,0.02766,-0.0047,0.0,-0.02945,-0.01531
12,12288,10.52897,302.0,0.2,0.02222,0.542521,-0.000221,3.981213,0.00033,2.057036,0.003784,0.04989,-3.24306,1.690492,-1.898028,7.580877,4.0,0.00029887,5,168,0.11882,0.13675,0.06667,0.0,1,1.0,1.0,,,-0.03,0.02984,-0.00363,0.0,-0.01848,0.15329
13,13312,7.97814,279.83333,0.16667,0.03922,0.621194,-0.000914,2.156417,0.002179,0.927207,0.013885,0.106493,-1.139721,2.329907,0.202169,7.556675,4.0,0.00029877,6,153,0.07679,0.09444,0.09804,0.0,2,1.0,1.0,,,-0.03,0.0325,-0.00129,0.0,-0.0234,0.12939
14,14336,-4.18865,170.5,0.0,0.03636,0.597737,-0.000908,0.086424,0.002107,0.33754,0.00293,0.71128,0.308067,2.726234,0.157164,2.626705,4.0,0.00029867,4,24,0.10363,0.12671,0.09091,0.0,2,1.0,1.0,,,-0.03,0.02845,-0.00226,0.0,-0.02877,-0.01624
15,15360,-5.00976,233.0,0.0,0.0339,0.598477,-0.001185,0.062537,0.001726,0.366923,0.017334,0.802724,0.465994,2.954514,0.345376,2.915758,4.0,0.00029857,4,21,0.1095,0.12588,0.10169,0.0,2,1.0,1.0,,,-0.03,0.02546,-0.00226,0.0,-0.01564,-0.0121
