iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.929533,-0.008825,0.373431,0.006528,1.336767,0.059036,0.038938,0.840474,0.257471,-0.109109,2.00331,4.0,0.0003,0,309,0.17047,0.224,0.0,nan,0,0.0,0.0,,,-0.01,0.00238,-0.00718,-0.039,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.852896,-0.006056,0.146054,0.004646,0.58534,0.065079,0.591861,0.001198,1.221516,-0.834653,2.68958,4.0,0.0002999,0,317,0.138,0.18679,0.0,nan,0,0.0,0.0,,,-0.01,0.00283,-0.0064,-0.03379,-0.0042,0.0
3,3072,nan,nan,0.0,0.0,2.18488,-0.004466,0.071007,0.002598,0.449852,0.026611,0.834508,-0.7179,2.410402,-1.345094,3.447625,4.0,0.0002998,0,343,0.1281,0.19275,0.0,nan,0,0.0,0.0,,,-0.01,0.00398,-0.00631,-0.03171,-0.00754,0.0
4,4096,nan,nan,0.0,0.0,1.512685,-0.005812,0.047228,0.003783,0.329262,0.056534,0.899447,-0.916928,3.336782,-1.356338,4.348391,4.0,0.00029969,0,374,0.14624,0.23355,0.0,nan,0,0.0,0.0,,,-0.01,0.00409,-0.00729,-0.03365,-0.0096,0.0
5,5120,-24.32018,600.0,0.0,0.0,1.577066,-0.004014,0.033089,0.001626,0.240111,0.017685,0.928827,-1.248965,4.100839,-1.663105,5.128931,4.0,0.00029959,8,358,0.19072,0.26878,1.0,nan,0,0.0,0.9745,,,-0.01,0.00402,-0.00557,-0.03925,-0.00284,0.0
6,6144,nan,nan,0.0,0.0,2.373781,-0.005993,0.047781,0.005732,0.329628,0.065125,0.944071,-2.060354,5.433956,-2.614653,5.986614,4.0,0.00029949,0,326,0.15921,0.21703,1.0,nan,0,0.0,0.0,,,-0.01,0.00397,-0.00408,-0.0268,-0.01637,0.0
7,7168,nan,nan,0.0,0.0,1.215573,-0.00323,0.037508,0.00113,0.188247,0.013245,0.945701,-2.210234,5.309128,-2.635795,5.963248,4.0,0.00029939,0,390,0.20313,0.29687,1.0,nan,0,0.0,0.0,,,-0.01,0.006,-0.00583,-0.03413,-0.00949,0.0
8,8192,-14.2699,399.0,0.0,0.0,0.784178,-0.003599,0.040787,0.002053,0.212064,0.026642,0.933534,-3.390684,5.396161,-3.664672,5.687404,4.0,0.00029928,3,425,0.22355,0.31249,0.72727,nan,0,1.0,0.975,,,-0.01,0.00529,-0.00655,-0.04163,-0.01345,-0.01797
9,9216,-15.63642,489.5,0.0,0.0,1.483483,-0.00347,0.032878,0.002647,0.257591,0.027206,0.950686,-3.968879,5.751414,-4.230906,6.231477,4.0,0.00029918,2,371,0.16809,0.23172,0.61538,nan,0,1.0,0.96923,,,-0.01,0.00473,-0.0032,-0.02998,-0.00994,-0.00699
10,10240,-15.59068,518.5,0.0,0.0,1.607984,-0.003813,0.034717,0.002491,0.179848,0.038361,0.951324,-3.823591,6.248165,-4.144542,6.73189,4.0,0.00029908,4,361,0.15653,0.21988,0.64706,nan,0,1.0,0.98473,,,-0.01,0.00489,-0.00236,-0.02948,-0.01461,-0.00325
11,11264,-12.38504,407.0,0.0,0.0,1.293541,-0.003585,0.019628,0.001431,0.151852,0.015503,0.970547,-3.429178,6.313325,-3.659617,6.658142,4.0,0.00029898,1,385,0.14968,0.21957,0.61111,nan,0,1.0,1.0,,,-0.01,0.0057,-0.00249,-0.02929,-0.0181,-0.00396
12,12288,-12.11146,382.0,0.0,0.0,1.079044,-0.002912,0.027978,0.00147,0.16419,0.018646,0.955164,-3.865336,6.420088,-3.942087,6.76286,4.0,0.00029887,4,400,0.14492,0.21194,0.5,nan,0,1.0,0.97674,,,-0.01,0.00616,-0.00287,-0.0314,-0.00977,-0.01833
13,13312,-12.0759,371.0,0.0,0.0,1.716795,-0.003521,0.031211,0.001885,0.158449,0.024155,0.959672,-4.476166,7.251041,-4.732476,7.55017,4.0,0.00029877,2,355,0.1243,0.18943,0.45833,nan,0,1.0,1.0,,,-0.01,0.00479,-0.00154,-0.02858,-0.01771,-0.00603
14,14336,-11.16176,303.0,0.0,0.0,1.010713,-0.003773,0.021045,0.001647,0.195849,0.021072,0.960923,-4.042888,6.028113,-4.186399,6.430756,4.0,0.00029867,2,404,0.15471,0.22858,0.42308,nan,0,1.0,0.94118,,,-0.01,0.0053,-0.0013,-0.03454,-0.01698,-0.00971
15,15360,-15.4163,600.0,0.0,0.0,1.170218,-0.004012,0.014327,0.001365,0.157212,0.014603,0.975293,-4.402926,6.603738,-4.563365,7.066579,4.0,0.00029857,1,394,0.13159,0.1918,0.44444,nan,0,1.0,0.95455,,,-0.01,0.00552,-0.00221,-0.03038,-0.01291,0.0
16,16384,-11.66895,408.6,0.0,0.0,1.257267,-0.003149,0.022856,0.002165,0.158445,0.014267,0.96584,-4.74954,7.140814,-4.806171,7.603188,4.0,0.00029846,5,373,0.14599,0.21582,0.375,nan,0,1.0,0.94872,,,-0.01,0.00566,-0.00113,-0.03286,-0.01394,-0.01981
17,17408,-14.27267,428.33333,0.0,0.0,1.597304,-0.003251,0.022623,0.001926,0.2065,0.01178,0.973236,-5.228272,8.363618,-5.374509,8.823185,4.0,0.00029836,3,356,0.13105,0.19499,0.37143,nan,0,0.66667,0.97143,,,-0.01,0.00554,-0.00103,-0.03546,-0.01658,-0.00633
18,18432,-10.37235,306.5,0.0,0.0,1.195752,-0.003231,0.020971,0.001045,0.185512,0.01149,0.970817,-4.775607,7.887697,-4.883877,8.339222,4.0,0.00029826,2,384,0.15772,0.23149,0.35135,nan,0,1.0,1.0,,,-0.01,0.00598,-0.00115,-0.03198,-0.01698,-0.00803
19,19456,-12.36519,361.66667,0.0,0.0,1.22255,-0.00449,0.018035,0.002609,0.192829,0.028015,0.977259,-4.873939,8.444722,-4.910758,8.823175,4.0,0.00029816,3,381,0.1517,0.22432,0.325,nan,0,1.0,0.82353,,,-0.01,0.00589,-0.00121,-0.03251,-0.01525,-0.01194
20,20480,-10.37504,320.0,0.0,0.0,1.162047,-0.003773,0.020474,0.001023,0.176295,0.008362,0.971159,-4.523863,8.101453,-4.642987,8.339576,4.0,0.00029805,2,390,0.16176,0.23706,0.30952,nan,0,1.0,0.86667,,,-0.01,0.00532,-0.00157,-0.03235,-0.02,-0.00841
