iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.461893,-0.008863,0.370537,0.007308,0.723963,0.071243,-0.066137,-0.181582,0.209285,-1.940843,2.131568,4.0,0.0003,0,281,0.19012,0.23627,0.0,nan,0,0.0,0.0,,,-0.03,0.00371,-0.00576,-0.04068,0.0,-0.04244,0.0
2,2048,nan,nan,0.0,0.0,2.518087,-0.004022,0.13856,0.001991,0.7408,0.010712,0.589726,-1.774585,1.392419,-2.985043,3.05405,4.0,0.0002999,0,282,0.15297,0.19856,0.0,nan,0,0.0,0.0,,,-0.03,0.00397,-0.0058,-0.03609,-0.00076,-0.0078,0.0
3,3072,nan,nan,0.0,0.0,2.276843,-0.003875,0.078377,0.004582,0.740733,0.031403,0.827556,-2.362925,2.813299,-3.369276,4.108669,4.0,0.0002998,0,294,0.13373,0.18251,0.0,nan,0,0.0,0.0,,,-0.03,0.00369,-0.00538,-0.03034,-0.00526,-0.00436,0.0
4,4096,nan,nan,0.0,0.0,1.813754,-0.002649,0.058587,0.001876,0.480626,0.011658,0.898376,-3.134806,3.830276,-3.931017,4.761042,4.0,0.00029969,0,322,0.136,0.19471,0.0,nan,0,0.0,0.0,,,-0.03,0.00393,-0.00566,-0.02839,-0.01097,-0.00369,0.0
5,5120,-42.70986,591.25,0.0,0.0,1.651677,-0.002644,0.050131,0.002566,0.227144,0.024979,0.912772,-4.162227,4.40252,-4.844284,5.312884,4.0,0.00029959,8,322,0.16861,0.23584,0.875,nan,0,0.375,0.99023,,,-0.03,0.00349,-0.00434,-0.03008,-0.00738,-0.02373,-0.00285
6,6144,nan,nan,0.0,0.0,2.300514,-0.00352,0.03213,0.002613,0.15872,0.022293,0.939691,-5.356166,5.460155,-6.17834,6.578474,4.0,0.00029949,0,287,0.14982,0.19469,0.875,nan,0,0.0,0.0,,,-0.03,0.00416,-0.00275,-0.03193,-0.0072,-0.00378,0.0
7,7168,nan,nan,0.0,0.0,1.210313,-0.003377,0.024194,0.001415,0.238795,0.022797,0.960643,-4.248155,5.517603,-4.649217,6.020333,4.0,0.00029939,0,361,0.19079,0.27926,0.875,nan,0,0.0,0.0,,,-0.03,0.00521,-0.00363,-0.02022,-0.02118,-0.00027,0.0
8,8192,-21.81995,414.0,0.0,0.0,0.630809,-0.003065,0.021544,0.001216,0.178795,0.016266,0.959179,-4.661019,5.536469,-4.872573,6.181961,4.0,0.00029928,1,429,0.24431,0.38544,0.77778,nan,0,1.0,0.91667,,,-0.03,0.00516,-0.00669,-0.03937,-0.00446,-0.0062,-0.00715
9,9216,-23.92506,543.0,0.0,0.0,0.868123,-0.003467,0.029433,0.001049,0.155191,0.007233,0.955948,-5.435309,6.566968,-5.75595,7.294199,4.0,0.00029918,2,398,0.1955,0.28779,0.72727,nan,0,0.5,0.95385,,,-0.03,0.00346,-0.00379,-0.04175,-0.00958,-0.02195,-0.00522
10,10240,-24.29416,600.0,0.0,0.0,1.555905,-0.003077,0.028121,0.003079,0.198106,0.022156,0.965167,-7.466862,8.011306,-7.958855,8.829758,4.0,0.00029908,5,322,0.17952,0.24079,0.8125,nan,0,0.4,0.90769,,,-0.03,0.00426,-0.00519,-0.032,-0.00726,-0.01703,0.0
