iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.404263,-0.007104,0.332081,0.005598,0.753802,0.075409,-0.00124,-0.43435,0.20072,-1.661638,1.870763,4.0,0.0003,0,56,0.20007,0.24768,0.0,nan,0,0.0,0.0,,,-0.03,0.00291,-0.00669,-0.03805,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.420602,-0.005038,0.139201,0.002821,0.711858,0.026779,0.5756,-1.763909,1.227251,-2.892618,2.909155,4.0,0.0002999,0,47,0.1499,0.19623,0.0,nan,0,0.0,0.0,,,-0.03,0.0038,-0.00598,-0.03614,-0.00073,0.0
3,3072,nan,nan,0.0,0.0,2.192808,-0.003592,0.07464,0.002311,0.572669,0.021774,0.83927,-2.697387,2.700252,-3.581619,3.809349,4.0,0.0002998,0,50,0.13488,0.18563,0.0,nan,0,0.0,0.0,,,-0.03,0.00444,-0.00616,-0.02923,-0.00637,0.0
4,4096,nan,nan,0.0,0.0,1.656927,-0.004056,0.0717,0.00167,0.248902,0.013214,0.875666,-3.44533,3.602056,-4.185056,4.560469,4.0,0.00029969,0,54,0.14119,0.20295,0.0,nan,0,0.0,0.0,,,-0.03,0.00408,-0.00587,-0.0321,-0.01083,0.0
5,5120,-35.12265,599.625,0.0,0.0,1.446672,-0.002767,0.057431,0.002033,0.21885,0.019684,0.901695,-4.34905,4.205953,-4.86548,5.051861,4.0,0.00029959,8,55,0.18255,0.24888,0.875,nan,0,0.5,0.97071,,,-0.03,0.00401,-0.00654,-0.03512,-0.00578,-0.00319
6,6144,nan,nan,0.0,0.0,2.144699,-0.003988,0.03302,0.001792,0.255567,0.014648,0.948332,-5.128693,5.173611,-5.878458,5.940361,4.0,0.00029949,0,60,0.15925,0.20534,0.875,nan,0,0.0,0.0,,,-0.03,0.00521,-0.00561,-0.03075,-0.00781,0.0
7,7168,nan,nan,0.0,0.0,1.428245,-0.005247,0.026161,0.003214,0.322586,0.047028,0.956589,-4.657018,5.440282,-5.140091,6.218752,4.0,0.00029939,0,62,0.15364,0.21835,0.875,nan,0,0.0,0.0,,,-0.03,0.00483,-0.0048,-0.03045,-0.01308,0.0
8,8192,-17.77558,396.0,0.0,0.0,0.731919,-0.002848,0.027622,0.00128,0.280124,0.012878,0.95455,-4.7028,5.572963,-5.015212,6.221035,4.0,0.00029928,1,70,0.22848,0.32298,0.77778,nan,0,1.0,0.96296,,,-0.03,0.00629,-0.00778,-0.03846,-0.01298,-0.00613
9,9216,-21.86879,453.33333,0.0,0.0,1.211851,-0.003385,0.038072,0.002633,0.254329,0.027664,0.946947,-6.229089,6.631587,-6.57589,7.599972,4.0,0.00029918,3,66,0.18892,0.24871,0.58333,nan,0,1.0,0.93496,,,-0.03,0.00474,-0.00376,-0.03998,-0.00593,-0.01104
10,10240,-22.684,517.2,0.0,0.0,1.438995,-0.003512,0.045401,0.002266,0.173824,0.028915,0.943215,-6.916097,7.424709,-7.194353,7.910739,4.0,0.00029908,5,53,0.19772,0.25665,0.58824,nan,0,0.8,0.9087,,,-0.03,0.00518,-0.00439,-0.03058,-0.01624,-0.00629
11,11264,-17.25497,347.5,0.0,0.0,1.367778,-0.003386,0.025911,0.00283,0.201672,0.024323,0.963332,-6.81621,7.239202,-7.026626,7.751597,4.0,0.00029898,2,57,0.17843,0.23076,0.52632,nan,0,1.0,0.86957,,,-0.03,0.00519,-0.00395,-0.0314,-0.01353,-0.00657
12,12288,nan,nan,0.0,0.0,0.997425,-0.005581,0.016776,0.003293,0.269368,0.046707,0.972772,-6.224813,7.217528,-6.531795,7.926976,4.0,0.00029887,0,64,0.21312,0.28093,0.52632,nan,0,0.0,0.0,,,-0.03,0.00614,-0.00653,-0.03631,-0.01467,0.0
13,13312,-17.6806,438.0,0.0,0.0,1.086036,-0.003405,0.027511,0.001054,0.20137,0.009399,0.965709,-6.593776,8.277481,-6.778272,8.904859,4.0,0.00029877,3,57,0.20293,0.27066,0.45455,nan,0,1.0,0.97531,,,-0.03,0.0051,-0.00469,-0.0354,-0.0099,-0.01193
14,14336,-19.77991,434.0,0.0,0.0,1.0094,-0.003026,0.021483,0.001964,0.140591,0.017502,0.970293,-6.869645,8.20505,-6.92448,8.60228,4.0,0.00029867,4,55,0.20572,0.27025,0.42308,nan,0,1.0,0.98947,,,-0.03,0.00581,-0.00526,-0.0343,-0.01588,-0.01264
15,15360,-18.57864,482.0,0.0,0.0,1.283453,-0.0046,0.022573,0.002942,0.187584,0.033752,0.971747,-7.347323,8.683221,-7.485587,9.043043,4.0,0.00029857,2,56,0.20582,0.26601,0.42857,nan,0,0.5,0.88636,,,-0.03,0.00509,-0.00288,-0.03016,-0.01578,-0.00342
16,16384,-15.29591,350.0,0.0,0.0,1.055567,-0.003451,0.024533,0.002459,0.173118,0.022415,0.966283,-7.181251,8.552548,-7.20717,8.948171,4.0,0.00029846,2,49,0.18363,0.24905,0.4,nan,0,1.0,1.0,,,-0.03,0.00603,-0.0045,-0.03303,-0.01168,-0.00808
