iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.942594,-0.009086,0.331799,0.005936,0.75482,0.073639,0.002755,-0.400152,0.186127,-1.291785,1.915358,4.0,0.0003,0,320,0.17432,0.22382,0.0,nan,0,0.0,0.0,,,-0.01,0.00214,-0.00579,-0.03827,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.892302,-0.006115,0.130538,0.00381,0.566579,0.047775,0.584241,-1.378175,1.219363,-2.205944,2.88625,4.0,0.0002999,0,320,0.15479,0.20171,0.0,nan,0,0.0,0.0,,,-0.01,0.0031,-0.00712,-0.03661,-0.00079,0.0
3,3072,nan,nan,0.0,0.0,2.518991,-0.005333,0.070079,0.003275,0.308079,0.030533,0.852909,-2.096411,2.619709,-2.704196,3.488321,4.0,0.0002998,0,328,0.1396,0.1947,0.0,nan,0,0.0,0.0,,,-0.01,0.00398,-0.00671,-0.02638,-0.00929,0.0
4,4096,nan,nan,0.0,0.0,1.935146,-0.004447,0.055639,0.001766,0.279932,0.01329,0.883292,-2.576857,3.358847,-3.114531,4.51447,4.0,0.00029969,0,347,0.14933,0.21799,0.0,nan,0,0.0,0.0,,,-0.01,0.00379,-0.00628,-0.03715,-0.0028,0.0
5,5120,-25.65585,600.0,0.0,0.0,1.977955,-0.004295,0.039212,0.00293,0.211626,0.026459,0.929622,-3.258103,4.365546,-3.726636,5.308813,4.0,0.00029959,8,339,0.18047,0.24561,1.0,nan,0,0.25,0.97665,,,-0.01,0.00419,-0.00528,-0.03554,-0.00352,0.0
6,6144,nan,nan,0.0,0.0,2.5588,-0.004166,0.033867,0.003589,0.211148,0.032822,0.949512,-3.914544,5.391717,-4.419136,6.195978,4.0,0.00029949,0,317,0.15349,0.20447,1.0,nan,0,0.0,0.0,,,-0.01,0.00403,-0.00397,-0.02869,-0.00749,0.0
7,7168,nan,nan,0.0,0.0,1.699887,-0.00523,0.023979,0.002716,0.234971,0.035309,0.961014,-3.514064,5.76405,-3.909483,6.554354,4.0,0.00029939,0,362,0.16302,0.23632,1.0,nan,0,0.0,0.0,,,-0.01,0.00423,-0.00398,-0.0318,-0.01129,0.0
8,8192,-13.94063,414.0,0.0,0.0,0.91971,-0.002579,0.031521,0.001457,0.187019,0.018631,0.955902,-3.595804,6.183316,-3.883931,6.648666,4.0,0.00029928,1,421,0.20731,0.31538,0.88889,nan,0,1.0,0.95455,,,-0.01,0.00424,-0.00424,-0.03447,-0.01323,-0.00522
9,9216,-17.83081,551.0,0.0,0.0,0.699776,-0.004013,0.036356,0.001791,0.28879,0.028915,0.94128,-4.438268,5.908347,-4.764635,6.245686,4.0,0.00029918,1,447,0.22553,0.30809,0.8,nan,0,1.0,0.94286,,,-0.01,0.00368,-0.00472,-0.04494,-0.0122,-0.00662
10,10240,-17.60656,591.33333,0.0,0.0,1.989822,-0.004444,0.027713,0.003417,0.228171,0.042511,0.958555,-5.767674,7.178648,-6.038397,8.144529,4.0,0.00029908,6,348,0.16041,0.19947,0.75,nan,0,1.0,0.95635,,,-0.01,0.00329,-0.00183,-0.03782,-0.00678,-0.00543
11,11264,nan,nan,0.0,0.0,1.724657,-0.004405,0.013181,0.003056,0.176941,0.041641,0.98289,-4.570858,8.012392,-4.820943,8.558778,4.0,0.00029898,0,367,0.15906,0.21793,0.75,nan,0,0.0,0.0,,,-0.01,0.00342,-0.00206,-0.03009,-0.01184,0.0
12,12288,nan,nan,0.0,0.0,0.885761,-0.003228,0.018446,0.001484,0.265998,0.020615,0.974368,-4.077602,7.724439,-4.407662,8.334002,4.0,0.00029887,0,412,0.19148,0.28498,0.75,nan,0,0.0,0.0,,,-0.01,0.00378,-0.00357,-0.03905,-0.01061,0.0
13,13312,-15.19552,469.8,0.0,0.0,0.853002,-0.002719,0.038707,0.001746,0.208466,0.020584,0.940594,-5.471038,7.704939,-5.428931,7.813006,4.0,0.00029877,5,420,0.19853,0.25977,0.57143,nan,0,1.0,0.97561,,,-0.01,0.00368,-0.00371,-0.03789,-0.01291,-0.02791
14,14336,-16.70386,513.0,0.0,0.0,1.967387,-0.00325,0.023864,0.003445,0.284554,0.025253,0.970044,-6.484343,9.100057,-6.661995,10.027554,4.0,0.00029867,2,281,0.14843,0.18706,0.52174,nan,0,1.0,0.95556,,,-0.01,0.00278,-0.00187,-0.03776,-0.00475,-0.00538
15,15360,-14.74931,600.0,0.0,0.0,1.43179,-0.005884,0.013348,0.002926,0.214972,0.040054,0.982374,-5.38992,9.624606,-5.697884,10.343691,4.0,0.00029857,1,352,0.17903,0.23823,0.54167,nan,0,1.0,0.91667,,,-0.01,0.00325,-0.00151,-0.03513,-0.01844,0.0
16,16384,-13.6558,390.66667,0.0,0.0,0.94475,-0.002447,0.031726,0.001389,0.191997,0.012909,0.96172,-5.817171,9.686535,-5.912888,10.125268,4.0,0.00029846,3,419,0.21913,0.29844,0.48148,nan,0,1.0,0.9697,,,-0.01,0.00483,-0.00361,-0.04456,-0.01255,-0.01467
17,17408,-14.24847,438.0,0.0,0.0,1.244416,-0.00487,0.015318,0.002422,0.185047,0.034332,0.97905,-6.190186,9.825369,-6.355086,10.486421,4.0,0.00029836,1,331,0.18349,0.24159,0.46429,nan,0,1.0,0.92857,,,-0.01,0.00461,-0.00304,-0.04102,-0.00924,-0.00393
18,18432,-20.48922,545.33333,0.0,0.0,1.485979,-0.004302,0.013272,0.003063,0.202768,0.03244,0.983806,-6.514147,10.527246,-6.519213,11.037873,4.0,0.00029826,3,346,0.13438,0.19219,0.45161,nan,0,0.66667,0.95385,,,-0.01,0.00374,-0.00167,-0.03514,-0.00977,-0.00653
19,19456,-13.24123,409.66667,0.0,0.0,1.17541,-0.003961,0.025068,0.002656,0.163215,0.032883,0.963289,-5.473531,9.424448,-5.45894,9.532817,4.0,0.00029816,3,396,0.15504,0.22554,0.41176,nan,0,1.0,0.94872,,,-0.01,0.00431,-0.00199,-0.02955,-0.01713,-0.01204
20,20480,-12.69803,351.25,0.0,0.0,1.243969,-0.002805,0.018007,0.002228,0.169501,0.023148,0.972355,-5.580791,9.779921,-5.483463,9.89747,4.0,0.00029805,4,380,0.14325,0.20391,0.36842,nan,0,1.0,0.96,,,-0.01,0.00315,-0.00152,-0.0295,-0.01222,-0.01543
21,21504,-12.61076,412.0,0.0,0.0,1.527182,-0.00507,0.01249,0.002779,0.153335,0.031967,0.983686,-5.840381,10.337719,-5.936383,10.712908,4.0,0.00029795,1,319,0.14163,0.19945,0.35897,nan,0,1.0,0.9375,,,-0.01,0.0035,-0.00199,-0.03187,-0.01022,-0.00326
22,22528,-11.60011,476.5,0.0,0.0,1.162608,-0.004874,0.010022,0.002121,0.15579,0.026093,0.984079,-5.12973,10.075561,-5.236361,10.560216,4.0,0.00029785,2,376,0.17146,0.24401,0.36585,nan,0,1.0,0.96875,,,-0.01,0.00352,-0.0024,-0.03374,-0.0093,-0.00406
