iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.4323,-0.00709,0.317117,0.005749,0.812287,0.040985,0.005963,0.241907,0.183932,-0.627108,1.902331,4.0,0.0003,0,312,0.19647,0.24377,0.0,nan,0,0.0,0.0,,,-0.01,0.00338,-0.00598,-0.03872,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.459241,-0.004883,0.110218,0.002371,0.514765,0.027557,0.599653,-0.689425,1.279579,-1.491923,3.031582,4.0,0.0002999,0,310,0.18147,0.22877,0.0,nan,0,0.0,0.0,,,-0.01,0.00419,-0.00684,-0.0354,-0.0005,0.0
3,3072,nan,nan,0.0,0.0,2.354088,-0.004458,0.047787,0.003567,0.28477,0.038071,0.843718,-1.506004,3.003897,-2.227055,4.562454,4.0,0.0002998,0,315,0.14304,0.18587,0.0,nan,0,0.0,0.0,,,-0.01,0.00433,-0.00436,-0.03506,-0.00164,0.0
4,4096,nan,nan,0.0,0.0,2.120154,-0.003595,0.040303,0.00291,0.279543,0.024124,0.918046,-2.269678,4.638698,-3.028296,5.87801,4.0,0.00029969,0,328,0.12438,0.16985,0.0,nan,0,0.0,0.0,,,-0.01,0.00374,-0.00481,-0.03459,-0.00462,0.0
5,5120,-27.71234,600.0,0.0,0.0,1.985095,-0.003602,0.034657,0.002059,0.185449,0.012039,0.933493,-3.216855,5.558508,-3.785049,6.798011,4.0,0.00029959,8,335,0.15573,0.20206,1.0,nan,0,0.25,0.97994,,,-0.01,0.00288,-0.00408,-0.03914,-0.00292,0.0
6,6144,nan,nan,0.0,0.0,2.371398,-0.004649,0.019261,0.004409,0.230405,0.068192,0.947265,-3.713571,6.958024,-4.524183,8.639203,4.0,0.00029949,0,315,0.17248,0.20917,1.0,nan,0,0.0,0.0,,,-0.01,0.0034,-0.00439,-0.04023,-0.00025,0.0
7,7168,nan,nan,0.0,0.0,2.285396,-0.003711,0.016511,0.003444,0.176939,0.032364,0.966295,-4.2624,8.546411,-4.885165,9.933878,4.0,0.00029939,0,320,0.15315,0.19496,1.0,nan,0,0.0,0.0,,,-0.01,0.00358,-0.00312,-0.03686,-0.00139,0.0
8,8192,nan,nan,0.0,0.0,1.985262,-0.003875,0.012675,0.003847,0.238548,0.040344,0.974967,-4.271173,9.707727,-4.850352,11.042231,4.0,0.00029928,0,329,0.12098,0.17034,1.0,nan,0,0.0,0.0,,,-0.01,0.00313,-0.00318,-0.0381,-0.00192,0.0
9,9216,nan,nan,0.0,0.0,1.846494,-0.003126,0.01586,0.002211,0.219147,0.023804,0.978824,-4.374043,10.532605,-4.767834,11.455482,4.0,0.00029918,0,335,0.12464,0.1775,1.0,nan,0,0.0,0.0,,,-0.01,0.00335,-0.00214,-0.0374,-0.00388,0.0
10,10240,-26.30274,600.0,0.0,0.0,2.048204,-0.003975,0.011579,0.003471,0.254194,0.028519,0.981021,-5.606071,11.194468,-6.111166,12.34993,4.0,0.00029908,8,325,0.15388,0.19982,1.0,nan,0,0.0,0.93224,,,-0.01,0.00413,-0.00297,-0.03947,-0.00131,0.0
