iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.402394,-0.005321,0.326079,0.003888,0.749414,0.027145,-0.043974,-0.408617,0.161699,-1.266624,1.841064,4.0,0.0003,0,281,0.20111,0.24872,0.0,nan,0,0.0,0.0,,,-0.01,0.00289,-0.00591,-0.03776,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.39256,-0.00409,0.097946,0.002246,0.526505,0.014633,0.619226,-1.268979,1.327396,-2.067832,3.084638,4.0,0.0002999,0,293,0.1536,0.20027,0.0,nan,0,0.0,0.0,,,-0.01,0.00363,-0.00727,-0.03634,-6e-05,0.0
3,3072,nan,nan,0.0,0.0,2.280692,-0.005102,0.055001,0.00478,0.340062,0.046463,0.863443,-2.067956,3.033678,-2.783344,4.265486,4.0,0.0002998,0,289,0.12368,0.17401,0.0,nan,0,0.0,0.0,,,-0.01,0.00442,-0.00745,-0.03036,-0.00462,0.0
4,4096,nan,nan,0.0,0.0,1.808526,-0.004156,0.036094,0.003249,0.292892,0.036682,0.909855,-2.467413,4.062663,-3.031019,5.363212,4.0,0.00029969,0,300,0.12306,0.18275,0.0,nan,0,0.0,0.0,,,-0.01,0.00388,-0.00563,-0.03475,-0.00398,0.0
5,5120,-26.45967,600.0,0.0,0.0,1.855267,-0.004069,0.024933,0.001889,0.188636,0.01181,0.943547,-3.190618,5.353644,-3.646636,6.572929,4.0,0.00029959,8,313,0.14031,0.19914,1.0,nan,0,0.0,0.95757,,,-0.01,0.00346,-0.00477,-0.03686,-0.00142,0.0
6,6144,nan,nan,0.0,0.0,2.281561,-0.004772,0.026549,0.004374,0.20514,0.045197,0.952191,-3.941907,6.727335,-4.606148,8.00684,4.0,0.00029949,0,285,0.14111,0.18113,1.0,nan,0,0.0,0.0,,,-0.01,0.00378,-0.00339,-0.0354,-0.00437,0.0
7,7168,nan,nan,0.0,0.0,1.690535,-0.003616,0.031912,0.001751,0.234377,0.01915,0.956642,-4.071043,7.185508,-4.598254,7.978512,4.0,0.00029939,0,312,0.1441,0.19903,1.0,nan,0,0.0,0.0,,,-0.01,0.00389,-0.00259,-0.02893,-0.01051,0.0
8,8192,-15.42849,303.0,0.0,0.0,1.489359,-0.005635,0.022959,0.004963,0.259392,0.065155,0.957814,-3.752121,7.711193,-4.151348,9.014254,4.0,0.00029928,1,339,0.151,0.21072,0.88889,nan,0,1.0,0.9,,,-0.01,0.00338,-0.00366,-0.03873,-0.00193,-0.003
9,9216,nan,nan,0.0,0.0,1.327687,-0.003854,0.012012,0.002304,0.319462,0.025558,0.975587,-3.468105,8.913213,-3.849479,10.126551,4.0,0.00029918,0,346,0.14486,0.20904,0.88889,nan,0,0.0,0.0,,,-0.01,0.00234,-0.00414,-0.04472,-0.00068,0.0
10,10240,-21.91484,600.0,0.0,0.0,1.87581,-0.004863,0.010567,0.003594,0.192946,0.041992,0.97983,-4.799876,11.005471,-5.278734,12.361015,4.0,0.00029908,7,292,0.17147,0.22228,0.9375,nan,0,0.0,0.87245,,,-0.01,0.00281,-0.00365,-0.04291,0.0,0.0
