iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.788481,0.055771,0.217794,0.001614,649,-0.01,0.00676,-0.00227,0.00938,0.00036,0.0
2,2048,43.6238,241.5,1.0,1.0,1.803092,0.000327,12.816393,0.000736,758,-0.01,0.003,-0.00021,0.00838,-0.00306,0.1031
3,3072,37.00492,307.0,1.0,1.0,1.798668,-0.000341,6.37801,0.000669,770,-0.01,0.00596,-0.00148,0.00863,-0.00047,0.14605
4,4096,17.47353,388.0,1.0,1.0,1.795234,-0.000476,6.053833,0.000518,895,-0.01,0.00318,0.00059,0.00907,-0.00062,0.02711
5,5120,18.67275,417.8,0.6,0.81818,1.806688,-0.000404,7.984516,0.000502,839,-0.01,0.00449,0.00567,0.00966,-0.00854,0.12668
6,6144,30.06428,291.0,1.0,0.83333,1.816351,-0.000406,6.004383,0.000345,740,-0.01,0.00436,0.00353,0.00907,0.00137,0.03527
7,7168,38.58678,286.0,1.0,0.88889,1.800819,-0.000154,13.747001,0.000971,756,-0.01,0.00489,0.00127,0.00972,0.00157,0.26454
8,8192,33.33937,320.0,0.75,0.86364,1.773872,-0.000638,11.37957,0.000337,692,-0.01,0.0056,0.0013,0.00897,0.00062,0.13492
9,9216,39.38459,270.66667,1.0,0.88,1.778021,-0.019472,9.065994,0.002134,763,-0.01,0.00447,0.00117,0.00838,-0.00225,0.13669
10,10240,30.80372,289.0,1.0,0.88462,1.801322,-0.000261,7.114564,0.000528,916,-0.01,0.00326,0.00509,0.01007,-0.00045,0.04142
11,11264,29.85407,326.25,1.0,0.9,1.777024,-0.000347,11.125387,0.000206,836,-0.01,0.00356,0.00431,0.01006,-0.00144,0.14914
12,12288,5.70288,600.0,0.0,0.84375,1.764808,-0.030096,3.305429,0.000619,822,-0.01,0.00319,0.00221,0.00957,-0.00111,0.0
13,13312,34.32351,356.0,1.0,0.84848,1.781364,-0.000282,5.482905,0.001109,909,-0.01,0.00253,0.00539,0.00995,-0.00027,0.04451
14,14336,23.7916,443.0,0.66667,0.83333,1.775042,-0.000571,8.615166,0.000262,917,-0.01,0.00438,0.00229,0.00867,-0.0007,0.09276
15,15360,20.09464,420.66667,0.66667,0.82051,1.763715,-0.000799,7.76834,0.000482,839,-0.01,0.00437,0.00158,0.00913,-0.00174,0.07176
