iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.499334,-0.0053,0.298454,0.003632,0.675662,0.034714,0.036069,-0.198358,0.167184,-1.426121,2.046833,4.0,0.0003,0,289,0.18518,0.23315,0.0,nan,0,0.0,0.0,,,-0.01,0.00349,-0.00623,-0.03892,0.0,-0.03004,0.0
2,2048,nan,nan,0.0,0.0,2.517408,-0.003146,0.102812,0.002231,0.61232,0.008377,0.637181,-1.364977,1.46468,-2.273431,3.214514,4.0,0.0002999,0,297,0.16287,0.21085,0.0,nan,0,0.0,0.0,,,-0.01,0.00301,-0.00634,-0.03707,-0.00059,-0.00534,0.0
3,3072,nan,nan,0.0,0.0,2.461205,-0.004844,0.046861,0.004156,0.317919,0.045792,0.852183,-2.434284,3.038505,-3.167244,4.480125,4.0,0.0002998,0,296,0.13114,0.18006,0.0,nan,0,0.0,0.0,,,-0.01,0.0044,-0.00633,-0.03226,-0.00295,-0.00206,0.0
4,4096,-30.78089,498.0,0.0,0.0,1.779,-0.002527,0.057919,0.001866,0.267608,0.018005,0.91066,-3.012606,4.248045,-3.517081,4.799908,4.0,0.00029969,1,331,0.14034,0.20853,0.0,nan,0,1.0,1.0,,,-0.01,0.00576,-0.00596,-0.02208,-0.01936,-0.00238,-0.00282
5,5120,-30.17712,597.28571,0.0,0.0,1.530318,-0.003097,0.05079,0.00252,0.259347,0.025131,0.912261,-3.674077,4.439062,-4.201508,5.233216,4.0,0.00029959,7,340,0.17968,0.25186,0.75,nan,0,0.28571,0.97634,,,-0.01,0.00554,-0.00579,-0.03102,-0.00853,-0.02876,-0.0031
6,6144,nan,nan,0.0,0.0,2.117264,-0.004038,0.033394,0.002539,0.205446,0.02298,0.945516,-4.401024,5.294686,-4.959188,6.086961,4.0,0.00029949,0,305,0.14344,0.20004,0.75,nan,0,0.0,0.0,,,-0.01,0.00558,-0.00553,-0.02783,-0.01226,-0.00549,0.0
7,7168,nan,nan,0.0,0.0,1.054852,-0.00278,0.035089,0.001954,0.221592,0.017792,0.938679,-4.895409,5.132783,-5.245634,5.643281,4.0,0.00029939,0,386,0.17281,0.26548,0.75,nan,0,0.0,0.0,,,-0.01,0.00578,-0.00473,-0.02657,-0.01583,-0.00126,0.0
8,8192,-16.67444,454.5,0.0,0.0,0.652539,-0.002126,0.03278,0.000846,0.317325,0.010345,0.938281,-5.220521,5.199203,-5.300498,5.479347,4.0,0.00029928,2,428,0.19607,0.30372,0.6,nan,0,1.0,0.96154,,,-0.01,0.00585,-0.00619,-0.02964,-0.01298,-0.01115,-0.01367
9,9216,-19.23175,512.0,0.0,0.0,0.971603,-0.002758,0.040958,0.002268,0.288543,0.029327,0.929843,-6.096321,5.632246,-6.193938,6.140701,4.0,0.00029918,3,389,0.14858,0.21742,0.46154,nan,0,1.0,0.94495,,,-0.01,0.00482,-0.00428,-0.03361,-0.00851,-0.01431,-0.0138
10,10240,-17.6327,593.33333,0.0,0.0,1.43336,-0.003172,0.029069,0.001635,0.192337,0.022812,0.957613,-6.1405,6.466341,-6.412078,7.024639,4.0,0.00029908,3,344,0.13654,0.19414,0.5,nan,0,1.0,0.92647,,,-0.01,0.00528,-0.00281,-0.0294,-0.01508,-0.01077,-0.00319
11,11264,-14.96074,359.0,0.0,0.0,1.070983,-0.003425,0.034399,0.001984,0.15909,0.024338,0.940158,-5.719936,6.061018,-5.844531,6.482612,4.0,0.00029898,3,376,0.14455,0.22042,0.42105,nan,0,1.0,0.95349,,,-0.01,0.00456,-0.00218,-0.02809,-0.01827,-0.01598,-0.01254
12,12288,-12.86948,304.0,0.0,0.0,1.266304,-0.00366,0.029843,0.002651,0.222977,0.037994,0.951752,-6.333258,6.72774,-6.567905,7.450036,4.0,0.00029887,2,355,0.13789,0.20431,0.38095,nan,0,1.0,0.85185,,,-0.01,0.00402,-0.00183,-0.03353,-0.00901,-0.02669,-0.007
13,13312,-15.59198,395.0,0.0,0.0,1.277639,-0.003196,0.02221,0.002582,0.206162,0.030365,0.968682,-6.390362,7.292808,-6.490434,7.830799,4.0,0.00029877,2,355,0.12329,0.19199,0.34783,nan,0,1.0,0.92857,,,-0.01,0.00525,-0.0008,-0.03041,-0.01497,-0.01577,-0.00705
14,14336,-11.41896,432.0,0.0,0.0,0.967164,-0.003783,0.019724,0.002066,0.167638,0.021164,0.96699,-5.884058,6.709536,-5.952306,7.066021,4.0,0.00029867,2,380,0.13188,0.21449,0.36,nan,0,1.0,0.93939,,,-0.01,0.00518,-0.00213,-0.02772,-0.0143,-0.00953,-0.00452
15,15360,-14.8863,376.0,0.0,0.0,1.215268,-0.003158,0.023129,0.00257,0.23804,0.022095,0.965273,-6.599279,7.34511,-6.459515,7.691733,4.0,0.00029857,5,357,0.10948,0.17428,0.3,nan,0,1.0,0.92157,,,-0.01,0.00521,-0.00093,-0.02755,-0.01493,-0.01468,-0.01819
16,16384,-17.17542,315.5,0.0,0.0,1.517012,-0.003405,0.027334,0.002456,0.288305,0.02388,0.967539,-7.259237,8.627549,-7.099844,8.756109,4.0,0.00029846,4,326,0.10378,0.1699,0.26471,nan,0,1.0,0.84615,,,-0.01,0.00541,-0.00088,-0.02685,-0.02013,-0.01047,-0.01156
17,17408,26.41286,236.0,0.5,0.02778,1.060299,-0.001141,0.612709,0.000782,0.731888,0.006561,0.433614,-5.574049,6.938176,-4.068208,10.102798,4.0,0.00029836,2,376,0.1321,0.20947,0.25,0.0,1,0.5,0.94118,,,-0.01,0.00486,-0.00174,-0.02676,-0.02084,-0.00644,0.14372
18,18432,-12.6529,332.0,0.0,0.025,1.212484,-0.003732,0.028796,0.001719,0.167364,0.01976,0.960457,-5.293395,7.660192,-5.294132,7.999785,4.0,0.00029826,4,361,0.11731,0.1783,0.225,0.0,1,1.0,0.91176,,,-0.01,0.00605,-0.00242,-0.03215,-0.01059,-0.01438,-0.01427
19,19456,-13.07714,264.33333,0.0,0.02326,1.113133,-0.003058,0.025526,0.00253,0.194244,0.022583,0.947161,-4.031271,7.423332,-4.140778,7.365958,4.0,0.00029816,3,368,0.12257,0.19034,0.2093,0.0,1,1.0,0.97059,,,-0.01,0.00575,-0.00113,-0.02381,-0.01953,-0.01205,-0.01131
20,20480,-11.6211,236.5,0.0,0.02222,0.810782,-0.003095,0.015922,0.002201,0.158705,0.023209,0.966079,-3.846023,6.835092,-3.836452,6.95433,4.0,0.00029805,2,402,0.13461,0.20962,0.2,0.0,1,1.0,1.0,,,-0.01,0.00452,-0.00155,-0.02923,-0.02046,-0.01381,-0.00996
21,21504,-12.42722,395.0,0.0,0.02083,1.058358,-0.004539,0.017023,0.002324,0.164566,0.023315,0.970272,-4.521171,7.665433,-4.587814,7.754895,4.0,0.00029795,3,376,0.13006,0.20332,0.1875,0.0,1,1.0,0.95833,,,-0.01,0.00468,-0.00205,-0.02909,-0.01771,-0.01377,-0.01188
22,22528,-14.10113,523.0,0.0,0.01961,0.914843,-0.003967,0.010094,0.002049,0.182992,0.028107,0.978254,-4.002638,6.902527,-4.026692,6.94997,4.0,0.00029785,3,393,0.13599,0.21337,0.19608,0.0,1,1.0,0.95918,,,-0.01,0.0031,-0.00256,-0.02589,-0.01454,-0.00817,-0.0091
23,23552,-12.34157,317.0,0.0,0.01887,1.130194,-0.004201,0.013102,0.002362,0.210388,0.03331,0.977542,-4.599967,7.509073,-4.69816,7.889267,4.0,0.00029775,2,372,0.12124,0.19086,0.18868,0.0,1,1.0,1.0,,,-0.01,0.00404,-0.00179,-0.0352,-0.01011,-0.00901,-0.00743
24,24576,-14.17199,425.0,0.0,0.01852,0.96972,-0.00328,0.011953,0.002276,0.155157,0.021957,0.974222,-3.967736,6.690025,-4.038635,6.916378,4.0,0.00029764,1,392,0.14406,0.23391,0.18519,0.0,1,1.0,0.84615,,,-0.01,0.00571,-0.00085,-0.03042,-0.01727,-0.00688,-0.00451
25,25600,-14.08563,367.4,0.0,0.01695,1.11249,-0.003093,0.023198,0.001937,0.157994,0.021454,0.96597,-4.900185,8.080232,-5.038582,8.419082,4.0,0.00029754,5,371,0.12403,0.19472,0.16949,0.0,1,1.0,0.88636,,,-0.01,0.00482,-0.00125,-0.03555,-0.01233,-0.01815,-0.01876
26,26624,-14.71903,403.33333,0.0,0.01613,1.580349,-0.003401,0.018137,0.003684,0.154524,0.044006,0.974786,-5.794357,8.676897,-5.88442,8.887794,4.0,0.00029744,3,328,0.10388,0.16408,0.16129,0.0,1,1.0,0.96296,,,-0.01,0.00518,0.00016,-0.02685,-0.01285,-0.01046,-0.00822
