iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.014465,-0.003077,0.41,0.004463,464,0.06204,0.0,0.0,-0.01,0.00776,0.0002,-0.01612,0.00087,0.0
2,2048,nan,nan,0.0,0.0,2.078945,0.031809,5.666349,0.00112,491,0.06402,0.0,0.0,-0.01,0.00846,0.00026,-0.00792,-0.00082,0.0
3,3072,46.96408,367.14286,1.0,1.0,1.891326,-0.047167,24.426583,0.002074,542,0.07006,0.0,0.0,-0.01,0.00383,0.00046,-0.00477,0.00145,0.40266
4,4096,50.11614,470.0,1.0,1.0,1.973334,-0.0011,5.297802,0.000986,497,0.0637,0.0,0.0,-0.01,0.0091,0.00042,-0.01687,0.00127,0.0517
5,5120,62.2215,294.0,1.0,1.0,1.873016,0.000246,14.135095,0.001308,507,0.06524,0.0,0.0,-0.01,0.00519,0.00084,-0.00685,0.00443,0.0657
6,6144,51.02607,306.5,1.0,1.0,1.966608,0.029598,7.616803,0.00058,512,0.06685,0.0,0.0,-0.01,0.00661,0.00031,-0.0146,0.00165,0.3477
7,7168,51.30387,302.0,1.0,1.0,1.975624,-9.7e-05,3.725011,0.000893,478,0.06404,0.0,0.0,-0.01,0.00753,0.00014,-0.01345,-0.00124,0.05518
8,8192,48.08729,329.0,1.0,1.0,1.928135,0.001612,16.23673,0.000799,527,0.07002,0.0,0.0,-0.01,0.00813,0.00064,-0.00717,-0.01723,0.23143
9,9216,46.40154,361.0,1.0,1.0,1.967865,0.076265,9.957721,0.001462,545,0.07079,0.0,0.0,-0.01,0.00923,0.00018,-0.01215,-0.02526,0.11385
10,10240,-23.78153,600.0,0.0,0.91667,1.984181,0.000251,3.777079,0.001381,518,0.06907,1.0,0.0,-0.01,0.00802,0.00033,-0.00862,0.00041,0.0
11,11264,48.30155,365.5,1.0,0.92857,2.025812,0.302576,18.006442,0.000732,488,0.06484,0.0,0.0,-0.01,0.00648,0.00037,-0.01272,0.0011,0.21567
12,12288,nan,nan,0.0,0.92857,2.012303,0.003286,3.198242,0.001395,478,0.0645,0.0,0.0,-0.01,0.00811,0.00041,-0.00879,-0.00042,0.0
13,13312,48.85958,443.0,1.0,0.93103,1.923027,0.011476,8.003811,0.001338,539,0.07064,0.0,0.0,-0.01,0.00825,0.0004,-0.00508,-0.00266,0.05994
14,14336,33.29725,490.25,1.0,0.93939,1.999923,6e-06,3.986719,0.001204,520,0.06704,0.0,0.0,-0.01,0.00905,0.00026,-0.00988,0.00137,0.16547
15,15360,49.67934,436.0,1.0,0.94118,2.029368,-0.000375,4.55283,0.001328,483,0.06424,0.0,0.0,-0.01,0.0091,0.00034,-0.00903,0.00069,0.05299
