iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.432271,-0.002998,1.800862,0.001059,378,0.0625,0.0,0.0,,,-0.01,0.0046,-0.02238,-0.04082,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.457712,-0.001414,1.716746,0.000497,379,0.06244,0.0,0.0,,,-0.01,0.00485,-0.01987,-0.03828,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.484259,-0.001914,1.652254,0.0003,383,0.06291,0.0,0.0,,,-0.01,0.00574,-0.02134,-0.03659,-0.00026,0.0
4,4096,nan,nan,0.0,0.0,2.487966,-0.000878,1.408128,0.00031,382,0.06299,0.0,0.0,,,-0.01,0.00573,-0.01805,-0.03666,0.0,0.0
5,5120,-37.11465,600.0,0.0,0.0,2.448979,-0.002249,1.127618,0.000703,377,0.06284,0.0,0.99599,,,-0.01,0.0059,-0.01221,-0.03705,0.0,0.0
6,6144,nan,nan,0.0,0.0,2.399234,-0.066905,1.031736,0.000761,384,0.06263,0.0,0.0,,,-0.01,0.00621,-0.0125,-0.03661,-0.00026,0.0
7,7168,nan,nan,0.0,0.0,2.429545,-0.001583,1.223164,0.000351,388,0.06299,0.0,0.0,,,-0.01,0.00714,-0.00939,-0.03467,0.0,0.0
8,8192,nan,nan,0.0,0.0,2.414583,-0.001464,1.055202,0.000273,394,0.06394,0.0,0.0,,,-0.01,0.00759,-0.01128,-0.03407,-0.00106,0.0
9,9216,nan,nan,0.0,0.0,2.430316,-0.002325,0.982978,0.000414,408,0.06651,0.0,0.0,,,-0.01,0.00584,-0.01151,-0.03479,-0.00164,0.0
10,10240,-29.50395,600.0,0.0,0.0,2.381327,-0.001776,0.872616,0.000323,389,0.06452,0.0,0.99031,,,-0.01,0.00535,-0.00873,-0.03924,0.0,0.0
11,11264,nan,nan,0.0,0.0,2.390276,-0.001633,1.095524,0.000286,386,0.0625,0.0,0.0,,,-0.01,0.00692,-0.00834,-0.03798,0.0,0.0
12,12288,nan,nan,0.0,0.0,2.441425,-0.051988,0.8315,0.0006,395,0.06339,0.0,0.0,,,-0.01,0.00674,-0.00883,-0.03408,-0.00102,0.0
13,13312,nan,nan,0.0,0.0,2.394863,-0.001576,0.949421,0.000242,397,0.06452,0.0,0.0,,,-0.01,0.00742,-0.00912,-0.03546,0.0,0.0
14,14336,nan,nan,0.0,0.0,2.395255,-0.002169,0.961023,0.000283,406,0.06532,0.0,0.0,,,-0.01,0.00716,-0.00792,-0.03343,-0.00184,0.0
15,15360,-28.28223,600.0,0.0,0.0,2.388725,0.05756,1.14423,0.000614,381,0.06275,0.125,0.9906,,,-0.01,0.00576,-0.00634,-0.03876,-0.00038,0.0
16,16384,nan,nan,0.0,0.0,2.383229,-0.001445,0.905494,0.000296,393,0.0625,0.0,0.0,,,-0.01,0.00892,-0.00638,-0.03665,0.0,0.0
17,17408,nan,nan,0.0,0.0,2.399212,-0.001917,0.922118,0.000326,386,0.06253,0.0,0.0,,,-0.01,0.00834,-0.00502,-0.03574,-0.00045,0.0
18,18432,nan,nan,0.0,0.0,2.403195,0.017593,0.83775,0.000318,391,0.06308,0.0,0.0,,,-0.01,0.0079,-0.00594,-0.03399,-0.00025,0.0
19,19456,-26.36241,600.0,0.0,0.0,2.405161,-0.052571,0.647212,0.000514,384,0.06331,0.0,1.0,,,-0.01,0.00664,-0.00571,-0.03418,-0.00027,0.0
20,20480,nan,nan,0.0,0.0,2.332478,-0.001251,0.798294,0.000204,393,0.0625,0.0,0.0,,,-0.01,0.00626,-0.0027,-0.03973,0.0,0.0
21,21504,nan,nan,0.0,0.0,2.340585,-0.001982,0.763363,0.000268,396,0.0625,0.0,0.0,,,-0.01,0.00678,-0.0049,-0.03562,0.0,0.0
22,22528,nan,nan,0.0,0.0,2.361736,-0.001622,0.800945,0.000376,400,0.06279,0.0,0.0,,,-0.01,0.0066,-0.00419,-0.03429,-0.00051,0.0
23,23552,nan,nan,0.0,0.0,2.390528,-0.077093,0.746786,0.000747,398,0.06326,0.0,0.0,,,-0.01,0.00849,-0.00385,-0.03283,-0.00103,0.0
24,24576,-25.54758,600.0,0.0,0.0,2.304915,-0.001595,0.541076,0.000711,386,0.06315,0.375,1.0,,,-0.01,0.0052,-0.00296,-0.03423,0.0,0.0
25,25600,nan,nan,0.0,0.0,2.291153,-0.001472,0.616764,0.000341,398,0.0625,0.0,0.0,,,-0.01,0.00921,-0.00245,-0.03744,0.0,0.0
26,26624,nan,nan,0.0,0.0,2.328138,0.008168,0.668996,0.000525,401,0.06278,0.0,0.0,,,-0.01,0.0086,-0.00221,-0.0347,-0.00051,0.0
27,27648,nan,nan,0.0,0.0,2.401451,0.007101,0.709595,0.001076,406,0.06409,0.0,0.0,,,-0.01,0.00871,-0.00223,-0.03314,-0.00153,0.0
28,28672,nan,nan,0.0,0.0,2.312385,-0.001328,0.549223,0.000435,411,0.06452,0.0,0.0,,,-0.01,0.00977,-0.00165,-0.03334,0.0,0.0
29,29696,-23.08239,600.0,0.0,0.0,2.230806,-0.002412,0.678811,0.000699,391,0.06268,0.5,1.0,,,-0.01,0.00623,-0.00193,-0.03692,-0.00051,0.0
30,30720,nan,nan,0.0,0.0,2.279969,-0.002596,1.258027,0.000904,405,0.06316,0.0,0.0,,,-0.01,0.00927,-0.00149,-0.0353,-0.00256,0.0
31,31744,nan,nan,0.0,0.0,2.316402,-0.001809,0.700673,0.000518,417,0.06537,0.0,0.0,,,-0.01,0.01124,-0.00115,-0.03065,-0.001,0.0
32,32768,nan,nan,0.0,0.0,2.291899,-0.002326,0.872642,0.000939,424,0.06744,0.0,0.0,,,-0.01,0.00903,-0.00162,-0.03175,-0.00155,0.0
33,33792,-21.47655,600.0,0.0,0.0,2.257191,-0.002964,1.064264,0.001912,417,0.06752,0.625,0.98276,,,-0.01,0.00823,-0.00141,-0.03141,-0.00198,0.0
34,34816,nan,nan,0.0,0.0,2.238249,-0.001532,1.072848,0.001281,403,0.06297,0.0,0.0,,,-0.01,0.00809,-0.00058,-0.03447,-0.00204,0.0
35,35840,nan,nan,0.0,0.0,2.275254,-0.06908,0.80954,0.00393,420,0.0652,0.0,0.0,,,-0.01,0.00883,-0.00125,-0.03061,-0.00157,0.0
36,36864,nan,nan,0.0,0.0,2.320126,-0.023351,0.836869,0.002164,431,0.06766,0.0,0.0,,,-0.01,0.01028,-0.00058,-0.02997,-0.00261,0.0
37,37888,nan,nan,0.0,0.0,2.3129,-0.001872,1.039973,0.000729,442,0.07038,0.0,0.0,,,-0.01,0.01144,-0.00062,-0.02991,-0.00269,0.0
38,38912,-19.36967,600.0,0.0,0.0,2.302277,0.080068,0.672713,0.003094,411,0.06707,1.0,0.96875,,,-0.01,0.00777,-0.00064,-0.03215,-0.00097,0.0
