iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.282731,-0.010468,0.130935,0.005937,0.591835,0.053345,0.189399,-0.103216,0.276586,-1.369672,1.79227,4.0,0.0003,0,1196,0.35034,0.49878,0.0,nan,0,0.0,0.0,,,-0.01,0.00585,-0.02099,-0.04687,0.0,-0.00442,0.0
2,2048,-16.37671,217.0,0.0,0.0,2.134973,-0.005575,0.06088,0.002776,0.889608,0.024475,0.78147,-1.077147,1.83271,-2.231327,3.227447,4.0,0.00029898,1,1262,0.35562,0.50579,0.0,nan,0,1.0,0.9697,,,-0.01,0.00552,-0.01832,-0.0481,-0.00215,-0.00136,-0.00206
3,3072,-21.9127,300.0,0.0,0.0,2.200337,-0.006438,0.028856,0.004149,0.456995,0.031677,0.903028,-2.319545,3.263761,-3.235512,4.449714,4.0,0.00029795,7,1218,0.39203,0.53282,0.875,nan,0,0.0,1.0,,,-0.01,0.00666,-0.01683,-0.04449,-0.00185,-0.00381,0.0
4,4096,-16.06259,221.0,0.0,0.0,2.0674,-0.004228,0.02516,0.001884,0.404069,0.011353,0.926517,-2.850813,4.293263,-3.822139,5.569037,4.0,0.00029693,1,1285,0.39952,0.5334,0.77778,nan,0,1.0,0.96552,,,-0.01,0.00645,-0.01554,-0.04516,-0.00218,-0.00494,-0.00211
5,5120,-19.20366,300.0,0.0,0.0,1.954386,-0.005222,0.020947,0.002656,0.314632,0.028198,0.959091,-3.815471,5.465822,-4.416189,6.335481,4.0,0.0002959,7,1034,0.39744,0.54919,0.8125,nan,0,0.14286,0.98919,,,-0.01,0.00647,-0.01024,-0.04275,-0.00293,-0.00361,-0.00222
6,6144,-15.78402,216.5,0.0,0.0,2.097512,-0.006698,0.023911,0.004928,0.310261,0.066162,0.95909,-4.835596,6.750393,-5.544832,7.759822,4.0,0.00029488,2,1243,0.36366,0.51343,0.72222,nan,0,1.0,1.0,,,-0.01,0.0061,-0.01151,-0.04635,-0.00421,-0.00137,-0.00405
7,7168,nan,nan,0.0,0.0,1.639096,-0.00434,0.022273,0.001852,0.275173,0.011902,0.956561,-4.928752,6.271792,-5.508892,6.928052,4.0,0.00029386,0,1387,0.39249,0.55408,0.72222,nan,0,0.0,0.0,,,-0.01,0.0064,-0.01289,-0.0387,-0.00418,-0.00123,0.0
8,8192,-16.13402,300.0,0.0,0.0,1.980531,-0.005961,0.010492,0.00334,0.354771,0.029663,0.976302,-6.265624,8.302696,-6.854418,9.441602,4.0,0.00029283,7,1195,0.36641,0.52629,0.8,nan,0,0.42857,0.99254,,,-0.01,0.00835,-0.0067,-0.0458,-0.0017,-0.00511,0.0
9,9216,-14.24106,226.5,0.0,0.0,1.724125,-0.0058,0.027668,0.003175,0.317427,0.047485,0.960919,-6.266668,8.301165,-6.351948,8.598398,4.0,0.00029181,4,1323,0.34815,0.51197,0.72414,nan,0,0.75,0.91892,,,-0.01,0.00807,-0.00968,-0.03681,-0.00925,-0.00095,-0.00746
10,10240,-11.43942,245.6,0.0,0.0,1.657068,-0.005967,0.015706,0.003529,0.359438,0.060242,0.977556,-6.536574,8.685934,-6.628991,9.099809,4.0,0.00029078,5,1314,0.34767,0.53622,0.70588,nan,0,0.4,0.97727,,,-0.01,0.00775,-0.00831,-0.03957,-0.00718,-0.00335,-0.00506
11,11264,-11.22634,172.5,0.0,0.0,1.683058,-0.004854,0.029376,0.002529,0.370578,0.033813,0.958904,-6.907385,9.16359,-6.846721,9.309054,4.0,0.00028976,6,1283,0.34511,0.53717,0.6,nan,0,1.0,1.0,,,-0.01,0.00815,-0.00698,-0.03878,-0.01134,-0.0029,-0.01487
12,12288,-9.72806,202.2,0.0,0.0,1.56433,-0.006815,0.030184,0.002633,0.372738,0.030396,0.943667,-5.925702,8.393506,-5.568523,8.097606,4.0,0.00028874,5,1284,0.33158,0.53263,0.57778,nan,0,0.6,1.0,,,-0.01,0.0085,-0.00608,-0.03291,-0.01173,-0.00174,-0.00787
