iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.91587,-0.018387,0.209899,0.008883,2055,0.13114,0.0,0.0,-0.01,0.0005,-0.04876,0.0,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.88712,-0.025648,0.164543,0.008564,2047,0.13146,0.0,0.0,-0.01,0.00362,-0.04017,0.0,-0.00143,0.0
3,3072,-25.99685,336.5,0.0,0.0,1.870508,-0.000995,13.789132,0.002226,2767,0.1571,1.0,1.0,-0.01,0.00652,-0.03016,0.0,-0.16359,-0.00091
4,4096,-27.80993,396.42857,0.0,0.0,1.81503,-0.003145,4.099725,0.004406,2456,0.14981,0.71429,1.0,-0.01,0.00814,-0.02617,0.0,-0.04816,-0.00119
5,5120,-15.81239,158.6,0.0,0.0,1.754334,-0.071282,8.787255,0.005147,2410,0.12964,1.0,1.0,-0.01,0.01112,-0.02168,0.0,-0.12933,-0.00187
6,6144,-22.14008,148.71429,0.0,0.0,1.741089,0.067933,19.506602,0.000746,2419,0.12238,1.0,1.0,-0.01,0.01204,-0.0187,0.0,-0.17864,-0.00277
7,7168,-22.61666,143.8,0.0,0.0,1.729269,-0.00102,10.222622,0.000523,2701,0.12786,1.0,1.0,-0.01,0.00995,-0.01713,0.0,-0.1515,-0.00214
8,8192,-19.47574,178.28571,0.0,0.0,1.748226,-0.000515,8.653091,0.000839,2624,0.13351,1.0,1.0,-0.01,0.01043,-0.01733,0.0,-0.13065,-0.00269
9,9216,-17.44883,190.33333,0.0,0.0,1.79547,-0.000523,8.610933,0.001341,2531,0.1253,0.83333,1.0,-0.01,0.00943,-0.0165,0.0,-0.11921,-0.00198
10,10240,-15.83771,195.6,0.0,0.0,1.780982,-0.026636,8.416818,0.00216,2220,0.12496,1.0,1.0,-0.01,0.00839,-0.01654,0.0,-0.12668,-0.00136
