iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.09353,-0.013303,0.103936,0.008329,1666,0.13839,0.0,0.0,-0.01,0.00271,-0.02415,0.00545,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.076869,-0.006993,0.080255,0.001739,1780,0.13921,0.0,0.0,-0.01,0.00405,-0.01752,0.00625,-0.00276,0.0
3,3072,-20.71049,356.5,0.0,0.0,2.044512,0.000151,9.10016,0.002332,2290,0.16593,1.0,0.99379,-0.01,0.00406,-0.01258,0.00482,-0.11507,-0.00084
4,4096,-19.36153,430.0,0.0,0.0,2.018121,-0.001068,5.160326,0.000419,2052,0.14952,0.83333,0.98816,-0.01,0.00693,-0.01039,0.00526,-0.06521,-0.00111
5,5120,-17.06624,177.75,0.0,0.0,2.052535,-0.001115,9.702653,0.001602,1893,0.14961,1.0,0.98734,-0.01,0.00489,-0.01061,0.00546,-0.11566,-0.00146
6,6144,-20.44687,232.33333,0.0,0.0,1.993584,0.001531,0.994799,0.002937,2185,0.14089,1.0,0.97531,-0.01,0.00492,-0.01559,0.0056,-0.01772,-0.00116
7,7168,-17.77854,281.0,0.0,0.0,1.970245,-0.000976,11.701012,0.005194,2588,0.13991,1.0,0.99512,-0.01,0.00445,-0.01175,0.00514,-0.15845,-0.00298
8,8192,-13.82513,252.0,0.0,0.0,1.950571,-0.000796,13.497431,0.00082,2216,0.14075,1.0,1.0,-0.01,0.00483,-0.00928,0.00509,-0.15758,-0.00079
9,9216,-18.91768,280.25,0.0,0.0,1.888729,-0.031326,1.74529,0.003559,2865,0.15093,1.0,0.9527,-0.01,0.00431,-0.01045,0.00421,-0.02368,-0.00166
10,10240,-16.76402,219.66667,0.0,0.0,2.044737,0.027323,8.312814,0.006691,2810,0.15478,1.0,0.95588,-0.01,0.00406,-0.01043,0.0051,-0.08044,-0.00162
11,11264,-16.34676,355.66667,0.0,0.0,1.930972,0.015429,3.063194,0.003576,2663,0.15119,0.66667,0.9798,-0.01,0.00518,-0.00646,0.00349,-0.05228,-0.00048
12,12288,-15.76253,344.0,0.0,0.0,1.90862,-0.002983,7.60618,0.002358,2817,0.15132,1.0,0.88889,-0.01,0.00496,-0.00608,0.00402,-0.12008,-0.00272
13,13312,-17.25833,239.5,0.0,0.0,1.911689,-0.001955,10.962061,0.00321,2242,0.13946,1.0,0.92857,-0.01,0.0067,-0.00578,0.00517,-0.12862,-0.0008
14,14336,-13.57667,216.71429,0.0,0.0,1.925872,-0.002637,6.37051,0.001191,2296,0.14215,1.0,0.97938,-0.01,0.00714,-0.00535,0.00437,-0.09478,-0.00257
15,15360,-18.42546,188.5,0.0,0.0,1.884203,-0.001239,6.933727,0.000943,2208,0.14438,1.0,0.90826,-0.01,0.00698,-0.00382,0.00524,-0.10996,-0.00288
16,16384,-15.44789,135.33333,0.0,0.0,1.880699,-0.037159,7.621284,0.001272,1998,0.13333,1.0,0.95652,-0.01,0.00705,-0.00385,0.00526,-0.16264,-0.00221
17,17408,-18.27015,148.2,0.0,0.0,1.869082,-0.001802,9.311307,0.001004,2181,0.13451,1.0,0.94643,-0.01,0.00716,-0.00528,0.00522,-0.13168,-0.00201
18,18432,-12.14388,174.25,0.0,0.0,1.850434,-0.069118,9.144853,0.001215,2184,0.13908,1.0,0.97849,-0.01,0.00739,-0.00512,0.00491,-0.15583,-0.00328
19,19456,-16.66138,143.0,0.0,0.0,1.884553,-0.005037,4.949326,0.001332,1978,0.13996,1.0,0.81429,-0.01,0.00701,-0.00352,0.00531,-0.08098,-0.0022
20,20480,-19.34505,145.0,0.0,0.0,1.832211,-0.082692,8.039489,0.001351,2446,0.15201,1.0,0.93939,-0.01,0.00466,-0.00423,0.00401,-0.16002,-0.00135
21,21504,-14.66278,225.28571,0.0,0.0,1.840422,-0.001256,6.146681,0.000971,2738,0.13376,1.0,0.90265,-0.01,0.00561,-0.00534,0.0044,-0.11251,-0.00372
22,22528,-11.82445,190.5,0.0,0.0,1.843061,0.028195,4.075386,0.001093,2350,0.14462,1.0,0.97727,-0.01,0.00674,-0.00613,0.00462,-0.06173,-0.00213
23,23552,-13.90004,180.85714,0.0,0.0,1.730823,0.114456,14.014433,0.006676,2324,0.14024,1.0,0.89286,-0.01,0.00784,-0.00353,0.00421,-0.1502,-0.00309
24,24576,-11.68033,155.0,0.0,0.0,1.803122,-0.006005,3.697877,0.003762,2336,0.1394,1.0,0.97619,-0.01,0.00615,-0.00397,0.00457,-0.07094,-0.00214
25,25600,-14.70994,184.625,0.0,0.0,1.797456,-0.003855,8.509861,0.002158,2400,0.15268,1.0,0.91667,-0.01,0.00701,-0.00482,0.00382,-0.14836,-0.00356
26,26624,-15.82796,159.28571,0.0,0.0,1.747823,-0.003964,8.923955,0.003163,2302,0.12852,1.0,0.95522,-0.01,0.00875,-0.00319,0.00445,-0.16511,-0.00301
27,27648,-12.30685,155.33333,0.0,0.0,1.647054,-0.021512,6.122996,0.002299,2467,0.14167,1.0,0.86667,-0.01,0.00658,0.00014,0.00465,-0.13275,-0.00277
28,28672,-20.13515,108.0,0.0,0.0,1.601229,0.009672,7.694379,0.004904,2782,0.14654,1.0,1.0,-0.01,0.00603,-0.0017,0.00358,-0.11961,-0.00104
29,29696,-14.11133,197.4,0.0,0.0,1.626209,0.000826,4.603249,0.001793,2696,0.15677,1.0,0.75,-0.01,0.00612,-0.00274,0.00415,-0.07863,-0.00245
30,30720,-6.09456,277.6,0.0,0.0,1.609063,-0.002609,6.110747,0.001081,2449,0.14676,0.6,0.79747,-0.01,0.00754,-0.00436,0.00471,-0.11352,-0.00133
31,31744,-14.31558,205.0,0.0,0.0,1.678331,0.014927,3.653129,0.005814,3072,0.15059,1.0,0.85938,-0.01,0.00651,-0.00607,0.00316,-0.10173,-0.00309
32,32768,-14.87965,211.0,0.0,0.0,1.506808,-0.002104,8.355018,0.002239,2446,0.13108,1.0,0.89773,-0.01,0.00755,-0.00259,0.00398,-0.14463,-0.00267
33,33792,-14.09862,119.0,0.0,0.0,1.53834,-0.001259,4.945023,0.000807,2435,0.1425,1.0,0.94595,-0.01,0.00689,-0.00368,0.00341,-0.08678,-0.00269
34,34816,-7.16831,136.33333,0.0,0.0,1.51035,-0.001631,3.319142,0.001104,2682,0.14632,1.0,0.92308,-0.01,0.0068,-0.00293,0.00322,-0.07213,-0.00303
35,35840,-6.80665,179.1,0.0,0.0,1.404568,0.120819,2.80904,0.003024,2155,0.12618,0.9,0.86869,-0.01,0.00922,-0.00118,0.00361,-0.06832,-0.00328
36,36864,-7.91541,108.5,0.0,0.0,1.376829,-0.002549,4.450846,0.001981,2034,0.12471,1.0,0.75,-0.01,0.00737,4e-05,0.00439,-0.09212,-0.00287
