iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.3252,-0.017035,0.147371,0.008899,1492,0.14076,0.0,0.0,-0.01,0.002,-0.02892,0.00346,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.245837,-0.007491,0.09868,0.002644,1566,0.1409,0.0,0.0,-0.01,0.00308,-0.02256,0.00349,-0.00134,0.0
3,3072,-16.16876,375.5,0.0,0.0,2.146818,-0.056315,5.300613,0.005334,2276,0.16722,1.0,0.99038,-0.01,0.00401,-0.01846,0.00197,-0.07928,-0.00096
4,4096,-16.29835,445.16667,0.0,0.0,2.200274,0.055087,0.572111,0.00262,1982,0.14835,0.5,0.98643,-0.01,0.00665,-0.01363,0.00274,-0.00877,-0.00039
5,5120,-15.42412,166.0,0.0,0.0,2.120231,-0.001264,12.50537,0.004029,1786,0.15556,1.0,0.98592,-0.01,0.00494,-0.00767,0.00192,-0.15191,-0.00227
6,6144,-14.82691,157.85714,0.0,0.0,2.126408,-0.003668,6.087076,0.001804,1909,0.15457,1.0,0.97222,-0.01,0.0055,-0.00776,0.00213,-0.08333,-0.00273
7,7168,-11.82221,143.8,0.0,0.0,2.128917,-0.056383,4.209575,0.001888,1836,0.14868,1.0,0.96774,-0.01,0.00683,-0.00658,0.00178,-0.07822,-0.00182
8,8192,-11.94959,186.83333,0.0,0.0,2.158417,0.062493,8.378856,0.001875,1803,0.15233,1.0,0.9798,-0.01,0.00602,-0.0095,0.00212,-0.11638,-0.00253
9,9216,-16.03283,166.25,0.0,0.0,2.083151,-0.003168,9.493419,0.00192,1834,0.15399,1.0,0.97143,-0.01,0.00672,-0.00871,0.00175,-0.12846,-0.00298
10,10240,-20.27327,143.83333,0.0,0.0,2.106234,-0.003222,15.118303,0.003294,1865,0.16063,1.0,0.98851,-0.01,0.00616,-0.00817,0.00133,-0.20626,-0.00229
11,11264,-16.60242,135.0,0.0,0.0,2.080105,0.014186,8.204067,0.001018,2013,0.15827,1.0,0.97701,-0.01,0.00789,-0.00762,0.00149,-0.13959,-0.00289
12,12288,-16.27557,153.375,0.0,0.0,2.071658,-0.003226,11.278908,0.002304,2030,0.16667,1.0,0.96907,-0.01,0.00725,-0.00782,0.00161,-0.16551,-0.00341
13,13312,-21.76823,144.14286,0.0,0.0,2.09284,0.061583,10.267287,0.005765,1857,0.15718,1.0,1.0,-0.01,0.00752,-0.00926,0.00204,-0.13167,-0.00264
14,14336,-15.58364,141.375,0.0,0.0,1.970934,0.143422,12.381471,0.004034,1759,0.1519,1.0,0.98507,-0.01,0.00758,-0.0107,0.00219,-0.13879,-0.00285
15,15360,-16.63817,135.16667,0.0,0.0,2.003795,0.042818,12.37872,0.001833,1899,0.15978,1.0,1.0,-0.01,0.00814,-0.00892,0.00175,-0.17937,-0.00232
16,16384,-17.74306,146.42857,0.0,0.0,2.127026,0.039561,10.950513,0.001488,2119,0.16503,1.0,0.98276,-0.01,0.00804,-0.00998,0.00178,-0.18897,-0.0032
17,17408,-16.58877,165.42857,0.0,0.0,1.999062,0.040056,11.867426,0.003558,1984,0.16582,1.0,1.0,-0.01,0.00754,-0.01127,0.0009,-0.18533,-0.00284
18,18432,-16.87628,136.0,0.0,0.0,1.941708,-0.063584,8.40068,0.003139,2043,0.16795,1.0,0.98507,-0.01,0.00685,-0.01498,0.00169,-0.12171,-0.00207
19,19456,-21.13789,157.75,0.0,0.0,2.037109,-0.002408,7.092671,0.001163,2105,0.18518,1.0,0.99448,-0.01,0.00605,-0.0181,0.00185,-0.1282,-0.00356
20,20480,-17.20146,130.0,0.0,0.0,1.949731,-0.002863,7.015705,0.001787,2295,0.18825,1.0,0.97701,-0.01,0.00594,-0.01729,0.00176,-0.16989,-0.0025
21,21504,-14.19737,184.33333,0.0,0.0,1.973048,-0.003897,8.629182,0.002528,1989,0.16102,0.83333,0.99425,-0.01,0.00694,-0.01036,0.00193,-0.15158,-0.00202
22,22528,-18.75398,174.125,0.0,0.0,1.905118,-0.004512,10.024722,0.002795,2153,0.16831,1.0,0.9774,-0.01,0.0054,-0.01246,0.00185,-0.2089,-0.00314
23,23552,-17.02444,115.33333,0.0,0.0,1.863186,0.004198,13.469605,0.002996,2039,0.16952,1.0,0.97059,-0.01,0.0069,-0.01162,0.00196,-0.19226,-0.00254
24,24576,-12.68727,128.2,0.0,0.0,1.9552,0.032525,6.112296,0.001416,2378,0.18344,1.0,0.92857,-0.01,0.00381,-0.01484,0.00176,-0.12606,-0.00245
25,25600,-22.92174,271.8,0.0,0.0,1.851157,-0.030307,7.836695,0.003482,2283,0.18276,1.0,0.95522,-0.01,0.00498,-0.01682,0.00192,-0.15594,-0.00142
26,26624,-26.63458,232.0,0.0,0.0,1.861772,-0.002935,6.204053,0.002282,2489,0.18453,1.0,0.96226,-0.01,0.00606,-0.01764,0.00104,-0.11396,-0.00156
27,27648,-17.19571,234.0,0.0,0.0,1.862738,-0.044494,3.420148,0.003822,2745,0.19039,1.0,1.0,-0.01,0.00406,-0.01799,0.00219,-0.08764,-0.00114
28,28672,-20.55605,208.16667,0.0,0.0,1.793336,-0.001015,6.198977,0.002643,2701,0.18796,1.0,0.94915,-0.01,0.00581,-0.01195,0.00052,-0.15295,-0.00295
29,29696,-17.44046,209.33333,0.0,0.0,1.80096,-0.000421,5.921976,0.001424,2288,0.17245,1.0,0.96842,-0.01,0.00646,-0.00841,0.00157,-0.11781,-0.00234
30,30720,-18.26007,185.2,0.0,0.0,1.708302,0.050596,11.02792,0.002321,2418,0.17737,1.0,0.98958,-0.01,0.0053,-0.01359,0.0014,-0.18973,-0.002
