iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.379554,-0.008127,0.278602,0.005143,0.738328,0.058698,-0.057664,0.208447,0.219941,-0.48345,1.188245,4.0,0.0003,0,615,0.2666,0.36384,0.0,nan,0,0.0,0.0,,,-0.01,0.00479,-0.01378,-0.02248,-3e-05,0.0
2,2048,nan,nan,0.0,0.0,2.299551,-0.004496,0.092832,0.001234,0.680141,0.007324,0.643312,-0.384399,0.98507,-1.058104,2.160652,4.0,0.0002999,0,635,0.23721,0.32868,0.0,nan,0,0.0,0.0,,,-0.01,0.00361,-0.01302,-0.0216,-0.00068,0.0
3,3072,nan,nan,0.0,0.0,2.228307,-0.004305,0.043005,0.003406,0.405736,0.029925,0.847776,-0.937774,2.168823,-1.588308,3.296466,4.0,0.0002998,0,661,0.22172,0.31681,0.0,nan,0,0.0,0.0,,,-0.01,0.00361,-0.01292,-0.02206,-0.0007,0.0
4,4096,-18.17926,450.0,0.0,0.0,2.196537,-0.004497,0.029119,0.00328,0.241065,0.029785,0.924824,-1.704075,3.264116,-2.208109,4.186821,4.0,0.00029969,8,677,0.23336,0.33245,1.0,nan,0,0.0,0.99829,,,-0.01,0.00321,-0.00979,-0.02232,-0.00068,0.0
5,5120,nan,nan,0.0,0.0,2.293868,-0.004855,0.014654,0.005634,0.228087,0.067069,0.941797,-2.268356,4.112326,-2.805236,5.234783,4.0,0.00029959,0,662,0.23703,0.3291,1.0,nan,0,0.0,0.0,,,-0.01,0.00559,-0.00824,-0.02184,0.0,0.0
6,6144,nan,nan,0.0,0.0,2.138002,-0.004288,0.0126,0.003391,0.21605,0.036621,0.964369,-2.885916,5.250278,-3.375147,6.214987,4.0,0.00029949,0,663,0.25167,0.33621,1.0,nan,0,0.0,0.0,,,-0.01,0.00598,-0.00722,-0.0213,-0.00292,0.0
7,7168,-16.11316,399.0,0.0,0.0,1.733195,-0.003533,0.039099,0.003158,0.286859,0.035017,0.952278,-3.414238,6.290263,-3.951529,7.074709,4.0,0.00029939,1,717,0.25641,0.34534,0.88889,nan,0,1.0,0.93548,,,-0.01,0.00495,-0.00347,-0.02617,-0.00542,-0.00255
8,8192,-14.94538,450.0,0.0,0.0,2.245579,-0.007782,0.009213,0.007579,0.348863,0.126325,0.975456,-3.819388,6.886812,-4.224914,7.912798,4.0,0.00029928,7,662,0.26272,0.34384,0.9375,nan,0,0.14286,0.984,,,-0.01,0.00591,-0.00495,-0.02303,-0.00054,0.0
9,9216,nan,nan,0.0,0.0,1.944281,-0.00446,0.027618,0.003926,0.231375,0.050677,0.967662,-4.150239,7.966198,-4.616351,8.720229,4.0,0.00029918,0,677,0.27465,0.36034,0.9375,nan,0,0.0,0.0,,,-0.01,0.00557,-0.00352,-0.02034,-0.00507,0.0
10,10240,nan,nan,0.0,0.0,1.320982,-0.004084,0.02709,0.003549,0.25894,0.051025,0.970192,-4.633609,8.751085,-5.084533,9.32598,4.0,0.00029908,0,780,0.28467,0.37537,0.9375,nan,0,0.0,0.0,,,-0.01,0.00456,-0.0047,-0.03214,-0.00455,0.0
