iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.040076,-0.019796,0.477637,0.011186,0.721307,0.20302,-0.058436,0.439067,0.143027,-0.136354,0.321232,4.0,0.0003,0,935,0.27846,0.33468,0.0,nan,0,0.0,0.0,,,-0.01,0.00647,-0.03085,0.0,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.970307,-0.014795,0.37226,0.00715,1.824622,0.152251,0.042358,-0.126668,0.073394,-0.550762,0.314576,3.0,0.0002999,0,986,0.25513,0.30171,0.0,nan,0,0.0,0.0,,,-0.01,0.01061,-0.02547,0.0,-0.0011,0.0
3,3072,-12.21064,343.66667,0.0,0.0,1.361875,-0.006505,0.614129,0.005475,1.585353,0.097656,-0.013344,-0.401676,0.146996,-0.866161,0.547176,4.0,0.0002998,3,998,0.23998,0.29121,0.0,nan,0,1.0,1.0,,,-0.01,0.01608,-0.02229,0.0,-0.01789,-0.00851
4,4096,-11.89698,369.5,0.0,0.0,1.528652,-0.003881,0.353745,0.006178,0.873296,0.123798,0.042586,-0.911354,0.177671,-1.19864,0.545709,4.0,0.00029969,6,985,0.20857,0.24394,0.0,nan,0,1.0,1.0,,,-0.01,0.0218,-0.01492,0.0,-0.01331,-0.01464
5,5120,-4.02012,156.625,0.0,0.0,1.320872,-0.004855,0.239793,0.005899,0.651246,0.099679,0.240247,-1.260425,0.253257,-1.501047,0.589322,4.0,0.00029959,8,973,0.17877,0.20856,0.0,nan,0,1.0,1.0,,,-0.01,0.02563,-0.00927,0.0,-0.01888,-0.02112
6,6144,-3.19752,107.5,0.0,0.0,1.169158,-0.002666,0.173611,0.003987,0.482518,0.046735,0.524862,-1.504079,0.445455,-1.761359,0.729391,4.0,0.00029949,10,985,0.16293,0.19338,0.0,nan,0,1.0,1.0,,,-0.01,0.02771,-0.00663,0.0,-0.02634,-0.0288
7,7168,9.85869,113.83333,0.16667,0.0303,1.182041,-0.000724,3.77273,0.001859,3.330541,0.00436,-0.020593,-1.797886,0.528184,-0.558378,7.110352,4.0,0.00029939,6,993,0.17361,0.19619,0.0,0.0,1,0.83333,1.0,,,-0.01,0.02711,-0.00603,0.0,-0.01327,0.08399
8,8192,-2.58608,146.0,0.0,0.025,1.128901,-0.001662,0.048417,0.001922,0.398426,0.024798,0.69242,-1.793861,1.596007,-2.015513,1.479835,4.0,0.00029928,7,996,0.16538,0.18583,0.0,0.0,1,1.0,1.0,,,-0.01,0.02776,-0.00469,0.0,-0.01489,-0.01984
9,9216,7.5005,169.71429,0.14286,0.04255,0.950161,-0.001277,1.941174,0.003454,1.606857,0.040702,0.058799,-2.158476,1.467733,-0.964444,7.068278,4.0,0.00029918,7,1037,0.18949,0.21565,0.02128,0.5,2,0.85714,0.98182,,,-0.01,0.02432,-0.00517,0.0,-0.02041,0.09504
10,10240,-2.41587,156.0,0.0,0.03636,1.131133,-0.001733,0.042951,0.003343,0.347096,0.02689,0.627022,-1.931651,1.802188,-1.965349,1.617557,4.0,0.00029908,8,1014,0.16762,0.18893,0.03636,0.5,2,0.875,1.0,,,-0.01,0.02695,-0.00433,0.0,-0.01485,-0.02008
