iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.380253,-0.008471,0.319975,0.005101,0.866661,0.054862,-0.079522,0.537516,0.289642,-0.190024,1.183174,4.0,0.0003,0,453,0.26654,0.36324,0.0,nan,0,0.0,0.0,,,-0.01,0.00478,-0.01365,-0.02251,-0.00035,0.0
2,2048,nan,nan,0.0,0.0,2.287948,-0.004878,0.102689,0.001847,0.501669,0.007847,0.605608,-0.219939,0.901221,-0.896934,2.069971,4.0,0.0002999,0,454,0.23035,0.32286,0.0,nan,0,0.0,0.0,,,-0.01,0.00414,-0.01366,-0.02171,-0.00069,0.0
3,3072,nan,nan,0.0,0.0,2.17765,-0.004031,0.040499,0.003762,0.257275,0.043492,0.839131,-0.9741,2.102053,-1.588367,3.259499,4.0,0.0002998,0,483,0.21167,0.30528,0.0,nan,0,0.0,0.0,,,-0.01,0.00372,-0.01151,-0.0233,-1e-05,0.0
4,4096,-18.01087,450.0,0.0,0.0,2.194927,-0.004372,0.031855,0.002045,0.224178,0.009487,0.918874,-1.668537,3.189956,-2.151928,4.110751,4.0,0.00029969,8,422,0.21391,0.31103,1.0,nan,0,0.0,0.99825,,,-0.01,0.0039,-0.01026,-0.02232,-0.00139,0.0
5,5120,nan,nan,0.0,0.0,2.251709,-0.00568,0.017946,0.00544,0.254863,0.0625,0.940643,-2.260372,4.041785,-2.788462,5.108967,4.0,0.00029959,0,444,0.21123,0.30059,1.0,nan,0,0.0,0.0,,,-0.01,0.00478,-0.00791,-0.02093,-0.0007,0.0
6,6144,nan,nan,0.0,0.0,2.01494,-0.006139,0.023604,0.003438,0.284106,0.046108,0.955485,-2.754141,5.23025,-3.257492,6.163934,4.0,0.00029949,0,481,0.20702,0.29735,1.0,nan,0,0.0,0.0,,,-0.01,0.00526,-0.00662,-0.02068,-0.00376,0.0
7,7168,-13.48877,377.0,0.0,0.0,1.35738,-0.003014,0.050216,0.002895,0.253922,0.038435,0.941399,-3.610186,6.163337,-3.977272,6.630373,4.0,0.00029939,1,554,0.23225,0.33119,0.88889,nan,0,1.0,1.0,,,-0.01,0.00471,-0.00464,-0.0216,-0.00993,-0.00311
8,8192,-14.36533,450.0,0.0,0.0,2.043983,-0.005964,0.013248,0.007344,0.36507,0.081996,0.974089,-3.711299,6.479402,-4.100731,7.347893,4.0,0.00029928,7,442,0.21431,0.29906,0.9375,nan,0,0.14286,0.99216,,,-0.01,0.00652,-0.00371,-0.02122,-0.00281,0.0
9,9216,-8.79648,223.2,0.0,0.0,1.682582,-0.003319,0.056058,0.002682,0.269929,0.031948,0.923645,-3.786414,7.028668,-3.99563,7.187366,4.0,0.00029918,5,391,0.23006,0.31626,0.71429,nan,0,1.0,0.94286,,,-0.01,0.00755,-0.00264,-0.02097,-0.01361,-0.01289
10,10240,-10.26666,276.5,0.0,0.0,1.708492,-0.004369,0.029762,0.00384,0.223419,0.043352,0.958898,-3.94117,6.938912,-4.163888,7.285646,4.0,0.00029908,2,477,0.24955,0.33538,0.65217,nan,0,1.0,1.0,,,-0.01,0.00779,-0.00338,-0.01624,-0.00994,-0.00505
11,11264,-8.39054,239.14286,0.0,0.0,1.661976,-0.003395,0.049126,0.004083,0.306447,0.052351,0.918705,-4.407159,7.059012,-4.442459,7.061389,4.0,0.00029898,7,488,0.2286,0.31643,0.5,nan,0,1.0,1.0,,,-0.01,0.00788,-0.00323,-0.01867,-0.01266,-0.0182
12,12288,-7.4794,190.83333,0.0,0.0,1.647882,-0.004905,0.037644,0.004148,0.326678,0.060233,0.914241,-4.685627,6.310221,-4.765838,6.190202,4.0,0.00029887,6,554,0.21849,0.31334,0.41667,nan,0,1.0,1.0,,,-0.01,0.00888,-0.00304,-0.01472,-0.01831,-0.0155
13,13312,-6.35741,160.28571,0.0,0.0,1.557453,-0.004838,0.024891,0.002765,0.297096,0.041643,0.938238,-4.780859,6.124704,-4.658848,5.915287,4.0,0.00029877,7,585,0.20777,0.29357,0.34884,nan,0,1.0,1.0,,,-0.01,0.0106,-0.00236,-0.01529,-0.01818,-0.01877
14,14336,-6.14261,164.0,0.0,0.0,1.68069,-0.005022,0.022218,0.004212,0.321593,0.045061,0.948368,-4.660691,5.894138,-4.670788,5.889754,4.0,0.00029867,6,526,0.20067,0.28579,0.30612,nan,0,1.0,0.9375,,,-0.01,0.00926,-0.00186,-0.01824,-0.01628,-0.01477
15,15360,-6.26783,143.0,0.0,0.0,1.497712,-0.00429,0.018926,0.001862,0.264873,0.017613,0.94351,-4.43184,5.274359,-4.384381,5.118329,4.0,0.00029857,6,602,0.21312,0.30274,0.27273,nan,0,1.0,0.95,,,-0.01,0.01066,-0.00206,-0.01496,-0.01867,-0.01655
16,16384,-6.10369,141.16667,0.0,0.0,1.48793,-0.004953,0.01998,0.003206,0.262039,0.034389,0.937784,-4.28081,5.304791,-4.195397,5.080169,4.0,0.00029846,6,603,0.22333,0.30598,0.2459,nan,0,1.0,1.0,,,-0.01,0.01132,-0.00201,-0.0159,-0.01883,-0.01641
17,17408,-5.76277,182.88889,0.0,0.0,1.461894,-0.00474,0.014832,0.003232,0.261564,0.043108,0.940181,-4.105376,4.582253,-4.030741,4.44006,4.0,0.00029836,9,605,0.19948,0.28067,0.22857,nan,0,1.0,0.93333,,,-0.01,0.01117,-4e-05,-0.01566,-0.02039,-0.02234
18,18432,-5.49974,122.375,0.0,0.0,1.746672,-0.004602,0.016828,0.004212,0.33349,0.046317,0.941486,-4.474427,4.83038,-4.403356,4.662906,4.0,0.00029826,8,535,0.21986,0.30764,0.20513,nan,0,1.0,1.0,,,-0.01,0.0117,-3e-05,-0.01666,-0.01894,-0.01902
19,19456,-5.63277,124.85714,0.0,0.0,1.619224,-0.004223,0.018287,0.003065,0.295721,0.020717,0.929109,-4.193659,4.360706,-4.1561,4.297866,4.0,0.00029816,7,577,0.2105,0.29733,0.18824,nan,0,1.0,1.0,,,-0.01,0.01207,-0.0016,-0.01532,-0.02215,-0.01744
20,20480,-5.70159,135.66667,0.0,0.0,1.562135,-0.005808,0.014337,0.00497,0.292475,0.063407,0.9382,-4.088511,4.277309,-4.076756,4.112781,4.0,0.00029805,9,547,0.20663,0.29328,0.17021,nan,0,1.0,1.0,,,-0.01,0.01242,-0.00114,-0.01766,-0.02097,-0.02284
21,21504,-5.47277,121.25,0.0,0.0,1.668451,-0.005842,0.009918,0.004614,0.307785,0.050084,0.941893,-3.990496,3.738033,-3.925878,3.498139,4.0,0.00029795,8,579,0.19702,0.28381,0.14,nan,0,1.0,1.0,,,-0.01,0.01256,-0.00014,-0.01539,-0.01832,-0.01917
22,22528,-5.13034,124.14286,0.0,0.0,1.706139,-0.006154,0.010805,0.005452,0.320908,0.056257,0.95076,-3.932902,3.816452,-3.946894,3.763412,4.0,0.00029785,7,550,0.21747,0.30648,0.08,nan,0,1.0,0.71429,,,-0.01,0.01277,0.00025,-0.01787,-0.01669,-0.01624
23,23552,5.22621,127.57143,0.14286,0.01,1.456598,-0.0006,0.742448,0.001608,0.633002,0.004185,0.184224,-3.324729,3.12538,-1.967285,7.871489,4.0,0.00029775,7,588,0.20594,0.29328,0.01,0.0,1,1.0,1.0,,,-0.01,0.01365,-0.0003,-0.01711,-0.01794,0.08038
24,24576,-5.1548,158.33333,0.0,0.01,1.353313,-0.003973,0.038446,0.002843,0.282822,0.028564,0.750322,-1.654561,3.642233,-1.776003,3.181231,4.0,0.00029764,6,623,0.21943,0.30396,0.01,0.0,1,1.0,0.9,,,-0.01,0.01306,-0.00058,-0.01558,-0.0157,-0.01762
25,25600,-5.22469,150.33333,0.0,0.01,1.268495,-0.005027,0.022065,0.004389,0.283839,0.06114,0.806017,-1.811918,3.234505,-1.926699,2.948126,4.0,0.00029754,6,639,0.208,0.29727,0.01,0.0,1,1.0,1.0,,,-0.01,0.01187,-0.00073,-0.01685,-0.01495,-0.01807
26,26624,13.17868,207.0,0.25,0.02,1.248899,-0.002253,0.778139,0.00312,0.694557,0.032436,0.125909,-1.262871,2.561763,0.118237,7.546573,4.0,0.00029744,4,618,0.22262,0.3091,0.02,0.0,2,1.0,0.9,,,-0.01,0.01052,-0.00264,-0.01802,-0.0091,0.10626
27,27648,-5.7959,205.8,0.0,0.02,1.325173,-0.004664,0.028918,0.002961,0.311342,0.031982,0.817573,-0.640981,3.334715,-0.834196,3.362653,4.0,0.00029734,5,655,0.24354,0.32978,0.03,0.0,2,1.0,0.94118,,,-0.01,0.00921,-0.00182,-0.0175,-0.00971,-0.01195
28,28672,31.10809,210.75,0.5,0.04,1.325416,-0.002877,1.243692,0.002652,1.129636,0.023298,0.202645,-0.690682,3.519321,1.922794,10.544944,4.0,0.00029724,4,625,0.24422,0.32721,0.04,0.0,4,0.75,0.88235,,,-0.01,0.00936,-0.00256,-0.02036,-0.00245,0.20116
29,29696,-6.59038,264.0,0.0,0.04,1.158857,-0.005265,0.063131,0.003191,0.651602,0.047503,0.811037,2.567705,4.741261,2.555206,4.736189,4.0,0.00029713,3,660,0.24194,0.32572,0.05,0.0,4,1.0,1.0,,,-0.01,0.01155,-0.00303,-0.01986,-0.01266,-0.00659
30,30720,6.6113,232.16667,0.16667,0.05,1.159664,-0.002416,0.151467,0.003252,0.374771,0.040981,0.576377,2.404496,4.600183,2.468395,5.280512,4.0,0.00029703,6,648,0.20401,0.28124,0.07,0.0,5,0.83333,0.95,,,-0.01,0.01221,-0.00138,-0.02041,-0.01134,0.10333
31,31744,16.4624,141.28571,0.28571,0.07,1.193306,-0.001628,0.957337,0.001429,0.896377,0.009033,0.257598,2.972022,4.121986,5.18255,10.384673,4.0,0.00029693,7,636,0.19496,0.27473,0.07,0.0,7,1.0,0.66667,,,-0.01,0.01183,0.00033,-0.01633,-0.00829,0.20469
32,32768,36.14851,228.42857,0.57143,0.11,1.481857,-0.002784,1.221746,0.002832,1.699161,0.018903,0.298757,4.274738,5.333211,9.129241,13.36637,4.0,0.00029683,7,565,0.18118,0.25199,0.08,0.0,11,0.57143,0.91667,,,-0.01,0.01126,0.0002,-0.01995,-0.00384,0.34635
