iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.449045,-0.008077,0.375184,0.006651,0.837533,0.097203,-0.17563,-0.177437,0.183531,-0.825098,1.000159,4.0,0.0003,0,579,0.26507,0.33789,0.0,nan,0,0.0,0.0,,,-0.01,0.00424,-0.01134,-0.0228,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.383161,-0.004306,0.142293,0.001742,0.866703,0.006975,0.588556,-0.655631,0.712682,-1.19751,1.638629,4.0,0.0002999,0,574,0.23961,0.31173,0.0,nan,0,0.0,0.0,,,-0.01,0.00499,-0.01169,-0.01621,-0.00035,0.0
3,3072,nan,nan,0.0,0.0,2.15823,-0.005841,0.072598,0.004762,0.589219,0.047886,0.825099,-1.112621,1.605833,-1.577214,2.43695,4.0,0.0002998,0,598,0.23555,0.30581,0.0,nan,0,0.0,0.0,,,-0.01,0.00546,-0.01008,-0.01664,-0.00261,0.0
4,4096,-15.20174,450.0,0.0,0.0,2.166658,-0.005838,0.044547,0.004109,0.45468,0.043422,0.902538,-1.485684,2.334269,-1.894787,3.100774,4.0,0.00029969,8,639,0.24829,0.3303,1.0,nan,0,0.0,0.9898,,,-0.01,0.00582,-0.00847,-0.02005,-0.00128,0.0
5,5120,nan,nan,0.0,0.0,2.309688,-0.005929,0.029076,0.00539,0.357976,0.07809,0.94103,-1.878043,3.154497,-2.223832,3.871668,4.0,0.00029959,0,497,0.24032,0.29824,1.0,nan,0,0.0,0.0,,,-0.01,0.00749,-0.00664,-0.01343,-0.00145,0.0
6,6144,-9.94976,257.0,0.0,0.0,1.485461,-0.003169,0.078814,0.002309,0.283183,0.035993,0.909232,-2.452672,3.868918,-2.914911,4.074221,4.0,0.00029949,2,711,0.28061,0.36166,0.8,nan,0,1.0,1.0,,,-0.01,0.00783,-0.00746,-0.01378,-0.01887,-0.00613
7,7168,-11.29109,359.2,0.0,0.0,1.601671,-0.004302,0.055363,0.003811,0.254981,0.051967,0.911053,-2.871304,3.588601,-3.088319,3.942221,4.0,0.00029939,5,683,0.28151,0.35169,0.53333,nan,0,1.0,0.98058,,,-0.01,0.00837,-0.006,-0.01738,-0.00826,-0.01392
8,8192,-7.72603,238.0,0.0,0.0,1.657664,-0.003822,0.051592,0.003864,0.273481,0.059431,0.918223,-3.014249,3.888871,-3.253699,3.978131,4.0,0.00029928,7,509,0.29694,0.36663,0.40909,nan,0,0.85714,0.98592,,,-0.01,0.008,-0.00466,-0.01626,-0.01551,-0.01626
9,9216,-7.32107,207.66667,0.0,0.0,1.661122,-0.00241,0.037226,0.003366,0.225622,0.036586,0.9344,-3.236458,3.63134,-3.471558,3.837434,4.0,0.00029918,3,457,0.26422,0.33489,0.36,nan,0,1.0,1.0,,,-0.01,0.0084,-0.00318,-0.01434,-0.01752,-0.00815
10,10240,-7.3074,202.66667,0.0,0.0,1.892837,-0.003979,0.031244,0.003757,0.252315,0.049979,0.94625,-3.666308,3.827519,-3.815353,4.102089,4.0,0.00029908,6,547,0.28314,0.34283,0.29032,nan,0,1.0,0.93548,,,-0.01,0.00805,-0.0036,-0.01364,-0.0083,-0.01417
