iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.59506,-0.01024,0.307574,0.006847,0.858321,0.083984,-0.037973,-0.40528,0.181981,-1.203181,1.295403,4.0,0.0003,0,798,0.26493,0.37305,0.0,nan,0,0.0,0.0,,,-0.01,0.00463,-0.01676,-0.02487,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.517865,-0.005508,0.106586,0.002064,0.800409,0.016357,0.634005,-1.107258,0.985273,-1.807431,2.150393,4.0,0.0002999,0,808,0.24294,0.35007,0.0,nan,0,0.0,0.0,,,-0.01,0.00509,-0.01307,-0.02512,-0.00137,0.0
3,3072,nan,nan,0.0,0.0,2.246764,-0.006097,0.058928,0.003917,0.59323,0.040632,0.848901,-1.452943,2.125821,-2.062072,3.128743,4.0,0.0002998,0,815,0.23713,0.34041,0.0,nan,0,0.0,0.0,,,-0.01,0.0046,-0.01193,-0.02497,-0.00275,0.0
4,4096,-19.20539,450.0,0.0,0.0,2.088822,-0.00575,0.053604,0.004353,0.477186,0.061175,0.905252,-2.27734,3.074295,-2.861208,3.902516,4.0,0.00029969,8,813,0.23751,0.34436,1.0,nan,0,0.25,0.99013,,,-0.01,0.00684,-0.01122,-0.02831,-0.004,0.0
5,5120,-8.46422,172.66667,0.0,0.0,1.990192,-0.005836,0.057295,0.004432,0.333566,0.059919,0.926238,-2.691423,3.88712,-3.142675,4.285569,4.0,0.00029959,3,822,0.22437,0.33414,0.72727,nan,0,1.0,1.0,,,-0.01,0.0075,-0.00887,-0.01893,-0.01342,-0.00726
6,6144,-11.67334,283.5,0.0,0.0,1.485987,-0.004497,0.065459,0.003076,0.241067,0.037563,0.895871,-3.39465,3.80534,-3.777984,4.182261,4.0,0.00029949,4,888,0.24375,0.35323,0.53333,nan,0,1.0,0.99065,,,-0.01,0.00954,-0.00953,-0.0254,-0.01217,-0.01229
7,7168,-9.36792,217.5,0.0,0.0,1.971638,-0.004001,0.042197,0.00309,0.243962,0.03125,0.929556,-3.882738,4.022074,-4.16109,4.526438,4.0,0.00029939,4,824,0.22767,0.327,0.42105,nan,0,1.0,1.0,,,-0.01,0.00769,-0.008,-0.01981,-0.01082,-0.00967
8,8192,-8.84542,215.5,0.0,0.0,1.486228,-0.005725,0.043706,0.003459,0.230037,0.051165,0.929927,-3.935635,4.304787,-4.19893,4.716766,4.0,0.00029928,4,903,0.25192,0.35124,0.34783,nan,0,1.0,0.94915,,,-0.01,0.0077,-0.00837,-0.02572,-0.01109,-0.01228
9,9216,-10.16512,303.0,0.0,0.0,1.159357,-0.004925,0.039663,0.002896,0.242745,0.041783,0.920736,-4.257499,4.069887,-4.446294,4.249097,4.0,0.00029918,4,983,0.24508,0.3477,0.2963,nan,0,1.0,0.98485,,,-0.01,0.00664,-0.00653,-0.02618,-0.01477,-0.01508
10,10240,-9.55117,248.6,0.0,0.0,1.466672,-0.004887,0.036778,0.003485,0.361635,0.04691,0.939203,-4.929657,4.443969,-4.988987,4.684382,4.0,0.00029908,5,915,0.23472,0.33355,0.25,nan,0,1.0,1.0,,,-0.01,0.00713,-0.00545,-0.02168,-0.01415,-0.01517
