iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.382564,-0.011124,0.472428,0.007278,1.675489,0.084333,-0.122105,1.096403,0.209067,0.385817,1.21153,4.0,0.0003,0,538,0.2659,0.35477,0.0,nan,0,0.0,0.0,,,-0.01,0.00519,-0.01339,-0.02319,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.325385,-0.005575,0.142508,0.00189,0.644826,0.009173,0.537403,0.365028,0.731467,-0.284168,1.798836,4.0,0.0002999,0,567,0.24401,0.33142,0.0,nan,0,0.0,0.0,,,-0.01,0.00507,-0.0134,-0.02009,-0.00072,0.0
3,3072,nan,nan,0.0,0.0,2.265378,-0.007056,0.067263,0.005887,0.52406,0.090716,0.827742,-0.023896,1.710479,-0.528647,2.577141,4.0,0.0002998,0,589,0.23461,0.29423,0.0,nan,0,0.0,0.0,,,-0.01,0.006,-0.00887,-0.0203,-0.00043,0.0
4,4096,-16.31419,450.0,0.0,0.0,2.249315,-0.005487,0.049289,0.002731,0.46789,0.037807,0.901436,-0.493502,2.501251,-0.929552,3.259581,4.0,0.00029969,8,568,0.24869,0.32423,1.0,nan,0,0.0,0.99406,,,-0.01,0.00738,-0.00757,-0.02075,-0.0031,0.0
5,5120,-8.86871,176.0,0.0,0.0,2.241667,-0.00536,0.054733,0.002776,0.347245,0.030064,0.920469,-0.837967,3.286091,-1.401196,3.925265,4.0,0.00029959,1,534,0.24129,0.30616,0.88889,nan,0,1.0,1.0,,,-0.01,0.00693,-0.0075,-0.01873,-0.00614,-0.0021
6,6144,nan,nan,0.0,0.0,1.563382,-0.004396,0.031385,0.002315,0.239836,0.02002,0.956269,-1.58125,3.709148,-1.889357,4.016427,4.0,0.00029949,0,697,0.25557,0.30422,0.88889,nan,0,0.0,0.0,,,-0.01,0.00513,-0.00586,-0.01497,-0.00542,0.0
7,7168,nan,nan,0.0,0.0,1.20771,-0.005048,0.016259,0.003425,0.234056,0.04963,0.972321,-1.905972,3.90847,-2.121455,4.244124,4.0,0.00029939,0,623,0.26269,0.30198,0.88889,nan,0,0.0,0.0,,,-0.01,0.00538,-0.00538,-0.01693,-0.00031,0.0
8,8192,-10.21922,450.0,0.0,0.0,2.039819,-0.006173,0.035158,0.003814,0.324417,0.03969,0.947807,-2.179524,4.427188,-2.655704,5.063986,4.0,0.00029928,7,589,0.26312,0.31943,0.9375,nan,0,0.28571,0.9801,,,-0.01,0.00737,-0.00267,-0.02429,-0.00567,0.0
9,9216,-7.67643,237.5,0.0,0.0,1.638071,-0.00481,0.043475,0.002586,0.281234,0.042167,0.942412,-2.765102,4.926607,-2.981994,5.374449,4.0,0.00029918,4,605,0.28842,0.34977,0.8,nan,0,0.75,1.0,,,-0.01,0.00828,-0.00359,-0.02207,-0.00856,-0.00829
10,10240,nan,nan,0.0,0.0,1.176323,-0.002746,0.031707,0.001362,0.243003,0.011789,0.9533,-3.102567,4.867995,-3.429422,5.114923,4.0,0.00029908,0,769,0.28081,0.32579,0.8,nan,0,0.0,0.0,,,-0.01,0.00674,-0.00395,-0.01869,-0.01025,0.0
11,11264,-9.61636,386.5,0.0,0.0,1.38328,-0.004499,0.03078,0.001727,0.254375,0.012905,0.953001,-3.568392,5.005442,-3.727001,5.403491,4.0,0.00029898,6,686,0.27701,0.33634,0.73077,nan,0,0.83333,0.98182,,,-0.01,0.00995,-0.00299,-0.02642,-0.0023,-0.00947
12,12288,-7.95473,304.0,0.0,0.0,1.624534,-0.004454,0.032034,0.003447,0.228135,0.035191,0.956798,-3.319716,5.516285,-3.525604,5.865428,4.0,0.00029887,2,663,0.28287,0.33625,0.71429,nan,0,0.5,1.0,,,-0.01,0.00717,-0.00352,-0.01752,-0.00725,-0.00279
