iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.382488,-0.011123,0.472428,0.007355,1.675552,0.085937,-0.122105,1.096403,0.209067,0.385817,1.21153,4.0,0.0003,0,545,0.2659,0.35477,0.0,nan,0,0.0,0.0,,,-0.01,0.00519,-0.01339,-0.02319,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.324516,-0.005943,0.138887,0.002463,0.643131,0.018694,0.544133,0.363378,0.725589,-0.283773,1.767286,4.0,0.0002999,0,578,0.24315,0.32898,0.0,nan,0,0.0,0.0,,,-0.01,0.00497,-0.01354,-0.01963,-0.00072,0.0
3,3072,nan,nan,0.0,0.0,2.22578,-0.005533,0.061994,0.003952,0.485618,0.038365,0.854702,-0.042471,1.737632,-0.51676,2.446677,4.0,0.0002998,0,585,0.23123,0.28941,0.0,nan,0,0.0,0.0,,,-0.01,0.0054,-0.00784,-0.0172,-0.00275,0.0
4,4096,-15.72053,450.0,0.0,0.0,2.061109,-0.00653,0.050613,0.004541,0.476634,0.052944,0.900774,-0.438028,2.343974,-0.795775,3.022744,4.0,0.00029969,8,588,0.24614,0.32336,1.0,nan,0,0.0,0.99588,,,-0.01,0.00674,-0.00671,-0.01894,-0.00461,0.0
5,5120,nan,nan,0.0,0.0,2.034804,-0.004766,0.067274,0.003024,0.376192,0.032785,0.902222,-0.820087,2.982975,-1.397431,3.650466,4.0,0.00029959,0,614,0.24955,0.31928,1.0,nan,0,0.0,0.0,,,-0.01,0.00774,-0.00759,-0.0182,-0.01001,0.0
6,6144,-7.63242,197.0,0.0,0.0,1.164421,-0.003535,0.04797,0.002923,0.255844,0.046456,0.930512,-1.5066,3.491146,-1.882089,3.955026,4.0,0.00029949,2,734,0.26453,0.33026,0.8,nan,0,1.0,1.0,,,-0.01,0.00793,-0.00463,-0.02467,-0.01215,-0.0076
7,7168,-11.90489,404.6,0.0,0.0,1.067551,-0.003986,0.040168,0.001875,0.284972,0.015765,0.931662,-2.113636,3.509801,-2.30953,3.741817,4.0,0.00029939,5,778,0.29763,0.35769,0.53333,nan,0,1.0,0.98261,,,-0.01,0.0086,-0.00672,-0.02086,-0.00666,-0.02071
8,8192,-6.80577,450.0,0.0,0.0,1.585374,-0.005153,0.028966,0.004,0.344756,0.050188,0.953344,-2.054691,4.016648,-2.382212,4.557627,4.0,0.00029928,1,664,0.26484,0.33516,0.5625,nan,0,1.0,1.0,,,-0.01,0.00729,-0.00226,-0.02277,-0.00953,0.0
9,9216,-9.48209,328.4,0.0,0.0,1.365591,-0.003519,0.03723,0.002497,0.226041,0.038365,0.949018,-2.268998,4.456792,-2.557593,4.93742,4.0,0.00029918,5,705,0.28025,0.34973,0.47619,nan,0,0.8,1.0,,,-0.01,0.00735,-0.00282,-0.02545,-0.00663,-0.01306
10,10240,-12.76179,372.0,0.0,0.0,1.703831,-0.005229,0.025421,0.003467,0.274784,0.04112,0.964626,-2.491093,4.861945,-2.80758,5.342191,4.0,0.00029908,1,633,0.23142,0.28665,0.45455,nan,0,1.0,1.0,,,-0.01,0.00678,-0.0028,-0.02313,-0.00444,-0.00262
