iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.395739,-0.0079,0.326986,0.005049,0.88934,0.059501,-0.057176,0.537999,0.287566,-0.913089,2.164496,4.0,0.0003,0,502,0.26626,0.3592,0.0,nan,0,0.0,0.0,,,-0.03,0.00469,-0.01358,-0.04512,-0.00035,0.0
2,2048,nan,nan,0.0,0.0,2.338912,-0.00446,0.107509,0.000786,0.671643,0.003278,0.633607,-0.775136,1.658092,-2.100397,3.558853,4.0,0.0002999,0,523,0.23973,0.31602,0.0,nan,0,0.0,0.0,,,-0.03,0.00374,-0.01361,-0.04306,-0.00033,0.0
3,3072,nan,nan,0.0,0.0,2.302825,-0.005934,0.052786,0.005072,0.526981,0.064802,0.841938,-1.772137,3.574158,-3.034497,5.42454,4.0,0.0002998,0,486,0.24018,0.31294,0.0,nan,0,0.0,0.0,,,-0.03,0.00392,-0.01181,-0.04436,-0.00036,0.0
4,4096,-36.04224,450.0,0.0,0.0,2.274843,-0.00449,0.036745,0.001888,0.413882,0.014056,0.913732,-3.108654,5.321147,-4.112511,6.911814,4.0,0.00029969,8,488,0.25495,0.33687,1.0,nan,0,0.0,0.99828,,,-0.03,0.00296,-0.01092,-0.04067,0.0,0.0
5,5120,nan,nan,0.0,0.0,2.278685,-0.004261,0.021679,0.002834,0.35146,0.031843,0.927477,-3.8694,6.91596,-5.163562,9.069349,4.0,0.00029959,0,524,0.25893,0.34877,1.0,nan,0,0.0,0.0,,,-0.03,0.0056,-0.01109,-0.04916,0.0,0.0
6,6144,nan,nan,0.0,0.0,2.302674,-0.005936,0.01675,0.005182,0.297055,0.081787,0.951153,-5.009734,9.096861,-6.303911,11.208515,4.0,0.00029949,0,477,0.24191,0.32938,1.0,nan,0,0.0,0.0,,,-0.03,0.00751,-0.00979,-0.04748,0.0,0.0
7,7168,nan,nan,0.0,0.0,2.314863,-0.005104,0.012783,0.004678,0.256689,0.048061,0.967669,-5.91175,11.159328,-7.064705,13.094891,4.0,0.00029939,0,468,0.25098,0.32924,1.0,nan,0,0.0,0.0,,,-0.03,0.00594,-0.00753,-0.04652,0.0,0.0
8,8192,-36.29865,450.0,0.0,0.0,2.30752,-0.005099,0.010478,0.004431,0.250994,0.055315,0.97454,-7.340947,13.070219,-8.522497,15.041624,4.0,0.00029928,8,412,0.23019,0.31013,1.0,nan,0,0.0,0.99766,,,-0.03,0.00548,-0.0064,-0.04877,0.0,0.0
9,9216,nan,nan,0.0,0.0,2.32763,-0.006917,0.0088,0.003467,0.224954,0.039621,0.982689,-8.270795,14.815935,-9.300517,16.442451,4.0,0.00029918,0,442,0.2514,0.31473,1.0,nan,0,0.0,0.0,,,-0.03,0.00642,-0.00509,-0.0444,0.0,0.0
10,10240,nan,nan,0.0,0.0,2.342002,-0.005858,0.008678,0.003163,0.243229,0.023891,0.984818,-8.622595,16.211811,-9.613215,17.770197,4.0,0.00029908,0,442,0.2531,0.327,1.0,nan,0,0.0,0.0,,,-0.03,0.00572,-0.00815,-0.04491,-0.00065,0.0
11,11264,-33.93781,450.0,0.0,0.0,2.322472,-0.005958,0.007962,0.003319,0.215914,0.04412,0.987712,-9.98613,17.603596,-10.784735,18.942535,4.0,0.00029898,8,450,0.25179,0.32491,1.0,nan,0,0.0,0.99634,,,-0.03,0.00557,-0.00555,-0.04183,-0.00033,0.0
12,12288,nan,nan,0.0,0.0,2.249168,-0.006813,0.017715,0.004202,0.272817,0.06243,0.979824,-10.668283,19.745564,-11.506622,21.318523,4.0,0.00029887,0,390,0.2504,0.3301,1.0,nan,0,0.0,0.0,,,-0.03,0.00604,-0.00453,-0.04424,-0.00301,0.0
13,13312,-19.7535,263.5,0.0,0.0,1.631077,-0.004481,0.054823,0.003364,0.209073,0.048235,0.945016,-10.214289,21.257349,-10.767335,21.466492,4.0,0.00029877,2,476,0.25469,0.33189,0.92308,nan,0,1.0,1.0,,,-0.03,0.00472,-0.00697,-0.04364,-0.00962,-0.00553
14,14336,-18.21916,243.5,0.0,0.0,1.301828,-0.002769,0.042073,0.001356,0.255113,0.009068,0.941435,-12.202676,19.855936,-12.606321,19.499086,4.0,0.00029867,2,550,0.29526,0.36454,0.85714,nan,0,1.0,1.0,,,-0.03,0.00597,-0.00696,-0.03942,-0.0115,-0.00695
15,15360,-23.97942,406.5,0.0,0.0,1.826432,-0.005415,0.023864,0.0025,0.254012,0.033238,0.970952,-13.181128,20.636423,-13.348514,20.985693,4.0,0.00029857,6,477,0.29713,0.37224,0.85294,nan,0,0.66667,0.98485,,,-0.03,0.00864,-0.00482,-0.0383,-0.00896,-0.00247
16,16384,-13.68143,225.71429,0.0,0.0,1.489491,-0.003278,0.05769,0.002086,0.396955,0.013393,0.892158,-14.795588,18.880922,-13.884813,18.427076,4.0,0.00029846,7,522,0.30513,0.38558,0.73171,nan,0,0.85714,1.0,,,-0.03,0.00783,-0.00678,-0.03947,-0.01658,-0.01841
17,17408,-12.77199,175.8,0.0,0.0,1.961713,-0.00395,0.027553,0.004203,0.263419,0.054025,0.9487,-11.880495,18.440073,-11.571265,18.180809,4.0,0.00029836,5,406,0.25682,0.32843,0.65217,nan,0,1.0,1.0,,,-0.03,0.00699,-0.00329,-0.03326,-0.01005,-0.01158
18,18432,-14.99072,221.0,0.0,0.0,1.73581,-0.004934,0.015451,0.004141,0.247242,0.036482,0.967453,-10.333898,16.63818,-10.239914,16.344706,4.0,0.00029826,1,479,0.26576,0.32357,0.6383,nan,0,1.0,1.0,,,-0.03,0.00745,-0.0036,-0.03056,-0.0101,-0.00261
19,19456,-15.867,313.66667,0.0,0.0,1.308705,-0.003186,0.015471,0.002372,0.194099,0.018241,0.96125,-8.225265,14.961175,-8.252177,15.196525,4.0,0.00029816,3,544,0.25806,0.317,0.6,nan,0,1.0,0.95833,,,-0.03,0.00686,-0.00391,-0.03382,-0.0106,-0.01019
20,20480,-16.80539,330.0,0.0,0.0,1.454963,-0.004152,0.016984,0.001913,0.216569,0.020682,0.956695,-9.344154,15.681672,-9.332318,15.463628,4.0,0.00029805,4,522,0.26466,0.3285,0.57407,nan,0,1.0,0.94444,,,-0.03,0.00761,-0.00341,-0.03447,-0.00991,-0.00909
21,21504,-14.58534,263.83333,0.0,0.0,1.600399,-0.005288,0.015771,0.004711,0.249352,0.064383,0.963076,-9.958934,15.823236,-9.733802,15.797812,4.0,0.00029795,6,502,0.2641,0.33314,0.53333,nan,0,1.0,1.0,,,-0.03,0.00972,-0.00365,-0.03692,-0.01164,-0.01381
22,22528,-12.39479,223.66667,0.0,0.0,1.44165,-0.006146,0.018997,0.004225,0.256521,0.065988,0.932579,-8.464668,13.828002,-8.125351,13.092018,4.0,0.00029785,3,458,0.25056,0.31035,0.50794,nan,0,1.0,0.92308,,,-0.03,0.00879,-0.00156,-0.0314,-0.01714,-0.00937
23,23552,-14.16695,239.6,0.0,0.0,1.810518,-0.005451,0.019741,0.003149,0.260032,0.033133,0.953981,-10.520963,14.994923,-10.47043,15.392942,4.0,0.00029775,5,467,0.24887,0.31117,0.47059,nan,0,1.0,0.96552,,,-0.03,0.00879,-0.00218,-0.04182,-0.00725,-0.01218
24,24576,-13.20093,195.6,0.0,0.0,1.612331,-0.006559,0.017056,0.003725,0.338206,0.048689,0.949242,-8.209152,14.12281,-7.816668,13.618114,4.0,0.00029764,5,497,0.2373,0.30317,0.43836,nan,0,1.0,0.95,,,-0.03,0.00769,-0.00237,-0.03508,-0.01754,-0.01389
25,25600,-14.82032,236.6,0.0,0.0,1.825168,-0.004623,0.010311,0.003449,0.273783,0.042725,0.975138,-8.558805,14.150839,-8.76848,14.80031,4.0,0.00029754,5,474,0.25294,0.32977,0.41026,nan,0,1.0,0.93103,,,-0.03,0.00792,-0.00343,-0.04184,-0.0071,-0.01209
26,26624,-15.80393,225.0,0.0,0.0,1.715077,-0.006754,0.014514,0.004383,0.229085,0.052455,0.959577,-7.948396,14.165867,-7.876548,14.115441,4.0,0.00029744,3,493,0.25469,0.31655,0.39506,nan,0,1.0,1.0,,,-0.03,0.00757,-0.00328,-0.03582,-0.0143,-0.0078
